location,JAN_MaxTemp,JAN_MinTemp,FEB_MaxTemp,FEB_MinTemp,MAR_MaxTemp,MAR_MinTemp,APR_MaxTemp,APR_MinTemp,MAY_MaxTemp,MAY_MinTemp,JUN_MaxTemp,JUN_MinTemp,JUL_MaxTemp,JUL_MinTemp,AUG_MaxTemp,AUG_MinTemp,SEP_MaxTemp,SEP_MinTemp,OCT_MaxTemp,OCT_MinTemp,NOV_MaxTemp,NOV_MinTemp,DEC_MaxTemp,DEC_MinTemp
Tonk,24,7,27,10,33,15,39,22,42,27,40,29,35,27,33,25,34,24,35,19,30,13,25,8
Tura,23,11,26,14,30,18,32,21,31,22,29,22,29,23,29,23,29,22,29,20,27,16,24,13
Udaipur,24,7,27,10,32,15,36,20,39,24,36,25,31,24,30,23,31,21,33,17,30,12,26,8
Ujjain,26,8,29,10,34,14,38,20,40,24,36,24,31,23,29,22,31,21,33,17,30,12,27,9
Umaria,25,9,28,11,33,16,38,22,41,26,38,27,31,24,30,24,31,23,31,18,28,12,25,8
Vadodara,30,12,33,14,37,18,40,23,41,27,37,27,33,26,32,25,33,24,36,21,34,17,31,13
Varanasi,23,10,27,12,33,17,39,23,41,26,39,28,34,26,33,26,33,25,33,21,29,14,25,10
Vedaranyam,29,22,31,23,33,24,34,26,35,26,35,26,34,26,34,25,34,24,32,24,30,23,29,22
Vengurla,32,18,32,19,32,22,33,24,33,26,30,24,29,24,29,24,30,23,31,23,33,21,33,19
Veraval,29,14,30,15,32,19,32,22,32,26,32,27,30,26,29,25,30,24,33,22,33,19,30,16
Vijayapura,31,16,34,19,37,22,39,24,39,24,34,23,31,22,30,22,31,21,31,21,30,18,29,16
Vijayawada,30,19,33,20,35,22,37,26,40,28,37,27,33,25,32,25,33,25,32,24,31,21,30,19
Vishakhapatnam,29,18,31,20,34,23,35,26,36,28,35,27,33,26,33,26,33,26,32,24,30,22,29,19
Wardha,29,14,32,17,37,21,41,25,43,28,38,26,32,24,30,23,32,23,33,20,31,17,29,14
Yavatmal,29,15,32,18,36,22,40,25,42,28,37,25,31,23,29,22,31,22,32,20,30,17,28,15
