id,name,now_cost,position,team,ict_index_rank,transfers_in,news_added,threat_rank_type,cost_change_start_fall,red_cards,transfers_in_event,web_name,expected_goal_involvements_per_90,form_rank,minutes,goals_scored,value_season,chance_of_playing_next_round,threat_rank,expected_goals_per_90,goals_conceded_per_90,points_per_game,direct_freekicks_order,selected_rank_type,expected_assists,form,selected_rank,influence_rank_type,dreamteam_count,selected_by_percent,cost_change_start,clean_sheets_per_90,influence_rank,saves,ict_index,transfers_out,bps,expected_goals_conceded_per_90,ep_next,news,assists,expected_goals,expected_goal_involvements,status,form_rank_type,now_cost_rank_type,clean_sheets,expected_goals_conceded,creativity,starts_per_90,points_per_game_rank,starts,cost_change_event_fall,now_cost_rank,influence,points_per_game_rank_type,value_form,goals_conceded,ict_index_rank_type,saves_per_90,cost_change_event,threat,expected_assists_per_90,own_goals,event_points,chance_of_playing_this_round,corners_and_indirect_freekicks_order,transfers_out_event,yellow_cards,creativity_rank,creativity_rank_type,total_points,in_dreamteam,bonus,ep_this,penalties_order
147,Adam Webster,45,DEF,Brighton,295,857,,68,0,0,448,Webster,0.13,278,14,0,0.2,,222,0.0,0.0,1.0,,165,0.02,0.5,445,97,0,0.1,0,0.0,261,0,0.8,2548,9,0.0,-0.5,,0,0.00,0.02,a,90,62,0,0.00,0.7,0.0,230,0,0,366,5.6,75,0.1,0,98,0.0,0,2.0,0.13,0,0,,,1461,0,286,92,1,False,0,0.5,
148,Danny Welbeck,56,FWD,Brighton,5,940440,,3,-1,0,688905,Welbeck,0.73,3,168,2,3.8,,9,0.7,0.54,10.5,3.0,7,0.06,10.5,39,2,1,11.1,1,0.54,4,0,23.5,134187,79,0.95,9.5,,1,1.31,1.37,a,2,29,1,1.77,48.5,1.07,4,2,-1,100,102.2,2,1.9,1,2,0.0,1,84.0,0.03,0,9,,,102772,0,36,1,21,True,6,10.5,3.0
149,Mats Wieffer,50,MID,Brighton,158,10207,2024-08-29T09:30:04.701478Z,249,0,0,1129,Wieffer,0.02,105,90,0,1.2,50.0,562,0.0,0.0,6.0,,148,0.02,3.0,412,46,0,0.1,0,1.0,119,0,4.7,7034,20,0.45,1.0,Muscle injury - 50% chance of playing,1,0.00,0.02,d,40,167,1,0.45,16.3,1.0,31,1,0,257,31.0,16,0.6,0,85,0.0,0,0.0,0.02,0,0,,,4936,0,116,83,6,False,0,3.0,
595,Brajan Gruda,55,MID,Brighton,619,421,2024-08-30T04:00:05.748621Z,275,0,0,154,Gruda,0.0,616,0,0,0.0,50.0,611,0.0,0.0,0.0,,236,0.00,0.0,552,279,0,0.0,0,0.0,619,0,0.0,1363,0,0.0,-0.5,Knock - 50% chance of playing,0,0.00,0.00,d,280,86,0,0.00,0.0,0.0,616,0,0,142,0.0,280,0.0,0,280,0.0,0,0.0,0.0,0,0,,,773,0,619,280,0,False,0,0.0,
600,Yasin Ayari,50,MID,Brighton,286,531,,108,0,0,249,Ayari,2.25,249,2,0,0.4,,184,0.9,0.0,1.0,,255,0.03,1.0,581,125,0,0.0,0,0.0,263,0,1.1,440,3,4.5,0.0,,0,0.02,0.05,a,127,178,0,0.10,0.4,0.0,285,0,0,275,5.4,146,0.2,0,140,0.0,0,5.0,1.35,0,1,,,270,0,300,169,2,False,0,1.0,
601,Andrew Moran,50,MID,Brighton,591,24,2024-08-20T12:19:09.002604Z,256,0,0,0,Moran,0.0,587,0,0,0.0,0.0,574,0.0,0.0,0.0,,276,0.00,0.0,618,259,0,0.0,0,0.0,584,0,0.0,315,0,0.0,0.0,Loaned to Stoke City,0,0.00,0.00,u,264,180,0,0.00,0.0,0.0,587,0,0,277,0.0,264,0.0,0,265,0.0,0,0.0,0.0,0,0,0.0,,159,0,588,265,0,False,0,0.0,
615,Carl Rushworth,40,GKP,Brighton,387,6547,,26,0,0,4257,Rushworth,0.0,383,0,0,0.0,,309,0.0,0.0,0.0,,60,0.00,0.0,446,47,0,0.1,0,0.0,379,0,0.0,1954,0,0.0,-1.0,,0,0.00,0.00,a,46,64,0,0.00,0.0,0.0,383,0,0,614,0.0,46,0.0,0,47,0.0,0,0.0,0.0,0,0,,,1402,0,367,28,0,False,0,0.0,
618,Georginio Rutter,55,MID,Brighton,326,3289,,273,0,0,1549,Georginio,0.9,258,1,0,0.2,,608,0.0,0.0,1.0,,234,0.01,1.0,550,154,0,0.0,0,0.0,306,0,0.2,1011,4,9.0,1.0,,0,0.00,0.01,a,134,81,0,0.10,0.8,0.0,300,0,0,135,1.6,158,0.2,0,167,0.0,0,0.0,0.9,0,1,,,799,0,282,161,1,False,0,2.0,
628,Ferdi Kadioglu,45,DEF,Brighton,463,6522,,169,0,0,6522,F.Kadıoğlu,0.0,462,0,0,0.0,,410,0.0,0.0,0.0,,177,0.00,0.0,498,186,0,0.1,0,0.0,455,0,0.0,1522,0,0.0,1.0,,0,0.00,0.00,a,183,96,0,0.00,0.0,0.0,462,0,0,416,0.0,183,0.0,0,186,0.0,0,0.0,0.0,0,0,,,1522,0,453,185,0,False,0,2.0,
629,Matt O'Riley,55,MID,Brighton,611,345,2024-08-28T16:30:04.729425Z,270,0,0,345,O'Riley,0.0,608,0,0,0.0,0.0,602,0.0,0.0,0.0,,284,0.00,0.0,628,274,0,0.0,0,0.0,610,0,0.0,104,0,0.0,0.0,Ankle injury - Unknown return date,0,0.00,0.00,i,276,75,0,0.00,0.0,0.0,608,0,0,122,0.0,276,0.0,0,276,0.0,0,0.0,0.0,0,0,,,104,0,611,276,0,False,0,2.0,
150,Andrey Nascimento dos Santos,45,MID,Chelsea,521,0,2024-08-05T10:16:34.176364Z,196,0,0,0,Andrey Santos,0.0,520,0,0,0.0,0.0,480,0.0,0.0,0.0,,275,0.00,0.0,617,211,0,0.0,0,0.0,513,0,0.0,361,0,0.0,0.0,Has joined Strasbourg on a season-long loan,0,0.00,0.00,u,219,275,0,0.00,0.0,0.0,520,0,0,502,0.0,219,0.0,0,218,0.0,0,0.0,0.0,0,0,0.0,,120,0,513,219,0,False,0,0.0,
151,Ângelo Gabriel Borges Damaceno,45,MID,Chelsea,515,3579,,191,0,0,2137,Ângelo,0.0,514,0,0,0.0,,474,0.0,0.0,0.0,,99,0.00,0.0,304,206,0,0.3,0,0.0,507,0,0.0,7751,0,0.0,0.0,,0,0.00,0.00,a,214,270,0,0.00,0.0,0.0,514,0,0,495,0.0,214,0.0,0,213,0.0,0,0.0,0.0,0,0,,,4229,0,507,214,0,False,0,0.0,
153,Benoît Badiashile,45,DEF,Chelsea,469,2177,,175,0,0,1195,B.Badiashile,0.0,468,0,0,0.0,,417,0.0,0.0,0.0,,152,0.00,0.0,408,191,0,0.1,0,0.0,461,0,0.0,4500,0,0.0,0.0,,0,0.00,0.00,a,188,105,0,0.00,0.0,0.0,468,0,0,426,0.0,188,0.0,0,191,0.0,0,0.0,0.0,0,0,,,2253,0,459,190,0,False,0,0.0,
154,Lucas Bergström,40,GKP,Chelsea,390,5063,,27,0,0,3213,Bergström,0.0,386,0,0,0.0,,312,0.0,0.0,0.0,,46,0.00,0.0,317,48,0,0.3,0,0.0,382,0,0.0,3010,0,0.0,0.0,,0,0.00,0.00,a,47,65,0,0.00,0.0,0.0,386,0,0,617,0.0,47,0.0,0,48,0.0,0,0.0,0.0,0,0,,,1992,0,370,29,0,False,0,0.0,
155,Marcus Bettinelli,40,GKP,Chelsea,348,3248,,8,0,0,1990,Bettinelli,0.0,345,0,0,0.0,,269,0.0,0.0,0.0,,38,0.00,0.0,280,29,0,0.4,0,0.0,340,0,0.0,3277,0,0.0,0.0,,0,0.00,0.00,a,28,46,0,0.00,0.0,0.0,345,0,0,569,0.0,28,0.0,0,29,0.0,0,0.0,0.0,0,0,,,1979,0,328,10,0,False,0,0.0,
156,Armando Broja,55,FWD,Chelsea,614,2855,,62,0,0,1154,Broja,0.0,611,0,0,0.0,,605,0.0,0.0,0.0,,62,0.00,0.0,456,63,0,0.1,0,0.0,613,0,0.0,4350,0,0.0,0.0,,0,0.00,0.00,a,62,36,0,0.00,0.0,0.0,611,0,0,129,0.0,62,0.0,0,63,0.0,0,0.0,0.0,0,0,,,2440,0,614,63,0,False,0,0.0,
157,Moisés Caicedo Corozo,50,MID,Chelsea,133,11665,,137,0,0,5330,Caicedo,0.06,195,165,0,0.6,,242,0.02,2.18,1.5,,79,0.08,1.5,232,74,0,0.6,0,0.0,177,0,5.5,20330,20,1.4,1.5,,0,0.03,0.11,a,96,171,0,2.57,32.2,1.09,201,2,0,264,20.4,99,0.3,4,78,0.0,0,2.0,0.04,0,2,,,11408,1,63,52,3,False,0,1.5,
158,Cesare Casadei,45,MID,Chelsea,511,3361,,187,0,0,1971,Casadei,0.0,510,0,0,0.0,,468,0.0,0.0,0.0,,151,0.00,0.0,420,203,0,0.1,0,0.0,503,0,0.0,4389,0,0.0,0.0,,0,0.00,0.00,a,211,265,0,0.00,0.0,0.0,510,0,0,487,0.0,211,0.0,0,210,0.0,0,0.0,0.0,0,0,,,2614,0,503,211,0,False,0,0.0,
159,Trevoh Chalobah,44,DEF,Chelsea,417,2082,,131,1,0,1291,Chalobah,0.0,414,0,0,0.0,,342,0.0,0.0,0.0,,140,0.00,0.0,374,156,0,0.2,-1,0.0,409,0,0.0,5744,0,0.0,0.0,,0,0.00,0.00,a,152,138,0,0.00,0.0,0.0,414,0,1,534,0.0,152,0.0,0,156,0.0,-1,0.0,0.0,0,0,,,2879,0,397,155,0,False,0,0.0,
160,Ben Chilwell,49,DEF,Chelsea,547,7372,,192,1,0,3427,Chilwell,0.0,547,0,0,0.0,,509,0.0,0.0,0.0,,80,0.00,0.0,219,198,0,0.7,-1,0.0,540,0,0.0,32587,0,0.0,0.0,,0,0.00,0.00,a,196,36,0,0.00,0.0,0.0,547,0,1,308,0.0,196,0.0,0,198,0.0,-1,0.0,0.0,0,0,,,15208,0,539,198,0,False,0,0.0,
161,Carney Chukwuemeka,49,MID,Chelsea,557,1076,,225,1,0,769,Chukwuemeka,0.0,556,0,0,0.0,,523,0.0,0.0,0.0,,197,0.00,0.0,503,237,0,0.1,-1,0.0,550,0,0.0,2229,0,0.0,0.0,,0,0.00,0.00,a,243,216,0,0.00,0.0,0.0,556,0,1,328,0.0,243,0.0,0,243,0.0,-1,0.0,0.0,0,0,,,1173,0,548,243,0,False,0,0.0,
162,Levi Colwill,45,DEF,Chelsea,178,63087,,180,0,0,40326,Colwill,0.0,221,180,0,0.4,,435,0.0,2.0,1.0,,67,0.01,1.0,181,13,0,1.2,0,0.0,62,0,4.3,28056,18,1.34,1.0,,0,0.00,0.01,a,69,115,0,2.69,1.2,1.0,236,2,0,449,41.6,80,0.2,4,58,0.0,0,0.0,0.0,0,1,,,19654,0,267,85,2,False,0,1.0,
163,Marc Cucurella Saseta,50,DEF,Chelsea,199,114227,,73,0,0,57135,Cucurella,0.11,240,161,0,0.4,,237,0.0,1.68,1.0,,23,0.20,1.0,65,52,0,6.2,0,0.0,139,0,3.8,146504,23,1.39,1.0,,0,0.00,0.20,a,75,21,0,2.49,9.2,1.12,269,2,0,203,27.2,88,0.2,3,67,0.0,0,2.0,0.11,0,0,,,97208,1,179,49,2,False,0,1.0,
164,David Datro Fofana,54,FWD,Chelsea,610,2456,,59,1,0,1399,D.D.Fofana,0.0,607,0,0,0.0,,596,0.0,0.0,0.0,,56,0.00,0.0,419,60,0,0.1,-1,0.0,608,0,0.0,5449,0,0.0,0.0,,0,0.00,0.00,a,60,44,0,0.00,0.0,0.0,607,0,1,178,0.0,60,0.0,0,61,0.0,-1,0.0,0.0,0,0,,,2754,0,607,61,0,False,0,0.0,
165,Deivid Washington de Souza Eugênio,50,FWD,Chelsea,596,2893,,57,0,0,1801,Deivid,0.0,592,0,0,0.0,,580,0.0,0.0,0.0,,59,0.00,0.0,442,58,0,0.1,0,0.0,589,0,0.0,3790,0,0.0,0.0,,0,0.00,0.00,a,58,59,0,0.00,0.0,0.0,592,0,0,287,0.0,58,0.0,0,59,0.0,0,0.0,0.0,0,0,,,2247,0,593,59,0,False,0,0.0,
166,Kiernan Dewsbury-Hall,59,MID,Chelsea,317,2394,,277,1,0,1149,Dewsbury-Hall,0.02,260,38,0,0.3,,615,0.0,2.37,1.0,,122,0.01,1.0,355,151,0,0.2,-1,0.0,303,0,0.4,10319,5,0.54,1.0,,0,0.00,0.01,a,135,58,0,0.23,1.8,0.0,304,0,1,93,2.0,160,0.2,1,160,0.0,-1,0.0,0.02,0,1,,,5484,0,253,148,2,False,0,1.0,
167,Axel Disasi,44,DEF,Chelsea,424,3725,,138,1,0,2174,Disasi,0.0,421,0,0,0.0,,349,0.0,0.0,0.0,,110,0.00,0.0,291,163,0,0.4,-1,0.0,416,0,0.0,15134,0,0.0,0.0,,0,0.00,0.00,a,159,145,0,0.00,0.0,0.0,421,0,1,541,0.0,159,0.0,0,163,0.0,-1,0.0,0.0,0,0,,,7473,0,404,162,0,False,0,0.0,
168,Enzo Fernández,50,MID,Chelsea,70,59532,,38,0,0,27135,Enzo,0.17,149,180,0,0.8,,62,0.11,2.0,2.0,5.0,50,0.12,2.0,152,48,0,1.7,0,0.0,121,0,9.6,51918,31,1.34,2.0,,0,0.22,0.34,a,76,162,0,2.69,35.4,1.0,154,2,0,250,30.4,79,0.4,4,48,0.0,0,30.0,0.06,0,2,,1.0,32099,0,56,47,4,False,0,2.0,4.0
169,Conor Gallagher,59,MID,Chelsea,621,1567,2024-08-22T11:20:34.236891Z,278,1,0,0,Gallagher,0.0,618,0,0,0.0,0.0,616,0.0,0.0,0.0,,102,0.00,0.0,309,280,0,0.3,-1,0.0,621,0,0.0,56892,0,0.0,0.0,Transferred to Atletico Madrid,0,0.00,0.00,u,281,60,0,0.00,0.0,0.0,618,0,0,95,0.0,281,0.0,0,281,0.0,0,0.0,0.0,0,0,0.0,,23762,0,621,281,0,False,0,0.0,
170,Alfie Gilchrist,40,DEF,Chelsea,396,0,2024-08-09T11:15:16.064928Z,110,0,0,0,Gilchrist,0.0,393,0,0,0.0,0.0,319,0.0,0.0,0.0,,174,0.00,0.0,479,137,0,0.1,0,0.0,388,0,0.0,3340,0,0.0,0.0,Has joined Sheffield United on a season-long,0,0.00,0.00,u,133,196,0,0.00,0.0,0.0,393,0,0,625,0.0,133,0.0,0,137,0.0,0,0.0,0.0,0,0,0.0,,1278,0,376,136,0,False,0,0.0,
171,Malo Gusto,50,DEF,Chelsea,146,80312,,31,0,0,46102,Gusto,0.05,312,180,0,0.2,,150,0.0,2.0,0.5,,37,0.10,0.5,101,63,0,3.3,0,0.0,163,0,5.1,72922,6,1.34,0.5,,0,0.00,0.10,a,100,31,0,2.69,19.2,1.0,331,2,0,262,23.4,103,0.1,4,41,0.0,0,8.0,0.05,0,0,,,50394,1,100,20,1,False,0,0.5,
172,Reece James,50,DEF,Chelsea,570,637,2024-07-17T13:30:05.006577Z,200,0,0,373,James,0.0,568,0,0,0.0,0.0,547,0.0,0.0,0.0,2.0,169,0.00,0.0,460,204,0,0.1,0,0.0,563,0,0.0,3662,0,0.0,0.0,Suspended until 14 Sep,0,0.00,0.00,s,202,27,0,0.00,0.0,0.0,568,0,0,229,0.0,202,0.0,0,204,0.0,0,0.0,0.0,0,0,0.0,4.0,1746,0,566,204,0,False,0,0.0,
173,Omari Kellyman,45,MID,Chelsea,524,785,,199,0,0,488,Kellyman,0.0,523,0,0,0.0,,483,0.0,0.0,0.0,,217,0.00,0.0,530,214,0,0.0,0,0.0,516,0,0.0,1116,0,0.0,0.0,,0,0.00,0.00,a,222,278,0,0.00,0.0,0.0,523,0,0,506,0.0,222,0.0,0,221,0.0,0,0.0,0.0,0,0,,,643,0,516,222,0,False,0,0.0,
174,Roméo Lavia,45,MID,Chelsea,228,91654,2024-08-27T11:00:05.591579Z,189,0,0,25465,Lavia,0.25,226,65,0,0.4,0.0,471,0.0,1.38,2.0,,53,0.18,1.0,165,86,0,1.5,0,0.0,203,0,2.9,59620,18,0.91,0.0,Hamstring injury - Expected back 14 Sep,0,0.00,0.18,i,114,268,0,0.66,13.5,1.38,141,1,0,492,15.2,68,0.2,1,112,0.0,0,0.0,0.25,0,0,,,43574,0,149,99,2,False,0,1.0,
175,Romelu Lukaku Bolingoli,63,FWD,Chelsea,625,8049,2024-08-30T10:21:53.872158Z,67,2,0,3767,Lukaku,0.0,621,0,0,0.0,0.0,622,0.0,0.0,0.0,,44,0.00,0.0,264,68,0,0.4,-2,0.0,624,0,0.0,37433,0,0.0,0.0,Permanent transfer to Napoli,0,0.00,0.00,u,67,19,0,0.00,0.0,0.0,621,0,1,71,0.0,67,0.0,0,68,0.0,-1,0.0,0.0,0,0,,,17644,0,626,68,0,False,0,0.0,
176,Malang Sarr,45,DEF,Chelsea,454,0,2024-07-29T09:46:25.583703Z,159,0,0,0,M.Sarr,0.0,453,0,0,0.0,0.0,396,0.0,0.0,0.0,,206,0.00,0.0,623,179,0,0.0,0,0.0,446,0,0.0,306,0,0.0,0.0,Permanent move to RC Lens,0,0.00,0.00,u,176,77,0,0.00,0.0,0.0,453,0,0,392,0.0,176,0.0,0,179,0.0,0,0.0,0.0,0,0,0.0,,88,0,443,178,0,False,0,0.0,
177,Noni Madueke,65,MID,Chelsea,8,905566,,5,0,0,902957,Madueke,0.65,4,90,3,3.1,,7,0.54,2.0,20.0,,16,0.11,10.0,47,1,1,9.7,0,0.0,2,0,21.4,90619,76,1.92,10.0,,0,0.54,0.65,a,2,33,0,1.92,15.4,1.0,1,1,-1,52,110.6,1,1.5,2,6,0.0,1,88.0,0.11,0,20,,,81014,0,128,89,20,True,3,10.0,3.0
178,Marc Guiu Paz,50,FWD,Chelsea,588,25752,,54,0,0,12801,Marc Guiu,0.0,314,24,0,0.2,,571,0.0,3.75,1.0,,33,0.00,0.5,205,55,0,0.8,0,0.0,581,0,0.0,29783,2,0.41,0.5,,0,0.00,0.00,a,35,56,0,0.11,0.3,0.0,284,0,0,272,0.0,29,0.1,1,56,0.0,0,0.0,0.0,0,0,,,18311,0,306,35,1,False,0,0.5,
179,Mykhailo Mudryk,64,MID,Chelsea,628,6601,,284,1,0,5250,Mudryk,0.02,331,45,0,0.2,,626,0.0,4.0,1.0,,100,0.01,0.5,306,284,0,0.3,-1,0.0,627,0,0.0,14417,1,3.5,0.5,,0,0.00,0.01,a,173,49,0,1.75,1.1,2.0,313,1,1,69,0.0,168,0.1,2,285,0.0,-1,0.0,0.02,0,1,,,7970,0,274,154,1,False,0,0.5,
180,Nicolas Jackson,76,FWD,Chelsea,19,352939,,4,-1,0,273378,N.Jackson,0.49,36,132,1,1.6,,16,0.44,2.05,6.0,,13,0.07,6.0,78,3,1,5.0,1,0.0,27,0,16.6,80419,42,1.68,6.0,,1,0.64,0.71,a,5,5,0,2.46,47.6,1.36,40,2,-1,14,56.8,5,0.8,3,3,0.0,1,62.0,0.05,0,10,,,54507,0,38,2,12,False,1,6.0,
181,Christopher Nkunku,64,MID,Chelsea,156,114106,,75,1,0,33898,Nkunku,0.32,262,64,0,0.3,,125,0.21,1.41,1.0,,18,0.08,1.0,51,99,0,8.8,-1,0.0,220,0,4.8,772563,12,1.1,1.0,,0,0.15,0.23,a,137,44,0,0.78,23.8,1.41,312,1,1,64,11.8,167,0.2,1,84,0.0,-1,13.0,0.11,0,1,,,640989,0,86,66,2,False,0,1.0,2.0
182,Cole Palmer,105,MID,Chelsea,6,783295,,37,0,0,717219,Palmer,0.57,5,172,1,1.8,,61,0.39,2.09,9.5,1.0,1,0.34,9.5,3,2,1,40.7,0,0.0,3,0,21.6,402448,79,1.34,9.5,,3,0.74,1.08,a,3,2,0,2.57,81.6,1.05,5,2,0,3,103.2,3,0.9,4,4,0.0,0,31.0,0.18,0,17,,2.0,147098,1,10,9,19,True,2,9.5,1.0
183,Đorđe Petrović,44,GKP,Chelsea,428,2706,,34,1,0,1668,Petrović,0.0,426,0,0,0.0,,354,0.0,0.0,0.0,,33,0.00,0.0,236,54,0,0.6,-1,0.0,420,0,0.0,21829,0,0.0,0.0,,0,0.00,0.00,a,54,37,0,0.00,0.0,0.0,426,0,1,547,0.0,54,0.0,0,54,0.0,-1,0.0,0.0,0,0,,,10233,0,409,36,0,False,0,0.0,
184,Renato Palma Veiga,45,MID,Chelsea,311,8354,,202,0,0,5901,Renato Veiga,0.0,228,17,0,0.4,,486,0.0,5.29,1.0,,130,0.00,1.0,380,136,0,0.2,0,0.0,279,0,0.4,4290,6,1.06,1.0,,0,0.00,0.00,a,115,281,0,0.20,0.9,0.0,245,0,0,509,3.4,119,0.2,1,155,0.0,0,0.0,0.0,0,1,,,3004,0,277,156,2,False,0,1.0,
185,Robert Sánchez,45,GKP,Chelsea,198,165166,,51,0,0,99771,Sánchez,0.0,173,180,0,0.7,,402,0.0,2.0,1.5,,15,0.00,1.5,95,14,0,3.8,0,0.0,79,5,3.8,67510,15,1.34,1.5,,0,0.00,0.00,a,17,26,0,2.69,0.0,1.0,179,2,0,400,38.4,18,0.3,4,14,2.5,0,0.0,0.0,0,1,,,49045,0,447,52,3,False,0,1.5,
186,Raheem Sterling,69,MID,Chelsea,633,4940,,288,1,0,2231,Sterling,0.0,630,0,0,0.0,,632,0.0,0.0,0.0,3.0,60,0.00,0.0,178,289,0,1.2,-1,0.0,633,0,0.0,67294,0,0.0,0.0,,0,0.00,0.00,a,289,17,0,0.00,0.0,0.0,630,0,0,33,0.0,289,0.0,0,289,0.0,0,0.0,0.0,0,0,,,27755,0,633,289,0,False,0,0.0,
187,Tosin Adarabioyo,44,DEF,Chelsea,413,793,,127,1,0,456,Tosin,0.0,410,0,0,0.0,,338,0.0,0.0,0.0,,129,0.00,0.0,357,152,0,0.2,-1,0.0,405,0,0.0,7697,0,0.0,0.0,,0,0.00,0.00,a,148,133,0,0.00,0.0,0.0,410,0,1,529,0.0,148,0.0,0,152,0.0,-1,0.0,0.0,0,0,,,3655,0,393,151,0,False,0,0.0,
189,Wesley Fofana,45,DEF,Chelsea,243,24136,,44,0,0,14175,W.Fofana,0.02,220,180,0,0.4,,170,0.02,2.0,1.0,,90,0.01,1.0,248,81,0,0.5,0,0.0,199,0,2.4,11332,5,1.34,1.0,,0,0.04,0.05,a,68,112,0,2.69,1.6,1.0,235,2,0,440,15.8,79,0.2,4,83,0.0,0,6.0,0.0,0,1,,,7547,0,257,80,2,False,0,1.0,
560,Pedro Lomba Neto,65,MID,Chelsea,77,28308,,72,0,0,17187,Neto,0.3,125,77,0,0.8,,118,0.05,1.17,2.5,,63,0.21,2.5,185,51,0,1.1,0,0.0,128,0,8.4,40121,18,0.33,2.5,,1,0.04,0.25,a,58,32,0,0.28,40.0,0.0,126,0,0,51,29.0,59,0.4,1,53,0.0,0,15.0,0.25,0,4,,3.0,21321,0,47,39,5,False,0,2.5,
575,Caleb Wiley,40,DEF,Chelsea,391,0,2024-08-13T07:07:06.645739Z,106,0,0,0,Wiley,0.0,387,0,0,0.0,0.0,313,0.0,0.0,0.0,,185,0.00,0.0,547,134,0,0.0,0,0.0,383,0,0.0,1856,0,0.0,0.0,Loaned to Strasbourg,0,0.00,0.00,u,129,191,0,0.00,0.0,0.0,387,0,0,618,0.0,129,0.0,0,134,0.0,0,0.0,0.0,0,0,0.0,,589,0,371,133,0,False,0,0.0,
581,Filip Jørgensen,45,GKP,Chelsea,513,2423,,57,0,0,914,Jørgensen,0.0,512,0,0,0.0,,470,0.0,0.0,0.0,,45,0.00,0.0,310,66,0,0.3,0,0.0,505,0,0.0,9277,0,0.0,0.0,,0,0.00,0.00,a,66,32,0,0.00,0.0,0.0,512,0,0,489,0.0,66,0.0,0,66,0.0,0,0.0,0.0,0,0,,,5171,0,505,58,0,False,0,0.0,
621,João Félix Sequeira,65,MID,Chelsea,126,89290,,56,0,0,77303,João Félix,0.82,35,22,1,0.9,,91,0.78,0.0,6.0,,64,0.01,6.0,187,40,0,1.0,0,0.0,101,0,5.7,15437,25,0.49,2.3,,0,0.19,0.20,a,18,36,0,0.12,0.8,0.0,39,0,0,55,34.6,20,0.9,0,75,0.0,0,22.0,0.04,0,6,,,14013,0,283,162,6,False,0,2.3,
190,Naouirou Ahamada,45,MID,Crystal Palace,489,6047,,170,0,0,3249,Ahamada,0.0,488,0,0,0.0,,442,0.0,0.0,0.0,,94,0.00,0.0,293,186,0,0.4,0,0.0,481,0,0.0,8831,0,0.0,0.0,,0,0.00,0.00,a,194,245,0,0.00,0.0,0.0,488,0,0,456,0.0,194,0.0,0,193,0.0,0,0.0,0.0,0,0,,,5041,0,480,194,0,False,0,0.0,
193,Cheick Doucouré,49,MID,Crystal Palace,320,1452,,222,1,0,795,C.Doucouré,0.0,300,6,0,0.2,,519,0.0,0.0,1.0,,171,0.00,0.5,465,160,0,0.1,-1,0.0,319,0,0.3,3101,4,0.0,0.5,,0,0.00,0.00,a,150,212,0,0.00,2.8,0.0,260,0,1,323,0.4,131,0.1,0,162,0.0,-1,0.0,0.0,0,0,,,1707,0,230,134,1,False,0,0.5,
194,Chris Richards,45,DEF,Crystal Palace,233,1606,,54,0,0,708,C.Richards,0.08,285,163,0,0.2,,193,0.07,2.21,0.5,,141,0.01,0.5,375,69,0,0.2,0,0.0,175,0,2.8,3928,2,1.5,0.5,,0,0.12,0.13,a,95,108,0,2.72,2.9,1.1,326,2,0,434,21.2,101,0.1,4,78,0.0,0,4.0,0.01,0,1,,,1831,1,227,70,1,False,0,0.5,
195,Chadi Riad Dnanou,45,DEF,Crystal Palace,260,1204,2024-08-28T16:30:04.488064Z,188,0,0,529,Chadi Riad,0.02,289,90,0,0.2,0.0,473,0.0,2.0,1.0,,158,0.02,0.5,427,77,0,0.1,0,0.0,188,0,2.0,5108,3,1.39,0.0,Knee injury - Unknown return date,0,0.00,0.02,i,97,126,0,1.39,1.3,1.0,243,1,0,494,18.2,84,0.1,2,86,0.0,0,0.0,0.02,0,1,,,2781,0,265,84,1,False,0,0.5,
196,Nathaniel Clyne,45,DEF,Crystal Palace,437,589,,150,0,0,287,Clyne,0.0,434,0,0,0.0,,367,0.0,0.0,0.0,,164,0.00,0.0,439,172,0,0.1,0,0.0,429,0,0.0,3060,0,0.0,0.0,,0,0.00,0.00,a,167,52,0,0.00,0.0,0.0,434,0,0,347,0.0,167,0.0,0,172,0.0,0,0.0,0.0,0,0,,,1505,0,419,171,0,False,0,0.0,
197,Malcolm Ebiowei,45,MID,Crystal Palace,478,0,2024-08-06T17:23:26.723638Z,162,0,0,0,Ebiowei,0.0,477,0,0,0.0,0.0,429,0.0,0.0,0.0,,279,0.00,0.0,621,178,0,0.0,0,0.0,470,0,0.0,262,0,0.0,0.0,Season long loan to Oxford United,0,0.00,0.00,u,186,237,0,0.00,0.0,0.0,477,0,0,442,0.0,186,0.0,0,185,0.0,0,0.0,0.0,0,0,0.0,,81,0,468,186,0,False,0,0.0,
198,Odsonne Edouard,54,FWD,Crystal Palace,170,12801,,16,1,0,7521,Edouard,0.33,200,115,0,0.6,,58,0.31,1.57,1.5,3.0,38,0.03,1.5,227,33,0,0.6,-1,0.0,317,0,4.5,25459,3,1.66,1.5,,0,0.39,0.42,a,20,42,0,2.12,13.0,0.78,206,1,1,165,0.8,21,0.3,2,19,0.0,-1,32.0,0.02,0,2,,,13104,0,152,16,3,False,0,1.5,3.0
199,Eberechi Eze,69,MID,Crystal Palace,14,185996,,3,1,0,68032,Eze,0.54,161,180,0,0.6,,4,0.43,2.0,2.0,1.0,4,0.22,2.0,12,50,0,25.3,-1,0.0,127,0,19.3,858440,28,1.49,2.0,,0,0.86,1.08,a,83,20,0,2.98,63.0,1.0,166,2,1,36,29.2,86,0.3,4,12,0.0,-1,101.0,0.11,0,2,,1.0,653490,0,22,19,4,False,0,2.0,1.0
