Car Name,Year,Region,FuelType,Mileage,Price
Toyota Camry,2019,Abovian,Gasoline,35500,6500
Volkswagen Caddy,2011,Nor Geghi,Gasoline,210000,8600
BMW 3 Series coupe,2008,Erebuni,Gasoline,233000,7500
Toyota Ipsum,2003,Gyumri,Gasoline,440000,4500
VAZ (Lada) 2114 hatchback,2012,Gavar,Gasoline,100000,1500
Mazda 626,1995,Artashat,Gasoline,150000,5700
Mitsubishi Pajero IO,2000,Avan,Gasoline,203400,5300
Mitsubishi Montero Sport,2001,Kentron,Gasoline,200000,19500
Mercedes-Benz E-Class,2014,Arabkir,Gasoline,203000,18900
Dodge Charger,2017,Kentron,Gasoline,105000,7500
Hyundai Sonata,2012,Malatia-Sebastia,Hybrid,170000,8000
BMW 6 Series coupe,2007,Arabkir,Gasoline,122000,185000
Mercedes-Benz S-Class,2022,Arabkir,Gasoline,13000,8000
Kia Forte,2014,Malatia-Sebastia,Gasoline,147000,3000
Opel Vectra,1995,Kanaker-Zeytun,Gasoline,360000,14500
Lincoln MKZ,2017,Kentron,Gasoline,105000,110000
Mercedes-Benz S-Class,2018,Arabkir,Gasoline,82000,16000
Kia Forte,2018,Arabkir,Gasoline,46000,11900
Lexus IS,2009,Artashat,Gasoline,156000,5500
Mitsubishi Pajero IO,2000,Malatia-Sebastia,Gasoline,300000,5200
Opel Astra hatchback,2003,Artashat,Gasoline,240000,13500
Volkswagen Passat,2016,Argavand,Gasoline,45000,9500
Honda Elysion,2004,Nor Nork,Gasoline,180000,4500
Mercedes-Benz C-Class,1997,Shengavit,Gasoline,250000,12500
Mercedes-Benz Viano,2003,Ajapnyak,Gasoline,100000,3500
Volkswagen Golf hatchback,1996,Kanaker-Zeytun,Gasoline,180000,7500
Nissan X-Trail,2006,Kanaker-Zeytun,Gasoline,180000,13000
Mercedes-Benz E-Class,2009,Ajapnyak,Gasoline,240000,10500
Mercedes-Benz 300,2009,Erebuni,Gasoline,240000,15500
Acura ILX,2019,Ajapnyak,Gasoline,80000,16000
Kia Forte,2018,Ajapnyak,Gasoline,41000,19000
Hyundai Sonata,2020,Ajapnyak,Gasoline,29000,10000
Volkswagen Passat,2001,Aygevan,Gasoline,250000,4350
Opel Astra hatchback,1999,Shengavit,Gasoline,305000,6000
UAZ (УАЗ) Hunter,2007,Vayk,Gasoline,90000,14000
Ford Escape,2017,Kentron,Gasoline,77000,6300
Nissan Versa hatchback,2006,Shengavit,Gasoline,229000,29300
Mercedes-Benz E-Class,2019,Abovian,Gasoline,189000,18500
Mercedes-Benz S-Class,2010,Nor Nork,Gasoline,122000,52000
Lexus GX460,2019,Arabkir,Gasoline,43000,44500
Toyota RAV4,2021,Arabkir,Gasoline,14000,57500
Lexus ES,2022,Arabkir,Gasoline,1500,5100
Nissan Pathfinder,2001,Jrvezh,Gasoline,180000,5400
Mercedes-Benz ML,2000,Nor Nork,Gasoline,170000,3000
Opel Vectra,1996,Artashat,Gasoline,350000,9000
Nissan Maxima,2009,Nor Nork,Gasoline,160000,12000
Ford Fusion (North America),2016,Ayntap,Gasoline,140000,15500
Toyota Corolla,2016,Arabkir,Gasoline,109000,12000
Lexus NX,2017,Arabkir,Gasoline,140000,53000
Ford F-150 pickup,2016,Arabkir,Gasoline,180000,30000
Mercedes-Benz C-Class,2017,Arabkir,Gasoline,95000,37000
Toyota 4Runner,2014,Kanaker-Zeytun,Gasoline,122000,12900
Honda CR-V,2010,Ajapnyak,Gasoline,135000,5100
Ford Transit,1997,Malatia-Sebastia,Diesel,250000,28500
BYD Song Plus,2024,Kanaker-Zeytun,Electric,10,110000
Toyota Alphard,2022,Arabkir,Gasoline,19000,23850
BYD Song Plus,2024,China,Electric,10,2000
Renault Clio hatchback,1999,Malatia-Sebastia,Gasoline,1000,26500
Honda Accord,2023,Ajapnyak,Gasoline,3300,3800
Opel Astra,1998,Nor Nork,Gasoline,380000,29000
Lexus IS,2020,Kentron,Gasoline,11700,22900
Hyundai Santa Fe,2019,Gai,Gasoline,62000,2000
VAZ (Lada) 21099,2001,Artashat,Gasoline,30000,10700
Nissan Sentra,2019,Armavir,Gasoline,60000,22000
Honda Accord,2020,Arabkir,Gasoline,55000,35000
BMW X5,2014,Malatia-Sebastia,Gasoline,167000,13100
Mercedes-Benz E-Class,2009,Gyumri,Gasoline,200000,29900
Toyota RAV4,2022,Kentron,Gasoline,1320,12100
Kia Optima,2018,Kentron,Gasoline,116000,11600
Kia Optima,2017,Kentron,Gasoline,62000,6500
Nissan Tiida,2006,Martuni,Gasoline,320000,4000
VAZ (Lada) 2107,2011,Artashat,Gasoline,117000,12500
Hyundai Elantra,2018,Malatia-Sebastia,Gasoline,126000,8500
Mazda 5,2009,Davtashen,Gasoline,147000,11800
Lexus RX,2004,Davtashen,Gasoline,177000,10500
Infiniti FX35,2005,Avan,Gasoline,152000,9700
Kia Forte coupe,2012,Kentron,Gasoline,145000,4500
UAZ (УАЗ) 31514,2005,Alaverdi,Gasoline,50000,6800
Mitsubishi Pajero IO,2005,Alaverdi,Gasoline,114000,15600
Dodge Ram pickup,2004,Nor Nork,Gasoline,189000,3500
BMW 3 Series,1993,Abovian,Gasoline,54900,21500
Mazda CX-5,2017,Nor Nork,Gasoline,61600,2000
Mercedes-Benz C-Class,1996,Hayanist,Gasoline,187000,2000
Opel Vectra,1998,Nor Nork,Gasoline,290000,12500
BMW X5,2007,Armavir,Gasoline,195000,10500
VAZ (Lada) 2121 Niva,2020,Ashtarak,Gasoline,34000,18000
Toyota Vellfire,2011,Aparan,Gasoline,150000,4500
Mercedes-Benz C-Class,1995,Gyumri,Gasoline,100000,5000
Mercedes-Benz C-Class,1998,Dilijan,Gasoline,315488,7500
Mercedes-Benz S-Class,2002,Erebuni,Gasoline,337000,59000
Audi Q7,2021,Kentron,Gasoline,30000,8200
Nissan Skyline,2007,Geghanist,Gasoline,270000,23900
Mazda CX-9,2016,Kentron,Gasoline,75500,15000
Kia Forte,2019,Kentron,Gasoline,45000,17500
Mazda 6,2017,Kentron,Gasoline,109000,22900
Toyota Camry,2018,Yeghvard,Gasoline,86000,9100
Toyota Camry,2008,Echmiadzin,Gasoline,150000,15800
Nissan Sentra,2020,Erebuni,Gasoline,40000,18800
Nissan Sentra,2020,Erebuni,Gasoline,50000,26700
Toyota Camry,2020,Armavir,Gasoline,50000,24000
Mercedes-Benz CLA-Class,2016,Gyumri,Gasoline,65000,33700
Toyota Camry,2020,Kanaker-Zeytun,Gasoline,24000,9000
VAZ (Lada) 2121 (4x4),2018,Davtashen,Gasoline,80000,18000
Mercedes-Benz GL-Class,2009,Vanadzor,Gasoline,157000,13300
Hyundai Elantra,2017,Davtashen,Gasoline,65000,7500
Opel Zafira,2004,Aparan,Gasoline,250000,10300
Hyundai Elantra,2014,Ajapnyak,Gasoline,113000,5400
GMC Envoy,2002,Erebuni,Gasoline,330000,15400
Ford Fusion (North America),2020,Davtashen,Gasoline,14000,17000
Kia Forte,2021,Erebuni,Gasoline,32900,50000
BMW X3 M,2019,USA,Gasoline,40700,11000
Peugeot J5,1992,Avan,Diesel,200000,29000
Mazda CX-30,2022,Malatia-Sebastia,Gasoline,16000,17000
Kia Forte,2019,Nor Nork,Gasoline,59000,8200
VAZ (Lada) 2121 Niva,2016,Shengavit,Gasoline,93000,25000
Honda HR-V,2023,Shengavit,Gasoline,3000,15600
Dodge Journey,2018,Ajapnyak,Gasoline,94000,17500
Dodge Journey,2020,Ajapnyak,Gasoline,70000,3800
Opel Astra hatchback,2000,Kentron,Gasoline,297000,3600
Nissan Tiida hatchback,2004,Masis,Gasoline,16000,9900
Nissan Juke,2011,Kentron,Gasoline,157000,16200
Ford Escape,2017,Davtashen,Gasoline,100000,9000
Toyota Corolla,2012,Vedi,Gasoline,106000,10400
Mazda 6,2013,Davtashen,Gasoline,320000,23700
Mercedes-Benz GLA-Class,2015,Nor Nork,Gasoline,130000,11700
Toyota Corolla,2012,Malatia-Sebastia,Gasoline,158000,5890
Mercedes-Benz C-Class,1999,Arabkir,Gasoline,211000,5500
Opel Zafira,2000,Nor Nork,Gasoline,313000,11500
Kia Optima,2015,Nork-Marash,Gasoline,80000,16550
Wuling Sunshine,2022,Shengavit,Gasoline,100,28500
Toyota Camry,2017,Kentron,Gasoline,126000,17500
Kia Optima,2017,Malatia-Sebastia,Hybrid,62000,13000
Hyundai Elantra,2017,Malatia-Sebastia,Gasoline,39000,22000
Mercedes-Benz S-Class,2010,Gyumri,Gasoline,170000,10000
Nissan X-Trail,2008,Arabkir,Gasoline,145000,90000
Porsche Cayenne,2019,Gyumri,Gasoline,70000,4000
GAZ (ГАЗ) 67,1943,Dilijan,Gasoline,186923,5500
Mercedes-Benz C-Class,1998,Malatia-Sebastia,Gasoline,350000,12800
Chevrolet Malibu,2017,Echmiadzin,Gasoline,130000,15000
Mitsubishi Pajero wagon,2008,Spitak,Gasoline,156000,6000
UAZ (УАЗ) Patriot,2007,Spitak,Gasoline,170000,4000
Moskvich (Москвич) 401,1955,Dilijan,Gasoline,194268,17000
Mercedes-Benz ML,2010,Ajapnyak,Gasoline,200000,8500
VAZ (Lada) 2101,1979,Kanaker-Zeytun,Gasoline,101000,5800
Opel Zafira,2000,Armavir,Gasoline,280000,17900
Mercedes-Benz GL-Class,2010,Gavar,Gasoline,120000,7000
Mercedes-Benz C-Class,2002,Charentsavan,Gasoline,202000,3800
Mercedes-Benz C-Class,1996,Armavir,Gasoline,351000,16500
Chevrolet Malibu,2016,Avan,Gasoline,135000,31000
Porsche Cayenne,2016,Arabkir,Gasoline,116000,3000
Volkswagen Golf hatchback,1997,Armavir,Gasoline,280000,7800
Hyundai Sonata,2011,Arabkir,Gasoline,128800,10500
Nissan Sentra,2017,Nor Nork,Gasoline,180000,4000
Opel Astra hatchback,2000,Echmiadzin,Gasoline,180000,10000
Infiniti FX35,2004,Vanadzor,Gasoline,210000,32999
Mercedes-Benz C-Class AMG coupe,2017,Kentron,Gasoline,95400,7500
Infiniti FX35,2007,Vanadzor,Gasoline,170000,10500
Toyota Corolla,2012,Erebuni,Gasoline,152000,5000
BMW 3 Series,1999,Marmarashen,Gasoline,308000,2000
VAZ (Lada) 21099,2002,Vanadzor,Gasoline,200000,13300
Dodge Journey,2017,Echmiadzin,Gasoline,156426,6000
Nissan Tiida hatchback,2008,Ajapnyak,Gasoline,130000,4500
Mitsubishi Pajero,1998,Aparan,Gasoline,1000000,3500
VAZ (Lada) 2110,2007,Artik,Gasoline,269000,13500
Mercedes-Benz Viano,2004,Nor Nork,Gasoline,240000,35000
BMW X5,2015,Nor Nork,Gasoline,170000,5000
Nissan Maxima,2006,Kentron,Gasoline,140000,28500
BMW 3 Series,2020,Arabkir,Gasoline,93000,18500
Ford Mustang coupe,2015,Arabkir,Gasoline,90000,7000
Mercedes-Benz S-Class,1999,Masis,Gasoline,150000,8800
Kia Forte,2011,Davtashen,Gasoline,143000,3800
Opel Astra wagon,1998,Getapnya,Gasoline,300000,11500
Chrysler 200,2016,Davtashen,Gasoline,160000,24500
Mercedes-Benz M-Class,2012,Malatia-Sebastia,Gasoline,217000,24000
Infiniti QX70,2017,Davtashen,Gasoline,73000,2000
Opel Astra hatchback,1992,Vanadzor,Gasoline,400000,9500
Mercedes-Benz E-Class,2007,Arabkir,Gasoline,305000,8000
BMW 7 Series,2002,Vanadzor,Gasoline,290000,11500
Kia Optima,2018,Gyumri,Gasoline,125000,15900
Jeep Compass,2017,Erebuni,Gasoline,72000,4200
Mercedes-Benz E-Class,1999,Martuni,Gasoline,350000,9000
Infiniti M35,2008,Martuni,Gasoline,120000,52000
Lexus GX,2016,Arabkir,Gasoline,55000,6500
Suzuki Swift hatchback,2005,Abovian,Gasoline,160000,6200
Nissan Pathfinder,2003,Vanadzor,Gasoline,200000,6500
VAZ (Lada) Granta,2012,Abovian,Gasoline,162000,3000
Mercedes-Benz 190,1990,Ajapnyak,Diesel,450000,23500
Mazda CX-5,2019,Kentron,Gasoline,34000,42000
Mercedes-Benz GLE-Class,2017,Malatia-Sebastia,Gasoline,56000,6500
Isuzu Axiom,2002,Masis,Gasoline,160000,13100
Toyota Camry,2012,Ajapnyak,Gasoline,140000,15000
Hyundai Elantra,2019,Erebuni,Gasoline,75000,13800
Nissan Rogue Sport,2018,Malatia-Sebastia,Gasoline,43260,18000
Kia Forte,2022,Kanaker-Zeytun,Gasoline,300,13300
Nissan Rogue Sport,2019,Malatia-Sebastia,Gasoline,48129,14200
Chevrolet Malibu,2018,Abovian,Gasoline,150000,11000
Mercedes-Benz M-Class,2006,Ajapnyak,Gasoline,165170,25000
Mercedes-Benz G-Class,1997,Malatia-Sebastia,Gasoline,250000,2800
Renault Laguna wagon,1998,Malatia-Sebastia,Gasoline,250000,14000
Ford Fusion (North America),2017,Ashtarak,Gasoline,106000,24300
Mazda CX-5,2019,Nor Nork,Gasoline,54000,42500
Porsche Macan,2018,Nor Nork,Gasoline,115000,3800
VAZ (Lada) 21099,2003,Mughni,Gasoline,150000,1200
Toyota 4Runner,2005,Malatia-Sebastia,Gasoline,230411,7400
Hyundai Santa Fe,2003,Gyumri,Gasoline,268000,3800
Opel Vectra,2000,Ghazanchi,Gasoline,230000,4500
VAZ (Lada) 2121 Niva,2003,Malatia-Sebastia,Gasoline,155221,3000
Opel Astra hatchback,1999,Ajapnyak,Gasoline,300000,7500
BMW 7 Series,2002,Kanaker-Zeytun,Gasoline,210000,11000
Toyota Camry,2009,Shengavit,Gasoline,299000,7200
Hyundai Elantra,2012,Shengavit,Gasoline,210000,9000
VAZ (Lada) 2131 Niva,2017,Vanadzor,Gasoline,70000,45500
BMW X6,2017,Arabkir,Gasoline,80000,60000
Lexus LS,2018,Ajapnyak,Gasoline,36000,2500
VAZ (Lada) 2108 hatchback,1991,Kentron,Gasoline,62000,11900
Mercedes-Benz GLK-Class,2009,Davtashen,Gasoline,210000,24000
Mercedes-Benz C-Class,2017,Arabkir,Gasoline,90000,3500
Land Rover Range Rover,1996,Koghb,Gasoline,215000,12000
Kia Soul EV hatchback,2017,Ajapnyak,Electric,33517,6650
Kia Forte,2011,Ajapnyak,Gasoline,179000,22000
Toyota Camry,2020,Ajapnyak,Gasoline,94000,31000
Toyota Camry,2021,Shengavit,Gasoline,13500,22000
Mercedes-Benz G-Class,2000,Kentron,Gasoline,430000,13800
Ford EcoSport,2018,Arabkir,Gasoline,90000,57800
Mercedes-Benz G-Class AMG,2009,Davtashen,Gasoline,146000,13500
Ford Transit,2008,Vardenis,Gasoline,407000,3800
Mercedes-Benz C-Class,1997,Gyumri,Gasoline,380000,3100
VAZ (Lada) 2110,2006,Armavir,Gasoline,250000,38000
Land Rover Range Rover Sport,2013,Ajapnyak,Gasoline,150000,8500
Mercedes-Benz E-Class,1998,Goris,Gasoline,13000,1100
Volkswagen Golf hatchback,1996,Zovuni,Gasoline,320000,23000
Toyota Corolla,2020,Erebuni,Gasoline,35000,3500
VAZ (Lada) Priora,2007,Parakar,Gasoline,175000,40500
Mazda CX-5,2021,Abovian,Gasoline,10200,21500
Toyota Alphard,2013,Metsamor,Gasoline,145000,21000
Toyota Vellfire,2012,Metsamor,Gasoline,180,30300
Kia Sportage,2021,Avan,Gasoline,14200,22500
Toyota Alphard,2012,Metsamor,Gasoline,85000,9700
Nissan Note hatchback,2020,Metsamor,Gasoline,14900,21500
Toyota Alphard,2010,Metsamor,Gasoline,135000,11000
Chevrolet Volt hatchback,2015,Kentron,Hybrid,198000,5900
Volkswagen Passat,2008,Kentron,Gasoline,197000,30500
Toyota Camry,2022,Kentron,Gasoline,1700,31000
Toyota Camry,2023,Kentron,Gasoline,10000,6600
Mercedes-Benz E-Class,1998,Arabkir,Gasoline,80000,12000
UAZ (УАЗ) Patriot,2012,Malatia-Sebastia,Gasoline,145000,16000
Ford Escape,2019,Artashat,Gasoline,14000,9000
UAZ (УАЗ) Patriot,2012,Malatia-Sebastia,Gasoline,117000,26000
Mazda CX-5,2019,Malatia-Sebastia,Gasoline,97000,14300
Kia Sportage,2019,Sevan,Gasoline,65000,24000
Chevrolet Blazer,2020,Nork-Marash,Gasoline,105000,8000
Nissan Elgrand,2002,Nor Kharberd,Gasoline,300000,6800
Toyota Camry,2006,Nork-Marash,Gasoline,252438,11000
Mercedes-Benz ML wagon,2005,Nork-Marash,Gasoline,173147,10800
Honda Elysion,2005,Nor Nork,Gasoline,215000,19500
Mazda 3,2021,Arabkir,Gasoline,7700,8400
Nissan Altima,2012,Ajapnyak,Gasoline,147873,110000
Cadillac Escalade,2019,Echmiadzin,Gasoline,80000,38000
Toyota Avalon,2021,Davtashen,Gasoline,47000,57000
Toyota Land Cruiser,2013,Arabkir,Gasoline,115000,6300
Mercedes-Benz C-Class,1997,Malatia-Sebastia,Gasoline,227000,28000
Toyota Camry,2021,Echmiadzin,Gasoline,19000,15700
Hyundai Sonata,2018,Kentron,Gasoline,89000,11300
Acura MDX,2010,Nor Nork,Gasoline,172300,4300
BMW 3 Series,1999,Echmiadzin,Gasoline,250000,35000
Lexus NX,2016,Kentron,Gasoline,76000,29000
Kia Telluride,2019,Echmiadzin,Gasoline,42700,16500
Hyundai Kona,2018,Kanaker-Zeytun,Gasoline,50000,20800
Toyota C-HR,2019,Echmiadzin,Gasoline,43000,38900
Lexus GX,2011,Masis,Gasoline,165000,26000
Hyundai Santa Fe,2019,Echmiadzin,Gasoline,49000,19500
Kia Sorento,2019,Arabkir,Gasoline,42000,14000
Mercedes-Benz M-Class,2007,Arabkir,Gasoline,183000,6800
Opel Astra hatchback,1998,Shengavit,Gasoline,220000,8000
Nissan Altima coupe,2013,Kentron,Gasoline,170000,9500
Mercedes-Benz C-Class,2010,Shengavit,Gasoline,207000,19500
Mazda CX-5,2018,Armavir,Gasoline,64000,29000
Jeep Grand Cherokee,2020,Nor Nork,Gasoline,82300,28500
Toyota bZ4X,2023,Shengavit,Electric,2300,2000
VAZ (Lada) 2115,2008,Shengavit,Gasoline,120000,48000
Mercedes-Benz GLS-Class,2016,Davtashen,Gasoline,100000,8900
Chevrolet Volt hatchback,2015,Nor Nork,Hybrid,104000,9000
Chevrolet Volt,2018,Nor Nork,Hybrid,130000,6500
Mercedes-Benz E-Class,2001,Masis,Gasoline,260000,4000
Opel Astra,2000,Artashat,Gasoline,220000,7000
BMW 3 Series,2006,Erebuni,Gasoline,300000,18500
Kia Optima,2019,Erebuni,Gasoline,36000,4000
Nissan Teana,2004,Kentron,Gasoline,218500,12000
Mercedes-Benz E-Class,2005,Echmiadzin,Gasoline,180000,23900
Honda e:NS1,2023,Arabkir,Electric,70,45000
BMW X6,2016,Nor Nork,Gasoline,120000,10100
Nissan Elgrand,2003,Shengavit,Gasoline,240000,70000
Cadillac Escalade,2018,Kentron,Gasoline,150000,17800
Chevrolet Equinox,2019,Masis,Gasoline,100000,5500
Opel Frontera,1992,Martuni,Gasoline,32000,36000
Lexus IS,2020,Nor Nork,Gasoline,23000,4700
Mercedes-Benz C-Class,1994,Artashat,Gasoline,400000,8000
Nissan Sunny,2015,Avan,Gasoline,226000,20500
BMW X6,2008,Gyumri,Gasoline,220000,10950
Volkswagen Passat,2012,Gyumri,Gasoline,225000,18200
Mercedes-Benz S-Class,2008,Ajapnyak,Gasoline,180000,21800
Toyota C-HR,2019,Kentron,Gasoline,19000,13800
Ford Fusion (North America),2017,Gavar,Gasoline,54000,4800
VAZ (Lada) Priora hatchback,2011,Ijevan,Gasoline,466551,7300
Nissan X-Trail,2006,Shengavit,Gasoline,210000,3500
Opel Vectra,1999,Gyumri,Gasoline,300000,16500
Nissan Sentra,2020,Ajapnyak,Gasoline,61437,2000
VAZ (Lada) 2121 Niva,1983,Kapan,Gasoline,223000,2000
UAZ (УАЗ) 469,1973,Ijevan,Gasoline,454128,9000
BMW X5,2004,Davtashen,Gasoline,320000,10800
Nissan Juke,2011,Ajapnyak,Gasoline,131150,14800
Mazda 6,2016,Malatia-Sebastia,Gasoline,110000,15000
Ford Transit,2002,Malatia-Sebastia,Gasoline,180000,5200
Honda Inspire,2003,Arabkir,Gasoline,198000,15700
Hyundai Kona,2019,Malatia-Sebastia,Gasoline,66000,14900
Mazda 6,2015,Arabkir,Gasoline,175000,9500
Mercedes-Benz C-Class,2010,Erebuni,Gasoline,240000,22000
GAZ (ГАЗ) M-20 Pobeda,1957,Malatia-Sebastia,Gasoline,90000,13500
Nissan Kicks,2020,Nor Nork,Gasoline,33000,1000
Volkswagen Passat CC,2011,Erebuni,Gasoline,156000,7000
Chevrolet Volt hatchback,2012,Ashtarak,Hybrid,160000,2000
Audi A8,1995,Stepanavan,Gasoline,210000,2000
Daewoo Nexia,2007,Nor Nork,Gasoline,1000,18500
Mercedes-Benz ML,2011,Kentron,Gasoline,220000,1000
VAZ (Lada) 2106,1983,Erebuni,Gasoline,123456,5000
Mercedes-Benz C-Class,1997,Shengavit,Gasoline,270000,38000
Lexus GX,2011,Erebuni,Gasoline,170000,18400
Mercedes-Benz S-Class,2006,Arabkir,Gasoline,280000,9700
Jeep Compass,2019,On the way,Gasoline,136372,5000
Hyundai Elantra,2008,Ajapnyak,Gasoline,20000,5800
Honda Inspire,2003,Arabkir,Gasoline,250000,16400
Mercedes-Benz GL-Class,2007,Arabkir,Gasoline,280000,5800
Nissan X-Trail,2000,Arabkir,Gasoline,230000,2300
Ford Focus,2000,Abovian,Gasoline,320000,22000
Hyundai Sonata,2021,Arabkir,Gasoline,35000,11500
Mercedes-Benz 500,1998,Erebuni,Gasoline,200000,8000
Chevrolet Volt hatchback,2012,Nor Nork,Hybrid,140000,10800
Mercedes-Benz S-Class,2006,Musaler,Gasoline,160000,14500
Subaru Impreza,2017,Nor Nork,Gasoline,114730,31000
Toyota RAV4,2021,Argavand,Gasoline,14000,4200
Mercedes-Benz C-Class,1994,Nor Nork,Gasoline,315000,7100
Nissan Murano,2006,Nor Nork,Gasoline,90000,16500
Lexus SC convertible,2001,Avan,Gasoline,86000,13500
Toyota Alphard,2004,Ijevan,Gasoline,182000,13000
Hyundai Elantra,2017,Nor Nork,Gasoline,50350,4600
Opel Astra hatchback,2003,Echmiadzin,Gasoline,280000,7500
Nissan Fuga,2008,Shengavit,Gasoline,228000,7800
Mercedes-Benz E-Class,2000,Arabkir,Gasoline,180000,18800
Hyundai Elantra,2021,Kentron,Gasoline,28585,33000
Hyundai Tucson,2023,Kentron,Gasoline,920,38000
BMW 5 Series,2018,Erebuni,Gasoline,69000,25000
BMW 4 Series,2018,Erebuni,Gasoline,29000,37000
BMW 3 Series,2021,Erebuni,Gasoline,17500,9800
Hyundai Sonata,2013,Kentron,Gasoline,183672,25000
BMW X1,2018,Erebuni,Gasoline,65000,16700
Kia Forte,2020,Ajapnyak,Gasoline,43000,37000
BMW 2 Series,2021,Erebuni,Gasoline,27900,7300
Nissan Altima,2010,Kanaker-Zeytun,Gasoline,161000,21900
Mazda 6,2018,Erebuni,Gasoline,28000,200
ZAZ (ЗАЗ) 965,1970,Artashat,Gasoline,100000,12500
BMW 5 Series,2008,Kentron,Gasoline,125000,11000
Mazda 6,2013,Nor Nork,Gasoline,128000,44000
Peugeot Expert,2023,Arabkir,Diesel,35,4500
Opel Astra,1999,Oshakan,Gasoline,230000,27300
Toyota Camry,2022,Echmiadzin,Gasoline,38000,43500
Dodge Challenger coupe,2018,Kentron,Gasoline,25000,16300
Hyundai Elantra,2018,Nor Nork,Gasoline,47500,6500
Ford Transit,2000,Malatia-Sebastia,Gasoline,250000,23500
Lexus ES,2013,Abovian,Gasoline,130000,7000
Ford Transit,1995,Malatia-Sebastia,Diesel,250000,32800
Tesla Model Y,2021,Arabkir,Electric,25600,17500
Ford Fusion (North America),2017,Shengavit,Gasoline,85000,3500
Opel Astra hatchback,1999,Echmiadzin,Gasoline,123456,19000
Ford Fusion (North America),2020,Armavir,Gasoline,34377,10300
Nissan Sentra,2017,Griboyedov,Gasoline,12345,13300
Kia Forte,2018,Gyumri,Gasoline,59000,13500
Hyundai Elantra,2017,Gyumri,Gasoline,56000,4000
UAZ (УАЗ) Hunter,2004,Martuni,Gasoline,150000,10500
Ford Focus hatchback,2018,Kentron,Gasoline,100000,14200
Hyundai Elantra,2017,Arabkir,Gasoline,83600,8500
Volkswagen Jetta,2011,Erebuni,Gasoline,215000,14700
Toyota Camry,2016,Nor Nork,Gasoline,246000,10000
Nissan Xterra,2005,Kentron,Gasoline,140000,4150
Opel Astra hatchback,2003,Malatia-Sebastia,Gasoline,230000,22000
Land Rover Range Rover Sport,2013,Erebuni,Gasoline,170000,5800
Ford Escape,2005,Nork-Marash,Gasoline,227000,18000
Mazda 3,2019,Davtashen,Gasoline,50000,20000
Lexus GX,2004,Malatia-Sebastia,Gasoline,300000,6000
Nissan Teana,2006,Ajapnyak,Gasoline,25000,7200
Mitsubishi Outlander,2006,Ararat,Gasoline,150000,1500
VAZ (Lada) 21099,2001,Erebuni,Gasoline,400000,4000
Volkswagen Passat,2000,Sarchapet,Gasoline,178000,22500
Mercedes-Benz G-Class,1999,Kentron,Gasoline,176000,5500
Mercedes-Benz C-Class,2001,Artashat,Gasoline,208000,8400
Mercedes-Benz E-Class,2006,Shengavit,Gasoline,186005,30000
Acura MDX,2018,Vanadzor,Gasoline,47000,9000
Kia Forte,2012,Masis,Gasoline,154000,9900
Toyota RAV4,2007,Armavir,Gasoline,209232,30500
Subaru WRX,2022,Vanadzor,Gasoline,4000,23200
Mercedes-Benz S-Class,2010,Davtashen,Gasoline,177000,5000
Mercedes-Benz CLK-Class coupe,1997,Sevan,Gasoline,331000,11000
Mercedes-Benz ML,2007,Artashat,Gasoline,250000,5000
Opel Frontera,1995,Abovian,Gasoline,150000,6500
Nissan X-Trail,2001,Malatia-Sebastia,Gasoline,270000,14900
Mazda 6,2018,Arabkir,Gasoline,47000,4700
Toyota Corolla,2000,Gyumri,Gasoline,132000,13500
Hyundai Elantra,2018,Masis,Gasoline,44000,8900
Hyundai Sonata,2013,Hrazdan,Gasoline,74000,4200
Opel Astra,1998,Hrazdan,Gasoline,270000,6500
Mercedes-Benz E-Class,1999,Ashotsk,Gasoline,290000,33000
Toyota RAV4,2020,Stepanavan,Gasoline,68323,4500
Mercedes-Benz C-Class,1994,Stepanavan,Gasoline,374000,14000
Hyundai Sonata,2014,Charentsavan,Hybrid,140000,7500
Mercedes-Benz Vito,1999,Gyumri,Gasoline,430000,3200
Mercedes-Benz C-Class,1996,Noyemberyan,Gasoline,400000,2600
Opel Vectra wagon,1998,Erebuni,Gasoline,250000,1900
GAZ (ГАЗ) 3110 Volga,2003,Zolakar,Gasoline,182000,14000
Hyundai Elantra,2019,Nor Nork,Gasoline,40000,3300
Nissan Versa hatchback,2010,Echmiadzin,Gasoline,1000,1500
Volkswagen Vento,1997,Vardenis,Gasoline,200000,3000
Opel Astra,1999,Vanadzor,Gasoline,402500,12000
Infiniti EX35,2010,Malatia-Sebastia,Gasoline,180000,13000
Hyundai Sonata,2016,Jermuk,Gasoline,81000,6800
Nissan X-Trail,2006,Jermuk,Gasoline,222000,20000
Hyundai Sonata,2020,Malatia-Sebastia,Gasoline,54000,3000
BMW 5 Series,1990,Ararat,Gasoline,200000,23000
Dodge Challenger coupe,2019,Malatia-Sebastia,Gasoline,65000,3900
BMW 5 Series,1991,Vardenis,Gasoline,344594,22000
Mazda 6,2019,Malatia-Sebastia,Gasoline,120000,1000
VAZ (Lada) 2113 hatchback,2006,Echmiadzin,Gasoline,243838,33000
Mazda CX-9,2020,Malatia-Sebastia,Gasoline,40000,57000
Toyota Land Cruiser Prado,2018,Gyumri,Diesel,86000,4500
Opel Astra wagon,1998,Nor Nork,Gasoline,270000,15500
Toyota Camry,2015,Echmiadzin,Gasoline,185000,3000
BMW 3 Series,1997,Ararat,Gasoline,360000,12100
