drug_name,medical_condition,side_effects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xopenex Concentrate,Asthma,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Xopenex Concentrate may cause serious side effects. Call your doctor at once if you have: wheezing, choking, or other breathing problems after using Xopenex Concentrate; pounding heartbeats or fluttering in your chest; worsening asthma symptoms; or low potassium --leg cramps, constipation , irregular heartbeats, fluttering in your chest, extreme thirst, increased urination, numbness or tingling, muscle weakness or limp feeling. Common side effects of Xopenex Concentrate may include: dizziness , nervousness , tremors; runny nose , sore throat ; chest pain or tightness, irregular heartbeats; pain; or vomiting .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Difil-G Forte,Asthma,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Difil-G Forte may cause serious side effects. Call your doctor at once if you have: pounding heartbeats or fluttering in your chest; rapid breathing, feeling short of breath; seizure (convulsions); or coughing up blood or vomit that looks like coffee grounds. Common side effects of Difil-G Forte may include: nausea , vomiting, stomach pain, diarrhea ; headache ; feeling restless or irritable; sleep problems ( insomnia ); or flushing (warmth, redness, or tingly feeling).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamictal,Bipolar Disorder,"mood or behavior changes, depression, anxiety , or if you feel agitated, hostile, restless, hyperactive (mentally or physically), or have thoughts about suicide or hurting yourself. Call your doctor at once if you have: fast, slow, or pounding heartbeats or fluttering in your chest; chest pain, shortness of breath; fever, swollen glands, weakness, severe muscle pain; any skin rash, especially with blistering or peeling; painful sores in your mouth or around your eyes; headache, neck stiffness, increased sensitivity to light, nausea , vomiting, confusion, drowsiness; jaundice (yellowing of the skin or eyes); or pale skin, cold hands and feet, easy bruising, unusual bleeding. Common Lamictal side effects may include: headache, dizziness ; blurred vision, double vision; tremor, loss of coordination; dry mouth, nausea, vomiting, stomach pain, diarrhea ; fever, sore throat, runny nose ; drowsiness, tired feeling; back pain ; or sleep problems ( insomnia ).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latuda,Bipolar Disorder,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Report any new or worsening symptoms to your doctor, such as: mood or behavior changes, anxiety , panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), more depressed, or have thoughts about suicide or hurting yourself. High doses or long-term use of Latuda can cause a serious movement disorder that may not be reversible. Symptoms of this disorder include uncontrollable muscle movements of your lips, tongue, eyes, face, arms, or legs. The longer you use lurasidone, the more likely you are to develop this disorder, especially if you are a woman or an older adult. Call your doctor at once if you have: any new or unusual muscle movements you cannot control; a light-headed feeling, like you might pass out; a seizure (convulsions); (in women) irregular menstrual periods, breast or vaginal changes, nipple discharge ; (in men) breast swelling, impotence ; trouble swallowing; manic episodes - racing thoughts, increased energy, decreased need for sleep, risk-taking behavior, being agitated or talkative; low white blood cell counts - fever, chills, mouth sores, skin sores, sore throat, cough, trouble breathing; high blood sugar - increased thirst, increased urination, hunger, dry mouth, fruity breath odor; or severe nervous system reaction - very stiff (rigid) muscles, high fever, sweating, confusion, fast or uneven heartbeats, tremors, feeling like you might pass out. Common Latuda side effects may include: drowsiness; weight gain ; tremors, muscle stiffness, slow muscle movement; feeling restless or being unable to sit still; nausea, vomiting ; runny nose ; or sleep problems ( insomnia ).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seroquel,Bipolar Disorder,"hives; difficulty breathing; swelling of your face, lips, tongue, or throat. Report any new or worsening symptoms to your doctor, such as: mood or behavior changes, anxiety, panic attacks, trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), more depressed, or have thoughts about suicide or hurting yourself. Call your doctor at once if you have: uncontrolled muscle movements in your face (chewing, lip smacking, frowning, tongue movement, blinking or eye movement); mask-like appearance of the face, trouble swallowing, problems with speech; a light-headed feeling, like you might pass out; blurred vision, tunnel vision, eye pain, or seeing halos around lights; severe nervous system reaction - very stiff (rigid) muscles, high fever, sweating, confusion, fast or uneven heartbeats, tremors, fainting; high blood sugar - increased thirst, increased urination, hunger, dry mouth, fruity breath odor, drowsiness, dry skin, blurred vision, weight loss; or low blood cell counts - sudden weakness or ill feeling, fever, chills, cold or flu symptoms, cough, sore throat, red or swollen gums, painful mouth sores, skin sores, trouble breathing. Common Seroquel side effects may include: speech problems; dizziness, drowsiness, tiredness; lack of energy; fast heartbeats; stuffy nose; increased appetite, weight gain; upset stomach, vomiting, constipation; dry mouth; or problems moving.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abilify,Bipolar Disorder,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Tell your doctor right away if you have new or sudden changes in mood or behavior, including new or worse depression or anxiety , panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, more active or talkative, or have thoughts about suicide or hurting yourself. Call your doctor at once if you have: severe agitation , distress, or restless feeling; twitching or uncontrollable movements of your eyes, lips, tongue, face, arms, or legs; mask-like appearance of the face, trouble swallowing, problems with speech; seizure (convulsions); severe nervous system reaction - very stiff (rigid) muscles, high fever, sweating, confusion, fast or uneven heartbeats, tremors, feeling like you might pass out; low blood cell counts - fever, chills, sore throat , weakness, easy bruising, unusual bleeding, purple or red spots under your skin; or high blood sugar - increased thirst, increased urination, dry mouth, fruity breath odor. You may have increased sexual urges, unusual urges to gamble, or other intense urges while taking this medicine. Talk with your doctor if this occurs. Common Abilify side effects may include: blurred vision; increased saliva or drooling ; muscle stiffness; uncontrolled muscle movements, shaking, anxiety, feeling restless; weight gain; nausea , vomiting, constipation ; increased or decreased appetite; headache , dizziness, drowsiness, feeling tired; sleep problems ( insomnia ); or cold symptoms such as stuffy nose, sneezing, sore throat;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
topiramate,Bipolar Disorder,"mood or behavior changes, anxiety , panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), depressed, or have thoughts about suicide or hurting yourself. Topiramate may cause serious side effects. Call your doctor at once if you have: a skin rash, no matter how mild; vision problems, blurred vision, eye pain or redness, sudden vision loss (can be permanent if not treated quickly); confusion, problems with thinking or memory, trouble concentrating, problems with speech; dehydration symptoms--decreased sweating, high fever, hot and dry skin ; signs of a kidney stone--severe pain in your side or lower back, painful or difficult urination; signs of too much acid in your blood--irregular heartbeats, feeling tired, loss of appetite, trouble thinking, feeling short of breath; or signs of too much ammonia in your blood-- vomiting , unexplained weakness, feeling like you might pass out. Common side effects of topiramate may include: dizziness , drowsiness, tiredness, slow reactions; problems with speech or memory, abnormal vision; numbness or tingling in your arms and legs, decreased sensation (especially in the skin); changes in your sense of taste, feeling nervous; nausea , diarrhea, stomach pain, loss of appetite; fever, weight loss ; or cold symptoms such as stuffy nose, sneezing, sore throat.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vraylar,Bipolar Disorder,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: sudden numbness or weakness (especially on one side of the body); problems with vision or speech, a light-headed feeling, like you might pass out; severe distress or agitation ; a seizure; uncontrolled muscle movements in your face (chewing, lip smacking, frowning, tongue movement, blinking or eye movement); trouble swallowing, or accidentally inhaling food or drink; low white blood cell counts - fever, chills, sore throat , mouth sores, skin sores, sore throat, cough, trouble breathing, feeling light-headed; high blood sugar - increased thirst, increased urination, dry mouth, fruity breath odor; or severe nervous system reaction - very stiff (rigid) muscles, high fever, sweating, confusion, fast or uneven heartbeats, tremors, feeling like you might pass out. Vraylar can have long lasting effects on your body. Some side effects could occur for several weeks after you stop using this medicine. You may also have new side effects whenever your dose is changed. Common Vraylar side effects may include: involuntary muscle movements; upset stomach , vomiting ; drowsiness; or feeling restless.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lithium,Bipolar Disorder,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Too much lithium in your body can cause death. Lithium toxicity can occur if you take only slightly more than a recommended dose. Stop using this medicine and call your doctor right away if you have symptoms of lithium toxicity: muscle weakness, twitching, drowsiness, feeling light-headed, mood changes, blurred vision, ringing in your ears, irregular heartbeats, confusion, slurred speech, clumsiness, trouble breathing, or seizures. Call your doctor at once if you have: a light-headed feeling, like you might pass out; shortness of breath; fever, increased thirst or urination; weakness, dizziness or spinning sensation; memory problems, hallucinations; problems with balance or muscle movement; loss of bowel or bladder control; a seizure (blackout or convulsions); low sodium level - headache, confusion, slurred speech, severe weakness, vomiting, loss of coordination, feeling unsteady; thyroid problems - weight gain or loss, muscle pain, tremors, feeling hot or cold, changes in your skin or hair, sweating, feeling weak or tired, fast or pounding heartbeats, increased bowel movements, feeling anxious or agitated; dehydration symptoms - feeling very thirsty or hot, being unable to urinate, heavy sweating, or hot and dry skin ; or increased pressure inside the skull -severe headaches, ringing in your ears, dizziness, nausea , vision problems, pain behind your eyes. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation , hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea, vomiting, or diarrhea. Common lithium side effects may include: dizziness, drowsiness; tremors in your hands; trouble walking; dry mouth, increased thirst or urination; nausea, vomiting, loss of appetite; rash; or blurred vision.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lurasidone,Bipolar Disorder,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Report any new or worsening symptoms to your doctor, such as: mood or behavior changes, anxiety , panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), more depressed, or have thoughts about suicide or hurting yourself. High doses or long-term use of lurasidone can cause a serious movement disorder that may not be reversible. The longer you use lurasidone, the more likely you are to develop this disorder, especially if you are a woman or an older adult. Lurasidone may cause serious side effects. Call your doctor at once if you have: any new or unusual muscle movements you cannot control; a light-headed feeling, like you might pass out; a seizure (convulsions); (in women) irregular menstrual periods, breast or vaginal changes, nipple discharge; (in men) breast swelling, impotence ; trouble swallowing; manic episodes--racing thoughts, increased energy, decreased need for sleep, risk-taking behavior, being agitated or talkative; low white blood cell counts--fever, chills, mouth sores, skin sores, sore throat , cough, trouble breathing; high blood sugar--increased thirst, increased urination, hunger, dry mouth, fruity breath odor; or severe nervous system reaction--very stiff (rigid) muscles, high fever, sweating, confusion, fast or uneven heartbeats, tremors, feeling like you might pass out. Common side effects of lurasidone may include: drowsiness; weight gain; tremors, muscle stiffness, slow muscle movement; feeling restless or being unable to sit still; nausea , vomiting ; runny nose ; or sleep problems ( insomnia ).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abilify Maintena,Bipolar Disorder,"Abilify Maintena may cause serious side effects, including: See ""Important information"" above. Stroke (cerebrovascular problems) in elderly people with dementia-related psychosis that can lead to death. Neuroleptic malignant syndrome (NMS), a serious condition that can lead to death. Call your healthcare provider or go to the nearest emergency room right away if you have some or all of the following symptoms of NMS: high fever confusion changes in pulse, heart rate, and blood pressure stiff muscles sweating Uncontrolled body movements (tardive dyskinesia). This medication may cause movements that you cannot control in your face, tongue, or other body parts. Tardive dyskinesia may not go away, even if you stop receiving Abilify Maintena. Tardive dyskinesia may also start after you stop receiving this medication. Problems with your metabolism such as: high blood sugar (hyperglycemia): Increases in blood sugar can happen in some people who receive this medication. Extremely high blood sugar can lead to coma or death. If you have diabetes or risk factors for diabetes (such as being overweight or a family history of diabetes), your healthcare provider should check your blood sugar before you start receiving this medication and during your treatment. Call your healthcare provider if you have any of these symptoms of high blood sugar while receiving Abilify Maintena: feel very thirsty need to urinate more than usual feel very hungry feel weak or tired feel sick to your stomach feel confused, or your breath smells fruity Increased fat levels (cholesterol and triglycerides) in your blood. Weight gain. You and your healthcare provider should check your weight regularly. Unusual urges. Some people receiving this medication have had unusual urges such as gambling, binge eating or eating that you cannot control (compulsive), compulsive shopping and sexual urges. If you or your family members notice that you are having unusual urges or behaviors, talk to your healthcare provider. Decreased blood pressure (orthostatic hypotension). You may feel lightheaded or faint when you rise too quickly from a sitting or lying position. Low white blood cell count Seizures (convulsions) Problems controlling your body temperature so that you feel too warm. See ""What should I avoid while receiving Abilify Maintena?"" Difficulty swallowing The most common side effects of Abilify Maintena include: weight gain inner sense of restlessness such as feeling like you need to move (akathisia) injection site pain sleepiness (sedation) These are not all the possible side effects. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088. Abilify Maintena side effects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cariprazine,Bipolar Disorder,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Cariprazine may cause serious side effects. Call your doctor at once if you have: sudden numbness or weakness (especially on one side of the body); problems with vision or speech, a light-headed feeling, like you might pass out; severe distress or agitation ; a seizure; uncontrolled muscle movements in your face (chewing, lip smacking, frowning, tongue movement, blinking or eye movement); trouble swallowing, or accidentally inhaling food or drink; low white blood cell counts--fever, chills, sore throat , mouth sores, skin sores, sore throat, cough, trouble breathing, feeling light-headed; high blood sugar--increased thirst, increased urination, dry mouth, fruity breath odor; or severe nervous system reaction--very stiff (rigid) muscles, high fever, sweating, confusion, fast or uneven heartbeats, tremors, feeling like you might pass out. Cariprazine can have long lasting effects on your body. Some side effects could occur for several weeks after you stop using this medicine. You may also have new side effects whenever your dose is changed. Common side effects of cariprazine may include: involuntary muscle movements; upset stomach , vomiting ; drowsiness; or feeling restless.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caplyta,Bipolar Disorder,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. People with depression or mental illness may have thoughts about suicide. Some young people may have increased suicidal thoughts when first starting a medicine to treat depression. Stay alert to changes in your mood or symptoms. Your family or caregivers should also watch for sudden changes in your behavior. High doses or long-term use of lumateperone can cause a serious movement disorder that may not be reversible. The longer you use Caplyta, the more likely you are to develop this disorder, especially if you are a woman or an older adult. Call your doctor at once if you have: feeling unsteady, feeling like you might pass out; uncontrolled muscle movements in your face (chewing, lip smacking, frowning, tongue movement, blinking or eye movement); tightness in your neck or throat, trouble swallowing; trouble breathing or speaking; a seizure; high blood sugar - increased thirst, increased urination, dry mouth, fruity breath odor; low white blood cell counts - fever, chills, mouth sores, skin sores, sore throat , cough, trouble breathing; or severe nervous system reaction - very stiff (rigid) muscles, high fever, sweating, confusion, fast or uneven heartbeats, tremors, feeling like you might pass out. Common Caplyta side effects may include: weight gain; nausea; dizziness; drowsiness; or dry mouth.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lumateperone,Bipolar Disorder,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. People with depression or mental illness may have thoughts about suicide. Some young people may have increased suicidal thoughts when first starting a medicine to treat depression. Stay alert to changes in your mood or symptoms. Your family or caregivers should also watch for sudden changes in your behavior. High doses or long-term use of lumateperone can cause a serious movement disorder that may not be reversible. The longer you use lumateperone, the more likely you are to develop this disorder, especially if you are a woman or an older adult. Lumateperone may cause serious side effects. Call your doctor at once if you have: feeling unsteady, feeling like you might pass out; uncontrolled muscle movements in your face (chewing, lip smacking, frowning, tongue movement, blinking or eye movement); tightness in your neck or throat, trouble swallowing; trouble breathing or speaking; a seizure; high blood sugar--increased thirst, increased urination, dry mouth, fruity breath odor; low white blood cell counts--fever, chills, mouth sores, skin sores, sore throat , cough, trouble breathing; or severe nervous system reaction--very stiff (rigid) muscles, high fever, sweating, confusion, fast or uneven heartbeats, tremors, feeling like you might pass out. Common side effects of lumateperone may include: weight gain; nausea ; dizziness; drowsiness; or dry mouth.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lybalvi,Bipolar Disorder,"Lybalvi may cause serious side effects, including: See Important information Stroke (cerebrovascular problems) in elderly people with dementia-related psychosis that can lead to death. Opioid withdrawal. Do not take Lybalvi for at least 7 days after you stopped taking short-acting opioids and for at least 14 days after you stopped taking long-acting opioids. One of the medicines in Lybalvi (samidorphan) can cause opioid withdrawal that may be severe and cause hospitalization in people who are physically dependent on opioids. Talk to your healthcare provider if you have questions about the type of opioid you take. Risk of life-threatening opioid overdose. You should not start taking opioids for at least 5 days after you stop treatment with Lybalvi. One of the medicines in Lybalvi (samidorphan) can increase your chance of having an opioid overdose that can cause death if you take opioids during treatment or within 5 days after stopping treatment with Lybalvi. You can accidentally overdose in 2 ways: Lybalvi blocks the effects of opioids, such as heroin, methadone, or opioid pain medicines. Do not take large amounts of opioids to try to overcome the opioid-blocking effects of Lybalvi. This can lead to serious injury, coma, or death. After you take Lybalvi, its blocking effect slowly decreases and completely goes away over time. You may be more sensitive to the effects of opioids. If you have used opioid street drugs or opioid-containing medicines in the past, using opioids in amounts that you used before treatment with Lybalvi can lead to overdose or death. It is important that you tell your family and the people closest to you of this increased sensitivity to opioids and the risk of overdose. You or someone close to you should get emergency medical help right away if you: have trouble breathing become very drowsy with slowed breathing have slow, shallow breathing (little chest movement with breathing) feel faint, very dizzy, confused, or have unusual symptoms Tell your healthcare provider if you are taking Lybalvi before a medical procedure or surgery. Neuroleptic malignant syndrome (NMS), a serious condition that can lead to death. Call your healthcare provider or go to the nearest hospital emergency room right away if you have some or all of the following signs and symptoms of NMS: high fever stiff muscles confusion sweating changes in your breathing, pulse, heart rate, and blood pressure Drug Reaction with Eosinophilia and Systemic Symptoms (DRESS): One of the medicines in Lybalvi (olanzapine) can cause DRESS which can cause death. Tell your healthcare provider right away if you develop any of the following symptoms of DRESS, including: rash swollen glands liver problems heart problems fever kidney problems lung problems Problems with your metabolism such as: high blood sugar (hyperglycemia) and diabetes. Increases in blood sugar can happen in some people who take Lybalvi. Extremely high blood sugar can lead to coma or death. Your healthcare provider should check your blood sugar before you start and regularly during treatment. Call your healthcare provider if you have any of these symptoms of high blood sugar during treatment: feel very thirsty feel very hungry feel sick to your stomach need to urinate more than usual feel weak or tired feel confused, or your breath smells fruity increased fat levels (cholesterol and triglycerides) in your blood . Your healthcare provider should check the fat levels in your blood before you start and regularly during treatment. weight gain. You and your healthcare provider should check your weight before you start and often during treatment. Uncontrolled body movements (tardive dyskinesia). Lybalvi may cause movements that you cannot control in your face, tongue, or other body parts. Tardive dyskinesia may not go away, even if you stop taking Lybalvi. Tardive dyskinesia may also start after you stop taking Lybalvi. Decreased blood pressure (orthostatic hypotension) and fainting. You may feel lightheaded or faint when you rise too quickly from a sitting or lying position. Falls. Lybalvi may make you sleepy or dizzy, may cause a decrease in your blood pressure when changing position (orthostatic hypotension), and can slow your thinking and motor skills which may lead to falls that can cause fractures or other injuries. Low white blood cell count. Your healthcare provider may do blood tests during the first few months of treatment. Difficulty swallowing that can cause food or liquid to get into your lungs. Seizures (convulsions). Problems controlling your body temperature so that you feel too warm. See What should I avoid while taking Lybalvi? Increased prolactin levels in your blood. Your healthcare provider may do blood tests to check your prolactin levels during treatment. The most common side effects when used to treat people with schizophrenia include: weight gain dry mouth sleepiness headache The most common side effects when used alone to treat people with mixed or manic episodes that happen with bipolar I disorder include: weakness constipation sleepiness shaking dry mouth increased appetite dizziness The most common side effects when used in combination with lithium or valproate to treat people with mixed or manic episodes that happen with bipolar I disorder include: dry mouth increased appetite back pain problems speaking memory problems weight gain dizziness constipation mouth watering numbness and tingling in your arm and legs These are not all the possible side effects. Call your healthcare provider for medical advice about side effects. You may report side effects to FDA at 1-800-FDA1088. Lybalvi side effects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quetiapine,Bipolar Disorder,"Serious serious side effects of quetiapine include: See “Important information” above stroke that can lead to death can happen in elderly people with dementia who take medicines like this neuroleptic malignant syndrome (NMS). NMS is a rare but very serious condition that can happen in people who take antipsychotic medicines, including quetiapine. NMS can cause death and must be treated in a hospital. Call your healthcare provider right away if you become severely ill and have some or all of these symptoms: high fever excessive sweating rigid muscles confusion changes in your breathing, heartbeat, and blood pressure falls can happen in some people who take this medication. These falls may cause serious injuries. high blood sugar (hyperglycemia). High blood sugar can happen if you have diabetes already or if you have never had diabetes. High blood sugar could lead to: build-up of acid in your blood due to ketones (ketoacidosis) coma death Increases in blood sugar can happen in some people who take quetiapine. Extremely high blood sugar can lead to coma or death. If you have diabetes or risk factors for diabetes (such as being overweight or a family history of diabetes) your healthcare provider should check your blood sugar before you start this medication and during therapy. Call your healthcare provider if you have any of these symptoms of high blood sugar (hyperglycemia): feel very thirsty need to urinate more than usual feel very hungry feel weak or tired feel sick to your stomach feel confused, or your breath smells fruity high fat levels in your blood (increased cholesterol and triglycerides). High fat levels may happen in people treated with this medication. You may not have any symptoms, so your healthcare provider may decide to check your cholesterol and triglycerides during your treatment. increase in weight (weight gain). Weight gain is common in people who take quetiapine so you and your healthcare provider should check your weight regularly. Talk to your healthcare provider about ways to control weight gain, such as eating a healthy, balanced diet, and exercising. movements you cannot control in your face, tongue, or other body parts (tardive dyskinesia). These may be signs of a serious condition. Tardive dyskinesia may not go away, even if you stop taking quetiapine. Tardive dyskinesia may also start after you stop taking this medication. decreased blood pressure (orthostatic hypotension), including lightheadedness or fainting caused by a sudden change in heart rate and blood pressure when rising too quickly from a sitting or lying position. increases in blood pressure in children and teenagers. Your healthcare provider should check blood pressure in children and adolescents before starting this medication and during therapy. low white blood cell count. Tell your healthcare provider as soon as possible if you have a fever, flu-like symptoms, or any other infection, as this could be a result of a very low white blood cell count. Your healthcare provider may check your white blood cell level to determine if further treatment or other action is needed. cataracts seizures abnormal thyroid tests. Your healthcare provider may do blood tests to check your thyroid hormone level. increases in prolactin levels sleepiness, drowsiness, feeling tired, difficulty thinking and doing normal activities increased body temperature difficulty swallowing trouble sleeping or trouble staying asleep (insomnia), nausea, or vomiting if you suddenly stop taking quetiapine. These symptoms usually get better 1 week after you start having them. The most common side effects of quetiapine tablets in adults include: drowsiness sudden drop in blood pressure upon standing weight gain sluggishness abnormal liver tests upset stomach dry mouth dizziness weakness abdominal pain constipation sore throat The most common side effects of quetiapine tablets in children and adolescents include: drowsiness dizziness fatigue nausea dry mouth weight gain increased appetite vomiting rapid heart beat The most common side effects of quetiapine extended-release (XR) tablets include: dry mouth constipation dizziness increased appetite upset stomach fatigue stuffy nose difficulty moving disturbance in speech or language The most common side effects of quetiapine extended-release (XR) tablets in children and adolescents include: drowsiness dizziness fatigue stuffy nose increased appetite upset stomach vomiting dry mouth tachycardia weight increased These are not all the possible side effects. For more information, ask your healthcare provider or pharmacist. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088. Quetiapine side effects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depakote,Bipolar Disorder,"skin rash, fever, swollen glands, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. Call your doctor at once if the person taking this medicine has signs of liver or pancreas problems, such as: loss of appetite, upper stomach pain (that may spread to your back), ongoing nausea or vomiting, dark urine, swelling in the face, or jaundice (yellowing of the skin or eyes). Report any new or worsening symptoms to your doctor, such as: mood or behavior changes, depression, anxiety , panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), or have thoughts about suicide or hurting yourself. Call your doctor at once if you have any of these other side effects: easy bruising, unusual bleeding (nose, mouth, or gums), purple or red pinpoint spots under your skin; fever, swollen glands, mouth sores; confusion, tiredness, cold feeling, vomiting, change in your mental state; severe drowsiness; or worsening seizures. Common Depakote side effects may include: nausea, vomiting, stomach pain, diarrhea , constipation ; headache , back pain ; dizziness , drowsiness, weakness, tremors; memory problems, mood changes, trouble sleeping; bruising or bleeding; runny nose , sore throat, cough, wheezing, trouble breathing; fever, flu symptoms; problems with walking or coordination; swelling in your hands or feet; blurred vision, double vision, unusual eye movements; ringing in your ears; rash, hair loss ; or changes in weight or appetite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
