,CompanyName,Rating,Reviews,Salaries,Jobs,Location,Industry,Description
107,Bosch,4.2,2.6T,622,5.5T,Bengaluru,Consumer Product Manufacturing,"The Bosch Group is a leading global supplier of technology and services. It employs roughly 420,000 associates worldwide (as of Dec. 31, 2022). The company generated sales of $93.1 billion in 2022. Its operations are divided into four business sectors: Mobility Solutions, Industrial Technology, Consumer Goods, and Energy and Building Technology. As a leading IoT provider, Bosch offers innovative solutions for smart homes, Industry 4.0, and connected mobility. Bosch is pursuing a vision of mobility that is sustainable, safe, and exciting. It uses its expertise in sensor technology, software, and services, as well as its own IoT cloud, to offer its customers connected, cross-domain solutions from a single source. The Bosch Group’s strategic objective is to facilitate connected living with products and solutions that either contain artificial intelligence (AI) or have been developed or manufactured with its help. Bosch improves quality of life worldwide with products and services that are innovative and spark enthusiasm. In short, Bosch creates technology that is “Invented for life.” The Bosch Group comprises Robert Bosch GmbH and its roughly 440 subsidiary and regional companies in some 60 countries. Including sales and service partners, Bosch’s global manufacturing, engineering, and sales network covers nearly every country in the world. With its more than 400 locations worldwide, the Bosch Group has been carbon neutral since the first quarter of 2020. The basis for the company’s future growth is its innovative strength. At 128 locations across the globe, Bosch employs roughly 84,800 associates in research and development, of which more than 44,000 are software engineers. In North America, Bosch employs approximately 3,500 associates in research and development. Imprint: https://www.bosch.us/corporate-information/ Privacy statement: https://www.bosch.us/privacy-statement/"
108,Swiss Re,4.0,2.2T,503,285,Bengaluru,Insurance Agencies & Brokerages,"Swiss Re is one of the world’s leading providers of reinsurance, insurance and other forms of insurance-based risk transfer, working to make the world more resilient. We anticipate and manage a wide variety of risks, from natural catastrophes and climate change to cybercrime. At Swiss Re we combine experience with creative thinking and cutting-edge expertise to create new opportunities and solutions for our clients. This is possible thanks to the collaboration of our 15,000 employees across the world. We offer a flexible working environment where curious and adaptable people thrive. Are you interested in joining us?"
109,Autodesk,4.3,4.3T,367,327,Bengaluru,Enterprise Software & Network Solutions,"Autodesk makes software for people who make things. If you’ve ever driven a high-performance car, admired a towering skyscraper, used a smartphone, or watched a great film, chances are you’ve experienced what millions of Autodesk customers are doing with our software. Autodesk gives you the power to make anything. Autodesk is consistently named a Great Place to Work&reg;, globally. We provide exceptional compensation/benefit packages and we’d love for you to join us. We’re proud to be an equal opportunity employer and we consider all qualiﬁed applicants without regard to race, gender, disability, veteran status or other protected category. To see our culture in action, check out #AutodeskLife."
110,Apexon,4.0,1.9T,985,12,Bengaluru,Information Technology Support Services,"centric digital experiences. For over 17 years, Apexon has been meeting customers wherever they are in the digital lifecycle and helping them outperform their competition through speed and innovation. Our reputation is built on a comprehensive suite of engineering services, a dedication to solving our clients’ toughest technology problems, and a commitment to continuous improvement. We focus on three broad areas of digital services: User Experience (UI/UX, Commerce); Engineering (QE/Automation, Cloud, Product/Platform); and Data (Foundation, Analytics, and AI/ML), and have deep expertise in BFSI, healthcare, and life sciences. Apexon is backed by Goldman Sachs Asset Management and Everstone Capital."
111,Luxoft,4.1,3.6T,361,753,Bengaluru,Information Technology Support Services,"Luxoft, a DXC Technology Company, is a digital strategy and software engineering firm providing bespoke technology solutions that drive business change for customers globally. As part of DXC Technology (NYSE: DXC), Luxoft enables business transformation, enhances customer experiences, and boosts operational efficiency through its strategy, consulting, and engineering services. Luxoft combines a unique blend of engineering excellence and deep industry expertise to serve clients globally, specializing in automotive, financial services, travel and hospitality, healthcare, life sciences, media and telecommunications. Luxoft is well known for its consistent high level of delivery and complex project management, its premier digital engineering talent, exceptional client focus, and agility, creativity, and remarkable problem-solving capabilities."
112,FICO,4.1,1.5T,744,95,Bengaluru,Computer Hardware Development,"FICO may have the experience and knowledge of more than 50 years in business, but we act with the boldness and enthusiasm of a much younger company. Ours is a business that fosters and encourages entrepreneurialism and opportunity, where our global structure supports cross-fertilization of ideas, and where our collaborative approach means you get the support you need to construct and own your vocation, achieve your professional goals while delivering in your role, and keep on developing in the process. FICO is a company where the smarter you work to drive results, and the more leadership you demonstrate in the process, the more you’ll get out of it – and that’s because we reward our top talent as well as provide them with significant ongoing development opportunities."
113,Sony,4.1,3.4T,507,2.5T,Bengaluru,Consumer Product Manufacturing,"Many eyes and hands are on Sony -- or, most likely, on its high-profit consumer electronics products and gaming systems. The company, officially named Sony Kabushiki Kaisha, makes a host of products, including digital and video cameras, Walkman stereos, TVs, and semiconductors, through its more than 1,200 subsidiaries. A top media conglomerate worldwide, Sony boasts entertainment assets such as music (Sony Music Entertainment), motion pictures (Sony Pictures Entertainment and Sony Digital Production), DVDs (Sony Pictures Home Entertainment), and TV programs (Sony Pictures Television). Under its first non-Japanese leader, Sir Howard Stringer, Sony's realigning its business and shedding some longtime traditions."
114,Expedia Group,4.1,6.7T,1T,205,"Yellappa Garden, Yellappa Chetty Layout, Sivanchetti Gardens",Internet & Web Services,"Expedia Group (NASDAQ: EXPE) powers travel for everyone, everywhere through our global platform. Driven by the core belief that travel is a force for good, we help people experience the world in new ways and build lasting connections. We provide industry-leading technology solutions to fuel partner growth and success, while facilitating memorable experiences for travelers. Expedia Group's family of brands includes: Brand Expedia®, Hotels.com®, Expedia® Partner Solutions, Vrbo®, trivago®, Orbitz®, Travelocity®, Hotwire®, Wotif®, ebookers®, CheapTickets®, Expedia Group™ Media Solutions, Expedia Local Expert®, CarRentals.com™, and Expedia Cruises™.   For more information, visit www.expediagroup.com."
115,Analog Devices,4.0,2.4T,518,970,Bengaluru,Electronics Manufacturing,"Analog Devices, Inc. (ADI) is a leading global technology company—designing and manufacturing technical products, solutions, and ecosystems that fully understand the world around us and help make it better. ADI captures data where it is born, at the intersection of the digital and physical worlds, and converts it into intelligence that helps customers solve complex problems faster and with greater impact. ADI fuses together deep domain knowledge, cutting-edge technology, and the most ingenious problem solvers to take on the toughest technical challenges across diverse sectors. From autonomous transport and industrial automation to healthcare and communications, ADI offers high performance integrated circuits, algorithms, software, and systems to better sense, measure, interpret, connect, secure, and power the digital and physical worlds."
116,Barclays,4.0,17.9T,5.1T,500,Bengaluru,Banking & Lending,
117,ServiceNow,4.4,3.9T,987,511,Bengaluru,Enterprise Software & Network Solutions,"At ServiceNow, our technology makes the world work for everyone, and our people make it possible. Our cloud‑based platform and solutions deliver digital workflows that create great experiences and unlock productivity for employees and the enterprise. With more than 7,700+ customers, we serve approximately 85% of the Fortune 500®, and we're proud to be a Fortune 100 Best Companies to Work For® and World's Most Admired Companies™. Explore your future career with us, visit www.servicenow.com/careers. From Fortune. ©2022-2023 Fortune Media IP Limited. All rights reserved. Used under license."
118,Motorola Solutions,4.0,4.1T,266,634,Bengaluru,Telecommunications Services,"Motorola Solutions is a global leader in public safety and enterprise security. Our solutions in land mobile radio communications, video security & access control and the command center, bolstered by managed & support services, create an integrated technology ecosystem to help make communities safer and businesses stay productive and secure. At Motorola Solutions, we’re ushering in a new era in public safety and security. Our more than 20,000 employees around the world innovate to make the world a better place and are fueled by our shared purpose to “help people be their best in the moments that matter.” We foster a culture of inclusion, equity and diversity of thought with the belief that the next big idea can come from anyone, anywhere at any time. What you do here matters for our customers and communities around the world. Learn how you can make a difference at www.motorolasolutions.com."
119,Merck KGaA,4.0,2.6T,452,635,Bengaluru,Biotech & Pharmaceuticals,"We want to develop products and solutions for a better life. That's why we take a closer look at things, ask questions and think ahead. We've been around for almost 350 years, yet the great majority of our shares are still held by the descendants of Friedrich Jacob Merck, the man who founded our company in Darmstadt in 1668. To us, our 62,770 employees are more than lab coats, blue-collars, suits or faces amongst many others. Around the world we employ discoverers, we clear the way for pioneers and encourage bold innovators. We are Merck. The only exceptions to this are in the USA and Canada. Here we operate in the biopharma market as EMD Serono, in life science as MilliporeSigma, and in the specialty chemicals and high-tech materials business area as EMD Electronics. Sound like something you’d like to be part of? Explore come2merck.com and bring your curiosity to life. Not intended for US & CA visitors."
120,Lam Research,4.2,2T,362,212,Bengaluru,Electronics Manufacturing,"Success Starts Here: Lam Research Corp. (NASDAQ:LRCX) is a trusted global supplier of innovative semiconductor manufacturing equipment and services to the world’s leading chipmakers. Lam’s advanced process technology is transforming the way semiconductor devices are made, with atomic-scale features that are more than 1,000 times smaller than a grain of sand. We collaborate with customers to help them build smaller, faster, and more power-efficient devices that drive technology into everyday life. Lam focuses on solid product performance and value, continuous innovation, and a values-based culture that delivers on its commitments. It is why nearly every chip today is built with Lam technology."
121,Lenovo,4.0,3.8T,367,386,2 office locations in Bengaluru,Computer Hardware Development,
122,HashedIn by Deloitte,4.3,809,1.2T,1,Bengaluru,Information Technology Support Services,"We are software engineers who solve business problems with a product mindset for leading organizations. Our focus is to drive sustainable impact with modern digital technologies and delivery practices. The secret to our success is a fast-paced learning environment, an extreme ownership spirit, and a fun culture. Born in the cloud, we are constantly on the lookout for next-tech innovations that drive competitive advantage for clients. So, if you are a problem solver looking to thrive in a dynamic fun culture of inclusion, collaboration, and high performance – HashedIn is the place to be."
123,eBay,4.1,5.5T,204,11,Bengaluru,Internet & Web Services,
124,IHS Markit,4.0,4.1T,1.2T,4,Bengaluru,Business Consulting,"IHS Markit is a global leader in information, analytics and solutions for the major industries and markets that drive economies worldwide. Our company partners with clients in business, finance and government to help them see the big picture with unrivaled insights that lead to well-informed, confident decisions. IHS Markit serves more than 50,000 key customers in over 140 countries, including 80 percent of the Fortune Global 500. Headquartered in London, IHS Markit (Nasdaq: INFO) is committed to sustainable, profitable growth. 11"
125,Parexel,3.8,3.3T,854,350,Bengaluru,Biotech & Pharmaceuticals,"As one of the world's leading global clinical research organizations (CRO), we provide the clinical development capabilities and integrated consulting expertise it takes to streamline development every step of the way — faster and more cost-effectively. From decentralized clinical trials to regulatory consulting services and leveraging real-world insights, our therapeutic, technical, and functional ability is underpinned by a patient-first culture embedded in our DNA. Our over 18,000 employees have a deep conviction in what we do, and together with our customers, we are shaping the next generation of therapies, one patient at a time. What we do, we do With Heart™."
126,Nagarro,4.2,4.4T,4.6T,1T,"# 148, Prestige Feather lite Tech Park, EPIP Zone, Whitefield",Information Technology Support Services,"Nagarro (Frankfurt:NA9) helps to transform, adapt, and build new ways into the future through a forward thinking, agile and caring mindset. We excel at digital product engineering and deliver on our promise of thinking breakthroughs. Today, we are 18,000 experts across 33 countries, forming a Nation of Nagarrians, ready to help our customers succeed. CARING is at the heart of our values and drives us to deliver the best results. We strive to make distance irrelevant between intelligent people. We believe in results, not process, in colleagues, not employees, in thinking breakthroughs not just using technology. We also happen to be a fun company to work with and for. Learn more about us at nagarro.com"
127,Infor,4.0,4.6T,985,339,Bengaluru,Enterprise Software & Network Solutions,"Infor is a global leader in business cloud software products for companies in industry-specific markets. Infor builds complete industry suites in the cloud and efficiently deploys technology that puts the user experience first, leverages data science, and integrates easily into existing systems. Over 60,000 organizations worldwide rely on Infor to help overcome market disruptions and achieve business-wide digital transformation."
128,Zynga,4.5,1.3T,463,91,Bengaluru,Video Game Publishing,"Zynga is a global leader in interactive entertainment with a mission to connect the world through games. To date, more than one billion people have played Zynga’s franchises including CSR Racing™, Empires & Puzzles™, Merge Dragons!™, Words With Friends™ and Zynga Poker™. Zynga’s games are available in more than 150 countries and are playable across social platforms and mobile devices worldwide. Founded in 2007, the company is headquartered in San Francisco with studios in the U.S., Canada, U.K., Ireland, India, Turkey and Finland."
129,ICICI Prudential Life Insurance,4.4,3.8T,3.1T,150,Bengaluru,Insurance Carriers,
130,Embibe,4.2,1.3T,960,--,"Diamond District, No. 150, 1st Floor, Tower B, HAL Old Airport Rd, Kodihalli, Bengaluru, Karnataka 560008",Education Support & Training Services,"Embibe is the most powerful education platform ever invented! Embibe is the world’s first edtech company that truly delivers learning and life outcomes. It was conceived by Aditi Avasthi in 2012, with a bunch of like-minded daydreamers who took it upon themselves to change the face of education... forever. Almost a decade on, one thing that has not changed since our humble beginning at a small garage in Byculla, Mumbai, is our passion for adding real value. And that’s what makes us awesome! While others were looking to create just “CONTENT”, we placed our bets on “CONTEXT”. We are focussed on not just learning but also truly understanding a student’s strengths and weaknesses to improve their learning outcomes and applying knowledge to achieve real-life goals. This philosophy is the cornerstone of our products. (And without a philosophy, a product is just a bunch of mindless features, isn’t it?) Rooted in consumer behaviour, we are leveraging AI and data science to deliver personalised achievement journeys for every student. Because at Embibe, we believe that no two students learn the same way. And this has led us to embark on this noblest of journeys to deliver life and learning outcomes for every student! In 2018, Reliance Jio partnered with Embibe to propel our collective vision of democratising education and impacting a billion lives. The Jio-Embibe Partnership has brought unrivalled acceleration to delivering learning outcomes to every corner of India via low-cost devices and high-speed Jio Internet connectivity. The Embibe Tribe is a dynamic blend of intellectually fierce individuals from various walks of life. Take a stroll around our office (yes, you can visit us anytime) and you will come across alumni from global educational institutions, top academicians, experienced data scientists, pragmatic techies, people from unexpected backgrounds, vagabonds, artists, singers, and even former entrepreneurs! We are diverse but united in our shared vision of democratizing and personalizing education. We are growing and going places fast. If your heart beats for education and you want to be part of a revolution, you probably have a place here. Hit us up, give us your context and let’s see if we can change the world together!"
131,NXP Semiconductors,4.1,2.5T,713,439,Bengaluru,Electronics Manufacturing,"NXP Semiconductors N.V. (NASDAQ: NXPI) enables secure connections and infrastructure for a smarter world, advancing solutions that make lives easier, better, and safer. As the world leader in secure connectivity solutions for embedded applications, NXP is driving innovation in the secure connected vehicle, end-to-end security &amp; privacy and smart connected solutions markets. Built on more than 60 years of combined experience and expertise, the company has over 30,000 employees in more than 30 countries and posted revenue of $9.41 billion in 2018. Find out more at www.nxp.com."
132,Software AG,4.4,1.2T,512,175,"5th & 6th Floor, Embassy Tech Village - SEZ Marathahalli Outer Ring Road, Devarabisanahalli",Software Development,"OUR STRATEGY - to deliver sustainable, profitable growth. Strengthening our colleagues to continually enhance our culture, attract the right talent, build the right capabilities, and help our people evolve. Growing our subscription engine to continue shifting towards recurring revenue and scaling our business to evolve our go-to-market. Improving productivity to reduce complexity across our processes, systems, and structures to create a more efficient operating environment for all our employees. We are accelerating innovation to ensure growth & momentum in the market."
133,Nuance,4.0,3.3T,633,15,Bengaluru,Computer Hardware Development,"Nuance Communications, Inc. (NASDAQ: NUAN) is the pioneer and leader in conversational AI innovations that bring intelligence to everyday work and life. The company delivers solutions that understand, analyze and respond to human language to increase productivity and amplify human intelligence. With decades of domain and artificial intelligence expertise, Nuance works with thousands of organizations – in global industries that include healthcare, telecommunications, financial services, and retail – to create stronger relationships and better experiences for their customers and workforce. For more information, please visit www.nuance.com."
134,Grab,4.2,3.6T,208,180,Bengaluru,Internet & Web Services,"Grab was founded on the belief that a technology company could both run profitably and create sustainable impact. As we continue to innovate and serve our communities, we seek to ensure that our profitability is tied to the welfare of the communities we operate in, and the protection of the environment for future generations to come. Grab began as a taxi-hailing app in 2012, but has extended its product platform to include private car services (GrabCar & GrabShare), motorcycle taxis (GrabBike), social carpooling (GrabHitch), food delivery (GrabFood), last mile delivery (GrabExpress) as well as a mobile payments services (GrabFinancial Services Asia). We currently operate in Singapore, Indonesia, Philippines, Malaysia, Thailand, Vietnam, Myanmar and Cambodia. Our R&D centres are in Bangalore, Beijing, Cluj, Ho Chi Minh City, Jakarta, Singapore, Seattle, Seoul and Taipei."
135,Johnson & Johnson,4.2,15.1T,831,1.5T,Bengaluru,Biotech & Pharmaceuticals,"Johnson & Johnson is the largest and most broadly based healthcare company in the world. We’re producing life-changing breakthroughs every day, and have been for the last 130 years. The combination of new technologies and your expertise enables amazing things to happen. Teams from J&J’s consumer business are creating digital tools to help people track the health of their skin. Those working in medical devices are 3-D printing artificial joints personalized for each patient, while researchers in pharmaceuticals use AI to discover lifesaving drugs. Imagine what the rest of our team of 134,000 people at 260 companies in more than 60 countries across the world is accomplishing. We redefine what it means to be a big company in today’s world."
136,Other,4.1,1.8T,2T,1,Bengaluru,"Civic, Welfare & Social Services","other is the agency of the untrodden path. We’re here to change the rules of marketing communication whether by pioneering new possibilities in digital media or rediscovering what worked in the past. Choose us and you’ve ticked the box on the form for the answer that wasn’t anticipated. We’re not different for the sake of difference, but to give you real value: something you couldn’t have achieved on your own. By providing you with something that stands out from everyday thinking, we ensure that you achieve impact and hit your targets."
137,Infogain,4.0,2.6T,1.5T,102,Bengaluru,Information Technology Support Services,"Infogain is a human-centered digital platform and software engineering company based out of Silicon Valley. We engineer business outcomes for Fortune 500 companies and digital natives in the technology, healthcare, insurance, travel, telecom, and retail & CPG industries using technologies such as cloud, microservices, automation, IoT, and artificial intelligence. We accelerate experience-led transformation in the delivery of digital platforms. Infogain is also a Microsoft Gold Partner and Azure Expert Managed Services Provider (MSP). Infogain, an Apax Funds portfolio company, has offices in California, Washington, Texas, the UK, the UAE, and Singapore, with delivery centers in Seattle, Houston, Austin, Kraków, Noida, Gurgaon, Mumbai, Pune, and Bengaluru. Visit us online at www.infogain.com and follow us on Twitter: @Infogain."
138,Tredence,4.0,763,891,58,"2nd Floor, Sattva Knowledge Court, 20 21, 7th Cross Rd, Green Domain Layout, EPIP Zone, Whitefield, Bengaluru, Karnataka",Business Consulting,"As with every marathon, the last mile is the toughest. It is here that enterprises lose the strength and resolve to take analytics beyond insight generation and use them to generate value. That’s where we saw a gap waiting to be filled - in activating data and operationalizing insights for real, tangible business impact. We’re focused on bridging the gap between insights delivery and value realization, partnering with our clients to help them cross the last-mile gap in analytics. This DNA pushes our ecosystem to go beyond possible, helping our clients re-think their limitations and overcome their norms of ‘possible’."
139,Mahindra,4.0,3.3T,3.1T,465,Bengaluru,Transportation Equipment Manufacturing,"This M&amp;M is more rugged than the candy-coated confection that goes by the same name. From food to defense, Mahindra &amp; Mahindra (M&amp;M) keeps its businesses diverse. Sectors include Automotive, After-Market (pre-owned vehicles and spare parts), and Farm Equipment (FES). Its Automotive unit makes jeeps and SUVs, as well as commercial vehicles (with Navistar), three-wheeler utilitarian delivery and flatbed vehicles, and scooters and motorcycles. Mahindra Defense Systems (MDS) produces armored vehicles and sea mines, while Mahindra Agribusiness exports fruits to Europe and Asia. M&amp;M makes aircraft and related components, and is active in IT and financial services, steel processing, and infrastructure."
140,Motorola Mobility,4.0,2.8T,299,399,Bengaluru,N/A,"As part of the Lenovo family, Motorola Mobility is creating innovative smartphones and accessories designed with the consumer in mind. That’s why we’re looking for the thinkers, innovators and problem solvers who believe in working together to challenge the status quo."
141,AstraZeneca,4.1,7T,940,2.2T,Bengaluru,N/A,"AstraZeneca is one of the world’s most exciting bio-pharmaceutical companies. From scientists to sales, lab techs to legal we’re on a mission to turn ideas into life-changing medicines that improve patients’ lives and benefit society. We’re constantly moving forward as a company – agile and purposeful in our work. We are building a new kind of organisation, one that can improve the lives of 200 million patients and be a $50 billion company in 2025. This ambition drives us to continue to transform to be a bio-pharmaceutical company that pioneers new methods and adapts and evolves to pursue discoveries like no one else."
142,InMobi,4.2,882,888,22,Bengaluru,N/A,"InMobi is the world's leading Marketing Cloud, driving real connections between brands and consumers. We create new paths for brands to understand, identify, engage and acquire consumers by leveraging our exclusive access to mobile intelligence and technology platforms. As a leading technology company founded in 2007, InMobi has been recognized as a 2019 CNBC Disruptor 50 company and as Fast Company's 2018 Most Innovative Companies. For more information, visit inmobi.com. Driving Real Connections. InMobi helps brands connect with consumers in ways that matter."
143,Indian Institute of Science,4.5,1.1T,988,13,Bengaluru,N/A,
144,Microchip Technology,4.0,1.9T,522,698,Bengaluru,N/A,"Microchip Technology Inc. is a leading provider of microcontroller and analog semiconductors, providing low-risk product development, lower total system cost and faster time to market for thousands of diverse customer applications worldwide. Headquartered in Chandler, Arizona, Microchip offers outstanding technical support along with dependable delivery and quality. We are a stable company, and we value every single member of team. Our company is structured to give our team members the most autonomy, and we encourage each employee to be creative and take initiative. With us, you will enjoy meaningful opportunities to grow in your career."
145,MakeMyTrip,4.2,1.7T,1.5T,2,"2nd Floor, Tower B, Divyashree Technopolis, Yemalur, HAL Old Airport Road Bangalore",N/A,"MakeMyTrip.com is India’s leading Travel company. Launched in India in 2005, MakeMyTrip was the first travel portal in the country and is regarded as the pioneer of online travel. Its comprehensive offerings supported by the convenience of online transactions and value-based prices revolutionized the way Indians purchased travel services. After a successful launch, MakeMyTrip continues to lead the market with innovative products and services. The web-site attracted over 7.8 million unique visitors per month in fiscal year 2015 according to comScore. MakeMyTrip also has an offline presence through 60+ stores across India. In August 2010, the Company had a successful IPO on NASDAQ, becoming the first Indian travel company to list overseas. MakeMyTrip ranked among the ten ‘Best Companies to Work for in India’ for four years in a row (2010-2013). Most recently, Makemytrip was awarded the best e-commerce company as per rankings by ‘Great Place to Work’ Institute - 2016."
146,Epicor Software,4.2,1.8T,288,48,Bengaluru,N/A,"We are a company that sees software differently. Epicor Software is a global technology leader dedicated to helping businesses drive growth for more than 45 years. Our modern, industry-specific software helps customers boost efficiency and productivity by simplifying and automating everyday processes. We have a stellar team of nearly 4,000 worldwide employees who are passionate about building exceptional products and solutions through teamwork, constant innovation, and integrity. We strive to hire and reward star players who inspire one another and drive results for the business and our customers."
147,Toyota Motor Corporation,4.0,2.8T,231,1.9T,Bengaluru,N/A,
148,Gojek,4.2,1.3T,507,12,Bengaluru,N/A,"Gojek is Southeast Asia’s leading on-demand platform and a pioneer of the multi-service ecosystem model, providing access to a wide range of services including transportation, food delivery, logistics and more. Gojek is founded on the principle of leveraging technology to remove life's daily frictions by connecting consumers to the best providers of goods and services in the market. The company was first established in 2010 focusing on courier and motorcycle ride-hailing services, before launching its app in January 2015 in Indonesia. Since then, Gojek has grown to become the leading on-demand platform in Indonesia, with additional operations in Vietnam and Singapore. The Gojek platform now comprises over 2.5 million driver partners across the region. Gojek is part of the GoTo Group, the largest digital ecosystem in Indonesia, consisting of Gojek, Tokopedia and GoTo Financial. Gojek is dedicated to solving the daily challenges faced by consumers, while improving the quality of life for millions of people across Southeast Asia, especially those in the informal sector and micro, small and medium enterprises (MSMEs). The Gojek application is available for download via iOS and Android. NOTE: *IMPORTANT* Gojek is affiliated to the GoTo Group companies, and all authentic jobs/open positions listed by Gojek can ONLY be accessed via our official channels -- Gojek on LinkedIn, Gojek Tech on LinkedIn, Gojek on Glassdoor, and https://www.gojek.io/careers. In case you are contacted by our Talent Acquisition team, please ensure that the communication is coming from a valid Gojek domain - *****@gojek.com. If you are contacted by any third party outside of the authenticated channels highlighted above, please write to us at ethics@gotocompany.com to validate the job/open position. This is to avoid any potential instances of fraud, and to ensure your safety and security during the job application process."
149,CSG,4.5,1.2T,508,57,Bengaluru,N/A,"CSG is a leader in innovative customer engagement, revenue management and payments solutions that make ordinary customer experiences extraordinary. Our cloud-first architecture and customer-obsessed mindset help companies around the world launch new digital services, expand into new markets, and create dynamic experiences that capture new customers and build brand loyalty. For over 40 years, CSG’s technologies and people have helped some of the world’s most recognizable brands solve their toughest business challenges and evolve to meet the demands of today’s digital economy with future-ready solutions that drive exceptional customer experiences. With more than 5,000 employees in over 20 countries, CSG is the trusted technology provider for leading global brands in telecommunications, retail, financial services and healthcare. Our solutions deliver real world outcomes to more than 900 customers in over 120 countries."
150,Bayer,4.1,8.3T,302,1.2T,Bengaluru,N/A,"Bayer is a global company with a more than 150-year history and core competencies in the Life Science fields of health care and agriculture. Our products and services are designed to benefit people and improve their quality of life. We are committed to operating sustainably and addressing our social and ethical responsibilities. A career with Bayer means you can put your passion into practice and make an impact. To sustain and grow our business, we require diverse business perspectives and the flexibility to work with a variety of people wherever we do business. No matter what your professional interests are or which stage of your career you’re currently in, Bayer offers an exciting range of careers at the forefront of innovation in our Pharmaceuticals, Crop Science, and Consumer Health Divisions as well as Corporate Functions. Explore how you can impact our mission: Science For A Better Life at career.bayer.us"
151,Amdocs,4.0,10.7T,6.8T,63,Bengaluru,N/A,"In an era where new technologies are born every minute, and the demand for meaningful digital experiences has never been so intense, we unlock our customers’ innovative potential, empowering them to transform their boldest ideas into reality, and make billions of people feel like VIPs Our 27,000 employees around the globe are here to accelerate our customers’ migration to the cloud, differentiate in the 5G era, digitalize and automate their operations, and provide end-users with the next-generation communication and media experiences that make the world say wow."
152,Arcadis,4.1,3.8T,238,1.5T,Bengaluru,N/A,"Arcadis is the leading global Design & Consultancy firm for natural and built assets. Applying our deep market sector insights and collective design, consultancy, engineering, project and management services we work in partnership with our clients to deliver exceptional and sustainable outcomes throughout the lifecycle of their natural and built assets. We are 29,000 people active in over 70 countries. We support UN-Habitat with knowledge and expertise to improve the quality of life in rapidly growing cities around the world. Arcadis. Improving the quality of life. Arcadis UK now incorporates the Hyder and EC Harris brands."
153,Synechron,4.3,4.2T,2.9T,79,Bengaluru,N/A,"Synechron started in 2001 as a small, self-funded team and we’ve continued building from the ground up, watching our organization grow to over 14,000+ people spread across 40 offices in 17 countries within key global markets. From our solid financial services industry foundation, we have become a prominent global digital consulting firm for large financial services and technology firms. With a key focus on trust, and in partnership with our clients, we’re leading the modernization and digital optimization journeys with expertise that spans Consulting, Data, Design, Cloud and Engineering across various industries. We can provide you with customized end-to-end solutions that drive business value."
154,Fortinet,4.4,2.2T,151,485,"The Millennia, # 1 & 2, Murphy Road Ulsoor, Bangalore – 560 008",N/A,"From the start, the Fortinet vision has been to deliver broad, truly integrated, high-performance security across the IT infrastructure. We provide top-rated network and content security, as well as secure access products that share intelligence and work together to form a cooperative fabric. Our unique security fabric combines purpose-built ASICs, an intuitive operating system, and applied threat intelligence to give you proven security, exceptional performance, and better visibility and control--while providing easier administration. Our flagship enterprise firewall platform, FortiGate, is available in a wide range of sizes and form factors to fit any environment, and provides a broad array of next generation security and networking functions. Complementary products can be deployed with a FortiGate to enable a simplified, end-to-end security infrastructure."
155,Torry Harris Integration Solutions,4.0,908,673,--,4 office locations in Bengaluru,N/A,"Combining unmatched experience and specialized skills, Torry Harris Integration Solutions - “THIS” is a global IT specialist with leading capabilities in next-gen digital products, services, and consulting. We enable clients from multiple industries increase their digital capabilities through the miracle of integration. As a recognized leader in IT excellence and delivery, we aim to create value and shared success both for our clients and the people who matter the most, our employees. Torry Harris was formally registered in the year 1998 in New Jersey, United States; the company has offices in the USA, UK, Ireland, France, Austria, Germany, and UAE, with development centers in Bangalore and Gurugram (India). Over the years, Torry Harris has worked with leading fortune 500 organizations, including leading telecom operators, energy giants and pharma leaders in Europe. With a continued focus on delivery excellence and an employee-focused work culture, Torry Harris has received numerous industry accolades, including the coveted Comparably’s: Best Work-Life Balance (2018) award. Today, the organization boasts over 1,800 employees working in various capacities to deliver on the promise of technology and human ingenuity every day."
156,PepsiCo,4.0,18.9T,853,5.8T,Bengaluru,N/A,"PepsiCo is a global food and beverage leader with a product portfolio including 22 brands that generate more than $1 billion each in annual retail sales. Our main businesses – Quaker, Tropicana, Gatorade, Frito-Lay and Pepsi-Cola – make hundreds of enjoyable foods and beverages that are loved throughout the world. At PepsiCo, you get the best of both worlds: an entrepreneur’s mindset plus reach and resources. Our collaborative culture and worldwide presence generate a stream of new opportunities to define the future and propel your life’s work. Bring your unique perspective. Bring curiosity. Bring ingenuity, and drive. We’ll give you a platform to be daring on a global scale."
157,Marvell Technology,4.1,1.9T,345,96,Bengaluru,N/A,"Marvell first revolutionized the digital storage industry by moving information at speeds never thought possible. Today, that same breakthrough innovation remains at the heart of the company's storage, networking, and wireless connectivity solutions. With leading intellectual property and deep system-level knowledge, Marvell's semiconductor solutions continue to transform the enterprise, cloud, automotive, industrial, and consumer markets. To learn more, visit: www.marvell.com."
158,Zscaler,4.0,1.8T,564,288,Bengaluru,N/A,"Zscaler enables the world’s leading organizations to securely transform their networks and applications for a mobile and cloud first world. Our flagship services, Zscaler Internet Access and Zscaler Private Access, create fast, secure connections between users and applications, regardless of device, location, or network. Zscaler services are 100% cloud-delivered and offer the simplicity, enhanced security, and improved user experience that traditional appliances are unable to match. Used in more than 185 countries, Zscaler operates the world’s largest cloud security platform, protecting thousands of enterprises and government agencies from cyberattacks and data loss. We are delighted to announce that Zscaler is now a publicly traded company listed on Nasdaq (ZS). Learn more at zscaler.com or follow us on Twitter @zscaler."
