Name,Tags,Role,Range type,Resourse type,Base HP,HP per lvl,Base mana,Mana per lvl,Movement speed,Base armor,Armor per lvl,Base magic resistance,Magic resistance per lvl,Attack range,HP regeneration,HP regeneration per lvl,Mana regeneration,Mana regeneration per lvl,Attack damage,Attack damage per lvl,Attack speed per lvl,Attack speed,AS ratio
Yasuo,"Fighter,Assassin","Top,Middle,Bottom",Melee,Flow,590,110,100,0.0,345,30,4.6,32,2.05,175,6.5,0.9,0.0,0.0,60,3.0,3.5,0.697,0.67
Yone,"Fighter,Assassin","Top,Middle",Melee,Flow,620,105,500,0.0,345,33,4.6,32,2.05,175,7.5,0.75,0.0,0.0,60,2.0,3.5,0.625,0.625
Yorick,"Fighter,Tank",Top,Melee,Mana,650,114,300,60.0,340,39,5.2,32,2.05,175,8.0,0.8,7.5,0.75,62,5.0,2.0,0.625,0.625
Yuumi,"Support,Mage",Support,Ranged,Mana,500,69,440,45.0,330,25,4.2,25,1.1,425,5.0,0.55,10.0,0.4,49,3.1,1.0,0.625,0.625
Zac,"Tank,Fighter","Jungle,Top,Support",Melee,,685,109,0,0.0,340,33,4.7,32,2.05,175,5.0,0.5,0.0,0.0,60,3.4,1.6,0.736,0.638
Zed,Assassin,"Middle,Jungle",Melee,Energy,654,99,200,0.0,345,32,4.7,29,2.05,125,7.0,0.65,50.0,0.0,63,3.4,3.3,0.651,0.651
Zeri,Marksman,Bottom,Ranged,Mana,600,110,250,45.0,330,24,4.2,30,1.3,500,3.25,0.7,6.0,0.8,56,2.0,2.0,0.658,0.625
Ziggs,Mage,"Bottom,Middle",Ranged,Mana,606,106,480,23.5,325,21,4.7,30,1.3,550,6.5,0.6,8.0,0.8,55,3.1,2.0,0.656,0.656
Zilean,"Support,Mage",Support,Ranged,Mana,574,96,452,50.0,335,24,5.0,30,1.3,550,5.5,0.5,11.35,0.8,52,3.0,2.13,0.658,0.625
Zoe,Mage,Middle,Ranged,Mana,630,106,425,25.0,340,21,4.7,30,1.3,550,7.5,0.6,8.0,0.65,58,3.3,2.5,0.658,0.625
Zyra,"Mage,Support",Support,Ranged,Mana,574,93,418,25.0,340,29,4.2,30,1.3,575,5.5,0.5,7.0,0.8,53,3.2,2.11,0.681,0.625
