City,Best Time,City_desc
Bangalore,October-February,"["" Having evolved gradually from being the Garden city to the Silicon Valley of India, Bangalore is India's third-largest city. Bangalore is loved for its pleasant weather, beautiful parks and the many lakes here. Bangalore is renowned for its eateries, street food corners, quirky cafes, coffee roasters and pubs dotting every corner of the city, serving cuisines from all over the world. Brunches, buffets, burgers, rooftop cafes, late-night eats - Bangalore has it all."", '', "" Here, one can choose to take a long stroll through the beautiful Cubbon Park, shop in the many malls or street markets or hop into one of the many acclaimed breweries for a cold and refreshing drink. There are a huge number of beautifully decorated parks in the city that are ideal for going on a morning stroll or a jog. One walk through the 300-acre Cubbon Park, or the botanical gardens of Lalbagh, and you'll know precisely why Bangalore is so famously called India's 'Garden City'.But just like every big city, the unprecedented growth of IT in Bangalore has reshaped quite a few things including rising temperatures, polluted lakes and heavily congested roads, especially in the newer areas. Aside from the central business and commercial districts (and the roads leading up to them), the neighbourhoods of Bangalore are mostly quiet and serene, especially the older parts of the city like Jayanagar and J.P Nagar. ""]"
Amritsar,October-March,"[' Home of the glorious Golden Temple, the iconic city of Amritsar, portrays the heroic character of Punjab.  The second-largest city of the Indian state of Punjab, Amritsar is colloquially known as Ambarsar. Apart from the Golden Temple, Amritsar is known for its lip-smacking street food.', '', ' Amritsar is the spiritual and cultural centre of the Sikh Religion. Baisakhi festival brings out Amritsar\'s resplendent face with its finest food, clothes and merry-making. This place is also famous for its Jallianwala Bagh massacre and its proximity to Wagah Border.  From Operation Blue Star in the Golden Temple to the tragedy of the Jallianwala Bagh massacre, Amritsar has seen the worst of situations and yet emerged like a phoenix through testing times. Amritsar today is a thriving city with active trade and tourism industries.A day in this peaceful city starts with the spiritual prayers from Gurudwaras. The original name is first the ancient lake, then the temple complex, and later the surrounding city, meaning ""pool of ambrosial nectar."" One of the most agriculturally productive cities of India, Amritsar is well connected with most of the important cities of India.']"
Delhi,October-March,"[' The capital of India, Delhi is a cosmopolitan city with a historic old Delhi and the modern New Delhi. From historical monuments to crowded shopping malls, from an extensive network of the modern metro system to Delhi University campus, Dilli has multiple personalities and is considered to be the city with a heart.', '', "" The narrow, winding lanes and bylanes of old Delhi are a testament to the former Mughal rule. Old Delhi houses one of the country's oldest and busiest market – Chandni Chowk.Take time to explore historical monuments such as the Red Fort, Jama Masjid, Humayun's Tomb and Purana Qila if you want to explore the Mughal History. Delhi has famous temples scattered all across the city, a few noteworthy ones being the Akshardham Temple, the Lotus Temple (also known as the Bahai Temple), and the ISKON Temple.People in Delhi love to eat, and tourists will find themselves spoilt for choice between the multitude of dishes on offer at every corner of every street. From kebabs and tikkas to Chhole Bhature, Delhi is a melting pot of diverse cultures, and this fact is reflected in the culinary palette of the city. There are a number of cafes and restaurants for the travellers.Central Delhi is the concentration of the country's political power, and the must-visit places here include the Connaught Place,  drive from outside of Rashtrapati Bhawan on Raisina Hill (visitors are not allowed to go inside), the Rajpath, and the India Gate. The best place to visit this area is in the evening, as all the buildings are lit up, and you can see the Amar Jawan Jyoti at India Gate shining brightly.Delhi is a shopper's paradise with some colourful bazaars and upscale markets. The wide variety of markets in Delhi ensure that travellers go back home with double the luggage they came with!""]"
Jaisalmer,October-March,"[' ', '', '', ' The Jaisalmer Fort stands as a citadel with narrow alleys inhabited by people for generations and shops selling colourful handicrafts.Jaisalmer is a town, and to reach the Sand Dunes, travellers have to take a jeep safari followed by a camel ride. Thus, Jaisalmer is an amalgamation of exotic Indian desert culture, heritage and adventure.']"
Mount Abu,March-October,"[' The only hill station of Rajasthan, Mount Abu is located in the Aravali range. The most important attraction, however, are undoubtedly the Dilwara temples, which is one of the most stunning pieces of architecture in the country.  Travellers can enjoy calm and relaxed boating in Nakki Lake, and a view of the sunset from the vista points. The restaurants and eateries around the lake are great places to eat local food and chill. The highest peak of the Aravali Range - Guru Shikhar also lies in Mt. Abu. Mount Abu Forest Sanctuary with an abundance of flora and fauna is also a highlight.', '', ' The exceptionally intricate architecture of the Dilwara temples are of course the main attraction here, and you can easily spend hours wondering how these temples were built over 2 centuries, almost 1000 years back. The temples were specifically made so that they are plain from the outside to avoid the attraction of plunderers, and have withstood the test of time extremely well. ']"
Wayanad,October-May,"[' Replete with waterfalls, historical caves, comfortable resorts and homestays, Wayanad in Kerala is famous for its spice plantations and wildlife. Walking through the sprawling spice plantations, trekking to the pre-historic caves and experiencing a resort holiday are one of the many things you can do to get a taste of Wayanad.', '', ' Wayanad is best known for the wildlife reserves - Wayanad wildlife reserve which is home to an exquisite variety of flora and fauna. Wayanad wildlife reserve is an integral part of the Nilgiri biosphere reserve peacefully located amidst the serene hills of Western Ghats. Wayanad homes a wide variety of wildlife like elephants, leopards, and bears. Wayanad is a perfect weekend idea from the cities of South India. If taking a road trip from Bangalore, you will drive through three national parks: Nagarhole, Bandipur and Mudumalai.']"
Hyderabad,October-March,"[' A city of contrasts, Hyderabad exudes an old-world charm of its own with the Old City (Charminar side), Hitech City (Cyberabad) and the other areas lying between the old and the new. The capital and the largest city of Telanaga, Hyderabad is home to stately mosques and noisy bazaars lined parallelly alongside swanky new office buildings and malls, and it is these very contrasts – these glimpses into the city’s rich past with inherent promises of an even better future –that make Hyderabad a city worth visiting. Maybe even more than once.', '', ' The city of pearls and biryani, Hyderabad is home to one of the most iconic landmarks - the Charminar. Translating to \'four minarets\', the grand edifice is built entirely out of limestone and granite, with four minarets on four sides, each of them facing a different street. The Charminar stands in a labyrinth of lanes crammed with shops, markets, stalls and shoppers - one of the best places to shop for the authentic pearls and relish the tasty biryanis, skewer kebabs and haleem (the smorgasbord of food that Hyderabad is known for).  The other side of Hyderabad - HiTech City or Cyberabad - is a stark contrast to the Old City. The area teems with grand malls, pulsating clubs, sleek restaurants and hi-rise buildings of the every-growing multinationals. Between the old and new lie the popular city areas of Banjara Hills and Jubilee Hills flanked on the northeast by Secunderabad. Hyderabad and Secunderabad together are still referred to as the ""twin cities"", though they are practically one now. Hyderabad pulsates with a spectacular mix of people and traditions. Make a journey through this mind-stirring metropolis and be ready to be amazed, frustrated, confounded and thrilled, all at once!']"
Pondicherry,October-March,"[' Pondicherry, officially known as Puducherry, and commonly referred to as just Pondy, is one of the seven Union Territories of India which is bounded by the southern state of Tamil Nadu. This former French colony is a perfect amalgamation of the traditional Indian sensibilities and French architecture, making it a dreamy escape that offers the best of both worlds.', '', ' The streets of the French Quarter of Pondicherry, also known as White Town, are dotted with charming mustard-yellow colonial structures with bougainvillaea laden walls. These are interspersed with cosy cafes and chic boutiques that offer delectable French cuisine and beverages. Simply strolling down these streets, can give the traveller an insight into the fairytale charm of Pondicherry.Topped with authentic French bakeries, bohemian stores and cobble-stoned paths that are delightful for a leisurely stroll or a bicycle ride, Pondicherry has a lot to offer. So head on down to this dream town of the Indian Coast and chug a few beers (at the Union Territory prices; bid adieu to state taxes) or just read a book in one of the quaint cafes.Come explore the boulevards and rues (the French word for streets) of Pondicherry that will ultimately take you down to the gorgeous seaside promenade, and witness the Bay of Bengal playfully splashing the shores of the famous Rock beach.']"
Khajuraho,October-March,"[' Khajuraho, a UNESCO World Heritage Site located in Madhya Pradesh, is known around the world for its stunning temples adorned by erotic and sensuous carvings. A small town located in the Bundelkhand region, Khajuraho is a brilliant example of Indian architecture and its culture back in the medieval period. The architecture of these Hindu and Jain temples depict the erotic forms of love, the carvings on the walls display passion in the most sensuous yet aesthetic ways. Built between 950 to 1050 AD the sheer confrontational nature of these carvings shows a stark paradox with the conventional Indian ideals about eroticism, leaving everybody spellbound.', '', "" Art in this small town is engrained in all of its structures and are a classic example of the finesse of India's cultural and artistic heritage. The best part about Khajuraho is that although scores of plunderers tried to destroy the whole complex, they could never succeed, even though they managed to reduce the number of temples and caves to 25 from a staggering 85 at the time it was created.""]"
Chennai,November-February,"["" Formerly known as Madras, Chennai is the capital city of the state of Tamil Nadu, in the southern part of India. Located on the Coromandel coast of Bay of Bengal, Chennai is as dynamic as it is immersed in tradition. This 'capital of the south', is one among the four metropolitan siblings of India, having a rich cultural history which it perfectly balances with its metropolis lifestyle."", '', "" Amid its chaos of traffic and sweltering humid climate, Chennai is worth visiting for its temples steeped in south-Indian culture, British-era museums and monuments, culinary delights and Marina Beach (Second largest urban beach in the world). Chennai's skyline is famous for its towering skyscrapers, but the heart of Chennai has an old-world charm to it that refuses to be overshadowed. ""]"
Vaishno Devi,March-October,"["" Vaishno Devi is a temple town that's home to the famous Vaishno Devi Mandir. Located in Trikuta hills, 13 kms from Katra (in the union territory of Jammu and Kashmir); this renowned shrine allures millions of devotees from all over the world.  Popularly known as Mata Rani, Vaishnavi and Trikuta, Vaishno Devi is a manifestation of the Hindu Goddess Durga. It is believed that during the pooja and aarti, Goddesses arrive at the Holy cave to pay their respect to Mata Rani. Devotees believe the goddess herself calls the devotees to reach here."", '', ' Vaishno Devi is said to be Moonh Maangi Muradein Poori Karne Wali Mata (the mother who fulfils the wishes of her children). The darshan of Maa Vaishno Devi in the holy cave is in the form of three naturally formed rocks which are known as pindies. These pindies manifest the three forms of the goddess as Maha Kali, Maha Saraswati and Maha Lakshmi. More than one crore devotees visit the Vaishno Devi temple each year.']"
Ajanta and Ellora Caves,October-March,"[' Ajanta and Ellora caves, considered to be one of the finest examples of ancient rock-cut caves, are located near Aurangabad in Maharashtra, India. Ajanta and Ellora caves complex is adorned with beautiful sculptures, paintings, and frescoes and include Buddhist monasteries, Hindu and Jain temples. The Ajanta caves are 29 in number and were built between the 2nd century BC and 6th century AD, whereas the Ellora Caves are more spread out and 34 in number and dates to the period between 6th and 11th Century AD.', '', ' Ajanta and Ellora caves are designated as UNESCO World Heritage Sites and are quite popular among travelers worldwide. Ajanta Caves, located around 99km north of Aurangabad, are mostly Buddhist sites and were used as a retreat by Buddhist Monks. Ellora is just 15 km west of Aurangabad and has a better mix of Hindu, Jain, and Buddhist sites. These hand-carved caves were built and sponsored by the Indian rulers of those periods and almost buried by thick forests. One of the most famous places in the entire Ajanta and Ellora Caves is the Kailash Temple, which is also the single most massive monolithic structure globally. These rock-cut caves containing carvings are some of the best examples of ancient Indian architecture and sculpture.']"
Haridwar,October-February,"["" Haridwar is one of the seven holiest cities in India, situated in Uttarakhand. It is located where the sacred river Ganga enters the Indo-Gangetic plains for the first time. Dotted with temples, ashrams and narrow lanes across the city, Haridwar is a famous Hindu temple town where millions of devotees come to take a dip in the holy Ganges. It's believed that taking a dip in the sacred Har Ki Pauri relieves one of all the sins."", '', ' The highlight of Haridwar is the famous Ganga Aarti held at the Har ki Pauri Ghat every evening. Thousands of devotees come together to pray to river Ganga and float diyas. Haridwar is one of the four cities (others being Ujjain, Nasik and Allahabad) that host the Kumbh Mela every twelve years. The Kanwar Mela is also organised here every year during saawan (rainy season). It is also the gateway to the Char Dham of Uttarakhand and acts as the base destination for some of the other tourist towns of Rishikesh and Devprayag.According to Hindu traditions, there are Panch Tirth (five pilgrimages) within Haridwar. These are Har ki Pauri (Gangadwar), Ghat (Kushwart), Kankhal, Mansa Devi Temple (Bilwa Tirth) and Chandi Devi Temple (Neel Parvat). Haridwar is also known globally for Ayurveda, meditation and yoga. Since it is a religious centre, alcohol and non-vegetarian food are not permitted here. The city is well connected by bus and trains but is especially busy during the yatra season from May to October.']"
Kanyakumari,October-March,"[' Bordered by the three seas - Arabian, Indian and the Bay of Bengal, Kanyakumari is the southernmost tip of the Indian Peninsula. A small coastal town in the state of Tamil Nadu, Kanyakumari was earlier known as Cape Comorin. ', '', ' Kanyakumari offers the marvellous confluence of the Bay of Bengal, the Arabian Sea and the Indian ocean meeting together at a point. But, this is not a miracle, the miracle lies in the beauty that the water of three seas does not mix, you can clearly distinguish between the turquoise blue, deep blue and sea green waters of the three seas. To enjoy the best view of sunset and sunrise, you can visit the Triveni Sangam point and the famous View tower.The town has a mountainous terrain with elevated patches of hills, coconut trees and lined with paddy fields. Kanyakumari is also the only place in India where you can observe the sunrise and sunset at the same beach. The town is not only popular for its unique phenomenon but also its temples and the Vivekananda Rock Memorial among other iconic monuments.Waterfalls in Kanyakumari that you should not miss out on include the Thirparappu falls, the Courtallam Falls, and the Olakaruvi falls. Kanyakumari has authentic South Indian cuisine, with seafood and coconuts being an integral part of almost all dishes.']"
Pune,October-March,"[' Pune is a bustling metropolis of Maharashtra, ranked number one in India in the ease of living. Often referred to as the Oxford of the East, it is a hub of diverse people and activities and is in rapidly growing into one of the top metropolitan cities in the country. Pune is a city that perfectly blends modernity with tradition sprinkled with colonial-era charm, and it deserves the title of being the cultural capital of Maharashtra.', '', ' Behind the modern commercialized façade of Pune lies the roots of ancient Poona, which gave birth to the Maratha Empire and had a very crucial role to play in the history of India’s independence. Pune is globally known for the Osho Ashram which attracts followers from all over the world. Dotted with palaces and temples, the most important of these are the Shaniwar Wada palace and the Aga Khan Palace. To experience the grandiose of Maratha architecture coupled with stunning views of the Sahyadris, the Singhagad fort is a must-visit tourist attraction. Due to its alluring location on the Bhuleshwar Range of the Sahyadri Mountains, it offers excellent trekking trails to the top of the cliffs. While Pune has plenty of eating options, ranging from street food to high-class restaurants where one can enjoy all kinds of cuisines, it is renowned for its bakery items. Ranging from a variety of cookies, pastries to even cakes, don’t forget to try out Pune’s mouth-watering desserts.']"
Kochi,October-March,"["" Situated on the southwest coast of India, Kochi or Cochin is a commercial port city with a trading history that dates back to at least 600 years. Called the Queen of the Arabian Sea, the city is Kerala's financial, commercial, and industrial capital."", '', ' A gaggle of islands interconnected by ferries, this cosmopolitan town has upmarket stores, art galleries and some of the finest heritage accommodations. In a true vintage-meets-future fashion, restaurants and shopping hubs crowd Ernakulum, Jew Town and Fort Kochi along with palaces, beaches, temples, and heritage sites. Kochi is also an important place to see Kathakali and Kalarippayattu performances and the annual Biennale Festival.Well connected by all means possible, this coastal city is both a popular tourist hotspot and an active naval base, being officially the home to the Southern Command of the Indian Navy and an air squadron of the Indian Navy. ']"
Ahmedabad,October-March,"[' A rapidly growing metropolis, an industrial hub, an educational hotspot, and a city with a magnificent past – Ahmedabad is one of the most important cities in Gujarat. Located on the banks of the Sabarmati River, Ahmedabad is the former capital of Gujarat, and its delicious food, colourful culture is making it a fast-growing tourist destination. The historic city of Ahmedabad or the old part of the city was declared as the UNESCO World Heritage Site.', '', ' Home to a plethora of remarkable temples like Swaminarayan Temple, intriguing museums and classy markets, with a little bit of colonial history attached to it, Ahmedabad is an excellent example of how a city can still retain every bit of its old-world charm while still rapidly progressing on the path of globalisation.Ahmedabad is famous for its textiles and its tie-dye bandhani handloom technique, which makes it a great place to shop. From bandhani sarees, dupattas to traditionally embroidered dress materials, and other local handicrafts.Sabarmati Ashram, situated directly beside the Sabarmati river, is a quaint and peaceful ashram built by Mahatma Gandhi after he returned from South Africa. To this date, Gandhiji’s living quarters are preserved here and is now used as a museum where visitors can learn all about his life and his teachings. The infamous Dandi Salt March, which was a crucial point in India’s independence struggle, originated from this ashram.']"
Kanha National Park,October-June,"[' Located in a central region of Madhya Pradesh, Kanha National Park is the largest National Park in central India and has been ranked as one of the best parks in Asia. Among the 22 species of large mammals, the royal Bengal tigers are one of the major attractions. One of the best tiger reserves in India, the present-day area stretches over the 940-kilometre square which is divided into two sanctuaries: Hallon and Banjar. ', '', "" The park was established in the year 1955 and has since actively contributed to the preservation of many endangered species. The National Park was taken under the Project Tiger Reserve in 1974. Abundant in flora and fauna, the Kanha National Park houses one of the rarest species of deer- the Barasingha. It is known for the unique Barasingha conversation to save the species that were once on the verge of extinction. One of the most scenic wildlife reserves in Asia today, this National Park came to be known the world over through Rudyard Kipling's book- The Jungle Book. Kanha National Park is famous for its wildlife safaris and attracts tourists from all over the world. Other important animals in this park are leopards, wild dogs, wild cats, foxes, sloth bears, hyenas, langurs, wild boars and jackals. Reptiles including pythons, cobras, krait and other varieties of snakes are also found in this National Park. ""]"
Mysore,October-March,"[' Famously known as The City of Palaces, it wouldn’t be wrong to say that Mysore, currently Mysuru, is one of the most important places in the country regarding ancient reigns. It is replete with the history of its dazzling royal heritage, intricate architecture, its famed silk sarees, yoga, and sandalwood, to name just a few. Located in the foothills of the Chamundi Hills, Mysore is the third most populated city in Karnataka, and its rich heritage draws millions of tourists all year round. The highlight is the majestic Mysore Palace, a UNESCO World Heritage Site, which is a must-visit.', '', ' Mysore was one of the three largest Princely States in the erstwhile British Empire of India. To this day, the Mysore Palace stands tall as one of the most spectacular palaces in India. A very famous tourist spot that sees thousands of visitors milling in and around it every day, the Mysore Palace is a mesmerizing example of Indo-Saracenic architecture, every inch of the palace drips with opulence and intricate details, and every room that you visit stands out in terms of its elaborate architecture, beautiful paintings, rich colours and stained-glass windows. On every Sunday, and during the Dussehra celebrations, the palace is spectacularly lit up once dusk falls.Another popular element in Mysore is the Ashtanga School of Yoga. This draws visitors and practitioners from around the world to participate in this style of yoga that originated in Mysore. ']"
Chandigarh,October-March,"["" Chandigarh is a union territory that is the capital of both Punjab, as well as, Haryana. India's first planned city, Chandigarh is traditionally a Punjabi city at heart with a healthy dose of modernity; Chandigarh's food and gedi culture (a leisure drive or ride the city) is what the capital is known for! Located at a distance of 265 km from Delhi, Chandigarh is one of the popular weekend road trip destinations and other major cities but also acts as an important staging point when one heads to destinations in Himachal Pradesh and Jammu and Kashmir."", '', "" A favourite activity of the locals at Chandigarh is boating at the beautiful Sukhna Lake. However, the other important attractions in the city are the Rock Garden, the Leisure Valley & Rose Garden. Chandigarh's Rock Garden is very well known for being entirely designed out of discarded industrial and urban waste, while the Leisure Valley is an 8-kilometre-long well-maintained park that houses Asia's most extensive rose garden, a very popular draw among tourists and locals alike.Another famous place to visit in Chandigarh is the Capitol complex, often referred to as Le Corbusier Centre. Earlier used as Le Corbusier's base, this UNESCO World Heritage Site has now been converted into a museum, and tourists are free to visit it. The Capitol is also home to the state's Vidhan Sabha, High Court, and Secretariat.""]"
Hampi,October-March,"["" Hampi, the city of ruins, is a UNESCO World Heritage Site. Situated in the shadowed depth of hills and valleys in the state of Karnataka, this place is a historical delight for travellers. Surrounded by 500 ancient monuments, beautiful temples, bustling street markets, bastions, treasury building and captivating remains of Vijayanagar Empire, Hampi is a backpacker's delight. Hampi is an open museum with 100+ locations to explore and a favourite way to see the city from the perspective of its history."", '', ' Hampi was the capital of the Vijayanagar empire around 1500 AD, and by some accounts, the second largest city in the world at that time. Over the next centuries it fell out of importance, and now you can explore the ruins of a lot of temples and other structures spread out over a vast area. \nThe terrain around Hampi is as mysterious as the ruins itself - the city is surrounded by boulders of different sizes, and you can climb to the top of them with a little effort to get a stunning view of the entire city and the geography. It is located on the banks of the Tungabhadra River. Famous for its massive, beautifully carved temples, especially the Virupaksha Temple, dedicated to the patron deity of the empire. You can also find remains of the old aqueducts, canals and military barracks and stables here. \n\nHampi was declared a UNESCO World Heritage site in 1986 and many efforts have been taken to restore the lost glory of the place - very limited (if any) modern establishments are allowed in the main area, which gives an authentic feel to the ruins.\n\n']"
Gulmarg,December-February,"["" Situated at an altitude of 2730 m above sea level, Gulmarg is a popular skiing destination located in Pir Panjal Range of Union territory of Jammu and Kashmir. Surrounded by snow-covered lofty Himalayas, meadows of flowers, deep ravines, evergreen forested valleys, Gulmarg also has the world's second-highest Gondola ride."", '', ' Among one of the top honeymoon destinations in India, Gulmarg boasts of being a beautiful town without the crowd like Manali and Shimla. Gulmarg has also been developed as an adventure hub as Indian Institute of Skiing and Mountaineering is located here. A lot of courses on trekking, mountaineering, skiing, and snowboarding are offered by IISM. There are a lot of other private tour operators in Gulmarg as well which provide similar courses and facilities for skiing, snowboarding and trekking. Known for its scenic beauty, Gulmarg has also been a popular destination for shooting of various Bollywood films.']"
Almora,March-November,"[' Set in the background of snow-capped Himalayan ranges of Uttarakhand, the sprawling town of Almora is a beautiful hill station. With easy accessibility from Delhi and other major cities of North India, Almora is known for its rich cultural heritage, unique handicrafts, sumptuous cuisine and magnificent wildlife. This town has two major rivers- Koshi (Kaushaki) and Suyal (Salmali).', '', ' Popular pilgrimage sites like Nanda Devi and Jageshwar attract thousands of devotees each year. Almora is also popular among backpackers as it has hostels and cafes in Kasar Devi, a village near Almora.Many routes that go deeper into the Himalayas start from Almora, and there is also single day to weekend treks near the town. Almora is also popular for mountain biking, Since it is easy to reach Almora and it is at a relatively low altitude, one does not need too much training to bike here. Many shops and resorts rent bikes by the hour or by the day, and you can also enjoy cycling across the rugged mountain paths.']"
Shirdi,October-March,"['This temple is the main pilgrimage site of the followers of Sai Baba. This temple holds his earthly remains, items that he used every day and other articles of his possession. The Samadhi is built with white marble and the main deity of the temple is built with Italian marble.']"
Auli,December-February,"[' Dotted with the apple orchards, old oaks, and pine trees there is no dearth of natural beauty in Auli. Apart from skiing you can also go for numerous treks in the hills of Garhwal Himalayas and enjoy the spellbinding views of the snow-draped mountains. Auli is a popular hill resort in the Himalayan range dating back to the 8th Century AD. The Garhwal Mandal Vikas Nigam Limited (GMVL) runs a ski resort and a ski rental shop. ', '', ' Auli is a popular skiing destination in India because of its glittering slopes and clean environment. Dotted with apple orchards, oaks and deodars, Auli is a popular hill town with numerous ski resorts situated amidst the Himalayan range. Located at 2800 meters above sea levels, it is home to mountain ranges of Nanda Devi, Mana Parvat and Kamat Kamet. Many religious destinations are also scattered around Auli. It is believed that Shankracharya had blessed Auli with his visit.']"
Madurai,October-March,"["" Madurai, the cultural capital of Tamil Nadu, is one of the oldest continuously inhabited cities of India. Ruled by Pandya kings for the longest time in its history, it is called as the 'Lotus City' as it was planned and built in the shape of a lotus. Madurai is known for Meenakshi Amman Temple, dedicated to the goddess Meenakshi with a sanctum for her consort, Sundareshwarar. "", '', ' There are many other ancient temples in Madurai, including Thiruparankundram. It is one of the important old temples dedicated to Lord Muruga(Karthikeya) and is located on a hillock approximately 8 km from the city. Having trade ties with ancient Rome, the place holds a great cultural heritage. With bustling bazaars and fantastic street food, Madurai has heritage walks conducted throughout the day. Madurai is instrumental in promoting Tamil language and preserving the culture.']"
Amarnath,June-August,"[' Amarnath, located in union territory of Jammu and Kashmir is one of the most important pilgrimage in India for the worshippers of Lord Shiva. The Amarnath cave has an enshrined Shivaling formed naturally with ice, which resembles Lord Shiva.', '', "" Amarnath is visited by millions of tourists every year from all across the world for a challenging mountainous trek called 'Amarnath Yatra'. Legend has it that, this place is regarded to be the same cave where Lord Shiva revealed the secret of life and eternity to Goddess Parvati.Amarnath Cave is accessible only during the Sharavan months of July-August. There are two routes available for undertaking the Amarnath Yatra - via Baltal or Pahalgam. The Baltal route, though shorter, has a steeper trekking route. The Pahalgam route is longer but is generally preferred by most of the devotees. It usually takes 3-5 days to reach Amarnath from the base point. Helicopter services are now available by private operators on both these routes. The devotees need to make advance bookings and get registered to undertake the holy pilgrimage to Amarnath.Read more about Amarnath Yatra 2021""]"
Bodh Gaya,October-March,"[' Bodh Gaya is a Buddhist pilgrimage site in Gaya District of Bihar. Famous for the Mahabodhi Temple, It was here under the Bodhi tree that Gautama Buddha attained enlightenment.', '', ' It is now one of the UNESCO World Heritage Sites, and a lot of foreign countries, including Japan and China, have helped the Indian government in building facilities for the Buddhist pilgrims. The place is bustling with pilgrims all through the year from India and abroad who come to pay their homage in monasteries, temples and remnants of Bodhi Tree.Located near the river Neranjana, Bodh Gaya was earlier known as Uruwela. It was also known as Sambodhi, Vajrasana or Mahabodhi until the 18th century CE. It is one of the four important Buddhist sites that include: Kushinagar, Lumbini and Sarnath.']"
Mahabaleshwar,December-February,"[' Mahabaleshwar is a hill station located in the Western Ghats, in Satara district of Maharashtra. Apart from its strawberries, Mahabaleshwar is also well known for its numerous rivers, magnificent cascades and majestic peaks. It is among the most sought after weekend getaways from Pune & Mumbai, located about 120km south-west of Pune and 285km from Mumbai.', '', ' Mahabaleshwar is also a sacred pilgrimage place for Hindus as the Krishna river originates from here. Once a summer capital of the British, the hill station of Mahabaleshwar comprises of ancient temples, boarding schools, manicured and lush green dense forest, waterfalls, hills, valleys. It is often used as a base to visit the magnificent Pratapgad Fort, located an hour away.Malcolm Peth, Old Kshetra Mahabaleshwar and a region of the Shindola village are the three villages that make up Mahabaleshwar.']"
Visakhapatnam,October-June,"[' Visakhapatnam, also commonly known as Vizag, is one of the oldest port cities in the country. Situated in the heart of Andhra Pradesh, Visakhapatnam is known for its picturesque beaches and serene landscape, as well as a rich cultural past. The port of Visakhapatnam is renowned for being home to the oldest shipyard in all of India. Located a short distance away from Visakhapatnam is Araku Valley, one of the prime attractions of Vizag. Situated at a lofty 910 metres above sea level, Araku Valley is a hill station replete with gushing waterfalls, crystal clear streams, lush green gardens and some challenging trekking trails.', '', ' Vizag is dotted with many beaches along its coastline, with the most famous one being the Yarada Beach. One of the most stunning places to see in all of Visakhapatnam, Yarada beach is surrounded by majestic hills on three sides, and by the Bay of Bengal on the other side. One of the best things about Vizag’s beaches is that they are a lot cleaner and a lot less crowded than other famous beaches along the Indian coastline, and Yarada beach is no exception. It is the perfect place to sit back on the golden sands and witness a marvellous sunrise or sunset. If you’re a history lover, the Borra Caves are one of the best tourist attractions that Vizag has to offer for you. Nestled amidst the Ananthagiri Hills in Araku Valley, the Borra Caves are over thousands of years old and are the biggest among all the caves found in India. Made entirely of natural karstic limestone, the caves are kaleidoscopic in nature, and the light falling on the rocks coupled with the waterfalls creates an extremely colourful effect, lending an aura of magic and mysticism to the entire ambience. The Katiki Waterfalls, situated a short distance away from the Borra Caves, is a gushing waterfall that measures around 50 feet in height and is completely surrounded by the lush greenery of the valley. The crystal-clear water cascading down the rocks, bordered by the gleaming green foliage is a sight for sore eyes. Being a coastal area, the primary cuisine of Visakhapatnam includes seafood, as well as traditional Andhra South Indian cuisine.  While Visakhapatnam is not exactly renowned for being a shopping destination, you will still find a lot of things that you can take back home. You can purchase a wide variety of stuff starting from handicrafts to Kalamkari paintings to wooden toys to even gorgeous Pochampalli and Ikat sarees.']"
Kasol,October-June,"["" Kasol is a quaint little village in Himachal situated along the banks of the river Parvati. Commonly known as the 'Amsterdam of India', Kasol is a tourist attraction that is rapidly gaining fame as a popular hub for trekkers, backpackers, and nature lovers. Kasol is situated 23 kms from Bhuntar and next to the religious town of Manikaran and is one of the best places in the country just to sit back and chill in the panorama of snow-clad mountains, pine trees and gurgling river."", '', ' Kasol is famous for its trekking trails, which include treks to Kheerganga, Yanker Pass, Sar Pass, and Pin Parbati Pass. To get a real feel of the culture in this region, go on a visit to the village of Malana. Located a few kilometres away from Kasol, Malana is a tiny hamlet inhabited by people living in self-imposed isolation. The people of Malana claim themselves to be Aryan descendants, as a result of which they avoid interaction with outsiders. The village has plenty of scenic sights, though, and is often called ‘Little Greece’.Kasol is inhabited by a huge number of people from Israel, which is discernible from the plenteously available Israeli food, and the street signposts inscribed in Hebrew. Kasol has quite a few streetside cafes which serve delicious food, and the experience of sitting and enjoying a meal amidst the dark green forests and the awe-inspiring mountains make the meal even more enjoyable.Kasol has a flea market that sells a variety of items, so you can pick up trinkets, souvenirs, pendants, and even semi-precious stones to take back home for family and friends.']"
Nashik,July-March,"[' Nasik is a religious Hindu city, host to the Kumbh Mela every 12 years. It also makes for a perfect wine tasting destination.', '', "" Nashik (Nasik), named after a relic associated with Ramayana, is a city in Maharashtra located on the banks of river Godavari. Nashik plays host to the famous Kumbh Mela every 12 years. The city is home to plenty of exotic temples and is known in Hindu mythology as the place where Ravana's sister, Surpanakha, tried to seduce Lord Ram and got her nose cut off by Lakshman in the process. Its religious importance doesn't end there. It also plays host to the thousands of tourists visiting Shirdi and Trimbakeshwar. Apart from its temples, Nashik also has forts, waterfalls and vineyards to look out for. With multiple vineyards present in Nashik, the most popular being Sula, the wine-tourism industry is mushrooming in this part of Maharashtra. Nashik gives you the chance to experience a fabulous cocktail of extremes - from temples to vineyards, hills to waterfalls, this place offers a lot to see.""]"
