Name,Category,Dosage Form,Strength,Manufacturer,Indication,Classification
Amoximycin,Antiviral,Inhaler,652 mg,Bayer AG,Pain,Over-the-Counter
Dolomet,Antipyretic,Injection,399 mg,GlaxoSmithKline plc,Virus,Prescription
Cefstatin,Antifungal,Injection,442 mg,AbbVie Inc.,Diabetes,Prescription
Acetonazole,Antidiabetic,Inhaler,795 mg,"Gilead Sciences, Inc.",Infection,Prescription
Ibuprostatin,Antiviral,Drops,615 mg,Eli Lilly and Company,Diabetes,Prescription
Ibupromycin,Antiseptic,Ointment,625 mg,Biogen Inc.,Pain,Over-the-Counter
Dextrovir,Antifungal,Drops,252 mg,Biogen Inc.,Fever,Over-the-Counter
Amoxivir,Antidiabetic,Tablet,509 mg,AstraZeneca plc,Fever,Over-the-Counter
Metoprofen,Antiviral,Drops,555 mg,Eli Lilly and Company,Fungus,Over-the-Counter
Cefmycin,Antidepressant,Injection,112 mg,AstraZeneca plc,Infection,Over-the-Counter
Ibuprocillin,Antifungal,Drops,822 mg,Novo Nordisk A/S,Diabetes,Prescription
Doloprofen,Antibiotic,Syrup,902 mg,Biogen Inc.,Virus,Prescription
Cefmycin,Antiseptic,Syrup,228 mg,GlaxoSmithKline plc,Diabetes,Over-the-Counter
Amoxistatin,Antiviral,Cream,35 mg,Johnson & Johnson,Depression,Over-the-Counter
Metoprofen,Antifungal,Inhaler,185 mg,Boehringer Ingelheim GmbH,Diabetes,Over-the-Counter
Dolomet,Antipyretic,Cream,471 mg,Takeda Pharmaceutical Company Limited,Virus,Over-the-Counter
Clariprofen,Antiseptic,Drops,652 mg,Takeda Pharmaceutical Company Limited,Depression,Over-the-Counter
Dolovir,Antiviral,Cream,730 mg,Roche Holding AG,Wound,Over-the-Counter
Clarimycin,Antipyretic,Drops,430 mg,AstraZeneca plc,Diabetes,Over-the-Counter
Clarimet,Antipyretic,Cream,269 mg,"Gilead Sciences, Inc.",Wound,Over-the-Counter
Metovir,Analgesic,Drops,636 mg,Takeda Pharmaceutical Company Limited,Fever,Over-the-Counter
Clariphen,Antifungal,Cream,713 mg,Boehringer Ingelheim GmbH,Pain,Over-the-Counter
Dextrophen,Antidiabetic,Drops,505 mg,AbbVie Inc.,Diabetes,Prescription
Ibuprostatin,Antipyretic,Inhaler,984 mg,AbbVie Inc.,Virus,Prescription
Metoprofen,Antiseptic,Inhaler,276 mg,Johnson & Johnson,Pain,Over-the-Counter
Amoxiprofen,Antipyretic,Syrup,283 mg,Sanofi S.A.,Fungus,Over-the-Counter
Clarivir,Antifungal,Capsule,807 mg,Biogen Inc.,Virus,Over-the-Counter
Acetomycin,Antiseptic,Syrup,755 mg,Boehringer Ingelheim GmbH,Depression,Over-the-Counter
Dextrovir,Antipyretic,Cream,524 mg,Boehringer Ingelheim GmbH,Fever,Over-the-Counter
Acetostatin,Antipyretic,Syrup,878 mg,"Merck & Co., Inc.",Depression,Over-the-Counter
Cefprofen,Antibiotic,Cream,333 mg,Boehringer Ingelheim GmbH,Depression,Prescription
Metocillin,Antibiotic,Capsule,980 mg,Amgen Inc.,Fever,Over-the-Counter
Metovir,Analgesic,Inhaler,886 mg,"Merck & Co., Inc.",Wound,Prescription
Acetocillin,Antibiotic,Cream,487 mg,GlaxoSmithKline plc,Diabetes,Prescription
Dextrophen,Antidiabetic,Cream,391 mg,Bristol-Myers Squibb Company,Wound,Prescription
Dextrophen,Antibiotic,Syrup,955 mg,Novo Nordisk A/S,Fungus,Over-the-Counter
Dolostatin,Antipyretic,Cream,208 mg,GlaxoSmithKline plc,Wound,Over-the-Counter
Acetostatin,Analgesic,Syrup,40 mg,Johnson & Johnson,Wound,Over-the-Counter
Dextromet,Analgesic,Ointment,831 mg,Novo Nordisk A/S,Infection,Over-the-Counter
Cefmycin,Antiseptic,Drops,414 mg,Bayer AG,Fever,Prescription
Dextrophen,Antipyretic,Syrup,177 mg,Novartis AG,Diabetes,Prescription
Ibupromet,Antidepressant,Drops,485 mg,Sanofi S.A.,Diabetes,Prescription
Ibuprocillin,Antipyretic,Injection,279 mg,"Gilead Sciences, Inc.",Virus,Over-the-Counter
Ibuprostatin,Antibiotic,Tablet,837 mg,Eli Lilly and Company,Wound,Prescription
Cefphen,Antibiotic,Syrup,361 mg,"Merck & Co., Inc.",Infection,Prescription
Dolomet,Antidepressant,Cream,929 mg,Bristol-Myers Squibb Company,Virus,Prescription
Dextrophen,Antiseptic,Capsule,949 mg,Amgen Inc.,Fungus,Prescription
Ibuprostatin,Antidiabetic,Syrup,845 mg,Johnson & Johnson,Depression,Prescription
Dextronazole,Antifungal,Inhaler,879 mg,Takeda Pharmaceutical Company Limited,Depression,Over-the-Counter
Ibuprophen,Antibiotic,Syrup,861 mg,Teva Pharmaceutical Industries Ltd.,Infection,Over-the-Counter
Metostatin,Antidiabetic,Injection,514 mg,AbbVie Inc.,Infection,Prescription
Acetoprofen,Analgesic,Inhaler,816 mg,AbbVie Inc.,Depression,Prescription
Dolophen,Analgesic,Cream,276 mg,"Merck & Co., Inc.",Virus,Prescription
Amoxistatin,Antidepressant,Drops,390 mg,Amgen Inc.,Fever,Over-the-Counter
Metocillin,Analgesic,Capsule,336 mg,Novartis AG,Pain,Over-the-Counter
Dextrophen,Antiseptic,Syrup,436 mg,Novo Nordisk A/S,Depression,Prescription
Acetonazole,Antiviral,Capsule,393 mg,Biogen Inc.,Fungus,Prescription
Ibuprocillin,Antiviral,Injection,433 mg,Amgen Inc.,Wound,Over-the-Counter
Clarimet,Antidepressant,Drops,579 mg,Biogen Inc.,Fever,Over-the-Counter
Amoxinazole,Antipyretic,Inhaler,825 mg,CSL Limited,Depression,Prescription
Cefprofen,Analgesic,Tablet,309 mg,Eli Lilly and Company,Fever,Over-the-Counter
Cefvir,Antidiabetic,Drops,700 mg,Roche Holding AG,Fungus,Prescription
Ibuprovir,Analgesic,Tablet,799 mg,Biogen Inc.,Diabetes,Prescription
Cefcillin,Antiseptic,Injection,169 mg,CSL Limited,Depression,Over-the-Counter
Ibupronazole,Antipyretic,Syrup,619 mg,AbbVie Inc.,Wound,Prescription
Ibuprophen,Antidepressant,Drops,313 mg,"Merck & Co., Inc.",Wound,Prescription
Claristatin,Antipyretic,Drops,626 mg,Amgen Inc.,Fungus,Over-the-Counter
Amoxiprofen,Antiseptic,Drops,478 mg,CSL Limited,Virus,Prescription
Ibupromycin,Antiseptic,Syrup,366 mg,Teva Pharmaceutical Industries Ltd.,Virus,Over-the-Counter
Dolophen,Antifungal,Cream,899 mg,Amgen Inc.,Depression,Prescription
Metocillin,Analgesic,Ointment,943 mg,AbbVie Inc.,Fungus,Over-the-Counter
Amoxistatin,Analgesic,Tablet,352 mg,Bayer AG,Diabetes,Over-the-Counter
Acetomet,Antipyretic,Tablet,204 mg,Amgen Inc.,Fever,Prescription
Metomycin,Antipyretic,Inhaler,53 mg,Pfizer Inc.,Wound,Prescription
Metomet,Analgesic,Tablet,151 mg,Johnson & Johnson,Wound,Over-the-Counter
Cefcillin,Analgesic,Syrup,464 mg,Bayer AG,Depression,Prescription
Metomycin,Antifungal,Ointment,523 mg,AbbVie Inc.,Pain,Over-the-Counter
Cefprofen,Antidiabetic,Inhaler,486 mg,Biogen Inc.,Pain,Over-the-Counter
Metocillin,Antiviral,Ointment,439 mg,Pfizer Inc.,Pain,Prescription
Metomet,Antifungal,Capsule,850 mg,Pfizer Inc.,Depression,Prescription
Clarivir,Antifungal,Cream,733 mg,Pfizer Inc.,Fungus,Prescription
Cefnazole,Analgesic,Syrup,691 mg,Boehringer Ingelheim GmbH,Fungus,Prescription
Dextromet,Antidepressant,Drops,615 mg,Novo Nordisk A/S,Depression,Prescription
Amoxicillin,Analgesic,Cream,646 mg,Eli Lilly and Company,Infection,Prescription
Dolomet,Antifungal,Ointment,357 mg,Pfizer Inc.,Fever,Over-the-Counter
Dextrovir,Analgesic,Cream,672 mg,"Gilead Sciences, Inc.",Fungus,Prescription
Clariphen,Antidepressant,Inhaler,343 mg,Bayer AG,Fungus,Prescription
Cefstatin,Antipyretic,Inhaler,866 mg,Bristol-Myers Squibb Company,Virus,Over-the-Counter
Dextrocillin,Antibiotic,Injection,670 mg,Teva Pharmaceutical Industries Ltd.,Infection,Prescription
Dolovir,Antiviral,Tablet,201 mg,Novartis AG,Fever,Prescription
Cefphen,Antibiotic,Cream,521 mg,Eli Lilly and Company,Fever,Over-the-Counter
Dolostatin,Antibiotic,Ointment,376 mg,AstraZeneca plc,Virus,Prescription
Amoximet,Antipyretic,Ointment,154 mg,GlaxoSmithKline plc,Diabetes,Prescription
Cefmet,Antidiabetic,Inhaler,854 mg,Teva Pharmaceutical Industries Ltd.,Virus,Over-the-Counter
Dextrovir,Analgesic,Ointment,235 mg,Novo Nordisk A/S,Wound,Prescription
Metomycin,Antiviral,Ointment,109 mg,Bristol-Myers Squibb Company,Depression,Over-the-Counter
Cefphen,Antidiabetic,Inhaler,665 mg,Bristol-Myers Squibb Company,Pain,Over-the-Counter
Amoxiphen,Antidiabetic,Ointment,358 mg,AstraZeneca plc,Wound,Over-the-Counter
Acetomet,Antidepressant,Cream,574 mg,Pfizer Inc.,Infection,Prescription
Dolovir,Antidiabetic,Ointment,10 mg,Pfizer Inc.,Depression,Over-the-Counter
Acetoprofen,Antidepressant,Drops,920 mg,CSL Limited,Infection,Prescription
Dextromycin,Analgesic,Ointment,475 mg,Boehringer Ingelheim GmbH,Depression,Prescription
Acetomet,Antibiotic,Cream,480 mg,Biogen Inc.,Wound,Prescription
Dolonazole,Analgesic,Ointment,721 mg,Roche Holding AG,Depression,Prescription
Dextronazole,Analgesic,Ointment,685 mg,Sanofi S.A.,Fever,Over-the-Counter
Dextrophen,Antibiotic,Cream,443 mg,Novo Nordisk A/S,Depression,Over-the-Counter
Amoxiphen,Antidepressant,Capsule,665 mg,Boehringer Ingelheim GmbH,Pain,Over-the-Counter
Clariprofen,Antiseptic,Syrup,362 mg,Bayer AG,Virus,Prescription
Acetomycin,Antiviral,Cream,480 mg,Bayer AG,Fungus,Over-the-Counter
Dolovir,Antidiabetic,Injection,250 mg,Boehringer Ingelheim GmbH,Wound,Over-the-Counter
Dextrovir,Antipyretic,Tablet,259 mg,Bristol-Myers Squibb Company,Pain,Over-the-Counter
Claristatin,Analgesic,Ointment,240 mg,Novo Nordisk A/S,Infection,Over-the-Counter
Dolovir,Antidiabetic,Injection,795 mg,GlaxoSmithKline plc,Diabetes,Over-the-Counter
Metomycin,Antipyretic,Inhaler,115 mg,Sanofi S.A.,Pain,Over-the-Counter
Ibupromycin,Antipyretic,Inhaler,535 mg,GlaxoSmithKline plc,Depression,Over-the-Counter
Cefmet,Antiviral,Drops,7 mg,Bayer AG,Depression,Over-the-Counter
Acetovir,Analgesic,Injection,389 mg,AstraZeneca plc,Diabetes,Prescription
Dolostatin,Analgesic,Cream,442 mg,GlaxoSmithKline plc,Fever,Prescription
Metostatin,Antiseptic,Ointment,700 mg,Bayer AG,Fever,Prescription
Dolostatin,Antiseptic,Capsule,285 mg,AbbVie Inc.,Pain,Over-the-Counter
Cefphen,Antiviral,Injection,315 mg,Johnson & Johnson,Infection,Prescription
Dextronazole,Antidiabetic,Syrup,419 mg,"Merck & Co., Inc.",Diabetes,Prescription
Acetophen,Antiviral,Injection,637 mg,Novo Nordisk A/S,Fungus,Prescription
Acetostatin,Antipyretic,Capsule,719 mg,Biogen Inc.,Diabetes,Over-the-Counter
Acetophen,Antiviral,Capsule,802 mg,Roche Holding AG,Pain,Over-the-Counter
Acetonazole,Antidepressant,Drops,935 mg,Johnson & Johnson,Infection,Over-the-Counter
Amoximycin,Antidepressant,Injection,833 mg,Novartis AG,Wound,Prescription
Dextrophen,Antipyretic,Tablet,93 mg,Bristol-Myers Squibb Company,Fever,Over-the-Counter
Cefvir,Analgesic,Capsule,799 mg,Boehringer Ingelheim GmbH,Depression,Over-the-Counter
Dextronazole,Analgesic,Cream,746 mg,Sanofi S.A.,Diabetes,Prescription
Metomet,Antifungal,Drops,181 mg,Takeda Pharmaceutical Company Limited,Fever,Over-the-Counter
Acetocillin,Antipyretic,Capsule,701 mg,Boehringer Ingelheim GmbH,Depression,Over-the-Counter
Acetonazole,Antidiabetic,Capsule,858 mg,AstraZeneca plc,Fungus,Over-the-Counter
Acetovir,Antiseptic,Capsule,117 mg,Johnson & Johnson,Wound,Prescription
Amoximet,Antidepressant,Inhaler,122 mg,Teva Pharmaceutical Industries Ltd.,Fungus,Prescription
Ibuprocillin,Antidepressant,Injection,434 mg,Sanofi S.A.,Diabetes,Over-the-Counter
Claristatin,Antiseptic,Injection,174 mg,Amgen Inc.,Wound,Over-the-Counter
Metomycin,Analgesic,Injection,984 mg,CSL Limited,Fungus,Over-the-Counter
Dolomycin,Antidiabetic,Syrup,518 mg,Novo Nordisk A/S,Fever,Over-the-Counter
Amoxiphen,Analgesic,Drops,620 mg,Boehringer Ingelheim GmbH,Infection,Over-the-Counter
Metoprofen,Antipyretic,Capsule,882 mg,Bayer AG,Wound,Prescription
Amoximet,Antidepressant,Capsule,221 mg,"Merck & Co., Inc.",Depression,Prescription
Amoxinazole,Antidiabetic,Cream,388 mg,Sanofi S.A.,Fever,Prescription
Dextroprofen,Antibiotic,Injection,541 mg,Sanofi S.A.,Infection,Prescription
Acetophen,Antiviral,Tablet,389 mg,Pfizer Inc.,Depression,Prescription
Acetocillin,Antiseptic,Capsule,541 mg,Roche Holding AG,Wound,Prescription
Claricillin,Analgesic,Cream,945 mg,Bayer AG,Pain,Over-the-Counter
Acetophen,Antifungal,Injection,10 mg,Biogen Inc.,Diabetes,Over-the-Counter
Ibupromycin,Antibiotic,Tablet,72 mg,Bristol-Myers Squibb Company,Diabetes,Over-the-Counter
Acetophen,Antidepressant,Injection,51 mg,Pfizer Inc.,Depression,Prescription
Metostatin,Antipyretic,Ointment,436 mg,Bristol-Myers Squibb Company,Depression,Over-the-Counter
Claristatin,Antifungal,Capsule,383 mg,Novo Nordisk A/S,Fever,Prescription
Cefprofen,Antipyretic,Injection,546 mg,Amgen Inc.,Virus,Over-the-Counter
Metovir,Antibiotic,Inhaler,537 mg,Johnson & Johnson,Diabetes,Over-the-Counter
Metophen,Antiviral,Syrup,25 mg,Amgen Inc.,Infection,Prescription
Ibuprophen,Antidepressant,Drops,124 mg,AbbVie Inc.,Fungus,Prescription
Amoxivir,Antifungal,Cream,256 mg,Novo Nordisk A/S,Infection,Over-the-Counter
Claristatin,Antiviral,Tablet,422 mg,"Merck & Co., Inc.",Pain,Prescription
Acetophen,Antidepressant,Drops,150 mg,Teva Pharmaceutical Industries Ltd.,Virus,Prescription
Clarimycin,Antidepressant,Syrup,351 mg,Eli Lilly and Company,Depression,Over-the-Counter
Metophen,Antifungal,Capsule,165 mg,Takeda Pharmaceutical Company Limited,Virus,Over-the-Counter
Amoxistatin,Antiseptic,Cream,635 mg,Novo Nordisk A/S,Diabetes,Prescription
Dolovir,Antifungal,Ointment,386 mg,Takeda Pharmaceutical Company Limited,Infection,Over-the-Counter
Metovir,Antibiotic,Injection,563 mg,CSL Limited,Diabetes,Prescription
Acetomycin,Antiseptic,Tablet,746 mg,Teva Pharmaceutical Industries Ltd.,Fever,Prescription
Cefphen,Antibiotic,Ointment,160 mg,"Gilead Sciences, Inc.",Fungus,Prescription
Acetomycin,Antidepressant,Capsule,237 mg,Roche Holding AG,Pain,Prescription
Dolocillin,Analgesic,Ointment,186 mg,Sanofi S.A.,Pain,Over-the-Counter
Acetomet,Antifungal,Ointment,709 mg,Boehringer Ingelheim GmbH,Depression,Prescription
Dolocillin,Antiseptic,Cream,699 mg,AstraZeneca plc,Wound,Prescription
Metovir,Antidepressant,Capsule,287 mg,Novo Nordisk A/S,Depression,Prescription
Ibuprostatin,Antidiabetic,Cream,460 mg,Bristol-Myers Squibb Company,Fever,Prescription
Dolophen,Antipyretic,Syrup,404 mg,Bayer AG,Wound,Prescription
Acetomet,Antidiabetic,Syrup,40 mg,Roche Holding AG,Fever,Over-the-Counter
Dolostatin,Analgesic,Drops,215 mg,Amgen Inc.,Fungus,Prescription
Clarimycin,Antibiotic,Capsule,120 mg,AstraZeneca plc,Wound,Over-the-Counter
Metomet,Antibiotic,Tablet,569 mg,GlaxoSmithKline plc,Fungus,Prescription
Ibuprophen,Antipyretic,Tablet,809 mg,"Merck & Co., Inc.",Fungus,Over-the-Counter
Doloprofen,Antiseptic,Syrup,906 mg,"Merck & Co., Inc.",Diabetes,Over-the-Counter
Metonazole,Antidepressant,Tablet,998 mg,Biogen Inc.,Virus,Prescription
Ibupromycin,Antiseptic,Capsule,292 mg,Novo Nordisk A/S,Infection,Prescription
Dolocillin,Antidepressant,Tablet,523 mg,AstraZeneca plc,Fever,Over-the-Counter
Ibuprocillin,Antipyretic,Tablet,291 mg,Biogen Inc.,Infection,Prescription
Dextrocillin,Antibiotic,Drops,771 mg,Bayer AG,Fever,Over-the-Counter
Cefvir,Antibiotic,Tablet,440 mg,AbbVie Inc.,Fungus,Over-the-Counter
Acetomet,Analgesic,Injection,367 mg,Amgen Inc.,Pain,Over-the-Counter
Dextroprofen,Antiviral,Ointment,327 mg,Teva Pharmaceutical Industries Ltd.,Wound,Over-the-Counter
Ibupromycin,Antidepressant,Syrup,157 mg,AstraZeneca plc,Infection,Over-the-Counter
Ibupromycin,Antibiotic,Ointment,916 mg,Boehringer Ingelheim GmbH,Fungus,Over-the-Counter
Clarimycin,Antipyretic,Cream,332 mg,Biogen Inc.,Pain,Over-the-Counter
Cefmycin,Antidiabetic,Injection,470 mg,Amgen Inc.,Pain,Over-the-Counter
Acetomet,Antibiotic,Drops,595 mg,CSL Limited,Depression,Prescription
Metoprofen,Analgesic,Injection,613 mg,Novo Nordisk A/S,Virus,Prescription
Metovir,Antipyretic,Cream,890 mg,Biogen Inc.,Pain,Prescription
Ibupromet,Antifungal,Injection,4 mg,Teva Pharmaceutical Industries Ltd.,Pain,Prescription
Amoximet,Antidiabetic,Tablet,915 mg,Boehringer Ingelheim GmbH,Wound,Over-the-Counter
Dextroprofen,Analgesic,Cream,379 mg,Takeda Pharmaceutical Company Limited,Diabetes,Over-the-Counter
Acetostatin,Antidiabetic,Syrup,928 mg,"Merck & Co., Inc.",Pain,Prescription
Dextrostatin,Antidiabetic,Cream,944 mg,Takeda Pharmaceutical Company Limited,Fever,Over-the-Counter
Cefnazole,Antiseptic,Capsule,5 mg,GlaxoSmithKline plc,Pain,Over-the-Counter
Ibuproprofen,Antidiabetic,Cream,799 mg,Eli Lilly and Company,Fever,Over-the-Counter
Acetomet,Antiviral,Tablet,765 mg,GlaxoSmithKline plc,Virus,Prescription
Ibuprocillin,Antidiabetic,Cream,214 mg,Roche Holding AG,Diabetes,Prescription
Clariphen,Antibiotic,Syrup,662 mg,Teva Pharmaceutical Industries Ltd.,Fever,Over-the-Counter
Metonazole,Analgesic,Drops,358 mg,Sanofi S.A.,Diabetes,Prescription
Amoxiphen,Antipyretic,Syrup,500 mg,GlaxoSmithKline plc,Fever,Over-the-Counter
Acetocillin,Antidepressant,Syrup,53 mg,Roche Holding AG,Fungus,Over-the-Counter
Ibupromet,Antiseptic,Syrup,101 mg,GlaxoSmithKline plc,Wound,Prescription
Clarimet,Antiseptic,Ointment,348 mg,AstraZeneca plc,Virus,Over-the-Counter
Dolocillin,Antiviral,Drops,589 mg,GlaxoSmithKline plc,Diabetes,Prescription
Cefmycin,Antidiabetic,Drops,313 mg,Amgen Inc.,Virus,Prescription
Ibuproprofen,Antiviral,Tablet,26 mg,Sanofi S.A.,Infection,Prescription
Dolophen,Analgesic,Ointment,299 mg,AbbVie Inc.,Fever,Over-the-Counter
Metonazole,Antidepressant,Injection,762 mg,Boehringer Ingelheim GmbH,Virus,Prescription
Ibupromet,Analgesic,Drops,778 mg,Boehringer Ingelheim GmbH,Infection,Prescription
Dextronazole,Antiviral,Injection,564 mg,Amgen Inc.,Infection,Prescription
Cefmycin,Antipyretic,Injection,599 mg,AstraZeneca plc,Infection,Over-the-Counter
Metonazole,Antibiotic,Inhaler,157 mg,Roche Holding AG,Wound,Prescription
Acetophen,Antifungal,Ointment,936 mg,Boehringer Ingelheim GmbH,Diabetes,Prescription
Acetomycin,Analgesic,Cream,138 mg,Roche Holding AG,Fever,Prescription
Cefstatin,Antidiabetic,Drops,601 mg,Novo Nordisk A/S,Depression,Prescription
Metomet,Analgesic,Capsule,249 mg,"Gilead Sciences, Inc.",Diabetes,Prescription
Ibuproprofen,Antiviral,Syrup,669 mg,CSL Limited,Pain,Over-the-Counter
Amoxiphen,Antifungal,Capsule,309 mg,Biogen Inc.,Diabetes,Prescription
Amoxicillin,Antiviral,Tablet,385 mg,Sanofi S.A.,Infection,Prescription
Claristatin,Antifungal,Cream,908 mg,Bayer AG,Pain,Prescription
Metoprofen,Analgesic,Ointment,48 mg,Bayer AG,Wound,Prescription
Ibupromycin,Antidepressant,Injection,568 mg,"Gilead Sciences, Inc.",Wound,Prescription
Ibuprocillin,Antiseptic,Ointment,356 mg,Bayer AG,Fungus,Over-the-Counter
Doloprofen,Analgesic,Ointment,262 mg,AstraZeneca plc,Diabetes,Prescription
Metomet,Analgesic,Ointment,507 mg,Eli Lilly and Company,Fungus,Over-the-Counter
Acetostatin,Antidiabetic,Tablet,775 mg,Biogen Inc.,Diabetes,Prescription
Clarimet,Antidepressant,Drops,199 mg,Eli Lilly and Company,Virus,Over-the-Counter
Dextrophen,Antiviral,Capsule,516 mg,Novo Nordisk A/S,Pain,Over-the-Counter
Amoxivir,Antiseptic,Capsule,239 mg,Boehringer Ingelheim GmbH,Infection,Over-the-Counter
Acetocillin,Antiviral,Injection,831 mg,AbbVie Inc.,Fungus,Over-the-Counter
Acetovir,Antiseptic,Injection,168 mg,Amgen Inc.,Pain,Over-the-Counter
Ibuprocillin,Antiseptic,Drops,60 mg,"Gilead Sciences, Inc.",Fungus,Prescription
Dolonazole,Antibiotic,Tablet,64 mg,Pfizer Inc.,Fungus,Prescription
Clarivir,Antiviral,Injection,170 mg,Roche Holding AG,Pain,Prescription
Metostatin,Antiseptic,Syrup,245 mg,Amgen Inc.,Virus,Prescription
Dolocillin,Antiseptic,Inhaler,253 mg,Pfizer Inc.,Fungus,Prescription
Cefcillin,Antidepressant,Tablet,281 mg,AbbVie Inc.,Fungus,Prescription
Metocillin,Antifungal,Capsule,56 mg,Amgen Inc.,Fever,Over-the-Counter
Metonazole,Antiseptic,Capsule,283 mg,Bayer AG,Fever,Prescription
Cefprofen,Analgesic,Ointment,124 mg,"Gilead Sciences, Inc.",Fungus,Prescription
Amoxivir,Antiseptic,Inhaler,311 mg,"Merck & Co., Inc.",Wound,Prescription
Dextronazole,Antiseptic,Capsule,751 mg,Boehringer Ingelheim GmbH,Infection,Over-the-Counter
Dextrocillin,Antidepressant,Syrup,857 mg,Eli Lilly and Company,Infection,Over-the-Counter
Dextroprofen,Antibiotic,Inhaler,596 mg,"Merck & Co., Inc.",Pain,Over-the-Counter
Amoxicillin,Analgesic,Capsule,158 mg,GlaxoSmithKline plc,Depression,Over-the-Counter
Amoxivir,Antiviral,Inhaler,976 mg,Bristol-Myers Squibb Company,Diabetes,Prescription
Metonazole,Antiseptic,Drops,967 mg,Boehringer Ingelheim GmbH,Fungus,Over-the-Counter
Clarinazole,Antibiotic,Syrup,236 mg,AstraZeneca plc,Virus,Over-the-Counter
Metonazole,Analgesic,Injection,979 mg,Novo Nordisk A/S,Fungus,Over-the-Counter
Amoxicillin,Analgesic,Tablet,561 mg,Amgen Inc.,Wound,Over-the-Counter
Amoximycin,Antifungal,Syrup,737 mg,"Merck & Co., Inc.",Diabetes,Prescription
Cefvir,Antibiotic,Cream,454 mg,AbbVie Inc.,Depression,Over-the-Counter
Dextromycin,Antifungal,Cream,754 mg,Bayer AG,Fever,Over-the-Counter
Cefvir,Analgesic,Inhaler,989 mg,CSL Limited,Wound,Prescription
Metonazole,Antidiabetic,Inhaler,833 mg,Pfizer Inc.,Diabetes,Prescription
Dextronazole,Antifungal,Inhaler,329 mg,Pfizer Inc.,Infection,Over-the-Counter
Ibuprocillin,Antibiotic,Injection,738 mg,Novartis AG,Fungus,Over-the-Counter
Clarivir,Antidepressant,Drops,468 mg,Johnson & Johnson,Pain,Over-the-Counter
Amoxinazole,Antibiotic,Cream,761 mg,GlaxoSmithKline plc,Diabetes,Prescription
Dolophen,Antipyretic,Syrup,507 mg,Bristol-Myers Squibb Company,Virus,Prescription
Clarinazole,Antidepressant,Ointment,442 mg,Boehringer Ingelheim GmbH,Infection,Prescription
Clariprofen,Analgesic,Capsule,263 mg,CSL Limited,Depression,Prescription
Acetophen,Antiviral,Tablet,372 mg,Pfizer Inc.,Fever,Prescription
Cefmet,Antiviral,Inhaler,521 mg,Takeda Pharmaceutical Company Limited,Fungus,Over-the-Counter
Amoxiphen,Antiviral,Injection,932 mg,Boehringer Ingelheim GmbH,Virus,Prescription
Cefcillin,Antidepressant,Syrup,467 mg,AstraZeneca plc,Depression,Prescription
Dextronazole,Antipyretic,Syrup,655 mg,Boehringer Ingelheim GmbH,Infection,Over-the-Counter
Ibuprovir,Antiseptic,Injection,271 mg,Roche Holding AG,Wound,Prescription
Metonazole,Antifungal,Inhaler,323 mg,Biogen Inc.,Infection,Prescription
Acetoprofen,Antipyretic,Capsule,844 mg,AbbVie Inc.,Diabetes,Prescription
Dextrostatin,Antiviral,Injection,863 mg,Sanofi S.A.,Fungus,Prescription
Ibupromycin,Antiseptic,Capsule,931 mg,Teva Pharmaceutical Industries Ltd.,Fungus,Prescription
Ibuprophen,Antidiabetic,Ointment,130 mg,AbbVie Inc.,Fever,Prescription
Acetomycin,Antidiabetic,Drops,547 mg,Takeda Pharmaceutical Company Limited,Infection,Prescription
Acetovir,Antipyretic,Inhaler,186 mg,Bayer AG,Virus,Over-the-Counter
Dolomycin,Antipyretic,Syrup,369 mg,Novo Nordisk A/S,Depression,Prescription
Metoprofen,Antiseptic,Tablet,935 mg,CSL Limited,Wound,Over-the-Counter
Acetocillin,Antiseptic,Capsule,725 mg,Novo Nordisk A/S,Virus,Prescription
Metoprofen,Antipyretic,Inhaler,792 mg,"Merck & Co., Inc.",Fever,Over-the-Counter
Acetocillin,Antibiotic,Cream,220 mg,GlaxoSmithKline plc,Fever,Over-the-Counter
Metomycin,Antiviral,Inhaler,449 mg,Roche Holding AG,Pain,Over-the-Counter
Amoxinazole,Antipyretic,Inhaler,849 mg,Boehringer Ingelheim GmbH,Fungus,Over-the-Counter
Clariprofen,Antiseptic,Inhaler,321 mg,Teva Pharmaceutical Industries Ltd.,Fever,Over-the-Counter
Dextromet,Analgesic,Drops,572 mg,Boehringer Ingelheim GmbH,Wound,Over-the-Counter
Clariphen,Antifungal,Drops,786 mg,GlaxoSmithKline plc,Pain,Over-the-Counter
Clarimet,Antiviral,Drops,651 mg,Boehringer Ingelheim GmbH,Depression,Prescription
Dolovir,Antidiabetic,Ointment,778 mg,Teva Pharmaceutical Industries Ltd.,Infection,Prescription
Amoxinazole,Analgesic,Syrup,636 mg,Boehringer Ingelheim GmbH,Virus,Prescription
Acetoprofen,Antidiabetic,Drops,660 mg,CSL Limited,Diabetes,Over-the-Counter
Amoxivir,Antifungal,Tablet,385 mg,Takeda Pharmaceutical Company Limited,Infection,Prescription
Metovir,Antibiotic,Tablet,347 mg,Sanofi S.A.,Virus,Prescription
Amoximycin,Antidepressant,Tablet,263 mg,Amgen Inc.,Fungus,Prescription
Ibuprophen,Antidepressant,Tablet,704 mg,GlaxoSmithKline plc,Diabetes,Over-the-Counter
Ibuprostatin,Antipyretic,Injection,301 mg,Bayer AG,Pain,Prescription
Acetocillin,Antiseptic,Cream,361 mg,Biogen Inc.,Infection,Prescription
