species,size,fragrance,height_cm
rose,medium,strong,78.73
shoeblack plant,large,none,53.06
shoeblack plant,large,none,97.47
shoeblack plant,medium,none,124.29
rose,medium,mild,64.88
shoeblack plant,large,none,141.58
hibiscus,large,none,117.64
hibiscus,large,none,131.49
rose,small,mild,32.0
shoeblack plant,medium,none,98.3
rose,medium,mild,77.48
rose,medium,mild,80.28
rose,medium,mild,33.84
rose,small,mild,50.09
hibiscus,large,none,114.09
hibiscus,large,none,137.64
rose,small,mild,36.8
rose,small,mild,99.12
rose,small,mild,88.25
rose,medium,mild,96.1
hibiscus,large,none,155.2
hibiscus,large,none,125.77
shoeblack plant,medium,none,115.93
rose,medium,strong,60.75
shoeblack plant,medium,none,68.17
shoeblack plant,large,mild,71.54
shoeblack plant,medium,mild,85.48
hibiscus,large,none,174.25
rose,medium,strong,76.48
shoeblack plant,large,none,83.97
hibiscus,large,none,198.28
hibiscus,large,none,103.02
rose,small,mild,60.7
hibiscus,large,none,123.97
rose,small,strong,75.34
shoeblack plant,medium,mild,141.58
shoeblack plant,medium,none,131.89
hibiscus,large,none,159.56
hibiscus,large,none,178.0
shoeblack plant,medium,mild,119.36
shoeblack plant,medium,none,85.68
hibiscus,large,none,150.37
rose,small,mild,64.44
hibiscus,large,none,129.12
shoeblack plant,medium,none,119.06
hibiscus,large,none,109.72
hibiscus,large,none,197.09
shoeblack plant,medium,none,126.29
shoeblack plant,medium,mild,147.83
shoeblack plant,large,none,122.53
shoeblack plant,large,none,55.94
hibiscus,large,none,193.72
rose,medium,strong,85.54
rose,small,mild,35.72
rose,medium,mild,35.62
hibiscus,large,none,186.38
shoeblack plant,large,none,116.16
shoeblack plant,medium,none,145.96
rose,small,mild,71.92
shoeblack plant,large,none,107.88
rose,small,mild,80.94
rose,medium,mild,38.02
shoeblack plant,large,none,125.17
shoeblack plant,medium,mild,100.58
hibiscus,large,none,149.09
hibiscus,large,none,161.33
rose,small,strong,70.35
shoeblack plant,large,mild,132.91
hibiscus,large,none,164.03
hibiscus,large,none,178.32
hibiscus,large,none,124.39
hibiscus,large,none,190.53
rose,medium,mild,67.34
rose,medium,mild,33.7
shoeblack plant,medium,mild,137.97
rose,medium,mild,74.41
hibiscus,large,none,104.96
rose,medium,mild,90.96
rose,small,strong,84.25
shoeblack plant,medium,none,51.89
shoeblack plant,medium,mild,77.02
rose,small,mild,33.06
hibiscus,large,none,135.8
rose,small,strong,36.55
rose,small,mild,61.41
hibiscus,large,none,116.3
shoeblack plant,medium,mild,66.22
hibiscus,large,none,106.63
rose,small,mild,40.62
shoeblack plant,large,none,111.59
rose,medium,mild,48.33
rose,small,strong,30.35
hibiscus,large,none,141.91
shoeblack plant,medium,mild,101.31
shoeblack plant,medium,none,110.59
rose,medium,mild,85.46
shoeblack plant,large,mild,68.88
shoeblack plant,large,mild,72.55
hibiscus,large,none,198.75
hibiscus,large,none,102.41
hibiscus,large,none,126.84
shoeblack plant,large,mild,125.99
shoeblack plant,medium,mild,145.68
shoeblack plant,large,none,101.16
shoeblack plant,large,mild,136.95
rose,small,strong,93.28
hibiscus,large,none,187.23
shoeblack plant,medium,none,127.35
rose,small,mild,81.32
hibiscus,large,none,148.95
hibiscus,large,none,116.31
hibiscus,large,none,181.09
rose,small,strong,52.55
hibiscus,large,none,144.07
rose,small,strong,64.55
hibiscus,large,none,106.5
shoeblack plant,large,none,100.91
rose,medium,strong,82.22
rose,small,mild,41.55
rose,small,mild,58.6
shoeblack plant,large,none,136.11
rose,small,mild,30.78
shoeblack plant,large,mild,99.63
shoeblack plant,medium,none,121.5
hibiscus,large,none,106.07
shoeblack plant,medium,mild,78.98
shoeblack plant,large,mild,135.12
rose,small,strong,52.33
shoeblack plant,medium,none,143.14
shoeblack plant,medium,none,116.8
rose,medium,mild,86.43
hibiscus,large,none,145.02
rose,medium,mild,87.2
shoeblack plant,large,none,81.8
shoeblack plant,large,mild,76.85
hibiscus,large,none,139.21
shoeblack plant,medium,none,82.03
shoeblack plant,medium,none,96.28
hibiscus,large,none,145.72
rose,small,mild,94.74
shoeblack plant,medium,mild,109.26
shoeblack plant,medium,mild,98.02
rose,medium,mild,58.03
hibiscus,large,none,135.52
rose,medium,strong,98.93
shoeblack plant,large,none,99.0
rose,small,mild,30.1
shoeblack plant,large,none,98.53
shoeblack plant,large,none,110.44
rose,small,mild,72.84
rose,medium,mild,81.23
hibiscus,large,none,149.65
shoeblack plant,medium,none,105.42
rose,medium,mild,50.37
rose,small,strong,62.25
shoeblack plant,medium,none,142.46
hibiscus,large,none,149.84
hibiscus,large,none,193.79
rose,small,strong,47.8
shoeblack plant,large,none,69.72
shoeblack plant,medium,none,88.15
rose,small,mild,50.78
shoeblack plant,large,none,137.48
shoeblack plant,large,none,85.61
shoeblack plant,large,none,146.02
rose,small,mild,68.67
shoeblack plant,medium,mild,132.67
shoeblack plant,large,none,53.35
hibiscus,large,none,170.54
shoeblack plant,large,none,123.4
hibiscus,large,none,107.72
hibiscus,large,none,192.64
rose,medium,strong,95.87
rose,medium,mild,69.09
rose,small,strong,92.18
hibiscus,large,none,123.99
rose,medium,strong,51.0
rose,medium,mild,98.83
shoeblack plant,medium,mild,107.62
shoeblack plant,large,mild,148.22
rose,medium,mild,45.93
hibiscus,large,none,127.61
rose,small,mild,97.62
rose,medium,mild,57.47
hibiscus,large,none,160.02
rose,small,mild,88.54
hibiscus,large,none,168.03
rose,small,mild,80.58
rose,small,mild,84.7
rose,small,strong,77.76
hibiscus,large,none,145.91
hibiscus,large,none,182.09
shoeblack plant,large,mild,54.01
rose,small,strong,66.78
hibiscus,large,none,113.3
shoeblack plant,large,mild,61.87
rose,medium,strong,93.34
shoeblack plant,large,mild,74.99
hibiscus,large,none,161.26
hibiscus,large,none,147.73
hibiscus,large,none,195.44
hibiscus,large,none,101.67
rose,medium,strong,83.85
rose,medium,strong,71.66
hibiscus,large,none,196.53
rose,medium,strong,76.64
shoeblack plant,large,mild,57.24
hibiscus,large,none,175.1
hibiscus,large,none,163.23
shoeblack plant,large,mild,86.07
rose,medium,strong,45.67
hibiscus,large,none,143.3
hibiscus,large,none,109.23
shoeblack plant,medium,mild,81.82
hibiscus,large,none,123.44
hibiscus,large,none,118.92
shoeblack plant,medium,none,59.23
hibiscus,large,none,179.84
hibiscus,large,none,175.76
shoeblack plant,large,none,103.18
shoeblack plant,medium,mild,78.01
hibiscus,large,none,153.62
rose,small,strong,33.99
hibiscus,large,none,151.81
shoeblack plant,medium,mild,83.8
rose,medium,mild,33.32
hibiscus,large,none,175.31
rose,medium,mild,81.11
rose,small,strong,53.86
shoeblack plant,medium,none,99.01
hibiscus,large,none,106.14
shoeblack plant,medium,mild,78.26
rose,medium,mild,47.29
rose,small,strong,66.9
shoeblack plant,medium,mild,108.62
rose,small,mild,37.96
rose,medium,strong,47.74
shoeblack plant,large,mild,93.03
rose,medium,strong,42.26
shoeblack plant,large,mild,112.38
shoeblack plant,large,mild,130.43
rose,medium,strong,87.87
shoeblack plant,medium,none,64.08
shoeblack plant,medium,none,53.57
rose,medium,mild,84.9
hibiscus,large,none,179.74
rose,medium,strong,91.3
hibiscus,large,none,119.42
hibiscus,large,none,166.06
hibiscus,large,none,195.84
rose,small,strong,37.95
shoeblack plant,medium,none,54.36
hibiscus,large,none,120.92
rose,medium,mild,31.51
shoeblack plant,large,none,92.18
shoeblack plant,large,none,148.66
hibiscus,large,none,138.38
rose,medium,mild,64.59
hibiscus,large,none,197.24
shoeblack plant,medium,none,120.29
hibiscus,large,none,126.34
rose,medium,strong,87.03
hibiscus,large,none,187.4
hibiscus,large,none,108.26
rose,medium,strong,90.62
rose,small,strong,60.36
hibiscus,large,none,167.07
hibiscus,large,none,158.0
hibiscus,large,none,161.04
hibiscus,large,none,172.39
shoeblack plant,large,mild,58.65
shoeblack plant,medium,none,122.39
rose,small,mild,73.36
hibiscus,large,none,137.51
rose,small,strong,99.74
rose,medium,mild,55.42
shoeblack plant,medium,none,89.48
hibiscus,large,none,181.3
rose,small,mild,58.57
rose,medium,mild,60.87
hibiscus,large,none,167.6
hibiscus,large,none,163.27
hibiscus,large,none,127.32
rose,medium,mild,33.72
hibiscus,large,none,124.59
rose,small,mild,63.72
rose,medium,strong,94.18
shoeblack plant,medium,mild,89.31
shoeblack plant,large,none,51.29
hibiscus,large,none,188.2
hibiscus,large,none,126.05
shoeblack plant,large,none,104.67
shoeblack plant,medium,none,110.39
hibiscus,large,none,160.72
shoeblack plant,large,none,142.73
shoeblack plant,medium,none,121.42
shoeblack plant,large,mild,103.65
hibiscus,large,none,150.68
rose,small,mild,73.13
rose,small,strong,69.8
hibiscus,large,none,122.5
rose,medium,strong,57.48
hibiscus,large,none,188.39
shoeblack plant,medium,none,149.8
shoeblack plant,large,mild,56.74
rose,small,strong,39.61
shoeblack plant,medium,mild,111.09
shoeblack plant,medium,none,125.6
hibiscus,large,none,177.75
hibiscus,large,none,133.43
rose,medium,mild,38.61
rose,small,mild,92.71
rose,medium,strong,74.78
shoeblack plant,medium,mild,94.98
rose,medium,mild,93.8
rose,medium,mild,44.59
rose,medium,strong,71.9
hibiscus,large,none,157.42
rose,small,strong,94.75
rose,small,strong,34.96
hibiscus,large,none,158.02
hibiscus,large,none,138.19
shoeblack plant,large,none,135.93
rose,medium,mild,38.15
shoeblack plant,large,none,66.85
rose,small,mild,95.07
hibiscus,large,none,194.07
rose,medium,mild,56.86
rose,small,mild,99.29
shoeblack plant,large,none,129.0
rose,medium,mild,46.36
rose,small,mild,48.06
rose,medium,strong,82.04
hibiscus,large,none,112.02
rose,medium,strong,59.44
rose,medium,strong,80.64
hibiscus,large,none,154.6
hibiscus,large,none,158.12
rose,small,strong,95.31
hibiscus,large,none,145.36
hibiscus,large,none,107.88
shoeblack plant,large,none,114.58
hibiscus,large,none,164.96
hibiscus,large,none,172.65
hibiscus,large,none,128.25
hibiscus,large,none,183.82
shoeblack plant,medium,mild,93.52
shoeblack plant,large,none,93.09
rose,small,mild,90.56
hibiscus,large,none,123.52
rose,medium,strong,48.13
shoeblack plant,large,mild,128.53
rose,small,strong,66.36
shoeblack plant,large,none,119.27
hibiscus,large,none,127.0
rose,medium,mild,92.46
rose,medium,strong,51.83
rose,medium,mild,68.15
hibiscus,large,none,136.23
shoeblack plant,large,mild,116.25
rose,medium,mild,88.89
shoeblack plant,medium,mild,117.11
rose,small,strong,53.26
rose,small,mild,92.72
hibiscus,large,none,143.97
rose,medium,mild,35.8
shoeblack plant,large,mild,58.12
rose,small,mild,79.75
shoeblack plant,large,mild,149.1
hibiscus,large,none,144.05
rose,small,strong,71.96
hibiscus,large,none,191.39
rose,small,strong,78.91
rose,small,strong,32.95
hibiscus,large,none,174.41
shoeblack plant,medium,none,106.09
hibiscus,large,none,128.73
shoeblack plant,large,mild,134.08
rose,medium,strong,61.1
shoeblack plant,medium,mild,149.35
rose,small,mild,68.94
shoeblack plant,medium,mild,93.26
rose,small,strong,49.78
hibiscus,large,none,193.19
hibiscus,large,none,107.73
rose,small,mild,53.01
shoeblack plant,medium,none,137.03
hibiscus,large,none,165.89
rose,small,strong,37.14
hibiscus,large,none,141.35
shoeblack plant,large,mild,76.76
hibiscus,large,none,190.31
rose,small,strong,66.73
shoeblack plant,medium,mild,97.27
hibiscus,large,none,130.46
hibiscus,large,none,130.06
shoeblack plant,medium,mild,66.91
rose,small,mild,71.48
shoeblack plant,large,mild,136.56
hibiscus,large,none,129.94
shoeblack plant,large,none,118.36
hibiscus,large,none,130.84
shoeblack plant,large,mild,123.3
hibiscus,large,none,121.51
shoeblack plant,medium,mild,96.88
shoeblack plant,large,mild,131.91
hibiscus,large,none,181.42
shoeblack plant,large,mild,53.52
rose,small,mild,63.62
shoeblack plant,large,none,64.64
rose,small,mild,80.53
rose,medium,strong,31.62
rose,medium,mild,86.82
shoeblack plant,medium,mild,103.44
shoeblack plant,large,none,69.05
shoeblack plant,medium,mild,95.55
rose,medium,strong,36.14
rose,medium,strong,56.89
hibiscus,large,none,103.85
hibiscus,large,none,103.8
rose,small,mild,34.36
shoeblack plant,medium,none,141.05
rose,small,strong,55.23
shoeblack plant,large,none,125.09
shoeblack plant,medium,mild,76.84
hibiscus,large,none,110.5
hibiscus,large,none,152.77
rose,small,mild,41.32
shoeblack plant,large,none,126.76
hibiscus,large,none,189.69
hibiscus,large,none,177.23
hibiscus,large,none,130.6
hibiscus,large,none,113.79
rose,medium,mild,57.82
rose,small,strong,85.45
rose,medium,strong,85.78
hibiscus,large,none,190.88
rose,medium,strong,99.58
rose,medium,strong,48.18
hibiscus,large,none,155.78
shoeblack plant,medium,mild,59.09
rose,small,strong,70.47
hibiscus,large,none,163.75
rose,medium,mild,79.95
rose,small,mild,70.58
hibiscus,large,none,188.72
rose,medium,strong,74.78
shoeblack plant,medium,none,70.7
hibiscus,large,none,166.1
shoeblack plant,medium,mild,64.28
hibiscus,large,none,108.06
shoeblack plant,medium,mild,76.66
hibiscus,large,none,192.8
hibiscus,large,none,154.44
shoeblack plant,large,none,104.3
hibiscus,large,none,183.41
shoeblack plant,large,mild,68.57
rose,medium,strong,63.1
rose,small,mild,32.3
shoeblack plant,medium,mild,135.35
rose,medium,strong,61.25
hibiscus,large,none,173.21
hibiscus,large,none,161.06
hibiscus,large,none,129.81
rose,small,strong,42.88
rose,small,mild,64.58
shoeblack plant,medium,mild,102.09
hibiscus,large,none,125.69
shoeblack plant,medium,mild,109.14
rose,small,mild,91.59
shoeblack plant,large,none,115.07
rose,small,strong,74.29
rose,small,mild,52.38
rose,medium,strong,98.92
rose,small,strong,30.25
shoeblack plant,large,none,112.86
hibiscus,large,none,183.6
hibiscus,large,none,120.06
shoeblack plant,medium,none,101.7
shoeblack plant,medium,none,131.49
hibiscus,large,none,189.11
shoeblack plant,large,mild,115.53
shoeblack plant,medium,none,117.03
shoeblack plant,medium,mild,134.69
shoeblack plant,medium,none,50.74
rose,small,strong,71.18
rose,small,strong,78.42
hibiscus,large,none,119.94
shoeblack plant,medium,none,102.44
hibiscus,large,none,133.01
rose,medium,mild,32.23
shoeblack plant,large,mild,90.0
hibiscus,large,none,146.68
hibiscus,large,none,199.76
rose,small,strong,57.38
hibiscus,large,none,102.6
shoeblack plant,medium,none,141.42
hibiscus,large,none,150.17
rose,medium,strong,89.79
rose,medium,strong,89.42
rose,small,strong,67.79
hibiscus,large,none,164.15
hibiscus,large,none,138.14
hibiscus,large,none,128.99
hibiscus,large,none,110.04
shoeblack plant,medium,mild,53.85
rose,medium,strong,42.62
hibiscus,large,none,104.9
rose,small,mild,77.21
shoeblack plant,large,none,59.92
shoeblack plant,large,mild,64.15
hibiscus,large,none,103.8
shoeblack plant,large,none,103.22
shoeblack plant,medium,none,87.05
shoeblack plant,large,mild,82.43
shoeblack plant,medium,mild,98.16
hibiscus,large,none,164.89
rose,small,strong,84.46
rose,medium,mild,46.53
hibiscus,large,none,180.9
shoeblack plant,medium,none,128.35
shoeblack plant,medium,mild,97.54
hibiscus,large,none,161.66
hibiscus,large,none,135.16
hibiscus,large,none,155.48
rose,small,strong,76.75
hibiscus,large,none,141.12
rose,medium,mild,44.34
shoeblack plant,large,none,137.56
rose,small,strong,47.58
shoeblack plant,medium,none,132.9
rose,small,mild,36.47
shoeblack plant,medium,mild,135.58
hibiscus,large,none,194.51
rose,small,mild,68.99
shoeblack plant,medium,none,144.36
shoeblack plant,medium,none,62.89
rose,small,mild,92.21
shoeblack plant,medium,mild,63.45
rose,small,mild,44.87
shoeblack plant,large,none,142.32
rose,medium,mild,99.08
rose,small,mild,49.7
rose,small,mild,92.27
hibiscus,large,none,155.59
shoeblack plant,medium,none,65.22
rose,medium,strong,53.0
rose,medium,mild,81.21
shoeblack plant,large,mild,60.86
shoeblack plant,large,none,115.26
hibiscus,large,none,156.57
hibiscus,large,none,129.06
rose,small,strong,44.16
rose,small,strong,49.36
hibiscus,large,none,190.7
rose,medium,mild,46.62
hibiscus,large,none,187.99
shoeblack plant,medium,none,59.76
hibiscus,large,none,162.34
hibiscus,large,none,100.21
rose,small,strong,69.62
rose,small,strong,63.09
rose,medium,mild,73.82
hibiscus,large,none,138.85
hibiscus,large,none,101.56
rose,medium,mild,72.92
shoeblack plant,large,none,75.45
hibiscus,large,none,117.95
rose,small,strong,64.11
shoeblack plant,large,mild,60.28
shoeblack plant,medium,none,130.62
hibiscus,large,none,198.26
hibiscus,large,none,190.76
shoeblack plant,medium,mild,118.53
shoeblack plant,medium,none,140.53
shoeblack plant,medium,mild,93.72
rose,small,mild,60.17
hibiscus,large,none,147.2
shoeblack plant,medium,mild,70.6
hibiscus,large,none,144.94
shoeblack plant,large,none,65.66
shoeblack plant,medium,mild,127.33
rose,small,mild,77.51
shoeblack plant,medium,none,102.05
shoeblack plant,large,none,64.46
rose,small,mild,98.63
rose,small,mild,30.74
shoeblack plant,medium,mild,118.22
shoeblack plant,medium,none,126.99
shoeblack plant,medium,mild,145.47
hibiscus,large,none,195.59
shoeblack plant,medium,none,123.53
rose,small,mild,80.56
rose,medium,mild,45.13
shoeblack plant,medium,mild,121.34
hibiscus,large,none,139.75
rose,medium,mild,78.53
hibiscus,large,none,142.13
rose,medium,strong,46.7
hibiscus,large,none,114.17
rose,small,strong,72.24
rose,small,mild,75.41
rose,small,strong,62.78
rose,medium,mild,91.57
rose,medium,strong,73.05
shoeblack plant,medium,mild,147.07
hibiscus,large,none,126.37
hibiscus,large,none,142.98
shoeblack plant,large,none,137.74
rose,medium,strong,33.72
shoeblack plant,medium,mild,93.59
hibiscus,large,none,192.52
hibiscus,large,none,173.86
hibiscus,large,none,142.22
rose,small,mild,68.21
rose,medium,mild,70.2
rose,medium,strong,53.95
hibiscus,large,none,164.03
hibiscus,large,none,181.5
shoeblack plant,large,none,55.54
hibiscus,large,none,138.13
shoeblack plant,large,mild,119.71
rose,small,strong,91.64
rose,medium,mild,31.43
rose,small,strong,69.72
shoeblack plant,large,mild,125.41
shoeblack plant,medium,none,70.34
rose,medium,mild,67.82
shoeblack plant,medium,none,96.37
rose,small,strong,84.98
shoeblack plant,large,mild,147.06
shoeblack plant,medium,mild,82.83
shoeblack plant,medium,none,100.73
shoeblack plant,large,mild,74.94
shoeblack plant,medium,mild,99.89
shoeblack plant,large,none,142.56
shoeblack plant,large,mild,57.35
shoeblack plant,medium,none,87.11
shoeblack plant,large,mild,105.4
shoeblack plant,medium,none,54.42
rose,medium,mild,78.96
hibiscus,large,none,180.63
shoeblack plant,large,mild,119.6
hibiscus,large,none,161.53
hibiscus,large,none,183.7
hibiscus,large,none,164.3
shoeblack plant,medium,mild,74.21
rose,medium,mild,86.84
rose,small,mild,36.85
shoeblack plant,large,none,148.99
rose,small,mild,44.19
rose,medium,mild,95.09
shoeblack plant,medium,none,52.27
shoeblack plant,medium,none,59.96
hibiscus,large,none,127.82
hibiscus,large,none,139.4
rose,medium,strong,31.99
hibiscus,large,none,176.12
rose,medium,strong,74.86
shoeblack plant,large,none,141.37
shoeblack plant,medium,none,86.41
rose,small,strong,43.22
shoeblack plant,medium,mild,139.79
rose,medium,strong,34.29
shoeblack plant,large,none,136.55
shoeblack plant,medium,none,62.5
shoeblack plant,large,none,65.22
rose,medium,strong,34.44
rose,small,mild,91.54
hibiscus,large,none,170.86
rose,small,strong,85.18
rose,medium,mild,98.11
hibiscus,large,none,188.45
rose,small,mild,62.5
rose,small,mild,47.41
hibiscus,large,none,136.57
rose,small,mild,48.6
shoeblack plant,large,none,86.15
rose,small,strong,86.36
rose,medium,strong,86.44
hibiscus,large,none,191.68
shoeblack plant,large,mild,63.44
hibiscus,large,none,134.1
shoeblack plant,medium,none,115.08
rose,small,mild,46.73
hibiscus,large,none,163.85
rose,small,strong,43.95
shoeblack plant,medium,mild,66.91
shoeblack plant,medium,mild,96.13
rose,medium,mild,92.59
hibiscus,large,none,122.69
hibiscus,large,none,191.41
shoeblack plant,medium,mild,72.62
shoeblack plant,large,none,100.72
rose,medium,strong,75.42
hibiscus,large,none,105.9
hibiscus,large,none,188.36
rose,small,mild,56.74
rose,small,strong,47.63
rose,small,strong,88.66
rose,medium,strong,82.54
hibiscus,large,none,199.12
shoeblack plant,medium,mild,54.18
rose,small,mild,30.31
rose,medium,strong,49.94
rose,small,strong,93.23
rose,small,strong,82.57
shoeblack plant,large,mild,138.79
hibiscus,large,none,168.45
shoeblack plant,large,mild,70.86
rose,small,strong,58.94
shoeblack plant,large,mild,111.56
hibiscus,large,none,173.84
hibiscus,large,none,190.24
hibiscus,large,none,103.34
shoeblack plant,large,mild,98.81
shoeblack plant,large,none,94.23
rose,small,strong,83.58
hibiscus,large,none,186.77
shoeblack plant,medium,mild,124.15
shoeblack plant,medium,none,124.21
shoeblack plant,medium,mild,111.47
rose,medium,mild,59.78
shoeblack plant,medium,none,113.05
rose,medium,strong,40.51
rose,small,mild,57.78
rose,small,strong,55.99
hibiscus,large,none,161.89
hibiscus,large,none,199.89
shoeblack plant,medium,mild,120.76
shoeblack plant,medium,mild,96.17
hibiscus,large,none,112.27
hibiscus,large,none,178.1
shoeblack plant,large,none,82.1
hibiscus,large,none,121.47
shoeblack plant,large,mild,105.04
shoeblack plant,medium,none,137.81
rose,medium,strong,73.1
shoeblack plant,medium,none,140.98
shoeblack plant,medium,mild,111.17
rose,medium,strong,44.09
rose,medium,strong,86.42
shoeblack plant,large,none,107.34
rose,medium,strong,47.28
rose,medium,strong,56.82
shoeblack plant,large,none,92.88
hibiscus,large,none,105.35
shoeblack plant,medium,mild,54.8
hibiscus,large,none,130.23
hibiscus,large,none,184.92
rose,small,strong,44.58
hibiscus,large,none,165.44
shoeblack plant,medium,mild,120.39
hibiscus,large,none,158.45
hibiscus,large,none,190.98
rose,small,mild,57.6
rose,small,mild,43.83
rose,small,strong,83.25
rose,small,strong,47.35
rose,medium,strong,82.29
rose,small,mild,70.74
rose,medium,mild,35.07
hibiscus,large,none,151.44
shoeblack plant,medium,none,96.53
hibiscus,large,none,199.97
rose,medium,strong,31.07
hibiscus,large,none,144.61
rose,medium,mild,45.37
shoeblack plant,medium,none,95.52
shoeblack plant,medium,none,92.86
rose,small,strong,85.73
hibiscus,large,none,119.16
hibiscus,large,none,151.91
hibiscus,large,none,117.23
shoeblack plant,large,mild,149.4
rose,small,strong,98.68
hibiscus,large,none,153.95
rose,medium,strong,53.08
shoeblack plant,medium,mild,127.79
shoeblack plant,large,none,73.93
hibiscus,large,none,185.29
hibiscus,large,none,165.81
rose,small,strong,86.05
hibiscus,large,none,102.39
hibiscus,large,none,160.9
shoeblack plant,large,none,62.45
hibiscus,large,none,141.41
hibiscus,large,none,149.35
shoeblack plant,medium,none,147.44
hibiscus,large,none,188.23
shoeblack plant,medium,none,135.72
hibiscus,large,none,123.77
hibiscus,large,none,118.49
shoeblack plant,medium,mild,118.85
shoeblack plant,large,none,115.14
shoeblack plant,medium,none,85.15
hibiscus,large,none,191.75
shoeblack plant,medium,mild,81.06
shoeblack plant,medium,none,100.15
rose,medium,strong,90.37
shoeblack plant,medium,mild,85.17
shoeblack plant,large,none,133.63
rose,small,mild,83.23
rose,small,strong,49.62
shoeblack plant,medium,none,127.31
shoeblack plant,large,mild,67.07
rose,small,mild,57.98
rose,small,strong,81.9
hibiscus,large,none,140.52
shoeblack plant,medium,mild,139.71
shoeblack plant,large,mild,132.56
shoeblack plant,medium,mild,66.85
hibiscus,large,none,177.14
shoeblack plant,large,none,118.32
rose,small,mild,96.31
hibiscus,large,none,186.96
rose,medium,mild,99.63
shoeblack plant,medium,mild,90.86
shoeblack plant,medium,none,95.98
shoeblack plant,large,mild,143.84
rose,medium,mild,33.44
shoeblack plant,medium,none,131.65
hibiscus,large,none,191.81
shoeblack plant,large,mild,84.54
shoeblack plant,large,none,137.39
rose,small,strong,47.33
hibiscus,large,none,132.28
shoeblack plant,medium,none,102.45
hibiscus,large,none,142.09
rose,small,mild,55.83
rose,medium,mild,86.65
shoeblack plant,medium,none,68.03
shoeblack plant,medium,mild,85.14
rose,medium,strong,76.72
hibiscus,large,none,135.44
rose,small,strong,48.27
rose,small,mild,36.07
shoeblack plant,medium,none,69.74
hibiscus,large,none,177.29
shoeblack plant,large,mild,106.74
rose,medium,mild,95.08
rose,medium,strong,51.81
hibiscus,large,none,144.69
shoeblack plant,medium,mild,84.72
shoeblack plant,medium,mild,53.56
shoeblack plant,large,mild,82.29
rose,small,strong,40.07
rose,medium,strong,59.25
rose,medium,mild,57.46
shoeblack plant,large,none,56.68
shoeblack plant,medium,mild,86.44
hibiscus,large,none,163.18
shoeblack plant,medium,none,116.6
shoeblack plant,medium,none,99.28
hibiscus,large,none,133.06
rose,small,mild,79.89
hibiscus,large,none,162.21
hibiscus,large,none,151.82
shoeblack plant,medium,none,126.0
shoeblack plant,large,none,74.28
rose,small,strong,60.94
shoeblack plant,medium,mild,61.09
shoeblack plant,medium,none,109.29
hibiscus,large,none,140.27
hibiscus,large,none,112.78
rose,medium,strong,51.12
shoeblack plant,medium,mild,103.24
hibiscus,large,none,109.59
shoeblack plant,large,none,136.95
rose,small,strong,60.93
hibiscus,large,none,198.77
shoeblack plant,medium,mild,111.51
rose,small,strong,61.33
hibiscus,large,none,121.56
shoeblack plant,medium,mild,119.27
rose,small,mild,47.06
shoeblack plant,large,none,129.62
rose,small,mild,74.12
shoeblack plant,large,mild,124.72
rose,small,mild,62.87
shoeblack plant,large,none,137.83
hibiscus,large,none,164.12
shoeblack plant,medium,none,106.46
hibiscus,large,none,112.79
shoeblack plant,large,mild,121.78
hibiscus,large,none,189.61
shoeblack plant,large,mild,79.84
hibiscus,large,none,122.58
shoeblack plant,large,none,124.24
shoeblack plant,medium,none,61.04
rose,small,mild,78.13
shoeblack plant,large,none,97.87
hibiscus,large,none,187.96
shoeblack plant,large,none,125.1
rose,medium,strong,85.9
hibiscus,large,none,116.89
hibiscus,large,none,198.59
shoeblack plant,medium,none,125.43
hibiscus,large,none,174.97
rose,medium,mild,38.51
hibiscus,large,none,197.06
shoeblack plant,large,none,80.22
shoeblack plant,large,none,104.59
rose,small,strong,82.75
rose,small,mild,51.78
hibiscus,large,none,199.65
hibiscus,large,none,129.23
rose,small,strong,88.49
hibiscus,large,none,176.76
rose,small,strong,94.94
hibiscus,large,none,120.41
hibiscus,large,none,175.67
rose,medium,strong,89.55
rose,medium,strong,66.62
rose,small,strong,99.96
hibiscus,large,none,164.49
shoeblack plant,medium,mild,114.02
shoeblack plant,large,none,61.42
hibiscus,large,none,121.49
shoeblack plant,medium,none,62.79
hibiscus,large,none,196.23
shoeblack plant,large,mild,80.39
shoeblack plant,large,none,140.42
hibiscus,large,none,104.04
rose,small,strong,88.36
rose,medium,mild,99.13
shoeblack plant,medium,none,62.96
shoeblack plant,medium,mild,107.5
hibiscus,large,none,134.94
rose,small,mild,37.4
rose,medium,strong,48.56
rose,medium,strong,51.4
hibiscus,large,none,163.54
rose,medium,mild,91.43
shoeblack plant,large,mild,139.43
shoeblack plant,medium,none,107.63
rose,small,strong,90.01
rose,medium,strong,49.2
rose,small,mild,97.4
hibiscus,large,none,174.7
rose,small,strong,43.03
rose,medium,strong,92.41
hibiscus,large,none,160.82
shoeblack plant,medium,mild,61.78
shoeblack plant,large,none,95.6
hibiscus,large,none,102.0
hibiscus,large,none,143.83
hibiscus,large,none,155.37
shoeblack plant,medium,none,105.78
shoeblack plant,large,none,55.32
shoeblack plant,medium,mild,69.46
shoeblack plant,large,mild,146.08
hibiscus,large,none,104.45
shoeblack plant,large,mild,56.42
rose,medium,strong,42.36
shoeblack plant,medium,none,59.61
shoeblack plant,large,mild,55.89
rose,small,strong,46.02
shoeblack plant,large,mild,93.24
hibiscus,large,none,171.69
hibiscus,large,none,102.17
shoeblack plant,large,none,129.61
hibiscus,large,none,114.64
