Emotion,Song Name,old/new,Movie/Artist name,,
Sympathy,Do Pal ,old, Veer-Zaara ,,
Sympathy,Kabhi Alvida Naa Kehna ,old, Kabhi Alvida Naa Kehna,,
Sympathy,Jaane Nahin Denge Tujhe ,old, 3 Idiots,,
Sympathy,Abhi Mujh Mein Kahin ,old, Agneepath,,
Sympathy,Tu Jaane Na ,old, Ajab Prem Ki Ghazab Kahani,,
Sympathy,Pehli Nazar Mein ,old, Race,,
Sympathy,Tere Liye ,old, Fitoor,,
Trust,Tera Ban Jaunga ,new, Kabir Singh,,
Trust,Tum Hi Aana ,new, Marjaavaan,,
Trust,Tere Sang Yaara ,new, Rustom,,
Trust,Tum Se ,new, Jalebi,,
Trust,Tera Hone Laga Hoon ,new, Ajab Prem Ki Ghazab Kahani,,
Trust,Tum Ho Toh ,new, Rock On!!,,
Trust,Tum Tak ,new, Raanjhanaa,,
Trust,Tera Yaar Hoon Main ,new, Sonu Ke Titu Ki Sweety,,
Trust,Tum Mile ,new, Tum Mile,,
Trust,Tum Hi Ho Bandhu ,new, Cocktail,,
Trust,Tere Bina ,old, Guru,,
Trust,Tumhi Dekho Naa ,old, Kabhi Alvida Naa Kehna,,
Trust,Tumse Milke Dil Ka ,old, Main Hoon Na,,
Trust,Tumse Hi ,old, Jab We Met,,
Trust,Tere Liye ,old, Veer-Zaara,,
Trust,Tum Jo Aaye ,old, Once Upon A Time In Mumbaai,,
Trust,Tumse Milna ,old, Tere Naam,,
Trust,Tumhare Siva ,old, Tum Bin,,
Trust,Tumko Dekha To ,old, Waqt,,
Trust,Tumhi Meri Mandir ,old, Khandan,,
Mother Sentiment,Meri Maa ,new, Taare Zameen Par,,
Mother Sentiment,Maa ,new, Taare Zameen Par,,
Mother Sentiment,Maa Ka Phone ,new, Khoobsurat,,
Mother Sentiment,Maa Tujhe Salaam ,new, Maa Tujhe Salaam,,
Mother Sentiment,Maa ,new, Dasvidaniya,,
Mother Sentiment,Maa ,new, Nil Battey Sannata,,
Mother Sentiment,Maa ,new, Secret Superstar,,
Mother Sentiment,Maa ,new, Panga,,
Mother Sentiment,Maa ,new, Thappad,,
Mother Sentiment,Maa ,new, Tribhanga,,
Mother Sentiment,Meri Maa ,old, Yaariyan,,
Mother Sentiment,Maa Da Laadla ,old, Dostana,,
Mother Sentiment,Maa Ne Kaha ,old, Zakhm,,
Mother Sentiment,Maa ,old, Saaya,,
Mother Sentiment,Maa ,old, Khushi,,
Mother Sentiment,Maa ,old, Devdas,,
Mother Sentiment,Maa ,old, Koi Mil Gaya,,
Mother Sentiment,Maa ,old, Mother India,,
Mother Sentiment,Maa,old,Lamhe,,
Mother Sentiment,Maa ,old, Deewaar,,
Father Sentiment,Papa Kehte Hain ,new, Qayamat Se Qayamat Tak,,
Father Sentiment,Papa Mere Papa ,new, Main Aisa Hi Hoon,,
Father Sentiment,Papa Ki Pari ,new, Main Prem Ki Diwani Hoon,,
Father Sentiment,Papa Toh Band Bajaye ,new, Housefull 2,,
Father Sentiment,Papa Jag Jayega ,new, Housefull,,
Father Sentiment,Papa,new,Neha Kakkar and Tony Kakkar,,
Father Sentiment,Papa,new,Tulsi Kumar,,
Father Sentiment,Papa,new,Shashwat Sachdev,,
Father Sentiment,Papa,new,Abhinav Shekhar,,
Father Sentiment,Papa,new, Payal Dev,,
Father Sentiment,Papa Jaldi Aa Jana ,new, Taqdeer,,
Father Sentiment,Papa Se Poochho ,new, Jawani Diwani,,
Father Sentiment,Papa O Papa ,new, Biwi O Biwi,,
Father Sentiment,Papa Main Papa Ban Gaya ,new, Hum Aapke Dil Mein Rehte Hain,,
Father Sentiment,Papa Kahte The ,new, Tridev,,
Father Sentiment,Papa Kehte Hain Bada Naam Karega ,new, Udaan,,
Father Sentiment,Papa Mera Papa ,new, Chanda Hai Tu,,
Father Sentiment,Papa Mere Papa ,new, Chal Mere Bhai,,
Father Sentiment,Papa The Great ,new, Papa The Great,,
Father Sentiment,Papa Don't Preach ,new, Dil Hai Ke Manta Nahin,,
