event,tag,sport,sport_code,sport_url
Women -49kg,taekwondo,Taekwondo,TKW,https://olympics.com/en/paris-2024/sports/taekwondo
Women -57kg,taekwondo,Taekwondo,TKW,https://olympics.com/en/paris-2024/sports/taekwondo
Women -67kg,taekwondo,Taekwondo,TKW,https://olympics.com/en/paris-2024/sports/taekwondo
Women +67kg,taekwondo,Taekwondo,TKW,https://olympics.com/en/paris-2024/sports/taekwondo
Men's Singles,tennis,Tennis,TEN,https://olympics.com/en/paris-2024/sports/tennis
Women's Singles,tennis,Tennis,TEN,https://olympics.com/en/paris-2024/sports/tennis
Men's Doubles,tennis,Tennis,TEN,https://olympics.com/en/paris-2024/sports/tennis
Women's Doubles,tennis,Tennis,TEN,https://olympics.com/en/paris-2024/sports/tennis
Mixed Doubles,tennis,Tennis,TEN,https://olympics.com/en/paris-2024/sports/tennis
Men,trampoline-gymnastics,Trampoline,GTR,https://olympics.com/en/paris-2024/sports/trampoline-gymnastics
Women,trampoline-gymnastics,Trampoline,GTR,https://olympics.com/en/paris-2024/sports/trampoline-gymnastics
Women's Individual,triathlon,Triathlon,TRI,https://olympics.com/en/paris-2024/sports/triathlon
Men's Individual,triathlon,Triathlon,TRI,https://olympics.com/en/paris-2024/sports/triathlon
Mixed Relay,triathlon,Triathlon,TRI,https://olympics.com/en/paris-2024/sports/triathlon
Men,volleyball,Volleyball,VVO,https://olympics.com/en/paris-2024/sports/volleyball
Women,volleyball,Volleyball,VVO,https://olympics.com/en/paris-2024/sports/volleyball
Men,water-polo,Water Polo,WPO,https://olympics.com/en/paris-2024/sports/water-polo
Women,water-polo,Water Polo,WPO,https://olympics.com/en/paris-2024/sports/water-polo
Women's 49kg,weightlifting,Weightlifting,WLF,https://olympics.com/en/paris-2024/sports/weightlifting
Women's 59kg,weightlifting,Weightlifting,WLF,https://olympics.com/en/paris-2024/sports/weightlifting
Women's 71kg,weightlifting,Weightlifting,WLF,https://olympics.com/en/paris-2024/sports/weightlifting
Women's 81kg,weightlifting,Weightlifting,WLF,https://olympics.com/en/paris-2024/sports/weightlifting
Women's +81kg,weightlifting,Weightlifting,WLF,https://olympics.com/en/paris-2024/sports/weightlifting
Men's 61kg,weightlifting,Weightlifting,WLF,https://olympics.com/en/paris-2024/sports/weightlifting
Men's 73kg,weightlifting,Weightlifting,WLF,https://olympics.com/en/paris-2024/sports/weightlifting
Men's 89kg,weightlifting,Weightlifting,WLF,https://olympics.com/en/paris-2024/sports/weightlifting
Men's 102kg,weightlifting,Weightlifting,WLF,https://olympics.com/en/paris-2024/sports/weightlifting
Men's +102kg,weightlifting,Weightlifting,WLF,https://olympics.com/en/paris-2024/sports/weightlifting
Men's Greco-Roman 60kg,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
Men's Greco-Roman 67kg,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
Men's Greco-Roman 77kg,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
Men's Greco-Roman 87kg,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
Men's Greco-Roman 97kg,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
Men's Greco-Roman 130kg,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
Women's Freestyle 50kg,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
Women's Freestyle 53kg,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
Women's Freestyle 57kg,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
Women's Freestyle 62kg,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
Women's Freestyle 68kg,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
Women's Freestyle 76kg,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
Men's Freestyle 57kg,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
Men's Freestyle 65kg,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
Men's Freestyle 74kg,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
Men's Freestyle 86kg,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
Men's Freestyle 97kg,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
Men's Freestyle 125kg,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling
