Product Name,Actual price,Discount price,Stars,Rating,Reviews,RAM (GB),Storage (GB),Display Size (inch),Camera,Description,Link
"REDMI A3 (Lake Blue, 128 GB)","₹11,999","₹8,559",4,606 Ratings,35 Reviews,6,128,6.71,8MP ,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.04 cm (6.71 inch) HD+ Display8MP  | 5MP  5000 mAh BatteryMediatek Helio G36 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,https://www.flipkart.com/redmi-a3-lake-blue-128-gb/p/itmbe3bd4f2bebed?pid=MOBGZF9PKZUSSM3Q&lid=LSTMOBGZF9PKZUSSM3QMB7TZ6&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_41_981&otracker=AS_Query_OrganicAutoSuggest_4_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_2_na_na_na&fm=organic&iid=8cd628e5-b263-4f39-a0b4-9a6dea79afcd.MOBGZF9PKZUSSM3Q.SEARCH&ppt=None&ppn=None&ssid=3jyf5ojao00000001722741296186&qH=532c28d5412dd75b
"realme Narzo N53 (Feather Gold, 128 GB)","₹13,999","₹10,988",4.2,"1,850 Ratings",93 Reviews,8,128,6.74,50MP ,"8 GB RAM | 128 GB ROM17.12 cm (6.74 inch) HD+ Display50MP 5000 mAh BatteryAndroid 13, Realme UI T ProcessorDomestic 1 Year on Handset and 6 Months on Accessories",https://www.flipkart.com/realme-narzo-n53-feather-gold-128-gb/p/itm3061a0a591574?pid=MOBGUR5A2JRHQKRY&lid=LSTMOBGUR5A2JRHQKRYFNCIPH&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_27_646&otracker=AS_Query_OrganicAutoSuggest_4_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_2_na_na_na&fm=organic&iid=dbd38b08-ecba-427d-9d6b-d5d54bfd6008.MOBGUR5A2JRHQKRY.SEARCH&ppt=None&ppn=None&ssid=876o94qc000000001722740860786&qH=532c28d5412dd75b
"vivo Y28 5G (Crystal Purple, 128 GB)","₹19,999","₹15,499",4.3,653 Ratings,28 Reviews,6,128,6.56,50MP + 2MP,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.66 cm (6.56 inch) Display50MP + 2MP | 8MP  5000 mAh BatteryDimensity 6020 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,https://www.flipkart.com/vivo-y28-5g-crystal-purple-128-gb/p/itmf3cf02fda7962?pid=MOBGWEGHNCZTGZSH&lid=LSTMOBGWEGHNCZTGZSHFAQUBD&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_36_843&otracker=AS_Query_OrganicAutoSuggest_4_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_2_na_na_na&fm=organic&iid=35b544fa-296e-4bde-82ef-42572dc4d1e3.MOBGWEGHNCZTGZSH.SEARCH&ppt=None&ppn=None&ssid=u3mz625qe80000001722741208071&qH=532c28d5412dd75b
"vivo Y28 5G (Crystal Purple, 128 GB)","₹19,999","₹15,499",4.3,653 Ratings,28 Reviews,6,128,6.56,50MP + 2MP,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.66 cm (6.56 inch) Display50MP + 2MP | 8MP  5000 mAh BatteryDimensity 6020 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,https://www.flipkart.com/vivo-y28-5g-crystal-purple-128-gb/p/itmf3cf02fda7962?pid=MOBGWEGHNCZTGZSH&lid=LSTMOBGWEGHNCZTGZSHFAQUBD&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_37_868&otracker=AS_Query_OrganicAutoSuggest_4_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_2_na_na_na&fm=organic&iid=941683f1-5118-45ad-af0b-b3e82674d7f8.MOBGWEGHNCZTGZSH.SEARCH&ppt=None&ppn=None&ssid=58wd99pc4w0000001722741217752&qH=532c28d5412dd75b
"vivo Y28 5G (Crystal Purple, 128 GB)","₹21,999","₹16,999",4.3,243 Ratings,15 Reviews,8,128,6.56,50MP + 2MP,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.66 cm (6.56 inch) Display50MP + 2MP | 8MP  5000 mAh BatteryDimensity 6020 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,https://www.flipkart.com/vivo-y28-5g-crystal-purple-128-gb/p/itmf3cf02fda7962?pid=MOBGWEGH9HQRHJUF&lid=LSTMOBGWEGH9HQRHJUFXHE8UC&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_37_869&otracker=AS_Query_OrganicAutoSuggest_4_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_2_na_na_na&fm=organic&iid=941683f1-5118-45ad-af0b-b3e82674d7f8.MOBGWEGH9HQRHJUF.SEARCH&ppt=None&ppn=None&ssid=58wd99pc4w0000001722741217752&qH=532c28d5412dd75b
"vivo Y28 5G (Crystal Purple, 128 GB)","₹17,999","₹13,999",4.2,406 Ratings,12 Reviews,4,128,6.56,50MP + 2MP,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.66 cm (6.56 inch) Display50MP + 2MP | 8MP  5000 mAh BatteryDimensity 6020 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,https://www.flipkart.com/vivo-y28-5g-crystal-purple-128-gb/p/itmf3cf02fda7962?pid=MOBGWEGHFRCVSKZC&lid=LSTMOBGWEGHFRCVSKZCFVLGPK&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_37_887&otracker=AS_Query_OrganicAutoSuggest_4_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_2_na_na_na&fm=organic&iid=941683f1-5118-45ad-af0b-b3e82674d7f8.MOBGWEGHFRCVSKZC.SEARCH&ppt=None&ppn=None&ssid=58wd99pc4w0000001722741217752&qH=532c28d5412dd75b
"IQOO Z7 Pro 5G (Blue Lagoon, 256 GB)","₹27,999","₹23,999",4.4,"5,576 Ratings",342 Reviews,8,256,6.78,64MP + 2MP,8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Display64MP + 2MP | 16MP  4600 mAh BatteryDimensity 7200 5G Mobile Platform Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,https://www.flipkart.com/iqoo-z7-pro-5g-blue-lagoon-256-gb/p/itm5f318d2e3e6d3?pid=MOBHFTYMZ3NR7JHP&lid=LSTMOBHFTYMZ3NR7JHPGXC26F&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_29_691&otracker=AS_Query_OrganicAutoSuggest_4_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_2_na_na_na&fm=organic&iid=0ea38224-600f-42ab-b0b4-f4b2cd2248e8.MOBHFTYMZ3NR7JHP.SEARCH&ppt=None&ppn=None&ssid=p7yng8vnm80000001722740921399&qH=532c28d5412dd75b
"IQOO Z7 Pro 5G (Blue Lagoon, 128 GB)","₹26,999","₹22,999",4.4,"5,576 Ratings",342 Reviews,8,128,6.78,64MP + 2MP,8 GB RAM | 128 GB ROM17.22 cm (6.78 inch) Display64MP + 2MP | 16MP  4600 mAh BatteryDimensity 7200 5G Mobile Platform Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,https://www.flipkart.com/iqoo-z7-pro-5g-blue-lagoon-128-gb/p/itm5f318d2e3e6d3?pid=MOBHFTYM8XJSVQHZ&lid=LSTMOBHFTYM8XJSVQHZWXETJC&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_31_742&otracker=AS_Query_OrganicAutoSuggest_4_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_2_na_na_na&fm=organic&iid=88e1100d-68f2-4b6b-9db3-7da90e3ae08f.MOBHFTYM8XJSVQHZ.SEARCH&ppt=None&ppn=None&ssid=flxrr821m80000001722741112396&qH=532c28d5412dd75b
"realme 13 Pro+ 5G (Monet Gold, 256 GB)","₹36,999","₹32,999",4.5,115 Ratings,13 Reviews,8,256,6.7,50MP + 8MP,8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 50MP | 32MP  5200 mAh BatterySnapdragon 7s Gen2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,https://www.flipkart.com/realme-13-pro-5g-monet-gold-256-gb/p/itm1e3e0852d520a?pid=MOBH2YYDKPR78SNJ&lid=LSTMOBH2YYDKPR78SNJ5ERNB7&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_14_318&otracker=AS_Query_OrganicAutoSuggest_4_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_2_na_na_na&fm=organic&iid=dd80a18a-9f82-4bfa-960a-80db3afe9abe.MOBH2YYDKPR78SNJ.SEARCH&ppt=None&ppn=None&ssid=6mykcwd4ds0000001722740688058&qH=532c28d5412dd75b
"realme 13 Pro+ 5G (Monet Gold, 256 GB)","₹36,999","₹32,999",4.5,115 Ratings,13 Reviews,8,256,6.7,50MP + 8MP,8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 50MP | 32MP  5200 mAh BatterySnapdragon 7s Gen2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,https://www.flipkart.com/realme-13-pro-5g-monet-gold-256-gb/p/itm1e3e0852d520a?pid=MOBH2YYDKPR78SNJ&lid=LSTMOBH2YYDKPR78SNJ5ERNB7&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_17_402&otracker=AS_Query_OrganicAutoSuggest_4_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_2_na_na_na&fm=organic&iid=39ba0398-6d9e-47e0-aca4-22d45906434c.MOBH2YYDKPR78SNJ.SEARCH&ppt=None&ppn=None&ssid=zqswdpysuo0000001722740717927&qH=532c28d5412dd75b
"realme 13 Pro+ 5G (Monet Gold, 512 GB)","₹40,999","₹36,999",4.3,64 Ratings,7 Reviews,12,512,6.7,50MP + 8MP,12 GB RAM | 512 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 50MP | 32MP  5200 mAh BatterySnapdragon 7s Gen2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,https://www.flipkart.com/realme-13-pro-5g-monet-gold-512-gb/p/itm1e3e0852d520a?pid=MOBH2YYDHHUSGGVX&lid=LSTMOBH2YYDHHUSGGVXLLVIUP&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_20_479&otracker=AS_Query_OrganicAutoSuggest_4_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_2_na_na_na&fm=organic&iid=558a2300-bac0-4cea-abc7-1ddd2671d6eb.MOBH2YYDHHUSGGVX.SEARCH&ppt=None&ppn=None&ssid=s5zkw3cwog0000001722740747103&qH=532c28d5412dd75b
"vivo T2 5G (Velocity Wave, 128 GB)","₹24,999","₹17,999",4.3,"19,099 Ratings","1,314 Reviews",8,128,6.38,2MP | 16MP  ,8 GB RAM | 128 GB ROM16.21 cm (6.38 inch) Full HD+ Display64 MP (OIS) + 2MP | 16MP  4500 mAh BatterySnapdragon 695 Processor1 Year of Device & 6 Months for Inbox Accessories,https://www.flipkart.com/vivo-t2-5g-velocity-wave-128-gb/p/itma79eb573156a4?pid=MOBGZBFU2GHZTMGN&lid=LSTMOBGZBFU2GHZTMGNEFEQUV&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_24_571&otracker=AS_Query_OrganicAutoSuggest_4_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_2_na_na_na&fm=organic&iid=cfcc4669-f86b-463e-8598-71af0b626e3d.MOBGZBFU2GHZTMGN.SEARCH&ppt=None&ppn=None&ssid=sz01q5ox5s0000001722740838717&qH=532c28d5412dd75b
LAVA Hero Shakti Keypad Mobile|1.8 inch Big Display|Auto Call Recording|Wireless FM,"₹1,199",₹898,4.5,35 Ratings,1 Reviews,NIL,32,1.8,,32 GB ROM4.57 cm (1.8 inch) Display800 mAh BatteryBrand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories,https://www.flipkart.com/lava-hero-shakti-keypad-mobile-1-8-inch-big-display-auto-call-recording-wireless-fm/p/itm8fc8ffb76afaf?pid=MOBHFYJHGSZZ3CHZ&lid=LSTMOBHFYJHGSZZ3CHZU2UZWM&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_21_494&otracker=AS_Query_OrganicAutoSuggest_4_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_2_na_na_na&fm=organic&iid=dffa470e-ee42-4e79-96f4-9f96505b1848.MOBHFYJHGSZZ3CHZ.SEARCH&ppt=None&ppn=None&ssid=43kbfqyus00000001722740809341&qH=532c28d5412dd75b
LAVA Hero Shakti Keypad Mobile|1.8 inch Big Display|Auto Call Recording|Wireless FM,"₹1,199",₹898,4.5,35 Ratings,1 Reviews,NIL,32,1.8,,32 GB ROM4.57 cm (1.8 inch) Display800 mAh BatteryBrand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories,https://www.flipkart.com/lava-hero-shakti-keypad-mobile-1-8-inch-big-display-auto-call-recording-wireless-fm/p/itm8fc8ffb76afaf?pid=MOBHFYJHGSZZ3CHZ&lid=LSTMOBHFYJHGSZZ3CHZU2UZWM&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_22_525&otracker=AS_Query_OrganicAutoSuggest_4_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_2_na_na_na&fm=organic&iid=c48ec8ef-3b50-446c-9c01-9d98cc22aae7.MOBHFYJHGSZZ3CHZ.SEARCH&ppt=None&ppn=None&ssid=wpllg0m1e80000001722740819143&qH=532c28d5412dd75b
"realme NARZO 70 5G (ICE BLUE, 128 GB)","₹20,999","₹15,807",4.2,406 Ratings,19 Reviews,8,128,6.67,50MP ,8 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Full HD+ AMOLED Display50MP  | 16MP  5000 mAh Battery1 Year Domestic Warranty for Phone and 6 Months Warranty for In-Box Accessories,https://www.flipkart.com/realme-narzo-70-5g-ice-blue-128-gb/p/itm0d29cc0b3111b?pid=MOBHYFDAA4PXGHZJ&lid=LSTMOBHYFDAA4PXGHZJNMXDND&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_13_312&otracker=AS_Query_OrganicAutoSuggest_4_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_2_na_na_na&fm=organic&iid=65031789-3b71-45f3-90ce-44bda83988a1.MOBHYFDAA4PXGHZJ.SEARCH&ppt=None&ppn=None&ssid=qn6txjkrpc0000001722740678319&qH=532c28d5412dd75b
"realme NARZO 70 5G (ICE BLUE, 128 GB)","₹20,999","₹15,807",4.2,406 Ratings,19 Reviews,8,128,6.67,50MP ,8 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Full HD+ AMOLED Display50MP  | 16MP  5000 mAh Battery1 Year Domestic Warranty for Phone and 6 Months Warranty for In-Box Accessories,https://www.flipkart.com/realme-narzo-70-5g-ice-blue-128-gb/p/itm0d29cc0b3111b?pid=MOBHYFDAA4PXGHZJ&lid=LSTMOBHYFDAA4PXGHZJNMXDND&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_17_404&otracker=AS_Query_OrganicAutoSuggest_4_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_2_na_na_na&fm=organic&iid=39ba0398-6d9e-47e0-aca4-22d45906434c.MOBHYFDAA4PXGHZJ.SEARCH&ppt=None&ppn=None&ssid=zqswdpysuo0000001722740717927&qH=532c28d5412dd75b
"realme NARZO 70X 5G (Forest Green, 128 GB)","₹18,999","₹14,500",4.2,171 Ratings,10 Reviews,8,128,6.72,50MP ,"8 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display50MP 5000 mAh BatteryDimensity 6100 Plus, Octa Core Processor1 Year Domestic Warranty for Phone and 6 Months Warranty for In-Box Accessories",https://www.flipkart.com/realme-narzo-70x-5g-forest-green-128-gb/p/itm4f71d9402833b?pid=MOBHFYR2HMFX4SG5&lid=LSTMOBHFYR2HMFX4SG5BIRPDX&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_27_642&otracker=AS_Query_OrganicAutoSuggest_4_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_2_na_na_na&fm=organic&iid=dbd38b08-ecba-427d-9d6b-d5d54bfd6008.MOBHFYR2HMFX4SG5.SEARCH&ppt=None&ppn=None&ssid=876o94qc000000001722740860786&qH=532c28d5412dd75b
"realme Narzo N65 5G (Deep Green, 128 GB)","₹14,999","₹12,132",4.3,654 Ratings,11 Reviews,6,128,6.67,50MP ,6 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Display50MP 5000 mAh Battery1 Year,https://www.flipkart.com/realme-narzo-n65-5g-deep-green-128-gb/p/itm6378f5785d47b?pid=MOBHFFNQ7YFHPNTZ&lid=LSTMOBHFFNQ7YFHPNTZRETDEB&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_21_498&otracker=AS_Query_OrganicAutoSuggest_4_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_2_na_na_na&fm=organic&iid=dffa470e-ee42-4e79-96f4-9f96505b1848.MOBHFFNQ7YFHPNTZ.SEARCH&ppt=None&ppn=None&ssid=43kbfqyus00000001722740809341&qH=532c28d5412dd75b
"OPPO Reno 12 Pro 5G (Space Brown, 256 GB)","₹53,999","₹36,999",4.4,676 Ratings,51 Reviews,12,256,6.7,50MP + 8MP,12 GB RAM | 256 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 50MP | 50MP  5000 mAh BatteryDimensity 7300 Energy Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,https://www.flipkart.com/oppo-reno-12-pro-5g-space-brown-256-gb/p/itmed01efe011f83?pid=MOBH2AHZUEWJYZTZ&lid=LSTMOBH2AHZUEWJYZTZ0OMMYH&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_25_577&otracker=AS_Query_OrganicAutoSuggest_4_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_2_na_na_na&fm=organic&iid=33a4752a-33a1-4e4e-817c-4653a0d92043.MOBH2AHZUEWJYZTZ.SEARCH&ppt=None&ppn=None&ssid=976xzgum740000001722740906974&qH=532c28d5412dd75b
"IQOO Z9 Lite 5G (?Aqua Flow, 128 GB)","₹14,499","₹11,065",4.7,7 Ratings,0 Reviews,4,128,6.56,50MP ,4 GB RAM | 128 GB ROM16.66 cm (6.56 inch) Display50MP 5000 mAh Battery1 YEAR,https://www.flipkart.com/iqoo-z9-lite-5g-aqua-flow-128-gb/p/itm33918a61f0bb6?pid=MOBH2Y9Y48RMQ7GC&lid=LSTMOBH2Y9Y48RMQ7GCPSQOI7&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_27_629&otracker=AS_Query_OrganicAutoSuggest_4_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_2_na_na_na&fm=organic&iid=dbd38b08-ecba-427d-9d6b-d5d54bfd6008.MOBH2Y9Y48RMQ7GC.SEARCH&ppt=None&ppn=None&ssid=876o94qc000000001722740860786&qH=532c28d5412dd75b
"Apple iPhone 14 ((PRODUCT)RED, 128 GB)","₹69,600","₹59,999",4.6,"2,99,906 Ratings","11,619 Reviews",NIL,128,6.1,12MP + 12MP,"128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP  A15 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",https://www.flipkart.com/apple-iphone-14-product-red-128-gb/p/itm1f78a4e1a1d76?pid=MOBGHWFHFBJVSW22&lid=LSTMOBGHWFHFBJVSW22ERJSVZ&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_21_490&otracker=AS_Query_OrganicAutoSuggest_4_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_2_na_na_na&fm=organic&iid=dffa470e-ee42-4e79-96f4-9f96505b1848.MOBGHWFHFBJVSW22.SEARCH&ppt=None&ppn=None&ssid=43kbfqyus00000001722740809341&qH=532c28d5412dd75b
"itel P55 (Aurora Blue, 128 GB)","₹9,999","₹7,629",4.1,106 Ratings,6 Reviews,8,128,6.56,50MP ,8 GB RAM | 128 GB ROM | Expandable Upto 512 GB16.66 cm (6.56 inch) HD Display50MP  | 8MP  5000 mAh BatteryUnisoc T606 Processor1 Year Manufacturer Warranty,https://www.flipkart.com/itel-p55-aurora-blue-128-gb/p/itm573e1c7afa483?pid=MOBGXTYX2BGPKKMB&lid=LSTMOBGXTYX2BGPKKMBBJR05L&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_26_624&otracker=AS_Query_OrganicAutoSuggest_4_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_2_na_na_na&fm=organic&iid=1f2b016d-0d04-4aa9-8ee3-e7cf81f9aab7.MOBGXTYX2BGPKKMB.SEARCH&ppt=None&ppn=None&ssid=wvqrp7f0cw0000001722740850525&qH=532c28d5412dd75b
"itel P55 (Aurora Blue, 128 GB)","₹9,999","₹7,846",4.1,106 Ratings,6 Reviews,8,128,6.56,50MP ,8 GB RAM | 128 GB ROM | Expandable Upto 512 GB16.66 cm (6.56 inch) HD Display50MP  | 8MP  5000 mAh BatteryUnisoc T606 Processor1 Year Manufacturer Warranty,https://www.flipkart.com/itel-p55-aurora-blue-128-gb/p/itm573e1c7afa483?pid=MOBGXTYX2BGPKKMB&lid=LSTMOBGXTYX2BGPKKMB36FMLU&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_25_580&otracker=AS_Query_OrganicAutoSuggest_4_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_2_na_na_na&fm=organic&iid=33a4752a-33a1-4e4e-817c-4653a0d92043.MOBGXTYX2BGPKKMB.SEARCH&ppt=None&ppn=None&ssid=976xzgum740000001722740906974&qH=532c28d5412dd75b
"IQOO Z9x (Storm Grey, 128 GB)","₹17,999","₹13,200",4.1,348 Ratings,11 Reviews,4,128,6.72,50MP ,"4 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display50MP 6000 mAh BatteryOcta core (2.2 GHz, Quad core, Cortex A78 + 1.8 GHz, Quad core, Cortex A55) Processor1 Year Manufacturer Warranty",https://www.flipkart.com/iqoo-z9x-storm-grey-128-gb/p/itm37ed9034fd805?pid=MOBHF6ZZY5SMYZTP&lid=LSTMOBHF6ZZY5SMYZTPZCKMXF&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_11_261&otracker=AS_Query_OrganicAutoSuggest_4_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_2_na_na_na&fm=organic&iid=85c9e405-1856-451a-a31c-8f82590ecc12.MOBHF6ZZY5SMYZTP.SEARCH&ppt=None&ppn=None&ssid=7fvyzouhwg0000001722740658298&qH=532c28d5412dd75b
"IQOO Z9x (Storm Grey, 128 GB)","₹17,999","₹13,200",4.1,348 Ratings,11 Reviews,4,128,6.72,50MP ,"4 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display50MP 6000 mAh BatteryOcta core (2.2 GHz, Quad core, Cortex A78 + 1.8 GHz, Quad core, Cortex A55) Processor1 Year Manufacturer Warranty",https://www.flipkart.com/iqoo-z9x-storm-grey-128-gb/p/itm37ed9034fd805?pid=MOBHF6ZZY5SMYZTP&lid=LSTMOBHF6ZZY5SMYZTPZCKMXF&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_15_338&otracker=AS_Query_OrganicAutoSuggest_4_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_2_na_na_na&fm=organic&iid=1f0e50e3-ff49-4cc9-b41f-5e042f4b9a6e.MOBHF6ZZY5SMYZTP.SEARCH&ppt=None&ppn=None&ssid=g9tyr392gw0000001722740698250&qH=532c28d5412dd75b
"OnePlus 12R (Cool Blue, 256 GB)","₹45,999","₹42,340",4.5,"2,223 Ratings",142 Reviews,16,256,6.78,50MP ,16 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Display50MP 5500 mAh Battery1 Year Brand Warranty,https://www.flipkart.com/oneplus-12r-cool-blue-256-gb/p/itm347349f7db2f2?pid=MOBGXGT7HKG8JFGU&lid=LSTMOBGXGT7HKG8JFGUUJREZR&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_15_357&otracker=AS_Query_OrganicAutoSuggest_4_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_2_na_na_na&fm=organic&iid=1f0e50e3-ff49-4cc9-b41f-5e042f4b9a6e.MOBGXGT7HKG8JFGU.SEARCH&ppt=None&ppn=None&ssid=g9tyr392gw0000001722740698250&qH=532c28d5412dd75b
"IQOO Z9 Lite 5G (Aqua Flow, 128 GB)","₹15,499","₹12,144",4.1,10 Ratings,0 Reviews,6,128,6.56,50MP ,6 GB RAM | 128 GB ROM16.66 cm (6.56 inch) Display50MP 5000 mAh Battery1 YEAR,https://www.flipkart.com/iqoo-z9-lite-5g-aqua-flow-128-gb/p/itm33918a61f0bb6?pid=MOBH3FDDKSZPCP8Y&lid=LSTMOBH3FDDKSZPCP8YINSOTJ&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_27_648&otracker=AS_Query_OrganicAutoSuggest_4_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_2_na_na_na&fm=organic&iid=dbd38b08-ecba-427d-9d6b-d5d54bfd6008.MOBH3FDDKSZPCP8Y.SEARCH&ppt=None&ppn=None&ssid=876o94qc000000001722740860786&qH=532c28d5412dd75b
"Motorola Edge 50 Ultra 5G (Forest Grey, 512 GB)","₹64,999","₹54,999",4.3,810 Ratings,91 Reviews,12,512,6.7,50MP + 50MP,12 GB RAM | 512 GB ROM17.02 cm (6.7 inch) Display50MP + 50MP + 64MP | 50MP  4500 mAh Battery8s Gen 3 Mobile Platform Processor1 Year on Handset and 6 Months on Accessories,https://www.flipkart.com/motorola-edge-50-ultra-5g-forest-grey-512-gb/p/itm075d34e492ff5?pid=MOBGZZACEMCTCHWY&lid=LSTMOBGZZACEMCTCHWY3WRTEM&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_34_809&otracker=AS_Query_OrganicAutoSuggest_4_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_2_na_na_na&fm=organic&iid=557d98a5-a22e-4864-bc3b-dae6ed7a1103.MOBGZZACEMCTCHWY.SEARCH&ppt=None&ppn=None&ssid=q32dpcnki80000001722741176360&qH=532c28d5412dd75b
