Iso3_code,Country,Region,Subregion,Indicator,Dimension,Category,Sex,Age,Year,Unit of measurement,VALUE,Source
SLV,El Salvador,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,Counts,358,CTS
SRB,Serbia,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,Counts,72,CTS
STP,Sao Tome and Principe,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,Counts,2,CTS
SVK,Slovakia,Europe,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,Counts,117,CTS
SVN,Slovenia,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,Counts,63,CTS
SWE,Sweden,Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,Counts,5479,CTS
THA,Thailand,Asia,South-eastern Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,Counts,2703,CTS
TJK,Tajikistan,Asia,Central Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,Counts,57,CTS
TTO,Trinidad and Tobago,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,Counts,217,CTS/NGO
TZA,United Republic of Tanzania,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,Counts,6493,CTS
UGA,Uganda,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,Counts,709,CTS
UKR,Ukraine,Europe,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,Counts,635,CTS/DMDB
URY,Uruguay,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,Counts,227,CTS
USA,United States of America,Americas,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,Counts,85593,CTS
VAT,Holy See,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,Counts,0,CTS
VCT,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,Counts,28,CTS/NGO
XKX,Kosovo under UNSCR 1244,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,Counts,33,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,22,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,2,CTS
ARM,Armenia,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,10,CTS
AUT,Austria,Europe,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,975,CTS
AZE,Azerbaijan,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,28,CTS
BDI,Burundi,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,646,CTS
BEL,Belgium,Europe,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,3397,CTS
BGR,Bulgaria,Europe,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,157,CTS
BHS,Bahamas,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,107,CTS
BIH,Bosnia and Herzegovina,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,35,CTS
BLR,Belarus,Europe,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,119,CTS
BLZ,Belize,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,27,CTS/MoI
BMU,Bermuda,Americas,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,6,CTS
BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,2572,CTS
BRA,Brazil,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,41294,CTS/DATASUS
BRB,Barbados,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,70,CTS
BTN,Bhutan,Asia,Southern Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,55,CTS
BWA,Botswana,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,1800,CTS
CAN,Canada,Americas,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,549,CTS
CHE,Switzerland,Europe,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,552,CTS
CHL,Chile,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,3590,CTS
CMR,Cameroon,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,583,CTS/NSO
COL,Colombia,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,3686,CTS
CPV,Cabo Verde,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,110,CTS
CRI,Costa Rica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,1641,CTS
CYP,Cyprus,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,38,CTS
CZE,Czechia,Europe,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,675,CTS
DEU,Germany,Europe,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,7539,CTS
DNK,Denmark,Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,853,CTS
DZA,Algeria,Africa,Northern Africa,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,292,CTS
ECU,Ecuador,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,1962,CTS
EGY,Egypt,Africa,Northern Africa,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,102,CTS
ESP,Spain,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,1513,CTS
EST,Estonia,Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,91,CTS
FIN,Finland,Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,1039,CTS
FRA,France,Europe,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,10406,CTS/MoI
GBR_E_W,United Kingdom (England and Wales),Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,16038,CTS
GBR_NI,United Kingdom (Northern Ireland),Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,574,CTS
GBR_S,United Kingdom (Scotland),Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,1183,CTS
GRC,Greece,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,172,CTS
GRD,Grenada,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,36,CTS
GTM,Guatemala,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,569,CTS
GUY,Guyana,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,240,CTS
HKG,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,91,CTS
HND,Honduras,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,1794,CTS
HRV,Croatia,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,122,CTS
HUN,Hungary,Europe,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,196,CTS
IDN,Indonesia,Asia,South-eastern Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,1977,CTS
IND,India,Asia,Southern Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,24206,CTS
IRL,Ireland,Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,451,CTS
IRQ_C,Iraq (Central Iraq),Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,558,CTS
ISL,Iceland,Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,128,CTS
ISR,Israel,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,1045,CTS
JAM,Jamaica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,854,CTS
JPN,Japan,Asia,Eastern Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,1193,CTS/MoI
KAZ,Kazakhstan,Asia,Central Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,1762,CTS
KEN,Kenya,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,934,CTS
KGZ,Kyrgyzstan,Asia,Central Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,331,CTS
KNA,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,19,CTS
LBN,Lebanon,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,187,CTS
LIE,Liechtenstein,Europe,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,2,CTS
LKA,Sri Lanka,Asia,Southern Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,1775,CTS
LTU,Lithuania,Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,191,CTS
LUX,Luxembourg,Europe,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,70,CTS
LVA,Latvia,Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,50,CTS
MAC,"China, Macao Special Administrative Region",Asia,Eastern Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,25,CTS
MDA,Republic of Moldova,Europe,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,291,CTS
MDG,Madagascar,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,484,CTS
MDV,Maldives,Asia,Southern Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,13,CTS
MEX,Mexico,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,14938,CTS
MKD,North Macedonia,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,41,CTS
MLT,Malta,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,18,CTS
MMR,Myanmar,Asia,South-eastern Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,363,CTS
MNE,Montenegro,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,3,CTS
MNG,Mongolia,Asia,Eastern Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,367,CTS
MUS,Mauritius,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,58,CTS
NLD,Netherlands (Kingdom of the),Europe,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,1605,CTS
NOR,Norway,Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,1075,CTS
NZL,New Zealand,Oceania,Australia and New Zealand,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,1325,CTS
PAK,Pakistan,Asia,Southern Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,3536,CTS
PAN,Panama,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,1030,CTS/PPR
PER,Peru,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,7421,CTS
PHL,Philippines,Asia,South-eastern Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,4847,CTS
POL,Poland,Europe,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,1498,CTS
PRI,Puerto Rico,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,45,CTS
PRT,Portugal,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,374,CTS
PRY,Paraguay,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,1263,CTS
PSE,State of Palestine,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,18,CTS
ROU,Romania,Europe,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,780,CTS
RUS,Russian Federation,Europe,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,4801,CTS
RWA,Rwanda,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,257,CTS
SGP,Singapore,Asia,South-eastern Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,150,CTS
SLV,El Salvador,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,326,CTS
SRB,Serbia,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,79,CTS
STP,Sao Tome and Principe,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,3,CTS
SVK,Slovakia,Europe,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,150,CTS
SVN,Slovenia,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,55,CTS
SWE,Sweden,Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,6059,CTS
THA,Thailand,Asia,South-eastern Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,2151,CTS
TJK,Tajikistan,Asia,Central Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,43,CTS
TTO,Trinidad and Tobago,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,200,CTS/NGO
TZA,United Republic of Tanzania,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,5948,CTS
UGA,Uganda,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,520,CTS
URY,Uruguay,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,221,CTS
USA,United States of America,Americas,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,84175,CTS
VAT,Holy See,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,0,CTS
VCT,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,56,CTS/NGO
XKX,Kosovo under UNSCR 1244,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,24,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,24,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,5,CTS
ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,83,CTS
ARM,Armenia,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,14,CTS
AUT,Austria,Europe,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,883,CTS
AZE,Azerbaijan,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,19,CTS
BDI,Burundi,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,1014,CTS
BEL,Belgium,Europe,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,3405,CTS
BGR,Bulgaria,Europe,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,187,CTS
BHS,Bahamas,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,96,CTS
BIH,Bosnia and Herzegovina,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,41,CTS
BLR,Belarus,Europe,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,96,CTS
BLZ,Belize,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,28,CTS/MoI
BMU,Bermuda,Americas,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,3,CTS
BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,3460,CTS
BRA,Brazil,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,49524,CTS/DATASUS
BRB,Barbados,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,53,CTS
BTN,Bhutan,Asia,Southern Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,60,CTS
CAN,Canada,Americas,Northern America,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,499,CTS
CHE,Switzerland,Europe,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,569,CTS
CHL,Chile,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,3275,CTS
CMR,Cameroon,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,565,CTS/NSO
COL,Colombia,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,5240,CTS
CPV,Cabo Verde,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,133,CTS
CRI,Costa Rica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,1430,CTS
CYP,Cyprus,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,25,CTS
CZE,Czechia,Europe,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,669,CTS
DEU,Germany,Europe,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,8031,CTS
DNK,Denmark,Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,869,CTS
DOM,Dominican Republic,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,1591,CTS/NGO
DZA,Algeria,Africa,Northern Africa,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,773,CTS
ECU,Ecuador,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,2067,CTS
ESP,Spain,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,1280,CTS
EST,Estonia,Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,143,CTS
FIN,Finland,Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,1009,CTS
FRA,France,Europe,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,10885,CTS/MoI
GBR_E_W,United Kingdom (England and Wales),Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,16374,CTS
GBR_NI,United Kingdom (Northern Ireland),Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,528,CTS
GBR_S,United Kingdom (Scotland),Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,1372,CTS
GRC,Greece,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,167,CTS
GRD,Grenada,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,19,CTS
GTM,Guatemala,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,655,CTS
GUY,Guyana,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,269,CTS
HKG,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,121,CTS
HND,Honduras,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,1042,CTS
HRV,Croatia,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,126,CTS
HUN,Hungary,Europe,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,192,CTS
IDN,Indonesia,Asia,South-eastern Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,1779,CTS
IND,India,Asia,Southern Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,24923,CTS
IRL,Ireland,Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,519,CTS
IRQ_C,Iraq (Central Iraq),Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,558,CTS
ISL,Iceland,Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,122,CTS
JAM,Jamaica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,956,CTS
JPN,Japan,Asia,Eastern Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,1265,CTS/MoI
KAZ,Kazakhstan,Asia,Central Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,2304,CTS
KEN,Kenya,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,786,CTS
KGZ,Kyrgyzstan,Asia,Central Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,319,CTS
LBN,Lebanon,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,182,CTS
LIE,Liechtenstein,Europe,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,4,CTS
LKA,Sri Lanka,Asia,Southern Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,2212,CTS
LTU,Lithuania,Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,178,CTS
LUX,Luxembourg,Europe,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,76,CTS
LVA,Latvia,Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,64,CTS
MAC,"China, Macao Special Administrative Region",Asia,Eastern Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,27,CTS
MAR,Morocco,Africa,Northern Africa,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,1280,CTS
MDA,Republic of Moldova,Europe,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,360,CTS
MDG,Madagascar,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,350,CTS
MDV,Maldives,Asia,Southern Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,3,CTS
MEX,Mexico,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,15867,CTS
MKD,North Macedonia,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,43,CTS
MLT,Malta,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,13,CTS
MMR,Myanmar,Asia,South-eastern Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,437,CTS
MNE,Montenegro,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,3,CTS
MNG,Mongolia,Asia,Eastern Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,305,CTS
NLD,Netherlands (Kingdom of the),Europe,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,1410,CTS
NOR,Norway,Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,1116,CTS
NZL,New Zealand,Oceania,Australia and New Zealand,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,1322,CTS
PAK,Pakistan,Asia,Southern Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,3466,CTS
PAN,Panama,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,1187,CTS/PPR
PER,Peru,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,8881,CTS
PHL,Philippines,Asia,South-eastern Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,4738,CTS
POL,Poland,Europe,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,1432,CTS
PRI,Puerto Rico,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,32,CTS
PRT,Portugal,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,375,CTS
PRY,Paraguay,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,956,CTS
PSE,State of Palestine,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,8,CTS
