id,name,now_cost,position,team,points_per_game,clean_sheets_per_90,red_cards,saves,own_goals,expected_goal_involvements_per_90,expected_assists,form_rank_type,influence_rank_type,expected_goal_involvements,now_cost_rank_type,expected_goals_conceded,expected_assists_per_90,penalties_saved,influence_rank,selected_rank_type,yellow_cards,goals_scored,creativity_rank,value_season,expected_goals,points_per_game_rank,web_name,goals_conceded_per_90,ict_index_rank,bps,ict_index_rank_type,corners_and_indirect_freekicks_order,form_rank,clean_sheets,ep_next,direct_freekicks_order,penalties_missed,selected_by_percent,influence,threat_rank_type,threat,creativity,saves_per_90,status,total_points,starts,minutes,ict_index,threat_rank,expected_goals_per_90,news,goals_conceded,news_added,chance_of_playing_next_round,creativity_rank_type,assists,now_cost_rank,bonus,starts_per_90,points_per_game_rank_type,selected_rank,penalties_order,expected_goals_conceded_per_90
70,Milos Kerkez,45,DEF,Bournemouth,2.1,0.27,1,0,1,0.11,1.06,149,82,2.38,139,36.85,0.05,0,218,79,4,0,167,13.1,1.32,261,Kerkez,1.69,208,290,62,,258,6,1.9,,0,0.6,310.0,48,150.0,216.5,0.0,a,59,22,1966,67.7,185,0.06,,37,,,38,2,488,1,1.01,90,222,,1.69
71,Justin Kluivert,55,MID,Bournemouth,3.1,0.52,0,0,0,0.35,1.68,182,79,7.44,80,30.07,0.08,0,185,85,5,7,133,18.2,5.76,141,Kluivert,1.08,99,229,64,,460,11,2.0,4.0,0,0.5,362.2,27,619.0,283.2,0.0,a,100,26,1910,126.4,47,0.27,,23,,,88,1,133,2,1.23,64,264,,1.42
72,Chris Mepham,45,DEF,Bournemouth,1.6,0.15,0,0,0,0.03,0.17,113,113,0.26,103,10.34,0.02,0,305,181,2,0,316,3.6,0.09,324,Mepham,2.35,328,113,114,,165,1,1.9,,0,0.1,142.6,115,27.0,40.0,0.0,a,16,6,613,21.0,318,0.01,,16,,,115,1,395,0,0.88,111,448,,1.52
73,Norberto Murara Neto,45,GKP,Bournemouth,3.4,0.22,0,113,0,0.0,0.01,31,9,0.01,15,49.66,0.0,1,27,17,5,0,454,24.4,0.00,84,Neto,1.72,168,592,9,,90,7,2.2,,0,2.8,875.2,32,0.0,0.0,3.53,a,110,32,2880,87.5,432,0.0,,55,,,46,0,320,14,1.0,12,114,,1.55
74,Dango Ouattara,50,MID,Bournemouth,1.9,0.37,0,0,0,0.28,1.10,150,92,3.75,191,21.13,0.08,0,224,247,3,1,156,11.2,2.65,293,O.Dango,1.78,166,207,86,,407,5,1.5,,0,0.0,298.4,70,332.0,245.4,0.0,a,56,12,1214,87.8,106,0.2,,24,,,102,2,298,3,0.89,127,564,,1.57
75,Alex Paulsen,40,GKP,Bournemouth,0.0,0.0,0,0,0,0.0,0.00,25,54,0.00,62,0.00,0.0,0,449,38,0,0,440,0.0,0.00,450,Paulsen,0.0,452,0,54,,62,0,1.0,,0,0.4,0.0,26,0.0,0.0,0.0,a,0,0,0,0.0,415,0.0,,0,,,42,0,563,0,0.0,54,274,,0.0
76,Philip Billing,50,MID,Bournemouth,2.1,0.13,1,0,0,0.3,2.11,85,90,4.64,126,29.25,0.14,0,220,198,3,2,119,12.0,2.53,264,Philip,2.34,165,228,85,,308,2,1.5,1.0,0,0.1,304.2,80,267.0,313.5,0.0,a,60,13,1385,88.3,122,0.16,,36,,,81,3,199,3,0.84,108,510,,1.9
77,Alex Scott,50,MID,Bournemouth,1.8,0.27,0,0,0,0.17,1.06,146,115,1.88,187,17.89,0.1,0,272,206,3,1,126,8.2,0.82,305,Scott,2.24,219,163,108,3.0,403,3,1.5,3.0,0,0.1,197.0,117,116.0,294.7,0.0,a,41,11,1003,60.7,219,0.07,,25,,,82,1,294,3,0.99,133,518,,1.61
78,Antoine Semenyo,55,MID,Bournemouth,3.2,0.34,0,0,0,0.29,2.19,187,50,6.87,85,34.41,0.09,0,120,50,6,8,78,19.5,4.69,125,Semenyo,1.41,58,363,41,,466,8,2.0,,0,1.3,506.8,16,748.0,411.2,0.0,a,107,25,2099,166.8,32,0.2,,33,,,58,4,139,14,1.07,55,156,,1.48
79,Marcos Senesi,50,DEF,Bournemouth,3.3,0.24,0,0,0,0.17,2.27,163,13,4.25,29,40.83,0.09,0,50,61,13,4,120,20.4,1.98,105,Senesi,1.77,109,486,20,,340,6,2.4,,0,1.2,735.0,49,147.0,311.2,0.0,a,102,26,2239,119.7,188,0.08,,44,,,23,5,231,13,1.05,22,166,,1.64
80,Luis Sinisterra,50,MID,Bournemouth,2.1,0.13,0,0,0,0.48,1.03,107,110,3.65,148,11.39,0.14,0,262,136,0,2,153,8.6,2.62,267,Sinisterra,2.36,176,149,91,,343,1,1.5,,0,0.2,221.4,64,343.0,251.4,0.0,a,43,7,685,81.7,100,0.34,,18,,,99,2,234,2,0.92,110,414,,1.5
81,Adam Smith,45,DEF,Bournemouth,2.9,0.34,0,0,0,0.06,1.50,55,72,1.55,45,33.02,0.06,0,197,154,6,0,124,17.8,0.05,157,Smith,1.38,211,378,64,,83,8,1.9,,0,0.2,336.4,114,27.0,296.5,0.0,a,80,25,2148,66.1,317,0.0,,33,,,26,3,313,4,1.05,39,393,,1.38
82,Dominic Solanke-Mitchell,75,FWD,Bournemouth,4.6,0.27,0,0,0,0.59,2.11,60,3,21.75,6,56.58,0.06,0,24,7,3,19,66,23.3,19.64,24,Solanke,1.65,12,560,4,,556,10,2.3,,1,10.2,902.0,3,1348.0,479.6,0.0,a,175,37,3325,272.7,4,0.53,,61,,,6,3,14,20,1.0,6,38,1.0,1.53
83,Marcus Tavernier,55,MID,Bournemouth,3.0,0.34,0,0,0,0.34,4.24,175,63,8.12,73,32.42,0.18,0,138,109,3,3,41,16.2,3.88,151,Tavernier,1.61,66,324,47,1.0,451,8,2.0,2.0,0,0.3,468.4,44,460.0,649.4,0.0,a,89,25,2118,157.8,68,0.16,,38,,,36,4,124,5,1.06,66,335,,1.38
84,Mark Travers,45,GKP,Bournemouth,4.8,0.5,0,13,0,0.0,0.00,46,30,0.00,30,6.96,0.0,0,326,48,0,0,480,4.2,0.00,19,Travers,1.25,361,79,30,,171,2,2.2,,0,0.3,92.6,47,0.0,0.0,3.25,a,19,4,360,9.3,465,0.0,,5,,,54,0,401,2,1.0,1,338,,1.74
85,Illia Zabarnyi,45,DEF,Bournemouth,2.3,0.22,0,0,0,0.04,0.55,141,16,1.68,131,58.38,0.01,0,57,93,5,1,249,18.7,1.13,232,Zabarnyi,1.81,159,583,44,,221,8,1.9,,0,0.5,686.0,65,117.0,111.1,0.0,a,84,37,3330,91.5,218,0.03,,67,,,79,0,451,3,1.0,76,248,,1.58
86,Kristoffer Ajer,45,DEF,Brentford,2.4,0.25,0,0,0,0.19,2.68,89,55,3.90,79,29.41,0.13,0,160,108,5,2,205,15.1,1.22,212,Ajer,1.63,179,323,49,,136,5,1.9,,0,0.4,406.8,22,223.0,166.6,0.0,a,68,21,1826,79.7,143,0.06,,33,,,57,1,366,3,1.04,65,290,,1.45
87,Ethan Brierley,45,MID,Brentford,0.0,0.0,0,0,0,0.0,0.00,31,203,0.00,228,0.00,0.0,0,503,185,0,0,502,0.0,0.00,505,Brierley,0.0,506,0,204,,235,0,1.0,,0,0.1,0.0,199,0.0,0.0,0.0,a,0,0,0,0.0,492,0.0,,0,,,204,0,465,0,0.0,204,496,,0.0
88,Nathan Collins,45,DEF,Brentford,2.6,0.24,0,0,0,0.08,0.95,130,22,2.54,120,41.61,0.03,0,68,109,3,1,212,18.7,1.59,188,Collins,1.73,142,489,34,,193,7,1.9,,0,0.4,653.8,34,180.0,151.5,0.0,a,84,29,2649,98.7,164,0.05,,51,,,62,1,423,8,0.99,58,291,,1.41
89,Mikkel Damsgaard,50,MID,Brentford,2.0,0.54,0,0,0,0.18,0.93,124,129,1.69,165,10.11,0.1,0,296,173,2,0,192,9.0,0.76,282,Damsgaard,0.98,268,155,126,,368,5,1.5,,0,0.1,162.6,126,103.0,179.1,0.0,a,45,7,829,44.7,235,0.08,,9,,,118,4,259,0,0.76,121,483,,1.1
90,Josh Dasilva,50,MID,Brentford,1.0,0.0,0,0,0,0.94,0.23,88,176,0.23,129,0.10,0.94,0,382,195,0,0,338,0.6,0.00,383,Dasilva,0.0,374,6,171,4.0,314,0,1.5,,0,0.1,6.8,169,14.0,15.4,0.0,a,3,0,22,3.6,335,0.0,,0,,,166,0,205,0,0.0,179,507,4.0,0.41
91,Mark Flekken,45,GKP,Brentford,3.2,0.19,0,115,0,0.0,0.14,40,8,0.14,24,54.01,0.0,0,20,4,3,0,314,26.4,0.00,114,Flekken,1.73,148,685,8,,118,7,2.2,,0,13.4,921.2,41,0.0,40.3,3.15,a,119,37,3285,96.2,444,0.0,,63,,,2,1,348,12,1.01,20,27,,1.48
92,Rico Henry,45,DEF,Brentford,2.6,0.22,0,0,0,0.22,0.90,91,124,0.97,81,5.12,0.2,0,343,81,1,0,285,2.9,0.07,185,Henry,1.12,344,74,121,,138,1,1.9,,0,0.6,72.8,123,17.0,67.9,0.0,a,13,5,401,15.7,330,0.02,,5,,,99,1,368,0,1.12,55,227,,1.15
93,Aaron Hickey,45,DEF,Brentford,1.9,0.25,0,0,0,0.05,0.13,139,126,0.33,129,10.20,0.02,0,348,156,5,0,323,3.8,0.20,289,Hickey,1.51,353,87,126,,217,2,1.9,,0,0.2,66.6,106,37.0,28.4,0.0,a,17,9,713,12.9,301,0.03,,12,,,119,0,447,0,1.14,100,397,,1.29
94,Vitaly Janelt,50,MID,Brentford,2.4,0.27,0,0,0,0.15,3.44,97,53,5.26,138,47.65,0.1,0,123,122,8,1,57,18.6,1.82,218,Janelt,1.53,90,466,60,,326,9,1.5,,0,0.2,503.4,78,285.0,562.5,0.0,a,93,37,3054,135.3,117,0.05,,52,,,46,4,217,1,1.09,89,382,,1.4
95,Mathias Jensen,55,MID,Brentford,3.1,0.37,0,0,0,0.23,4.89,177,60,5.60,75,36.36,0.2,0,132,117,5,3,38,17.8,0.71,140,Jensen,1.84,92,422,62,2.0,453,9,2.0,3.0,0,0.2,481.2,111,135.0,689.3,0.0,a,98,27,2201,130.4,203,0.03,,45,,,33,4,126,10,1.1,63,354,,1.49
96,Kim Ji-soo,40,DEF,Brentford,0.0,0.0,0,0,0,0.0,0.00,47,170,0.00,188,0.00,0.0,0,457,124,0,0,448,0.0,0.00,458,Ji-soo,0.0,460,0,170,,73,0,1.0,,0,0.3,0.0,170,0.0,0.0,0.0,a,0,0,0,0.0,424,0.0,,0,,,170,0,574,0,0.0,168,325,,0.0
97,Yunus Emre Konak,45,MID,Brentford,0.0,0.0,0,0,0,0.0,0.00,58,217,0.00,255,0.00,0.0,0,520,211,0,0,517,0.0,0.00,520,Konak,0.0,521,0,217,,271,0,1.0,,0,0.1,0.0,217,0.0,0.0,0.0,a,0,0,0,0.0,512,0.0,,0,,,217,0,501,0,0.0,217,524,,0.0
98,Keane Lewis-Potter,50,MID,Brentford,2.4,0.38,0,0,0,0.5,1.66,118,97,8.07,159,20.21,0.1,0,235,187,0,3,177,14.6,6.42,220,Lewis-Potter,1.83,129,186,77,,360,6,1.5,,0,0.1,280.0,32,573.0,203.8,0.0,a,73,15,1428,105.6,52,0.4,,29,,,111,2,251,1,0.95,91,498,,1.27
99,Bryan Mbeumo,70,MID,Brentford,5.1,0.23,0,0,0,0.71,5.67,242,36,15.37,19,28.31,0.26,0,95,17,2,9,54,18.1,9.70,15,Mbeumo,1.43,52,364,36,1.0,551,5,2.4,2.0,0,7.4,554.2,31,576.0,572.1,0.0,a,127,22,1957,170.1,51,0.45,,31,,,43,7,33,12,1.01,12,57,2.0,1.3
100,Ben Mee,45,DEF,Brentford,2.4,0.07,1,0,0,0.17,0.78,54,74,2.35,44,24.80,0.06,0,201,56,1,2,268,8.7,1.57,209,Mee,1.98,240,210,76,,82,1,1.9,,0,1.3,334.8,64,118.0,88.2,0.0,a,39,15,1272,54.2,217,0.11,,28,,,90,1,312,3,1.06,63,157,,1.75
101,Christian Nørgaard,50,MID,Brentford,2.4,0.22,0,0,0,0.22,2.44,70,55,6.05,111,43.31,0.09,0,125,149,8,2,87,14.8,3.61,215,Nørgaard,1.83,105,414,66,,292,6,1.5,,0,0.1,501.8,75,316.0,396.2,0.0,a,74,30,2504,121.8,112,0.13,,51,,,63,1,183,3,1.08,87,449,,1.56
102,Frank Onyeka,50,MID,Brentford,1.5,0.08,0,0,0,0.27,1.44,120,101,3.53,161,21.94,0.11,0,244,217,8,1,193,7.8,2.09,337,Onyeka,2.12,215,150,105,,362,1,1.5,,0,0.1,259.0,95,189.0,178.3,0.0,a,39,11,1147,62.6,160,0.16,,27,,,119,2,253,0,0.86,151,533,,1.72
103,Myles Peart-Harris,45,MID,Brentford,1.0,0.0,0,0,0,0.0,0.00,17,182,0.00,214,0.07,0.0,0,393,222,0,0,347,0.7,0.00,367,Peart-Harris,0.0,388,6,180,,201,0,1.0,,0,0.1,2.2,178,2.0,10.9,0.0,a,3,0,11,1.5,357,0.0,,0,,,172,0,431,0,0.0,167,538,,0.57
104,Ethan Pinnock,45,DEF,Brentford,2.7,0.18,0,0,0,0.1,0.83,117,23,2.84,107,39.14,0.03,0,69,88,1,2,290,17.1,2.01,177,Pinnock,1.64,153,479,41,,173,5,1.9,,0,0.5,653.2,25,221.0,63.4,0.0,a,77,28,2521,94.2,147,0.07,,46,,,102,0,403,5,1.0,52,239,,1.4
105,Mads Roerslev Rasmussen,45,DEF,Brentford,2.2,0.23,0,0,0,0.11,1.34,115,64,2.39,105,37.71,0.06,0,175,166,1,1,135,16.7,1.05,242,Roerslev,1.82,192,354,56,,169,5,1.9,,0,0.2,382.0,77,94.0,281.3,0.0,a,75,22,1975,76.3,241,0.05,,40,,,29,2,399,3,1.0,81,419,,1.72
106,Kevin Schade,55,MID,Brentford,3.0,0.28,0,0,0,0.56,0.72,197,137,2.01,95,3.58,0.2,0,319,154,0,2,296,6.0,1.29,152,Schade,1.38,319,81,145,,484,1,2.0,,0,0.1,105.8,127,100.0,58.3,0.0,a,33,3,327,26.2,238,0.36,,5,,,155,2,157,2,0.83,67,459,,0.99
107,Igor Thiago Nascimento Rodrigues,60,FWD,Brentford,0.0,0.0,0,0,0,0.0,0.00,50,66,0.00,26,0.00,0.0,0,574,44,0,0,574,0.0,0.00,574,Thiago,0.0,574,0,66,,509,0,2.0,,0,0.5,0.0,66,0.0,0.0,0.0,a,0,0,0,0.0,574,0.0,,0,,,66,0,88,0,0.0,66,255,,0.0
108,Ivan Toney,75,FWD,Brentford,3.4,0.19,0,0,0,0.45,1.51,59,27,7.23,5,27.82,0.09,0,231,6,5,4,174,7.6,5.72,99,Toney,1.86,136,159,24,,555,3,2.3,1.0,0,12.0,289.6,23,524.0,206.5,0.0,a,57,16,1449,101.7,59,0.36,,30,,,24,3,13,4,0.99,19,33,1.0,1.73
109,Hákon Valdimarsson,40,GKP,Brentford,0.0,0.0,0,0,0,0.0,0.00,26,55,0.00,63,0.00,0.0,0,452,27,0,0,443,0.0,0.00,453,Valdimarsson,0.0,455,0,55,,65,0,1.0,,0,1.1,0.0,27,0.0,0.0,0.0,a,0,0,0,0.0,418,0.0,,0,,,43,0,566,0,0.0,55,179,,0.0
110,Yoane Wissa,60,FWD,Brentford,3.9,0.4,0,0,0,0.45,1.82,47,13,12.36,23,37.55,0.07,0,85,21,7,12,93,21.8,10.54,52,Wissa,1.45,48,457,12,,500,11,2.0,,0,2.6,592.8,14,769.0,384.0,0.0,a,131,29,2488,173.2,27,0.38,,40,,,11,4,79,15,1.05,12,119,,1.36
111,Yehor Yarmoliuk,45,MID,Brentford,1.2,0.54,0,0,0,0.26,1.00,39,140,1.94,236,9.42,0.13,0,323,34,2,0,288,7.3,0.94,351,Yarmoliuk,1.21,308,95,139,,243,4,1.0,,0,2.9,98.4,116,127.0,66.9,0.0,a,33,6,670,29.0,209,0.13,,9,,,154,0,473,0,0.81,158,109,,1.27
112,Mathias Jorgensen,45,DEF,Brentford,2.1,0.17,0,0,0,0.11,0.55,53,98,1.29,43,19.72,0.05,0,264,179,4,1,262,6.4,0.74,254,Zanka,1.99,282,179,99,,80,2,1.9,,0,0.1,216.0,80,90.0,94.0,0.0,a,29,12,1086,40.0,246,0.06,,24,,,86,0,310,3,0.99,84,445,,1.63
113,Simon Adingra,55,MID,Brighton,3.1,0.16,0,0,0,0.3,3.26,200,61,7.45,98,36.64,0.13,0,136,67,3,6,61,17.6,4.19,142,Adingra,1.54,47,330,33,,488,4,2.0,,0,0.7,477.6,15,751.0,507.8,0.0,a,97,25,2220,173.4,31,0.17,,38,,,48,1,161,8,1.01,65,205,,1.49
114,Benicio Baker-Boaitey,45,MID,Brighton,0.8,0.0,0,0,0,0.29,0.10,24,178,0.12,221,0.80,0.24,0,387,220,1,0,343,0.9,0.02,396,Baker-Boaitey,2.43,384,10,177,,219,0,1.0,,0,0.1,4.6,174,4.0,12.6,0.0,a,4,0,37,1.9,348,0.05,,1,,,170,0,449,0,0.0,186,536,,1.95
115,Carlos Baleba,50,MID,Brighton,1.3,0.14,0,0,0,0.08,0.24,151,121,1.08,192,23.59,0.02,0,283,216,7,0,225,6.8,0.85,347,Baleba,1.92,284,174,131,,408,2,1.5,,0,0.1,179.8,132,72.0,134.7,0.0,a,34,15,1314,38.8,256,0.06,,28,,,129,0,299,0,1.03,156,532,,1.62
116,Valentín Barco,40,DEF,Brighton,0.8,0.0,0,0,0,0.17,0.38,44,128,0.58,185,5.10,0.11,0,355,30,1,0,282,1.2,0.20,393,Barco,2.64,345,33,122,,70,0,1.0,,0,5.0,44.8,102,39.0,69.6,0.0,a,5,3,307,15.5,295,0.06,,9,,,97,0,571,0,0.88,131,80,,1.5
117,Facundo Buonanotte,50,MID,Brighton,2.1,0.4,0,0,0,0.24,1.16,152,105,3.50,193,21.14,0.08,0,248,171,7,3,128,11.4,2.34,269,Buonanotte,1.26,184,160,96,,410,6,1.5,,0,0.1,254.8,85,238.0,291.3,0.0,a,57,17,1356,78.4,133,0.16,,19,,,84,1,301,1,1.13,112,481,,1.4
118,Amario Cozier-Duberry,45,MID,Brighton,0.0,0.0,0,0,0,0.0,0.00,44,208,0.00,241,0.00,0.0,0,509,121,0,0,508,0.0,0.00,511,Cozier-Duberry,0.0,512,0,209,,250,0,1.0,,0,0.2,0.0,206,0.0,0.0,0.0,a,0,0,0,0.0,500,0.0,,0,,,209,0,480,0,0.0,209,375,,0.0
119,Mahmoud Dahoud,50,MID,Brighton,1.6,0.2,1,0,0,0.15,0.54,84,151,0.76,125,5.16,0.11,0,346,239,1,0,231,2.8,0.22,329,Dahoud,1.2,327,68,151,,307,1,1.5,,0,0.0,70.4,163,24.0,127.2,0.0,a,14,6,449,21.7,322,0.04,,6,,,132,1,198,0,1.2,145,556,,1.03
120,Lewis Dunk,45,DEF,Brighton,2.7,0.16,1,0,0,0.17,2.24,62,8,5.38,52,49.76,0.07,0,34,33,6,3,176,19.8,3.15,175,Dunk,1.66,84,567,11,,94,5,1.9,2.0,0,4.3,823.0,2,389.0,205.4,0.0,a,89,33,2869,141.7,87,0.1,,53,,,42,1,324,11,1.04,51,85,,1.56
121,Julio Enciso,55,MID,Brighton,1.7,0.0,0,0,0,0.52,1.28,193,148,2.66,91,9.71,0.25,0,338,94,2,0,229,3.6,1.38,323,Enciso,2.31,291,62,132,,478,0,2.0,,0,0.4,81.0,100,157.0,131.7,0.0,a,20,5,468,36.9,178,0.27,,12,,,131,2,151,0,0.96,142,288,,1.87
122,Pervis Estupiñán,50,DEF,Brighton,3.0,0.22,0,0,1,0.23,2.22,158,68,3.22,24,26.50,0.16,0,190,185,4,2,94,11.4,1.00,148,Estupiñan,1.88,164,291,46,3.0,325,3,0.0,,0,0.1,350.8,45,156.0,382.6,0.0,i,57,15,1242,89.0,180,0.07,Ankle injury - Expected back 14 Sep,26,2024-07-17T13:30:04.967460Z,0.0,17,3,216,7,1.09,38,527,,1.92
123,Evan Ferguson,55,FWD,Brighton,2.6,0.13,0,0,0,0.35,0.77,41,28,5.26,41,22.16,0.05,0,239,68,1,6,255,12.5,4.49,194,Ferguson,1.86,189,218,28,,482,2,0.0,,0,0.1,275.0,29,393.0,106.7,0.0,i,69,15,1356,77.3,85,0.3,Ankle injury - Expected back 05 Oct,28,2024-07-17T13:30:04.980195Z,0.0,32,1,155,5,1.0,29,523,,1.47
124,Billy Gilmour,50,MID,Brighton,2.0,0.26,1,0,0,0.15,2.56,115,94,3.54,156,36.04,0.11,0,230,140,8,0,65,12.2,0.98,281,Gilmour,1.57,167,354,87,,353,6,1.5,,0,0.2,291.4,125,104.0,481.5,0.0,a,61,24,2116,87.7,234,0.04,,37,,,49,3,244,4,1.02,120,424,,1.53
125,Pascal Groß,65,MID,Brighton,4.2,0.2,0,0,0,0.45,8.89,208,8,15.29,20,51.16,0.26,0,14,39,6,4,1,23.5,6.40,37,Gross,1.45,7,724,7,1.0,510,7,2.3,1.0,0,2.2,988.6,48,434.0,1674.9,0.0,a,153,34,3112,309.9,74,0.19,,50,,,1,11,37,29,0.98,20,126,2.0,1.48
126,Jack Hinshelwood,50,MID,Brighton,3.5,0.21,0,0,0,0.26,0.36,149,112,2.46,190,14.30,0.04,0,268,235,1,3,240,8.4,2.10,79,Hinshelwood,1.77,237,155,116,,406,2,1.5,,0,0.0,200.2,86,230.0,118.9,0.0,a,42,8,866,55.0,136,0.22,,17,,,137,0,297,5,0.83,38,552,,1.49
127,Ibrahim Osman,50,MID,Brighton,0.0,0.0,0,0,0,0.0,0.00,156,240,0.00,197,0.00,0.0,0,550,238,0,0,549,0.0,0.00,550,I.Osman,0.0,551,0,240,,414,0,1.5,,0,0.0,0.0,240,0.0,0.0,0.0,a,0,0,0,0.0,547,0.0,,0,,,240,0,305,0,0.0,240,555,,0.0
128,Igor Julio dos Santos de Paulo,45,DEF,Brighton,1.5,0.11,0,0,0,0.04,0.50,112,84,0.75,102,24.36,0.03,0,225,169,4,0,224,8.2,0.25,335,Igor,1.43,263,311,91,,164,2,1.9,,0,0.2,297.8,118,23.0,135.5,0.0,a,37,17,1631,45.8,323,0.01,,26,,,69,0,394,1,0.94,115,423,,1.34
129,João Pedro Junqueira de Jesus,55,FWD,Brighton,3.4,0.22,0,0,0,0.74,4.64,40,11,16.65,40,32.63,0.21,0,76,4,2,9,53,18.9,12.01,95,João Pedro,1.68,31,406,9,,479,5,1.7,,1,19.7,622.4,9,932.0,578.8,0.0,a,104,19,2037,213.4,18,0.53,,38,,,4,3,152,12,0.84,17,18,1.0,1.44
130,Kacper Kozłowski,45,MID,Brighton,0.0,0.0,0,0,0,0.0,0.00,25,201,0.00,222,0.00,0.0,0,501,250,0,0,500,0.0,0.00,503,Kozlowski,0.0,504,0,202,,223,0,0.0,,0,0.0,0.0,195,0.0,0.0,0.0,u,0,0,0,0.0,487,0.0,Permanent transfer to Gaziantep FK,0,2024-07-22T09:03:00.342050Z,0.0,202,0,453,0,0.0,202,568,,0.0
131,Tariq Lamptey,45,DEF,Brighton,1.6,0.1,0,0,0,0.12,0.90,119,111,1.24,109,14.35,0.09,0,303,100,3,0,198,6.9,0.34,325,Lamptey,1.98,288,155,102,,175,1,1.9,,0,0.5,144.6,92,60.0,173.7,0.0,a,31,10,908,37.6,273,0.03,,20,,,52,3,405,0,0.99,112,265,,1.42
132,Solly March,65,MID,Brighton,5.6,0.32,0,0,0,0.5,0.97,210,114,3.07,22,10.50,0.16,0,270,253,1,3,232,6.0,2.10,9,March,1.78,260,134,123,2.0,513,2,0.0,,0,0.0,197.4,107,139.0,126.5,0.0,i,39,7,555,46.4,197,0.34,Knee injury - Expected back 14 Sep,11,2024-07-17T13:30:04.993410Z,0.0,133,1,40,6,1.14,6,574,,1.7
133,Adrian Mazilu,45,MID,Brighton,0.0,0.0,0,0,0,0.0,0.00,52,212,0.00,249,0.00,0.0,0,514,246,0,0,511,0.0,0.00,514,Mazilu,0.0,515,0,212,,261,0,1.0,,0,0.0,0.0,211,0.0,0.0,0.0,a,0,0,0,0.0,505,0.0,,0,,,212,0,491,0,0.0,212,563,,0.0
134,James Milner,50,MID,Brighton,1.9,0.47,0,0,0,0.28,2.18,59,130,2.47,100,12.81,0.25,0,299,197,3,0,152,5.6,0.29,290,Milner,1.4,258,146,121,4.0,272,4,1.5,,0,0.1,152.8,140,61.0,253.5,0.0,a,28,11,770,46.8,269,0.03,,12,,,98,2,163,0,1.29,124,509,,1.5
135,Yankuba Minteh,55,MID,Brighton,0.0,0.0,0,0,0,0.0,0.00,201,253,0.00,99,0.00,0.0,0,572,80,0,0,572,0.0,0.00,572,Minteh,0.0,572,0,253,,489,0,2.0,,0,0.5,0.0,253,0.0,0.0,0.0,a,0,0,0,0.0,572,0.0,,0,,,253,0,162,0,0.0,253,254,,0.0
136,Mitoma Kaoru,65,MID,Brighton,3.9,0.06,0,0,0,0.43,3.56,232,88,7.05,44,24.64,0.22,0,208,42,4,3,96,11.4,3.49,54,Mitoma,1.64,91,252,61,,537,1,2.3,,0,1.7,327.6,25,636.0,375.1,0.0,a,74,15,1485,134.0,45,0.21,,27,,,67,7,64,7,0.91,29,136,,1.49
137,Jakub Moder,45,MID,Brighton,1.2,0.15,0,0,0,0.22,0.67,9,144,1.45,206,12.60,0.1,0,331,92,2,0,272,4.7,0.78,350,Moder,1.92,322,89,148,,185,1,1.0,,0,0.4,87.2,131,84.0,82.3,0.0,a,21,6,608,25.4,254,0.12,,13,,,148,0,415,0,0.89,157,280,,1.87
138,Mark O’Mahony,45,FWD,Brighton,0.7,0.0,0,0,0,0.09,0.00,8,44,0.06,67,1.28,0.0,0,384,47,1,0,369,0.4,0.06,400,O’Mahony,1.48,389,5,44,,267,0,1.0,,0,0.4,6.0,45,6.0,1.6,0.0,a,2,1,61,1.3,344,0.09,,1,,,42,0,497,0,1.48,47,285,,1.89
139,Odeluga Offiah,40,DEF,Brighton,1.0,0.0,0,0,0,0.02,0.03,31,132,0.03,172,2.56,0.02,0,383,157,0,0,357,1.0,0.00,361,Offiah,2.14,387,21,133,,51,0,1.0,,0,0.2,6.4,128,4.0,5.5,0.0,a,4,1,126,1.6,346,0.0,,3,,,131,0,552,0,0.71,124,398,,1.83
140,Cameron Peupion,45,MID,Brighton,0.0,0.0,0,0,0,0.0,0.00,29,202,0.00,226,0.00,0.0,0,502,231,0,0,501,0.0,0.00,504,Peupion,0.0,505,0,203,,232,0,1.0,,0,0.0,0.0,198,0.0,0.0,0.0,a,0,0,0,0.0,491,0.0,,0,,,203,0,462,0,0.0,203,547,,0.0
141,Jeremy Sarmiento Morante,50,MID,Brighton,0.0,0.0,0,0,0,0.0,0.00,125,231,0.00,166,0.00,0.0,0,537,221,0,0,536,0.0,0.00,537,Sarmiento,0.0,538,0,231,,370,0,1.5,,0,0.1,0.0,231,0.0,0.0,0.0,a,0,0,0,0.0,534,0.0,,0,,,231,0,261,0,0.0,231,537,,0.0
142,Jason Steele,45,GKP,Brighton,2.5,0.12,0,43,0,0.0,0.00,28,20,0.00,12,24.86,0.0,0,174,36,0,0,383,9.3,0.00,199,Steele,2.0,286,300,20,,81,2,2.2,,0,0.5,382.2,29,0.0,0.1,2.53,a,42,17,1530,38.2,429,0.0,,34,,,15,0,311,5,1.0,27,250,,1.46
143,Deniz Undav,55,FWD,Brighton,0.0,0.0,0,0,0,0.0,0.00,38,64,0.00,38,0.00,0.0,0,564,56,0,0,564,0.0,0.00,564,Undav,0.0,564,0,64,,474,0,1.7,,0,0.2,0.0,64,0.0,0.0,0.0,a,0,0,0,0.0,564,0.0,,0,,,64,0,147,0,0.0,64,426,,0.0
