popularity,release_date,title,vote_average
37.661,8/21/2013,The Mortal Instruments: City of Bones,6.441
14.8,6/4/1999,Instinct,6.4
18.482,1/27/2020,His House,6.438
29.22,1/13/2012,Man on a Ledge,6.435
42.117,3/7/1992,Dragon Ball Z: The Return of Cooler,6.4
18.822,8/13/1999,Brokedown Palace,6.43
16.078,6/22/2007,A Mighty Heart,6.4
22.814,4/16/2014,The Other Woman,6.424
11.911,5/17/2006,The Barbie Diaries,6.424
105.509,11/22/2023,Napoleon,6.419
17.106,9/12/2019,The Room,6.422
49.176,3/10/2006,The Hills Have Eyes,6.417
11.044,9/9/2022,The Chalk Line,6.415
14.393,9/14/2016,Bridget Jones's Baby,6.413
17.968,3/25/1970,Airport,6.413
25.282,10/6/2017,Cargo,6.408
26.192,10/14/2014,The Loft,6.408
30.403,3/23/1978,Game of Death,6.403
18.824,9/26/2002,Sweet Home Alabama,6.403
19.853,10/7/1994,Ocean Waves,6.4
11.374,8/23/1991,Dead Again,6.4
22.988,9/5/2006,Bobby,6.395
20.664,11/13/1981,Porky's,6.395
33.51,6/13/1989,Licence to Kill,6.391
13.267,9/26/1975,Shivers,6.39
23.441,8/10/2016,Pete's Dragon,6.386
25.278,8/19/2005,Red Eye,6.386
18.086,2/5/1988,The Serpent and the Rainbow,6.382
18.402,8/17/2022,Vesper,6.381
53.505,6/27/2012,Ice Age: Continental Drift,6.376
10.565,12/13/2006,Priceless,6.4
14.652,12/12/2003,Dead End,6.37
50.97,7/3/2002,Men in Black II,6.37
30.432,10/16/2008,Sex Drive,6.365
21.842,3/20/1998,Wild Things,6.365
35.098,9/7/2022,Pinocchio,6.36
29.672,3/2/2018,Errementari: The Blacksmith and the Devil,6.36
26.788,7/21/2016,Lights Out,6.357
12.895,8/9/2013,In a World...,6.357
25.614,12/13/2007,National Treasure: Book of Secrets,6.353
13.934,2/2/2022,Superwho?,6.352
36.308,6/24/2016,The Shallows,6.35
13.052,4/22/2012,Resolution,6.349
37.101,9/1/2006,Idiocracy,6.343
26.909,5/31/2002,The Sum of All Fears,6.343
19.146,4/5/2002,High Crimes,6.339
20.499,6/27/1978,Convoy,6.3
25.671,2/25/2003,Atlantis: Milo's Return,6.334
12.459,12/3/2021,Encounter,6.333
13.443,12/21/2011,Albert Nobbs,6.3
17.629,2/28/1999,Alice in Wonderland,6.327
19.114,10/28/1965,The Gendarme in New York,6.322
16.708,2/5/1993,Sommersby,6.322
24.957,4/15/2016,Barbershop: The Next Cut,6.3
19.104,3/20/2014,Muppets Most Wanted,6.317
22.076,1/30/1999,Jawbreaker,6.311
10.286,1/20/2008,Be Kind Rewind,6.311
16.856,9/7/2018,Sierra Burgess Is a Loser,6.307
24.313,8/2/2012,Diary of a Wimpy Kid: Dog Days,6.307
32.168,11/26/2003,The Missing,6.302
14.605,8/23/1991,Harley Davidson and the Marlboro Man,6.302
82.29,5/17/2007,Shrek the Third,6.298
10.56,5/19/2021,Mandibles,6.297
18.969,3/31/2017,The Discovery,6.294
12.185,3/4/2016,Whiskey Tango Foxtrot,6.3
29.301,1/20/2001,Intimacy,6.3
18.565,1/9/2020,Like a Boss,6.289
20.715,3/9/2012,The Raven,6.286
34.277,6/23/2006,Click,6.286
16.425,12/21/2021,Serial (Bad) Weddings 3,6.279
18.659,4/30/2020,Dangerous Lies,6.279
14.728,10/13/1988,Mystic Pizza,6.3
21.013,1/12/1990,Internal Affairs,6.276
10.624,10/31/2007,Cassandra's Dream,6.274
11.119,7/27/2001,Wet Hot American Summer,6.3
24.045,9/7/2014,Cake,6.269
13.321,9/10/2004,I ♥ Huckabees,6.269
18.206,2/26/2010,The Crazies,6.263
15.087,5/8/1981,The Burning,6.3
47.353,11/30/2023,Silent Night,6.3
24.992,10/24/2019,Countdown,6.259
7.601,10/25/2012,Viva l'Italia,6.249
16.332,1/31/2003,Biker Boyz,6.255
18.299,10/10/2013,Delivery Man,6.25
14.076,4/25/2003,Confidence,6.2
15.911,9/26/2008,Nights in Rodanthe,6.245
19.323,12/25/1997,The Postman,6.245
17.604,1/29/2021,Finding ʻOhana,6.241
10.482,9/14/2017,Brad's Status,6.241
24.961,8/10/2012,"Tad, the Lost Explorer",6.236
14.1,2/8/2011,The Eagle,6.236
33.621,6/22/2018,Time Trap,6.232
17.088,3/19/1993,Point of No Return,6.2
11.239,11/10/2022,Falling for Christmas,6.225
26.607,2/10/2022,Kimi,6.225
36.711,3/19/2009,Monsters vs Aliens,6.222
19.159,1/9/2004,Chasing Liberty,6.222
33.188,8/17/1990,The Exorcist III,6.217
10.738,12/26/2001,Mean Machine,6.217
128.127,9/15/2023,Expend4bles,6.211
18.913,2/15/2010,Centurion,6.211
14.554,12/28/2017,Naples in Veils,6.215
17.855,11/27/1987,3 Men and a Baby,6.2
29.882,8/28/1985,Legend,6.203
24.314,7/1/1994,Blown Away,6.203
5.816,1/21/2011,The Immature,6.195
21.009,2/7/1997,Dante's Peak,6.195
17.248,3/2/2012,Red Lights,6.189
50.434,8/23/1985,Teen Wolf,6.188
26.722,12/8/2010,The Tourist,6.185
19.892,7/9/2002,Reign of Fire,6.185
20.435,12/2/2021,Diary of a Wimpy Kid,6.179
12.741,12/18/2015,He Never Died,6.2
12.719,2/5/1983,Blue Thunder,6.2
21.297,7/16/1993,Free Willy,6.174
15.053,8/9/2002,Blood Work,6.169
12.216,12/20/2012,The Company You Keep,6.168
29.479,2/12/2014,Beauty and the Beast,6.164
14.859,3/30/2012,StreetDance 2,6.164
32.508,8/8/2003,S.W.A.T.,6.16
13.701,9/20/2002,Trapped,6.159
10.247,1/10/2013,Mood Indigo,6.154
16.549,11/23/2005,"Yours, Mine & Ours",6.154
14.183,3/14/2015,Moonwalkers,6.15
17.363,3/3/2011,Ironclad,6.15
7.685,12/2/2020,The Prom,6.145
5.792,2/7/2001,Would I Lie to You? 2,6.145
19.567,5/12/2006,Just My Luck,6.142
19.485,5/10/2018,Life of the Party,6.141
85.734,7/11/2013,Grown Ups 2,6.139
15.703,7/2/1998,Orgazmo,6.138
42.089,11/17/2011,Happy Feet Two,6.1
16.178,8/17/1984,Tightrope,6.134
22.05,12/16/1978,Every Which Way but Loose,6.1
38.654,5/24/2000,Mission: Impossible II,6.128
37.125,10/12/2022,Halloween Ends,6.124
15.341,1/16/2020,The Lodge,6.124
15.629,10/2/2020,On the Rocks,6.12
26.391,3/23/2017,CHiPS,6.12
24.473,7/31/1991,Double Impact,6.119
12.981,11/23/2016,Ares,6.114
13.522,5/8/2003,Down with Love,6.11
18.604,9/17/2019,Ad Astra,6.109
18.039,11/8/2019,Let It Snow,6.106
13.178,12/23/1990,Green Card,6.106
10.591,10/23/2020,The Wolf of Snow Hollow,6.102
10.088,8/22/2008,The Cheetah Girls: One World,6.1
25.739,2/21/2013,Snitch,6.097
13.339,7/4/2013,Man of Tai Chi,6.1
16.251,2/5/1993,The Vanishing,6.1
62.505,5/25/2017,Baywatch,6.093
14.642,1/31/1979,The Gendarme and the Creatures from Outer Space,6.089
42.306,6/14/2002,Scooby-Doo,6.089
8.266,4/29/2011,Prom,6.084
63.786,3/6/2024,Imaginary,6.082
20.139,12/10/1982,Airplane II: The Sequel,6.079
20.631,4/4/2003,A Man Apart,6.1
32.319,5/25/2022,Crimes of the Future,6.071
40.761,2/22/2023,Cocaine Bear,6.071
10.178,8/30/2012,Berberian Sound Studio,6.066
26.639,12/17/1999,Stuart Little,6.064
14.639,11/17/1989,Harlem Nights,6.061
12.447,5/18/2001,Angel Eyes,6.061
53.891,1/17/2013,Hansel & Gretel: Witch Hunters,6.056
20.145,4/10/1992,Sleepwalkers,6.1
6.659,1/21/2011,Whatsoeverly,6.048
15.602,9/30/2009,Little Nicholas,6.048
19.174,6/7/2018,Hotel Artemis,6.043
22.499,10/13/2017,Wonderstruck,6.043
28.119,12/25/2020,We Can Be Heroes,6.038
12.85,12/26/2012,Maniac,6.038
32.573,11/6/2002,101 Dalmatians II: Patch's London Adventure,6.034
15.959,10/20/2017,Tragedy Girls,6.033
15.889,11/30/2018,Anna and the Apocalypse,6.029
41.461,6/1/2016,Teenage Mutant Ninja Turtles: Out of the Shadows,6
16.556,12/24/1994,I.Q.,6.025
16.083,2/11/1998,The Visitors II: The Corridors of Time,6
12.718,12/29/2004,In Good Company,6.02
15.598,12/17/1969,Topaz,6
10.468,3/5/1993,Mad Dog and Glory,6
29.529,11/9/2006,The Fox and the Hound 2,6.013
35.413,9/12/2013,Don Jon,6
30.388,8/10/1984,The Adventures of Buckaroo Banzai Across the 8th Dimension,6
34.876,9/14/2007,Paranormal Activity,6.002
15.873,9/15/1994,Timecop,6.002
12.054,9/10/2010,I'm Still Here,5.989
104.484,11/18/2009,The Twilight Saga: New Moon,5.995
14.855,3/24/2017,Wilson,6
18.949,3/23/2016,My Big Fat Greek Wedding 2,5.989
15.422,7/2/1980,Alligator,5.984
120.384,6/5/2019,Dark Phoenix,6
23.488,6/16/1978,Jaws 2,6
35.879,5/12/2021,Spiral: From the Book of Saw,5.975
19.241,3/9/2011,Mars Needs Moms,6
22.855,5/5/2010,Ong Bak 3,5.982
15.663,3/4/2011,Take Me Home Tonight,5.969
17.054,10/24/2008,The Lazarus Project,5.969
25.197,3/14/2008,Doomsday,5.965
23.545,7/11/2003,The League of Extraordinary Gentlemen,5.965
22.76,5/1/2009,Ghosts of Girlfriends Past,6
0.579,1/17/2014,G.B.F.,5.96
21.627,7/23/2021,Midnight in the Switchgrass,5.944
8.714,8/24/2017,Monster Family,6
21.25,10/13/2006,The Marine,5.948
42.632,11/21/2004,Alexander,5.948
13.578,9/6/2019,Waiting for the Barbarians,5.941
19.005,3/17/1989,Leviathan,5.941
21.608,5/11/2022,Senior Year,5.935
27.437,10/26/2017,24 Hours to Live,5.936
6.861,2/1/2018,I'm Back,5.9
18.209,1/12/2017,Sleepless,5.928
9.075,10/9/2006,Man of the Year,5.922
14.11,9/17/2015,Southbound,5.921
29.545,3/7/2013,Oz the Great and Powerful,5.916
24.471,3/15/2012,Mirror Mirror,5.916
38.797,11/3/2018,Robin Hood,5.909
11.255,6/12/2015,Intruders,5.909
17.242,6/14/1985,The Stuff,5.904
21.283,7/14/2023,Bird Box Barcelona,5.901
25.024,1/26/1990,Dark Angel,5.899
15.771,12/12/2006,Air Buddies,5.9
73.829,9/5/2018,The Nun,5.893
12.107,2/28/1992,Memoirs of an Invisible Man,5.892
31.195,10/19/2011,Paranormal Activity 3,5.885
11.075,11/1/2019,Earthquake Bird,5.884
21.288,3/20/2015,Backcountry,5.877
18.984,2/6/2009,Horsemen,5.877
21.297,3/19/2009,12 Rounds,5.872
22.524,1/17/2003,A Guy Thing,5.872
16.854,8/4/2006,Barnyard,5.864
28.603,7/14/2010,Tamara Drewe,5.863
12.648,8/25/2006,Beerfest,5.9
8.391,7/8/2020,Simply Black,5.857
15.032,5/30/2013,Only God Forgives,5.85
14.653,11/21/1990,3 Men and a Little Lady,5.8
70.358,2/27/2013,Jack the Giant Slayer,5.841
19.762,12/9/1995,Four Rooms,5.841
17.078,9/7/2018,Vox Lux,5.8
24.057,6/24/2015,One Wild Moment,5.834
14.653,5/11/2001,Replicant,5.8
18.658,3/1/2013,21 & Over,5.8
12.787,2/1/2008,The Eye,5.8
46.438,5/4/2016,Neighbors 2: Sorority Rising,5.823
20.788,3/12/2009,Race to Witch Mountain,5.816
12.281,3/24/2008,Leatherheads,5.815
12.444,10/12/2017,6 Below: Miracle on the Mountain,5.808
19.057,12/21/2017,Father Figures,5.8
13.228,3/29/1996,Sgt. Bilko,5.804
12.177,11/17/2017,Sweet Virginia,5.803
21.39,6/17/2022,Spiderhead,5.798
12.279,9/14/2018,I Think We're Alone Now,5.796
45.505,11/1/1985,A Nightmare on Elm Street Part 2: Freddy's Revenge,5.788
13.05,4/20/2012,To Rome with Love,5.785
18.202,1/8/2003,Just Married,5.776
20.908,12/22/1995,Cutthroat Island,5.8
11.334,9/10/2014,The Forger,5.768
19.985,7/19/2002,Stuart Little 2,5.768
22.879,10/20/2010,Paranormal Activity 2,5.76
23.006,8/11/2017,Naked,5.759
19.678,4/5/2007,The Reaping,5.748
11.33,7/20/2015,A Christmas Horror Story,5.747
12.528,5/26/1995,Johnny Mnemonic,5.7
21.906,2/7/2008,Fool's Gold,5.743
21.391,2/6/2009,The Pink Panther 2,5.7
10.483,10/4/2014,Cut Bank,5.733
17.076,8/14/2013,Paranoia,5.726
23.223,7/28/2006,The Ant Bully,5.726
15.962,7/17/2001,America's Sweethearts,5.717
26.326,9/27/2002,The Tuxedo,5.716
10.81,8/22/2012,Hit & Run,5.708
13.596,5/8/2015,Hot Pursuit,5.707
11.167,2/12/2020,The Lost Prince,5.7
6.132,4/17/2014,Let Us Prey,5.7
16.443,9/6/1996,Bulletproof,5.7
26.747,6/15/2017,Rough Night,5.7
8.577,1/16/1997,Metro,5.68
15.991,12/8/1994,Drop Zone,5.68
5.168,11/9/2017,Addio fottuti musi verdi,5.671
11.95,6/14/2013,Hatchet III,5.671
14.878,2/9/2001,Saving Silverman,5.663
10.827,7/31/2015,Jenny's Wedding,5.662
15.806,7/16/2015,Some Kind of Beautiful,5.7
15.696,8/31/2012,Cockneys vs Zombies,5.649
15.693,3/1/2019,The Hole in the Ground,5.632
11.305,1/27/2020,Horse Girl,5.631
18.79,10/21/2010,Open Season 3,5.6
12.701,4/19/2014,Ask Me Anything,5.622
9.724,10/25/2013,The Hunters,5.6
11.148,4/6/2012,Detention,5.611
23.742,7/13/2006,"You, Me and Dupree",5.602
18.528,5/26/2017,War Machine,5.601
25.074,5/29/2020,Artemis Fowl,5.59
21.044,3/28/2014,Sabotage,5.59
28.31,5/13/2016,Kill Command,5.578
29.036,6/15/2006,Garfield: A Tail of Two Kitties,5.579
4.768,11/27/2014,Ogni maledetto Natale,5.6
12.426,6/27/2014,They Came Together,5.57
13.934,9/9/2006,All the Boys Love Mandy Lane,5.6
15.961,9/10/1982,The Slumber Party Massacre,5.558
24.884,9/9/2006,Wedding Daze,5.547
15.966,9/20/2019,In the Tall Grass,5.544
35.943,2/16/2011,"Big Mommas: Like Father, Like Son",5.5
21.06,6/9/1995,Congo,5.533
38.814,2/24/2011,Drive Angry,5.521
17.416,2/1/2008,Over Her Dead Body,5.521
24.294,1/21/2015,Mortdecai,5.513
11.983,10/13/2011,Trespass,5.513
10.731,9/9/2011,The Oranges,5.5
22.098,1/16/2009,Spread,5.505
5.781,12/17/2009,Me and Marilyn,5.49
12.754,4/15/2002,Cube 2: Hypercube,5.49
16.672,8/4/1995,Virtuosity,5.476
22.516,1/9/2009,The Butterfly Effect 3: Revelations,5.475
11.723,12/14/2017,Christmas Wedding Planner,5.462
14.366,11/23/2011,Rampart,5.461
28.368,7/23/1999,The Haunting,5.45
10.61,3/5/2015,Unfinished Business,5.4
5.881,5/1/2018,Here Come the Teachers,5.429
20.842,4/13/2018,Wildling,5.4
15.46,11/7/2014,Jessabelle,5.418
18.897,6/5/2009,Land of the Lost,5.418
74.474,10/23/2012,Wrong Turn 5: Bloodlines,5.412
22.247,10/17/2012,Paranormal Activity 4,5.407
18.353,3/20/2010,Tekken,5.394
40.772,8/22/2014,Wrong Turn 6: Last Resort,5.393
17.725,8/26/2005,The Cave,5.4
30.197,1/19/2018,Mom and Dad,5.376
24.548,7/7/2013,Contracted,5.36
66.836,6/26/2015,Knock Knock,5.36
39.146,2/6/2013,A Good Day to Die Hard,5.336
7,8/8/2018,"Neuilly sa mère, sa mère !",5.333
10.033,9/6/2008,Deadgirl,5.32
51.681,5/9/2012,Sexual Chronicles of a French Family,5.341
7.307,12/17/1999,Christmas Vacation 2000,5.3
13.405,11/16/2018,Welcome Home,5.302
18.789,3/29/2002,Clockstoppers,5.279
22.08,12/22/2011,The Darkest Hour,5.276
19.273,6/23/2017,The Bad Batch,5.268
15.29,4/3/2012,HOUBA! On the Trail of the Marsupilami,5.263
17.123,6/3/2010,Marmaduke,5.245
20.771,7/16/1992,"Honey, I Blew Up the Kid",5.242
9.827,10/31/2013,All Cheerleaders Die,5.224
7.742,2/12/2010,Sorry if I Want to Marry You,5.224
5.638,2/19/2014,Le Crocodile du Botswanga,5.206
24.039,6/8/2017,Once Upon a Time in Venice,5.205
22.105,3/17/1988,Police Academy 5: Assignment Miami Beach,5.2
11.304,11/22/1994,Junior,5.2
18.907,11/14/2007,Southland Tales,5.151
17.604,3/27/2015,Dead Rising: Watchtower,5.148
12.15,4/25/2006,Dr. Dolittle 3,5.117
8.621,12/18/1998,Paparazzi,5.112
18.771,3/8/2018,A Wrinkle in Time,5.077
33.525,1/26/2023,Winnie the Pooh: Blood and Honey,5.1
16.114,4/10/2008,Prom Night,5.042
33.339,4/27/2005,xXx: State of the Union,5
25.895,10/4/2010,30 Days of Night: Dark Days,4.977
18.783,3/18/2021,Deadly Illusions,5
14.679,3/8/2013,The ABCs of Death,4.95
19.091,1/18/2019,IO,4.946
17.723,5/16/2014,Flight 7500,4.888
13.126,10/31/1999,From Dusk Till Dawn 3: The Hangman's Daughter,4.9
7.981,4/21/2010,Camping 2,4.843
23.984,11/9/2001,Jason X,4.843
51.312,12/17/2007,Virgin Territory,4.8
21.85,9/6/2005,Hellraiser: Hellworld,4.781
12.573,4/6/2001,Just Visiting,4.7
17.893,8/18/2011,Spy Kids: All the Time in the World,4.692
29.932,7/22/2004,Catwoman,4.599
22.311,7/1/2002,Halloween: Resurrection,4.6
12.146,1/12/1996,Bio-Dome,4.534
14.799,7/27/2007,I Know Who Killed Me,4.535
10.363,8/18/2003,George of the Jungle 2,4.432
4.591,12/20/2010,Natale in Sudafrica,4.424
12.282,7/1/2016,Satanic,4.305
23.525,5/17/2018,Slender Man,4.301
13.8,3/23/2016,The Visitors: Bastille Day,4.1
12.215,3/12/1999,Baby Geniuses,4.109
20.01,1/25/2007,Epic Movie,3.853
32.961,5/22/2015,The Human Centipede 3 (Final Sequence),3.75
