Track,Artist,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Year
3 A.M. Eternal,The KLF,2:47,4,0.244,0.978,0,-4.057,1,0.175,0.0000608,0.934,0.328,0.0739,132.644,22,1991
I’ll Give All My Love To You,Keith Sweat,4:18,4,0.413,0.76,7,-10.294,1,0.0399,0.212,0.142,0.0572,0.248,139.988,17,1991
You’re In Love,Wilson Phillips,4:36,4,0.709,0.873,5,-4.139,1,0.0322,0.0151,0,0.189,0.878,118.936,15,1991
I Can’t Wait Another Minute,Hi-Five,4:37,4,0.64,0.448,8,-15.519,1,0.0556,0.202,0,0.068,0.684,148.076,0,1991
The One,Elton John,4:04,4,0.264,0.64,8,-6.221,1,0.0442,0.0393,0.00000231,0.151,0.19,84.828,91,1992
One,U2,2:24,4,0.915,0.453,10,-4.589,0,0.27,0.0872,0.000163,0.104,0.287,139.943,85,1992
Stay,Shakespears Sister,2:21,4,0.591,0.764,1,-5.484,1,0.0483,0.0383,0,0.103,0.478,169.928,84,1992
Under The Bridge,Red Hot Chili Peppers,4:24,4,0.559,0.345,4,-13.496,1,0.0459,0.0576,0.000105,0.141,0.458,84.581,84,1992
Tennessee,Arrested Development,4:53,4,0.392,0.37,9,-10.888,1,0.0298,0.205,0.0096,0.0821,0.512,48.718,83,1992
November Rain,Guns N’ Roses,8:56,4,0.294,0.64,11,-9.316,1,0.0291,0.016,0.22,0.112,0.226,79.79,78,1992
Real Love,Mary J. Blige,3:09,4,0.417,0.686,7,-6.484,1,0.0373,0.0955,0.0287,0.0989,0.625,204.113,78,1992
Smells Like Teen Spirit,Nirvana,5:01,4,0.502,0.912,1,-4.556,1,0.0564,0.0000255,0.000173,0.106,0.72,116.761,78,1992
Everything About You,Ugly Kid Joe,3:51,4,0.498,0.83,6,-5.157,0,0.0421,0.00461,0,0.139,0.453,89.342,77,1992
Jump,Kris Kross,3:38,4,0.811,0.823,4,-5.921,0,0.0423,0.0553,0.00000452,0.158,0.827,106.929,76,1992
Jump Around,House of Pain,3:38,4,0.811,0.823,4,-5.921,0,0.0423,0.0553,0.00000452,0.158,0.827,106.929,76,1992
Please Don’t Go,KWS,3:01,4,0.683,0.554,6,-7.487,0,0.05,0.379,0.00011,0.0845,0.452,85.455,74,1992
I Wanna Love You,Jade,4:07,4,0.866,0.454,0,-9.383,1,0.0414,0.0373,0.00000149,0.275,0.368,99.982,73,1992
Life Is A Highway,Tom Cochrane,4:36,4,0.582,0.952,5,-3.848,1,0.0731,0.00324,0,0.223,0.655,103.027,73,1992
Remember The Time,Michael Jackson,3:59,4,0.831,0.921,5,-2.383,0,0.0582,0.153,0.00224,0.305,0.795,108.002,73,1992
All I Want,Toad the Wet Sprocket,3:45,4,0.494,0.723,6,-4.559,0,0.0441,0.0192,0.0322,0.134,0.152,144.036,72,1992
Bohemian Rhapsody,Queen,5:54,4,0.391,0.402,0,-9.961,0,0.0539,0.289,0,0.243,0.228,143.879,71,1992
Erotica,Madonna,1:56,4,0.705,0.729,8,-5.028,1,0.143,0.000271,0.0682,0.229,0.632,159.012,70,1992
Masterpiece,Atlantic Starr,3:26,4,0.324,0.863,10,-3.716,0,0.123,0.000109,0,0.311,0.394,177.985,70,1992
Rhythm Is A Dancer,Snap!,3:45,4,0.794,0.745,9,-11.367,0,0.037,0.271,0.00041,0.143,0.706,124.249,70,1992
Baby Got Back,Sir Mix-a-Lot,4:22,4,0.926,0.669,1,-11.271,1,0.301,0.0051,0,0.0887,0.642,128.462,69,1992
Forever Love,Color Me Badd,3:59,4,0.744,0.453,5,-11.977,1,0.0348,0.627,0.421,0.0898,0.122,103.773,69,1992
Achy Breaky Heart,Billy Ray Cyrus,3:23,4,0.8,0.563,9,-10.209,1,0.0303,0.051,0,0.0797,0.961,121.808,68,1992
Black Or White,Michael Jackson,4:14,4,0.518,0.901,9,-3.749,1,0.093,0.174,0.0314,0.0712,0.873,115.026,68,1992
Tears In Heaven,Eric Clapton,4:31,4,0.498,0.242,9,-12.238,1,0.0257,0.835,0.536,0.133,0.312,153.744,68,1992
To Be With You,Mr. Big,3:28,4,0.688,0.284,4,-13.577,1,0.0574,0.359,0,0.127,0.482,83.433,67,1992
Slow Motion,Color Me Badd,3:17,4,0.733,0.408,7,-7.834,0,0.0388,0.679,0.0000392,0.11,0.291,94.947,66,1992
When A Man Loves A Woman,Michael Bolton,2:53,3,0.516,0.15,1,-20.41,1,0.0272,0.13,0.0755,0.122,0.205,97.398,66,1992
End Of The Road,Boyz II Men,2:42,5,0.373,0.717,1,-5.833,0,0.083,0.0568,0,0.114,0.293,109.977,65,1992
Save The Best For Last,Vanessa Williams,3:38,4,0.528,0.234,3,-15.784,1,0.0283,0.641,0,0.183,0.191,95.911,65,1992
Would I Lie To You?,Charles & Eddie,4:39,4,0.547,0.538,11,-11.39,0,0.0567,0.473,0,0.0369,0.718,202.408,65,1992
All 4 Love,Color Me Badd,3:50,4,0.399,0.481,7,-7.768,1,0.0296,0.349,0.0000317,0.155,0.652,103.379,64,1992
I Can’t Dance,Genesis,3:59,4,0.914,0.531,3,-9.816,1,0.0503,0.468,0.00000712,0.0392,0.914,107.571,64,1992
People Everyday,Arrested Development,2:21,4,0.807,0.497,7,-10.656,1,0.0297,0.307,0.0327,0.043,0.765,114.524,63,1992
I’ll Be There,Mariah Carey featuring Trey Lorenz,3:52,4,0.527,0.852,2,-6.18,1,0.0456,0.0209,0.00000301,0.187,0.254,112.491,61,1992
When I Look Into Your Eyes,FireHouse,3:59,4,0.396,0.612,6,-8.039,1,0.0277,0.00288,0.0000471,0.233,0.241,146.759,61,1992
Beauty And The Beast,Celine Dion and Peabo Bryson,2:47,4,0.432,0.0877,8,-27.006,1,0.068,0.995,0.922,0.117,0.149,79.203,60,1992
Breakin’ My Heart (PRETTY Brown Eyes),Mint Condition,5:56,4,0.672,0.52,7,-9.965,0,0.0407,0.0985,0.00000128,0.0365,0.551,137.213,60,1992
Don’t Let The Sun Go Down On Me,George Michael and Elton John,5:36,4,0.43,0.447,0,-8.522,1,0.0262,0.122,0.0000019,0.0921,0.345,141.099,60,1992
I Love Your Smile,Shanice,4:17,4,0.722,0.842,5,-8.745,0,0.126,0.00955,0.00000845,0.178,0.751,93.954,59,1992
In The Closet,Michael Jackson,6:30,4,0.877,0.781,11,-3.775,0,0.0691,0.117,0.000746,0.149,0.606,110.494,59,1992
Make It Happen,Mariah Carey,5:12,4,0.595,0.723,9,-7.639,0,0.0275,0.00882,0.0515,0.575,0.224,119.987,59,1992
Hazard,Richard Marx,2:37,4,0.609,0.952,8,0.919,1,0.169,0.0387,0,0.182,0.556,121.707,58,1992
Hold On My Heart,Genesis,4:37,4,0.447,0.316,5,-15.068,0,0.0326,0.613,0.00993,0.0803,0.273,171.946,58,1992
Rump Shaker,Wreckx-N-Effect,5:12,4,0.888,0.822,5,-6.843,0,0.219,0.0025,0.0197,0.303,0.233,102.753,57,1992
Wildside,Marky Mark and the Funky Bunch,2:47,4,0.648,0.917,5,-4.378,1,0.0465,0.0205,0,0.312,0.803,112.951,57,1992
Wishing On A Star,The Cover Girls,4:51,4,0.335,0.422,5,-15.172,0,0.0519,0.716,0.0000403,0.0455,0.553,97.66,57,1992
Finally,CeCe Peniston,2:44,4,0.656,0.728,7,-12.39,1,0.0277,0.0214,0.000107,0.242,0.919,134.431,55,1992
Free Your Mind,En Vogue,4:53,4,0.765,0.831,7,-6.522,1,0.0565,0.0894,0,0.393,0.809,100.026,55,1992
Friday I’m In Love,The Cure,3:40,4,0.448,0.123,7,-15.193,1,0.0409,0.948,0,0.0816,0.143,123.491,55,1992
If You Asked Me To,Celine Dion,3:54,4,0.46,0.437,7,-10.587,1,0.0304,0.128,0,0.025,0.227,172.382,55,1992
Just Another Day,Jon Secada,3:53,4,0.596,0.706,2,-5.562,1,0.0261,0.359,0,0.36,0.705,146.095,55,1992
No Son Of Mine,Genesis,3:28,4,0.535,0.972,9,-4.428,1,0.0844,0.00131,0.000471,0.0788,0.436,124.971,54,1992
The Best Things In Life Are Free,Luther Vandross and Janet Jackson featuring Bell Biv Devoe and Ralph Tresvant,4:23,4,0.768,0.733,9,-9.413,1,0.0302,0.0175,0,0.187,0.792,120.631,54,1992
Back To The Hotel,N2Deep,5:04,4,0.69,0.38,9,-12.845,1,0.0609,0.000168,0.000533,0.136,0.305,201.697,53,1992
Come And Talk To Me,Jodeci,4:55,4,0.72,0.657,11,-6.823,0,0.295,0.0262,0.00000233,0.209,0.657,172.168,53,1992
Damn I Wish I Was Your Lover,Sophie B. Hawkins,5:23,4,0.546,0.781,11,-9.439,0,0.0506,0.22,0.0000151,0.363,0.539,95.032,53,1992
Good For Me,Amy Grant,2:08,4,0.539,0.912,1,-5.911,0,0.0324,0.00000434,0.839,0.203,0.226,142.023,53,1992
Move This,Technotronic featuring Ya Kid K,3:41,4,0.707,0.699,5,-5.449,0,0.0324,0.311,0,0.276,0.54,115.999,53,1992
Have You Ever Needed Someone So Bad,Def Leppard,5:24,4,0.497,0.726,4,-8.335,1,0.0272,0.0489,0.00000899,0.049,0.735,136.792,52,1992
Missing You Now,Michael Bolton featuring Kenny G,4:33,4,0.62,0.508,7,-11.621,1,0.0272,0.118,0,0.187,0.289,95.01,52,1992
Set Adrift On Memory Bliss,P.M. Dawn,3:55,4,0.795,0.705,5,-8.552,0,0.0715,0.00118,0.00658,0.136,0.482,100.025,51,1992
Too Funky,George Michael,3:50,4,0.671,0.901,7,-8.536,0,0.0878,0.0223,0.293,0.27,0.845,98.319,51,1992
Baby-Baby-Baby,TLC,5:15,4,0.679,0.597,11,-8.601,0,0.0439,0.0913,0.000673,0.0487,0.9,184.174,50,1992
Mysterious Ways,U2,6:28,4,0.448,0.968,3,-3.948,0,0.0689,0.000467,0.0000162,0.965,0.476,96.891,50,1992
This Used To Be My Playground,Madonna,5:10,4,0.499,0.308,7,-11.692,0,0.0264,0.754,0.000943,0.124,0.0706,75.91,50,1992
2 Legit 2 Quit,Hammer,5:33,4,0.853,0.884,1,-6.771,1,0.0836,0.0394,0.00000683,0.0313,0.668,124.542,49,1992
Thinkin’ Back,Color Me Badd,2:04,4,0.648,0.0406,9,-22.391,1,0.0459,0.983,0.931,0.103,0.672,77.071,49,1992
Can’t Let Go,Mariah Carey,3:41,4,0.717,0.823,10,-6.907,0,0.0443,0.11,0.0238,0.143,0.9,90.261,48,1992
Giving Him Something He Can Feel,En Vogue,3:55,3,0.496,0.298,9,-10.175,0,0.0405,0.306,0.00000172,0.0875,0.705,203.824,48,1992
It’s So Hard To Say Goodbye To Yesterday,Boyz II Men,2:48,3,0.3,0.224,4,-11.079,1,0.0265,0.915,0,0.159,0.286,87.1,48,1992
Take This Heart,Richard Marx,3:45,3,0.52,0.0604,5,-11.32,1,0.0512,0.986,0.00136,0.107,0.128,118.562,48,1992
Diamonds And Pearls,Prince and The New Power Generation,4:45,4,0.549,0.547,7,-10.119,1,0.0328,0.0532,0.321,0.0655,0.287,81.051,47,1992
Tell Me What You Want Me To Do,Tevin Campbell,4:16,4,0.609,0.551,6,-7.93,1,0.0291,0.0233,0,0.234,0.512,127.956,47,1992
Everything Changes,Kathy Troccoli,3:58,3,0.5,0.612,4,-4.944,1,0.0332,0.0267,0.157,0.404,0.0668,124.992,46,1992
Live And Learn,Joe Public,2:31,4,0.72,0.653,1,-5.443,1,0.195,0.202,0,0.06,0.964,158.111,46,1992
Warm It Up,Kris Kross,4:00,4,0.827,0.643,10,-6.414,0,0.0898,0.256,0,0.094,0.433,95.965,46,1992
Humpin’ Around,Bobby Brown,6:18,4,0.71,0.8,1,-7.141,1,0.04,0.00223,0.211,0.0455,0.61,110.211,45,1992
Keep Coming Back,Richard Marx,2:49,4,0.687,0.796,4,-6.939,1,0.027,0.38,0.000316,0.271,0.814,105.028,45,1992
She’s Playing Hard To Get,Hi-Five,4:35,4,0.518,0.807,1,-6.68,1,0.057,0.00768,0,0.271,0.781,199.979,43,1992
Do I Have To Say The Words?,Bryan Adams,6:11,4,0.504,0.586,7,-9.411,1,0.0288,0.0822,0.00000244,0.161,0.47,128.055,42,1992
We Got A Love Thang,CeCe Peniston,5:28,4,0.669,0.644,0,-10.47,1,0.0302,0.000172,0.00585,0.356,0.764,120.012,41,1992
Keep On Walkin’,CeCe Peniston,4:30,4,0.766,0.712,6,-12.111,1,0.0427,0.00291,0.0201,0.226,0.655,104.974,40,1992
Uhh Ahh,Boyz II Men,3:48,4,0.722,0.658,2,-8.236,1,0.081,0.151,0,0.233,0.647,126.008,39,1992
Thought I’d Died And Gone To Heaven,Bryan Adams,5:48,4,0.44,0.738,4,-8.193,1,0.0295,0.0673,0,0.0988,0.535,174.382,38,1992
Blowing Kisses In The Wind,Paula Abdul,1:47,4,0.533,0.934,6,-5.023,1,0.304,0.0466,0.0000343,0.21,0.51,145.634,37,1992
Addams Groove,Hammer,3:59,4,0.911,0.581,11,-9.408,0,0.272,0.0329,0,0.0572,0.842,119.997,36,1992
Ain’t 2 Proud 2 Beg,TLC,3:30,4,0.588,0.906,4,-4.613,1,0.0441,0.686,0.0973,0.425,0.889,128.641,36,1992
I’m Too Sexy,Right Said Fred,2:51,4,0.653,0.821,6,-9.601,0,0.0385,0.019,0.131,0.362,0.921,122.057,33,1992
Justified And Ancient,The KLF featuring Tammy Wynette,3:48,4,0.592,0.973,0,-5.481,0,0.049,0.0496,0.0000033,0.33,0.781,123.968,33,1992
Sometimes Love Just Ain’t Enough,Patty Smyth and Don Henley,4:50,4,0.582,0.447,10,-8.34,1,0.0269,0.69,0,0.0872,0.252,83.523,32,1992
The Way I Feel About You,Karyn White,3:33,4,0.785,0.387,6,-10.636,1,0.0654,0.0698,0.0248,0.108,0.731,86.889,30,1992
My Lovin’ (YOU’RE Never Gonna Get It),En Vogue,4:05,4,0.606,0.294,8,-17.343,1,0.0793,0.978,0.908,0.116,0.421,74.97,19,1992
Let’s Get Rocked,Def Leppard,5:02,4,0.578,0.78,10,-6.608,1,0.0428,0.145,0,0.345,0.379,90.947,1,1992
That’s What Love Is For,Amy Grant,3:25,4,0.529,0.758,9,-5.95,1,0.0372,0.116,0.00495,0.161,0.798,97.865,0,1992
If,Janet Jackson,2:52,4,0.457,0.499,1,-6.67,1,0.0334,0.247,0.0000634,0.171,0.0348,127.95,84,1993
Rain,Madonna,2:11,5,0.231,0.976,10,-27.426,0,0.0487,0.152,0.987,0.48,0.00672,96.552,81,1993
Alright,Kris Kross,3:39,4,0.796,0.766,7,-5.974,1,0.238,0.0742,0,0.0827,0.558,110.034,80,1993
It Was A Good Day,Ice Cube,4:20,4,0.798,0.744,7,-5.328,0,0.136,0.33,0.000106,0.292,0.794,82.356,80,1993
Love Is,Vanessa Williams and Brian McKnight,4:15,4,0.688,0.518,5,-4.285,1,0.0283,0.0642,0,0.1,0.314,116.714,80,1993
7,Prince and The New Power Generation,3:30,4,0.466,0.786,0,-5.13,1,0.0328,0.417,0.000061,0.125,0.571,203.903,78,1993
Again,Janet Jackson,3:13,4,0.664,0.738,9,-4.095,0,0.0338,0.188,0.0000575,0.135,0.203,119.973,76,1993
I Will Always Love You,Whitney Houston,4:31,4,0.332,0.214,4,-12.518,1,0.0349,0.845,0.00000562,0.0839,0.11,67.531,76,1993
Nuthin’ But A ‘G’ Thang,Dr. Dre,3:57,4,0.669,0.821,11,-4.37,0,0.29,0.00182,0,0.147,0.684,94.895,76,1993
Angel,Jon Secada,3:55,4,0.74,0.766,6,-2.939,1,0.178,0.116,0,0.0406,0.807,170.531,75,1993
Freak Me,Silk,3:28,4,0.797,0.353,6,-9.931,0,0.369,0.59,0,0.102,0.0731,87.997,75,1993
I’m Gonna Be (500 Miles),The Proclaimers,3:39,4,0.851,0.551,4,-5.177,1,0.0396,0.151,0,0.0827,0.807,131.922,75,1993
I Have Nothing,Whitney Houston,4:49,3,0.541,0.401,0,-10.499,1,0.0365,0.576,0,0.164,0.24,152.943,74,1993
Sweat (A La La La La Long),Inner Circle,3:49,4,0.786,0.803,0,-6.59,1,0.205,0.0294,0,0.224,0.949,173.029,74,1993
Ordinary World,Duran Duran,5:40,4,0.473,0.652,1,-10.171,0,0.0305,0.0132,0.0000113,0.14,0.401,140.117,73,1993
Two Princes,Spin Doctors,4:16,4,0.544,0.905,7,-10.732,1,0.0646,0.00165,0.00000197,0.0532,0.825,103.594,73,1993
Bed Of Roses,Bon Jovi,6:34,3,0.309,0.596,5,-5.599,1,0.0293,0.101,0,0.21,0.161,164.587,72,1993
Insane In The Brain,Cypress Hill,3:28,4,0.897,0.611,11,-10.489,1,0.211,0.0291,0.186,0.0894,0.769,102.304,72,1993
Layla,Eric Clapton,7:03,4,0.404,0.902,1,-3.88,1,0.0665,0.577,0.297,0.287,0.497,115.669,71,1993
Show Me Love,Robin S.,4:12,4,0.811,0.833,5,-4.259,1,0.153,0.014,0.0000206,0.0769,0.567,120.258,71,1993
Baby I’m Yours,Shai,2:32,4,0.462,0.595,2,-9.363,1,0.0347,0.215,0,0.184,0.64,113.719,70,1993
Rhythm Is A Dancer,Snap!,3:45,4,0.794,0.745,9,-11.367,0,0.037,0.271,0.00041,0.143,0.706,124.249,70,1993
Come Undone,Duran Duran,4:16,4,0.542,0.793,8,-8.203,1,0.0528,0.0423,0.0000039,0.0814,0.709,173.928,69,1993
Runaway Train,Soul Asylum,4:26,4,0.605,0.764,0,-5.833,1,0.0395,0.00588,0.00000124,0.109,0.487,117.293,69,1993
Bad Boys,Inner Circle,3:51,4,0.682,0.678,7,-9.626,1,0.11,0.2,0.000163,0.109,0.517,175.18,68,1993
Faithful,Go West,4:26,4,0.419,0.603,11,-5.63,1,0.0284,0.215,0,0.0997,0.232,129.538,68,1993
Hip Hop Hooray,Naughty by Nature,4:27,4,0.862,0.642,6,-13.652,0,0.101,0.102,0,0.272,0.765,99.2,68,1993
To Love Somebody,Michael Bolton,3:02,4,0.434,0.384,9,-12.503,1,0.0324,0.731,0.00000411,0.27,0.526,90.795,68,1993
I Get Around,2Pac,4:19,4,0.846,0.416,10,-13.767,0,0.118,0.156,0.00000934,0.238,0.645,96.188,67,1993
Connected,Stereo MC’s,3:16,4,0.135,0.00134,2,-42.95,1,0.0496,0.969,0.972,0.0884,0.0372,141.488,66,1993
A Whole New World,Peabo Bryson and Regina Belle,2:40,4,0.285,0.227,0,-15.793,1,0.0354,0.846,0.00000211,0.1,0.135,115.8,65,1993
Cryin’,Aerosmith,3:21,4,0.543,0.808,10,-5.484,1,0.0407,0.0000719,0.00336,0.114,0.472,95.19,65,1993
More And More,Captain Hollywood Project,3:34,4,0.375,0.428,0,-7.387,1,0.029,0.109,0,0.105,0.361,78.516,65,1993
The River Of Dreams,Billy Joel,4:07,4,0.631,0.749,7,-8.15,1,0.0576,0.205,0.00000521,0.0667,0.437,89.646,64,1993
Walking On Broken Glass,Annie Lennox,4:13,4,0.749,0.562,0,-8.45,1,0.0281,0.215,0.0000011,0.105,0.807,115.008,64,1993
Hey Mr. D.J.,Zhané,4:12,4,0.865,0.557,2,-8.018,1,0.0612,0.0221,0.00353,0.0973,0.859,101.295,63,1993
Informer,Snow,4:28,4,0.763,0.742,6,-10.975,0,0.188,0.0984,0,0.38,0.483,98.145,63,1993
Knockin’ Da Boots,H-Town,5:30,4,0.726,0.501,1,-13.884,0,0.154,0.155,0,0.0893,0.582,128.099,63,1993
Weak,SWV,3:21,4,0.67,0.643,5,-4.553,1,0.0466,0.118,0,0.192,0.703,123.977,63,1993
When She Cries,Restless Heart,3:42,4,0.666,0.521,9,-10.993,1,0.0292,0.114,0,0.0604,0.361,105.223,63,1993
Get Away,Bobby Brown,3:11,4,0.564,0.968,1,-3.75,1,0.0631,0.000116,0.0000397,0.226,0.352,103.885,62,1993
I Got A Man,Positive K,3:11,4,0.601,0.541,1,-7.378,0,0.0919,0.639,0,0.169,0.89,134.328,62,1993
Dre Day,Dr. Dre featuring Snoop Doggy Dogg,1:55,4,0.188,0.847,8,-3.268,1,0.034,0.0768,0.32,0.121,0.389,88.494,61,1993
Have I Told You Lately,Rod Stewart,4:20,4,0.329,0.477,4,-10.266,1,0.034,0.276,0.0139,0.136,0.182,143.532,61,1993
If I Ever Fall In Love,Shai,3:09,4,0.402,0.205,6,-11.232,1,0.038,0.758,0,0.147,0.42,143.994,61,1993
Good Enough,Bobby Brown,3:05,4,0.486,0.865,7,-3.473,0,0.0544,0.00661,0,0.138,0.502,87.046,60,1993
One Last Cry,Brian McKnight,4:55,4,0.356,0.125,6,-13.8,1,0.03,0.909,0.000316,0.131,0.105,109.771,60,1993
Rebirth Of Slick (COOL Like Dat),Digable Planets,4:21,4,0.885,0.334,1,-18.944,0,0.227,0.048,0.0587,0.107,0.569,98.309,60,1993
Who Is It,Michael Jackson,3:45,4,0.798,0.639,4,-7.391,0,0.0424,0.00141,0,0.0836,0.421,129.443,60,1993
Whoomp! (THERE It Is),Tag Team,3:45,4,0.798,0.639,4,-7.391,0,0.0424,0.00141,0,0.0836,0.421,129.443,60,1993
Anniversary,Tony! Toni! Toné!,4:31,4,0.708,0.505,3,-9.675,0,0.0352,0.0478,0,0.317,0.548,88.967,59,1993
Another Sad Love Song,Toni Braxton,4:04,4,0.834,0.472,5,-7.777,0,0.0873,0.412,0.0000676,0.0836,0.517,107.014,59,1993
Love Is On The Way,Saigon Kick,2:10,4,0.616,0.653,5,-6.699,0,0.307,0.487,0,0.119,0.561,84.882,59,1993
Slam,Onyx,3:38,4,0.876,0.71,11,-12.908,1,0.347,0.0646,0.00308,0.918,0.725,98.312,59,1993
Dreamlover,Mariah Carey,3:53,4,0.717,0.524,5,-11.265,1,0.0341,0.181,0,0.181,0.76,100.595,58,1993
Livin’ On The Edge,Aerosmith,6:21,4,0.341,0.862,2,-4.256,1,0.032,0.000437,0.563,0.218,0.29,84.42,58,1993
Forever In Love,Kenny G,4:59,4,0.343,0.318,5,-14.901,1,0.0312,0.336,0.158,0.17,0.11,81.993,57,1993
Ditty,Paperboy,2:09,4,0.909,0.633,1,-7.923,1,0.307,0.0921,0.63,0.238,0.433,145.075,55,1993
Here We Go Again!,Portrait,2:22,4,0.621,0.756,4,-4.421,0,0.0312,0.0172,0.00000419,0.293,0.421,143.847,55,1993
Three Little Pigs,Green Jellÿ,3:09,4,0.93,0.319,9,-12.852,1,0.0422,0.552,0,0.0907,0.732,130.009,54,1993
Two Steps Behind,Def Leppard,4:16,4,0.456,0.419,2,-10.594,1,0.0247,0.117,0,0.178,0.425,146.148,54,1993
Lately,Jodeci,1:17,4,0.751,0.503,1,-10.419,0,0.0962,0.218,0.00486,0.136,0.17,100.016,53,1993
Mr. Wendal,Arrested Development,4:07,4,0.884,0.37,8,-11.353,1,0.112,0.0188,0.00423,0.026,0.883,109.997,52,1993
Boom! Shake The Room,DJ Jazzy Jeff & The Fresh Prince,3:46,4,0.792,0.964,1,-5.405,1,0.154,0.0698,0,0.302,0.621,99.771,51,1993
What About Your Friends,TLC,4:53,4,0.744,0.851,10,-10.108,0,0.049,0.0267,0.00738,0.0989,0.626,105.882,51,1993
Deeper And Deeper,Madonna,3:19,4,0.384,0.791,1,-8.334,1,0.378,0.258,0,0.464,0.719,180.327,50,1993
Will You Be There,Michael Jackson,5:52,4,0.66,0.443,1,-10.199,1,0.0373,0.663,0.0182,0.114,0.416,82.984,50,1993
Don’t Walk Away,Jade,6:24,4,0.516,0.448,10,-11.403,0,0.313,0.721,0,0.122,0.494,89.682,49,1993
I’d Die Without You,P.M. Dawn,4:10,4,0.617,0.266,1,-18.812,1,0.0398,0.253,0.00083,0.0993,0.349,79.981,48,1993
I’m So Into You,SWV,3:52,4,0.501,0.414,4,-7.35,0,0.0631,0.747,0,0.152,0.183,159.983,48,1993
Comforter,Shai,4:10,4,0.725,0.384,7,-12.64,1,0.0317,0.00569,0.00022,0.158,0.497,121.9,47,1993
How Do You Talk To An Angel,The Heights,3:47,4,0.404,0.51,9,-11.353,1,0.0321,0.281,0.00000632,0.0789,0.526,80.643,47,1993
I Don’t Wanna Fight,Tina Turner,6:09,4,0.638,0.762,2,-9.685,1,0.0381,0.304,0.00009,0.112,0.726,92.046,47,1993
What’s Up?,4 Non Blondes,3:51,4,0.565,0.646,1,-4.908,1,0.0352,0.195,0,0.0937,0.654,145.966,47,1993
If I Had No Loot,Tony! Toni! Toné!,4:01,4,0.873,0.721,11,-9.774,0,0.0448,0.113,0,0.27,0.81,106.725,46,1993
Can’t Help Falling In Love,UB40,3:13,4,0.245,0.166,0,-11.76,1,0.0332,0.936,0.00855,0.0939,0.239,71.915,44,1993
Reason To Believe,Rod Stewart,1:59,3,0.649,0.238,0,-16.858,1,0.0371,0.425,0,0.126,0.711,82.17,43,1993
Do You Believe In Us,Jon Secada,3:59,4,0.662,0.891,3,-7.245,1,0.0349,0.0103,0.00000364,0.634,0.743,107.75,42,1993
In The Still Of The Nite,Boyz II Men,2:49,4,0.537,0.184,9,-15.886,1,0.038,0.792,0,0.126,0.22,77.813,42,1993
"Give It Up, Turn It Loose",En Vogue,6:10,4,0.698,0.722,11,-14.111,0,0.0508,0.0386,0.548,0.0919,0.776,114.847,41,1993
Saving Forever For You,Shanice,4:28,4,0.655,0.545,9,-8.163,1,0.0342,0.494,0,0.0417,0.463,133.358,40,1993
Looking Through Patient Eyes,P.M. Dawn,4:09,4,0.785,0.372,8,-17.765,1,0.0565,0.192,0.0000062,0.129,0.683,102.238,37,1993
Dazzey Duks,Duice,4:04,4,0.881,0.521,1,-11.002,1,0.224,0.000883,0.00000496,0.0585,0.864,132.128,35,1993
The Right Kind Of Love,Jeremy Jordan,4:33,4,0.717,0.634,5,-7.736,0,0.036,0.115,0,0.0782,0.896,178.064,32,1993
Right Here (HUMAN Nature Remix),SWV,4:58,4,0.686,0.63,7,-9.459,1,0.0577,0.00192,0.559,0.0947,0.53,94.061,30,1993
"Whoot, There It Is",95 South,4:36,4,0.783,0.498,7,-14.387,1,0.0556,0.0157,0.245,0.456,0.519,132.952,26,1993
I’m Every Woman,Whitney Houston,4:07,4,0.617,0.901,0,-6.835,0,0.0448,0.123,0.0000718,0.324,0.731,114.521,21,1993
Little Miss Can’t Be Wrong,Spin Doctors,4:38,4,0.372,0.963,7,-5.226,1,0.273,0.00212,0.0000595,0.94,0.536,117.033,15,1993
Nothin’ My Love Can’t Fix,Joey Lawrence,4:35,4,0.457,0.767,0,-7.318,1,0.0729,0.0145,0,0.907,0.453,108.581,10,1993
Shoop (#5*),Salt N’ Pepa,3:56,4,0.938,0.657,0,-7.615,1,0.236,0.0925,0,0.118,0.786,96.93,4,1993
Cat’s In The Cradle,Ugly Kid Joe,5:15,3,0.519,0.423,9,-7.051,1,0.0303,0.0938,0.0000181,0.108,0.224,144.597,2,1993
That’s What Love Can Do,Boy Krazy,5:56,4,0.712,0.981,5,-5.711,1,0.0565,0.000317,0.000305,0.0738,0.855,130.006,2,1993
I’ll Never Get Over You (GETTING Over Me),Exposé,3:48,4,0.405,0.394,8,-7.692,1,0.0289,0.139,0,0.257,0.0984,171.999,0,1993
That’s The Way Love Goes,Janet Jackson,1:57,4,0.558,0.31,7,-14.463,1,0.0318,0.921,0.00185,0.591,0.402,97.253,0,1993
Stay,Eternal,2:21,4,0.591,0.764,1,-5.484,1,0.0483,0.0383,0,0.103,0.478,169.928,84,1994
Linger,The Cranberries,4:34,4,0.439,0.434,7,-14.918,1,0.0265,0.0783,0.0000518,0.14,0.204,94.843,83,1994
If You Go,Jon Secada,3:48,3,0.609,0.444,7,-9.129,1,0.106,0.603,0.00000686,0.104,0.166,118.402,82,1994
The Sign,Ace of Base,5:40,4,0.516,0.595,5,-4.63,1,0.0313,0.0275,0,0.109,0.222,119.972,82,1994
