ID,Movie,Year,Genre,RunTime,Description,IMDB_Score
275,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,"Fitz and the team enlist the aid of an Asgardian to unlock the secrets of the ancient monolith that swallowed Simmons, and Agent May is at a crossroads in her personal and professional life.",8.7
276,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,"Mack, Daisy, and Coulson race against time to keep Lincoln safe; Hunter will do whatever it takes to get revenge.",8.1
277,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,"Having reluctantly agreed to share information with Rosalind and the ATCU, Coulson and the team search for the Inhuman who is killing other Inhumans; May feels that Hunter's mission to take down Ward is getting too personal.",8.3
278,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,"After her dramatic rescue from another planet, Simmons is still reeling from her ordeal and reveals how she had to fight for her life in a harsh new world.",9.3
279,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,The stakes get higher as May and Hunter pursue Ward and Hydra; Coulson thinks the ATCU could be keeping a big secret.,8.4
280,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,"As Daisy and the team try to protect Inhumans, a shocking truth is revealed about S.H.I.E.L.D.'s biggest enemy; with Fitz's help, Simmons recovers information that could get them back through the portal.",8.5
281,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,Dangerous facts about the ATCU are discovered by the team; Ward's plans to take down S.H.I.E.L.D. do not go as expected.,9
282,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,"Ward's vendetta and plan for revenge against S.H.I.E.L.D. brings the team to their knees, and Coulson proves he will be willing to do anything to settle the conflict.",9
283,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,"S.H.I.E.L.D battles Hydra head-to-head, which sees Coulson and Fitz take the ultimate risk while Daisy and the Inhumans try to keep Hydra at bay.",9.1
284,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,"Coulson is more determined than ever to get to Gideon Malick and put to an end to Hydra once and for all in the aftermath of his trip to Maveth. Meanwhile, Daisy and the team encounter more...                See full summary »",8.1
285,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,"Coulson and the team investigate an international conference on the fate of the Inhumans. Back on the bus, Fitzsimmons may have found a way to stop the Inhuman gene from spreading.",8.1
286,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,"After tracking Malick to Russia, Bobbi and Hunter become involved in an assassination plot; the team is changed forever as they race to save lives in the balance.",8.8
287,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,Agent Mack and his brother step in when a radical group called the Watchdogs plan to eliminate the Inhumans; Simmons finds a powerful chemical compound.,7.7
288,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,"When Daisy gets a horrifying glimpse of the future, S.H.I.E.L.D. races to prove that fate is not fixed.",8.7
289,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,The team hunts for information on a new enemy; Malick's secret from his past threatens to destroy his Hydra legacy.,8.2
290,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,"Agent Daisy Johnson must call upon the Secret Warriors for an inaugural mission that will leave no member unscathed, and S.H.I.E.L.D. learns more about Hive's powers, forcing them to question everyone they trust.",9
291,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,The S.H.I.E.L.D. team is left reeling and decimated as Hive continues to sway Inhumans to his side. But there is a sliver of hope as Agents Fitz and Simmons follow a lead that may be able to stop the maniacal Inhuman once and for all.,8.3
292,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",41 min,"As the threat of Hive looms, loyalties are put to the test and the team must come up with a decisive resolution.",8.2
293,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,"In the aftermath of the events of Captain America: Civil War (2016), S.H.I.E.L.D feels pressure to reveal their involvement with Inhumans. But with the stakes higher than ever and Hive ...                See full summary »",8.6
294,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,"It's a showdown a season in the making as S.H.I.E.L.D. takes on Hive, and when his master plan is finally revealed, the team must spring into action.",8.6
295,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,"In the conclusion to ""Absolution,"" S.H.I.E.L.D. must spring into action to combat Hive.",9.1
296,Jessica Jones,(2015–2019),"Action,Crime,Drama",54 min,"While Jessica deals with a rival PI and a paranoid would-be client, Trish digs up a medical file that could unlock the mystery of Jessica's powers.",7.6
297,Jessica Jones,(2015–2019),"Action,Crime,Drama",56 min,Jessica sets out to find Dr. Kozlov and makes a startling discovery. Trish recruits Malcolm for backup as she visits a figure from her past.,7.5
298,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,Daisy has left S.H.I.E.L.D. and is trying to solve the mystery of a bunch of serial killings in the Los Angeles area. At the same time her old friends suspect her for the killings and are following her trail in an attempt to find her.,8.4
299,The Punisher,(2017–2019),"Action,Crime,Drama",51 min,Former Marine Frank Castle takes the law into his own hands while struggling to come to terms with his traumatic past.,8.6
300,The Punisher,(2017–2019),"Action,Crime,Drama",57 min,"A mysterious phone call forces Frank's hand. Meanwhile, Madani goes digging for suspects and Curtis delivers a message.",8.3
301,The Punisher,(2017–2019),"Action,Crime,Drama",58 min,Frank skips the subtlety while interrogating Micro. Brutal memories of top-secret missions shed light on Frank's past.,8.5
302,The Punisher,(2017–2019),"Action,Crime,Drama",49 min,"Madani and Sam plan a delicate operation, Curtis tries to connect with Lewis, and Frank encourages Micro to get his hands dirty.",8.4
303,The Punisher,(2017–2019),"Action,Crime,Drama",55 min,Frank and Micro go looking for answers from a reluctant witness. Madani and Sam learn of a looming investigation. Rawlins sees a ghost.,8.7
304,The Punisher,(2017–2019),"Action,Crime,Drama",55 min,"With Frank in bad shape, Micro calls on Curtis for help. Madani and Russo continue to mix business with pleasure. Lewis stands up for his rights.",8.3
305,The Punisher,(2017–2019),"Action,Crime,Drama",49 min,Lewis struggles with the ramifications of his actions. Frank and Micro pursue another face from the past. Madani and Sam go bug hunting.,8.7
306,The Punisher,(2017–2019),"Action,Crime,Drama",53 min,"Russo opens up to Madani about his past, Sarah shares her concerns about her son with Frank, and a decoy operation takes a turn.",8.8
307,The Punisher,(2017–2019),"Action,Crime,Drama",54 min,"Following a deadly explosion, Karen lands in a bomber's crosshairs -- and Frank isn't happy about it. Meanwhile, Curtis makes a grisly discovery.",9
308,The Punisher,(2017–2019),"Action,Crime,Drama",49 min,An attack on a high-profile politician is examined (and reexamined) through different perspectives. Madani faces a painful truth.,9.2
309,The Punisher,(2017–2019),"Action,Crime,Drama",52 min,"As danger knocks on Sarah's door, Frank takes his quest for vengeance to the next level with some help from an unexpected ally.",9.3
310,The Punisher,(2017–2019),"Action,Crime,Drama",51 min,"Frank makes a damning confession. A shootout leaves Sarah wondering what to believe. Rawlins goes in for the kill, once and for all.",9.5
311,The Punisher,(2017–2019),"Action,Crime,Drama",55 min,"As the authorities close in, an exhausted but unbroken Frank vows to put an end to the war that has consumed his life.",9.2
312,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,"Daisy goes to battle Ghost Rider at a terrible cost, and Coulson faces the new director, whose bold agenda surprises them all.",8.1
313,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,"Coulson, Mack and Fitz try to locate and neutralize a rogue group looking to stop Inhuman registration worldwide; Simmons and Dr. Radcliffe have only a short time to save May before she succumbs to her illness.",8.3
314,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,"As Ghost Rider's quest for vengeance brings him into an explosive confrontation with S.H.I.E.L.D., Coulson and Mack must rely on an unlikely ally in their time of desperate need; and Daisy ...                See full summary »",8.5
315,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,"As Robbie Reyes struggles to control The Ghost Rider, S.H.I.E.L.D. infiltrates a high-security prison to unravel the secrets that haunt them all.",8.3
316,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",41 min,The shocking origin story of Robbie's transition into Ghost Rider is revealed as the lives of Coulson and the team hang in the balance.,8.9
317,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,"With the loss of half the team, the remaining members search for answers as the clock counts down for Ghost Rider.",8.9
318,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,"With the lives of everyone in Los Angeles hanging in the balance, S.H.I.E.L.D. and Ghost Rider find themselves working together.",8.7
319,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,"Though Coulson and May are growing closer, Coulson remains unaware of the dark secret May is hiding beneath the surface. Meanwhile, Aida is unrelenting in her search for the Darkhold.",8.4
320,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,"Separated from their team, Coulson and Mack discover a shocking secret about Mace, leaving all of S.H.I.E.L.D. in a precarious position.",8.2
321,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,May works to uncover the truth about what happened to her; Aida's next move puts everyone's life at risk.,8.5
322,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,Dr. Radcliffe goes after the Koenig family to find the location of the Darkhold. The Superior reveals his plans to Radcliffe.,8.2
323,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,An explosive Inhuman surfaces and the team are tasked with containing it. Elsewhere: Coulson and Mack encounter Radcliffe's inspiration for Aida.,8.1
324,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,"Coulson and the team engage in a deadly cat-and-mouse game as they work to rescue Director Mace, who is fighting for his life.",8.3
325,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,"As Radcliffe and Aida's plan goes into action, Fitz and Simmons are trapped in the Playground unsure of which of their friends are real and which ones have been replaced by LMDs.",9.5
326,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,"Daisy and Simmons uncover secrets and lies in a world gone mad. With Hydra in control, they are our only hope to save everyone.",9.2
327,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,"As Daisy and Simmons struggle to discover an escape route to the real world, the identity of the Inhuman leader of the Resistance is revealed.",8.9
328,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,The truth behind Fitz's turn threatens to bring down all of S.H.I.E.L.D.,9.1
329,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,Daisy teams up with an unlikely partner; Aida prepares to put her endgame into effect.,8.7
330,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",41 min,"The clock is ticking for Daisy and Simmons to get the team out of the Framework, but not everyone is ready and willing to leave.",9.1
331,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,"Coulson and the team's victory in the Framework is short-lived, as an even deadlier enemy looms against them all.",9.2
332,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,"With the surprising emergence of Ghost Rider, Coulson and the team attempt to stop Aida from ending the world.",9.2
333,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,"Coulson and the team find themselves trapped on a mysterious ship in outer space, and that's just the beginning of the nightmare to come.",9
334,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,"Coulson and the team find themselves stranded on a mysterious ship in outer space, and that's just the beginning of the nightmare to come.",8.8
335,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,"Daisy decides she will rescue Simmons, even though she must risk everything.",8.3
336,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,Coulson and the team discover their captors' true intentions.,8.4
337,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,"With the help of Lance Hunter, nothing will stop Fitz from finding his lost team as his secret journey is revealed.",9.2
338,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,"With Daisy's life on the line, an unexpected friend attempts to rescue her.",9
339,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",40 min,"Just as the team reunites, they become prey to an undefeated Kree warrior bent on killing them all.",8.4
340,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,Coulson and the team discover that the most unexpected person from S.H.I.E.L.D.'s past may hold the key to stopping Earth's destruction.,8.4
341,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",41 min,"Mack, Yo-Yo and Flint fight to keep everyone alive by starting a revolution against the Kree.",8.4
342,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,"The team has one final chance to return to their timeline, but their actions may have deadly consequences.",8.7
343,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,Coulson and his team are out to rewrite the fate of humanity but they are unaware how the changes will affect one S.H.I.E.L.D. agent's life.,8.6
344,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,"Coulson finally reveals the mysterious deal he made with Ghost Rider, which will impact everyone on the team.",9.2
345,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,The team goes in search of Gravitonium in order to save the world.,8.2
346,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,Fitz and Simmons are faced with one of their greatest fears as they search for a way to seal the rift.,9.1
347,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,Coulson uncovers General Hale's real agenda and it could be the end of the world if S.H.I.E.L.D. can't help her.,8.6
348,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,"Coulson is forced to team up with unlikely allies to save the world, while his team try to track him down and rescue him.",8.4
349,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,"When an agents life hangs in the balance, Fitz, Simmons and Yo-Yo attempt to neutralise a weapon that could play a role in Earth's destruction.",8.2
350,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",41 min,The team must find a way to stop Ruby before the prophesied chain reaction that can destroy the earth is put into motion.,8.4
351,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,The team finds themselves trapped and under siege at the Lighthouse.,8.7
352,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,A newly determined Talbot takes Coulson to meet the enemy and attempts to avert Earth's destruction.,8.4
353,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,Daisy's future as the destroyer of worlds could take a critical change.,8.6
354,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,The team must choose between Coulson's life or death; the wrong decision will cause the destruction of Earth.,9.3
355,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,"Scattered across the galaxy, the team works to find their footing in the wake of losing Coulson.",8.1
356,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,"While Fitz and Enoch struggle in space, Sarge and his team move forward with their mysterious mission on Earth.",8.1
357,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,"While Fitz and Enoch try their luck at the casino, Daisy and Simmons find themselves in a much more exciting situation.",8.5
358,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",41 min,Yo-Yo and Keller take things public; parasitic aliens threaten the human race; and someone really needs boba.,7.9
359,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,"Sarge has May; Altarah has Daisy, Enoch and Simmons; and now, there are two planets that need saving.",8.1
360,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,"Fitz and Simmons have fought through space, time and alternate realities to find each other, and now, closer than ever, only their own demons can stop their mission.",9
361,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,"After finding themselves in yet another gambling dilemma, a mysterious stranger offers Enoch and FitzSimmons a ride home.",8
362,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,"To face The Galaxy-Hopping Hate-Beast That Eats Planets, the team on Earth asks for help in all the wrong places; while back on the Lazy Comet, something weird goes on with Izel's crew.",8.5
363,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,There's no time for the team to play catch-up when there's a planet to save.,8.6
364,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,The team must trust each other in order to face impending doom and an enemy that's closer than they think.,8.6
365,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,"Out of answers and running out of time, the agents must face the ghosts of their past to move forward.",8.2
366,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",41 min,"With time running short, the team has to go to hell to stop the end of everything.",8.5
367,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,"With time running short, the team has to go to hell to stop the end of everything.",8.7
368,The Falcon and the Winter Soldier,-2021,"Action,Adventure,Drama",47 min,Sam Wilson and Bucky Barnes realize that their futures are anything but normal.,7.8
369,The Falcon and the Winter Soldier,-2021,"Action,Adventure,Drama",47 min,"John Walker is named Captain America, and Sam Wilson and Bucky Barnes team up against the rebel group the Flag Smashers.",7.9
370,The Falcon and the Winter Soldier,-2021,"Action,Adventure,Drama",51 min,"To find the source of the Super Soldier Serum, Sam and Bucky must scale a ladder of low-lifes starting in Madripoor with Zemo.",8
371,The Falcon and the Winter Soldier,-2021,"Action,Adventure,Drama",53 min,John Walker loses patience with Sam and Bucky as they learn more about Karli Morgenthau.,8.8
372,The Falcon and the Winter Soldier,-2021,"Action,Adventure,Drama",57 min,"Sam Wilson, Bucky Barnes, Baron Zemo, John Walker, and Karli Morgenthau must all deal with the fall out from their actions.",8
373,The Falcon and the Winter Soldier,-2021,"Action,Adventure,Drama",49 min,"As the Flag Smashers escalate their efforts, Sam and Bucky take action.",7.9
374,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,"Coulson and the agents are thrust backwards in time and stranded in 1931 New York City; with an all-new Zephyr set to time-jump at any moment, the team must hurry to find out exactly what happened.",8.4
375,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,"With the identity of the timeline-unraveling ""thread"" revealed, the team's mission to protect him at all costs leads each agent to question their own values.",8.2
376,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,"A surprise leap forward in time strands Enoch in 1931 and lands the team in another unfamiliar decade; in order to stop the chronicoms from launching their future-dismantling plan, the ...                See full summary »",8.6
377,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,"Agent Phil Coulson comes to a realization about the importance of July 22, 1955, in the S.H.I.E.L.D. history books.",8.8
378,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,The team - Daniel Sousa in tow - reunites with more than one familiar face at the S.H.I.E.L.D. hangout and discovers exactly how to dismantle the Chronicoms' latest plan; the Zephyr unexpectedly leaps forward again.,8.5
379,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,"After blowing its cover and damaging the Zephyr in the process, the team must scramble to rescue Mack's parents, save S.H.I.E.L.D. from a chronicom infestation and fix the ship; Daisy and ...                See full summary »",8.5
380,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,"After getting stranded in 1982, Mack retreats to his childhood home to deal with the death of his parents; Deke scouts a group of new agents.",8
381,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",42 min,"With the Zephyr's time drive malfunctioning, the team hurtle toward disaster with Yo-Yo as its only hope; Yo-Yo must enlist the help of an old adversary to regain her powers.",8
382,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,"A time storm ravages the Zephyr, propelling it toward destruction while simultaneously forcing Daisy and Coulson to relive their failed attempts to save the team.",9.6
383,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",41 min,"The team arrives back in 1983, where Nathaniel and Kora are hard at work building an army; Daisy is tasked with protecting Jiaying; the others learn they'll need to face another supercharged enemy to stop Malick.",8.3
384,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,"With help from Kora on the inside, Sibyl and Nathanial continue their fight to shape a dark new future for S.H.I.E.L.D., managing to stay one step ahead of the agents along the way.",8.4
385,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,"Sibyl attempts to get the location of Fitz from Jemma's memories. Meanwhile, the SHIELD team attempts to stop Nathaniel's plans for anarchy and the Chronicoms' attempts to rewrite history.",9.1
386,Entertainment Tonight Canada,(2005– ),"Biography,Family,News",0,a Plot,0
387,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,The final fight against the Chronicoms begins. A familiar face returns.,9.5
388,WandaVision,-2021,"Action,Comedy,Drama",30 min,Wanda and Vision struggle to conceal their powers during dinner with Vision's boss and his wife.,7.5
389,Wonder Woman 1984,-2020,"Action,Adventure,Fantasy",151 min,"Diana must contend with a work colleague and businessman, whose desire for extreme wealth sends the world down a path of destruction, after an ancient artifact that grants wishes goes missing.",5.4
390,The Suicide Squad,-2021,"Action,Adventure,Comedy",0,"Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.",0
391,The Batman,-2022,"Action,Crime,Drama",0,The plot is unknown.,0
392,Joker,-2019,"Crime,Drama,Thriller",122 min,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",8.4
393,Arrow,(2012–2020),"Action,Adventure,Crime",42 min,"Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.",7.5
394,The Dark Knight,-2008,"Action,Crime,Drama",152 min,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",9
395,Watchmen,-2009,"Action,Drama,Mystery",162 min,"In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.",7.6
396,Gotham,(2014–2019),"Action,Crime,Drama",42 min,The story behind Detective James Gordon's rise to prominence in Gotham City in the years before Batman's arrival.,7.8
397,Smallville,(2001–2011),"Adventure,Drama,Romance",60 min,"A young Clark Kent struggles to find his place in the world as he learns to harness his alien powers for good and deals with the typical troubles of teenage life in Smallville, Kansas.",7.5
398,Suicide Squad,-2016,"Action,Adventure,Fantasy",123 min,A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.,5.9
399,The Dark Knight Rises,-2012,"Action,Adventure",164 min,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",8.4
400,Doom Patrol,(2019– ),"Action,Adventure,Comedy",60 min,The adventures of an idealistic mad scientist and his field team of superpowered outcasts.,7.9
401,Aquaman,-2018,"Action,Adventure,Fantasy",143 min,"Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land.",6.9
402,The Sandman,(2021– ),"Action,Adventure,Drama",0,"Upon escaping after decades of imprisonment by a mortal wizard, Dream, the personification of dreams, sets about to reclaim his lost equipment.",0
403,Watchmen,-2019,"Action,Drama,Mystery",527 min,"Set in an alternate history where masked vigilantes are treated as outlaws, Watchmen embraces the nostalgia of the original groundbreaking graphic novel of the same name, while attempting to break new ground of its own.",8.2
404,Man of Steel,-2013,"Action,Adventure,Sci-Fi",143 min,"An alien child is evacuated from his dying world and sent to Earth to live among humans. His peace is threatened, when other survivors of his home planet invade Earth.",7
405,Shazam!,-2019,"Action,Adventure,Comedy",132 min,A newly fostered young boy in search of his mother instead finds unexpected super powers and soon gains a powerful enemy.,7
406,Batman v Superman: Dawn of Justice,-2016,"Action,Adventure,Sci-Fi",152 min,"Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.",6.4
407,Catch Me If You Can,-2002,"Biography,Crime,Drama",141 min,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",8.1
408,Batman Begins,-2005,"Action,Adventure",140 min,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",8.2
409,The Sandman,(2020– ),"Drama,Fantasy,Horror",0,"When The Sandman is pulled from his realm and imprisoned on Earth, he languishes for decades before finally escaping.",9.5
410,V for Vendetta,-2005,"Action,Drama,Sci-Fi",132 min,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.",8.1
411,Batman,-1989,"Action,Adventure",126 min,"The Dark Knight of Gotham City begins his war on crime with his first major enemy being Jack Napier, a criminal who becomes the clownishly homicidal Joker.",7.5
412,I Am Legend,-2007,"Action,Adventure,Drama",101 min,"Years after a plague kills most of humanity and transforms the rest into monsters, the sole survivor in New York City struggles valiantly to find a cure.",7.2
413,Batman: The Animated Series,(1992–1995),"Animation,Action,Adventure",23 min,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.,9
414,The Flash,-2022,"Action,Adventure,Fantasy",0,"The plot is unknown. Feature film based on the comic book superhero, The Flash.",0
415,Batman & Robin,-1997,"Action,Sci-Fi",125 min,Batman and Robin try to keep their relationship together even as they must stop Mr. Freeze and Poison Ivy from freezing Gotham City.,3.8
416,Constantine,-2005,"Action,Fantasy,Horror",121 min,"Supernatural exorcist and demonologist John Constantine helps a policewoman prove her sister's death was not a suicide, but something more.",7
417,Batman Forever,-1995,"Action,Adventure",121 min,"Batman must battle former district attorney Harvey Dent, who is now Two-Face and Edward Nygma, The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick, Robin.",5.4
418,Superman,-1978,"Action,Adventure,Drama",143 min,"An alien orphan is sent from his dying planet to Earth, where he grows up to become his adoptive home's first and greatest superhero.",7.3
419,Justice Society: World War II,-2021,"Animation,Action,Adventure",84 min,"The Justice Society of America, a group of heroes aiding the allies in World War 2, acquire an ally from the future who sends them on an adventure that changes history.",6.4
420,Young Justice,(2010– ),"Animation,Action,Adventure",23 min,Teenage superheroes strive to prove themselves as members of the Justice League.,8.6
421,Green Lantern,-2011,"Action,Adventure,Sci-Fi",114 min,"Reckless test pilot Hal Jordan is granted an alien ring that bestows him with otherworldly powers that inducts him into an intergalactic police force, the Green Lantern Corps.",5.5
422,"Batman: The Long Halloween, Part One",(2021 Video),"Animation,Action,Crime",0,Batman investigates a murder spree that takes place on holidays.,0
423,Batman Returns,-1992,"Action,Crime,Fantasy",126 min,"While Batman deals with a deformed man calling himself the Penguin wreaking havoc across Gotham with the help of a cruel businessman, a female employee of the latter becomes the Catwoman with her own vendetta.",7
424,The Karate Kid,-2010,"Action,Drama,Family",140 min,"Work causes a single mother to move to China with her young son; in his new home, the boy embraces kung fu, taught to him by a master.",6.2
425,Supergirl,-1984,"Action,Adventure,Fantasy",124 min,"After losing a powerful orb, Kara Zor-El, Superman's cousin, comes to Earth to retrieve it and instead finds herself up against a wicked witch.",4.4
