Light Type,Model Lamp,Location,Site,Standardized Moon,Standardized Mean Temp,Standardized Mean Humidity,Standardized Max Wind,% Moon Visible,Start Tem,End Temp,Mean Temp,Humid Start,Humid End,Mean Humidity,Max Wind,Illumination,Diptera,Hymenoptera,Hemiptera,Psocoptera,Coleoptera,Collembola,Arachnid,Thysanura,Isoptera,Lepidoptera,Neuroptera,Larave,Orthoptera,Unident,Total,Other Orders
A,3500 Custom,BG,B5,0.61512792,0.461538462,0.792857143,0,65.2,20.1,13.6,16.85,63,86,74.5,0,1675,17,6,0,0,0,3,0,0,0,5,0,0,0,0,31,9
B,2700 Custom,BG,B6,0.61512792,0.461538462,0.792857143,0,65.2,20.1,13.6,16.85,63,86,74.5,0,1145,5,2,0,0,0,10,1,0,0,1,0,0,0,1,20,14
C,2700 Custom,BG,B4,0.61512792,0.461538462,0.792857143,0,65.2,20.1,13.6,16.85,63,86,74.5,0,1830,17,0,1,0,0,11,0,0,0,1,0,1,0,0,31,12
LED,LED2,BG,B3,0.61512792,0.461538462,0.792857143,0,65.2,20.1,13.6,16.85,63,86,74.5,0,656,7,0,0,0,0,16,0,0,0,2,0,0,0,1,26,17
CFL,CFL2,BG,B1,0.61512792,0.461538462,0.792857143,0,65.2,20.1,13.6,16.85,63,86,74.5,0,525,4,0,0,0,0,2,2,0,2,6,0,0,0,0,16,6
No,No,BG,B2,0.61512792,0.461538462,0.792857143,0,65.2,20.1,13.6,16.85,63,86,74.5,0,0,1,0,0,0,0,8,3,0,0,0,0,0,0,0,12,11
A,3500 Custom,LK,L1,0.49054505,0.298076923,0.778571429,0.75,54,17,11.6,14.3,60,87,73.5,1.2,1675,17,3,0,0,0,0,0,0,0,7,0,0,0,0,27,3
B,2700 Custom,LK,L6,0.49054505,0.298076923,0.778571429,0.75,54,17,11.6,14.3,60,87,73.5,1.2,1145,8,4,0,0,0,0,0,0,0,6,0,0,0,0,18,4
C,2700 Custom,LK,L5,0.49054505,0.298076923,0.778571429,0.75,54,17,11.6,14.3,60,87,73.5,1.2,1830,25,1,0,1,2,1,0,0,0,4,0,0,0,0,34,5
LED,LED2,LK,L4,0.49054505,0.298076923,0.778571429,0.75,54,17,11.6,14.3,60,87,73.5,1.2,656,12,3,0,0,1,4,0,0,0,6,0,0,0,0,26,8
CFL,CFL2,LK,L2,0.49054505,0.298076923,0.778571429,0.75,54,17,11.6,14.3,60,87,73.5,1.2,525,15,1,1,0,1,0,0,1,0,17,2,0,0,0,38,6
No,No,LK,L3,0.49054505,0.298076923,0.778571429,0.75,54,17,11.6,14.3,60,87,73.5,1.2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
A,3500 Custom,Stunt,S3,0.351501669,0.157051282,0.464285714,0.5625,41.5,15.3,8.9,12.1,53,50,51.5,0.9,1675,1,1,0,0,0,0,0,0,0,3,0,0,0,0,5,1
B,2700 Custom,Stunt,S2,0.351501669,0.157051282,0.464285714,0.5625,41.5,15.3,8.9,12.1,53,50,51.5,0.9,1145,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1
C,2700 Custom,Stunt,S1,0.351501669,0.157051282,0.464285714,0.5625,41.5,15.3,8.9,12.1,53,50,51.5,0.9,1830,2,1,0,0,1,0,0,0,0,2,0,0,0,0,6,2
LED,LED2,Stunt,S6,0.351501669,0.157051282,0.464285714,0.5625,41.5,15.3,8.9,12.1,53,50,51.5,0.9,656,5,0,0,0,0,0,0,0,0,7,0,0,0,0,12,0
CFL,CFL2,Stunt,S4,0.351501669,0.157051282,0.464285714,0.5625,41.5,15.3,8.9,12.1,53,50,51.5,0.9,525,5,0,0,0,0,0,0,0,0,4,0,0,0,0,9,0
No,No,Stunt,S5,0.351501669,0.157051282,0.464285714,0.5625,41.5,15.3,8.9,12.1,53,50,51.5,0.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
A,3500 Custom,BG,B6,0.226918799,0.304487179,0.678571429,0,30.3,17.1,11.7,14.4,61,72,66.5,0,1675,7,1,0,0,0,1,0,0,0,1,0,0,0,0,10,2
B,2700 Custom,BG,B1,0.226918799,0.304487179,0.678571429,0,30.3,17.1,11.7,14.4,61,72,66.5,0,1145,6,0,0,0,0,1,1,0,0,2,0,0,0,0,10,2
C,2700 Custom,BG,B5,0.226918799,0.304487179,0.678571429,0,30.3,17.1,11.7,14.4,61,72,66.5,0,1830,5,1,0,1,0,4,0,0,0,1,0,0,0,0,12,6
LED,LED2,BG,B4,0.226918799,0.304487179,0.678571429,0,30.3,17.1,11.7,14.4,61,72,66.5,0,656,20,1,0,0,0,5,0,0,0,4,0,0,0,0,30,6
CFL,CFL2,BG,B2,0.226918799,0.304487179,0.678571429,0,30.3,17.1,11.7,14.4,61,72,66.5,0,525,7,2,0,0,2,3,0,0,0,7,0,0,0,0,21,7
No,No,BG,B3,0.226918799,0.304487179,0.678571429,0,30.3,17.1,11.7,14.4,61,72,66.5,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,5,5
A,3500 Custom,LK,L2,0.327030033,0.134615385,0.742857143,0.9375,39.3,13.7,9.8,11.75,63,79,71,1.5,1675,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
B,2700 Custom,LK,L1,0.327030033,0.134615385,0.742857143,0.9375,39.3,13.7,9.8,11.75,63,79,71,1.5,1145,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,3
C,2700 Custom,LK,L6,0.327030033,0.134615385,0.742857143,0.9375,39.3,13.7,9.8,11.75,63,79,71,1.5,1830,1,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0
LED,LED2,LK,L5,0.327030033,0.134615385,0.742857143,0.9375,39.3,13.7,9.8,11.75,63,79,71,1.5,656,5,1,0,0,0,0,2,0,0,4,0,0,0,1,13,4
CFL,CFL2,LK,L3,0.327030033,0.134615385,0.742857143,0.9375,39.3,13.7,9.8,11.75,63,79,71,1.5,525,2,1,0,0,0,1,2,0,0,5,0,0,0,1,12,5
No,No,LK,L4,0.327030033,0.134615385,0.742857143,0.9375,39.3,13.7,9.8,11.75,63,79,71,1.5,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,4,4
A,3500 Custom,LK,L3,0.537263626,0.016025641,0.585714286,0,58.2,12.8,7,9.9,52,68,60,0,1675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,2700 Custom,LK,L2,0.537263626,0.016025641,0.585714286,0,58.2,12.8,7,9.9,52,68,60,0,1145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,2700 Custom,LK,L1,0.537263626,0.016025641,0.585714286,0,58.2,12.8,7,9.9,52,68,60,0,1830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LED,LED2,LK,L6,0.537263626,0.016025641,0.585714286,0,58.2,12.8,7,9.9,52,68,60,0,656,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CFL,CFL2,LK,L4,0.537263626,0.016025641,0.585714286,0,58.2,12.8,7,9.9,52,68,60,0,525,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
No,No,LK,L5,0.537263626,0.016025641,0.585714286,0,58.2,12.8,7,9.9,52,68,60,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,4,2
A,3500 Custom,LK,L4,0.963292547,0.323717949,0.092857143,0,96.5,19.5,9.9,14.7,20,31,25.5,0,1675,154,1,6,0,1,1,2,0,0,7,0,0,0,0,172,11
B,2700 Custom,LK,L3,0.963292547,0.323717949,0.092857143,0,96.5,19.5,9.9,14.7,20,31,25.5,0,1145,87,0,4,0,0,0,1,0,0,9,0,0,0,0,101,5
C,2700 Custom,LK,L2,0.963292547,0.323717949,0.092857143,0,96.5,19.5,9.9,14.7,20,31,25.5,0,1830,28,3,3,0,2,0,0,1,1,7,1,0,0,0,46,11
LED,LED2,LK,L1,0.963292547,0.323717949,0.092857143,0,96.5,19.5,9.9,14.7,20,31,25.5,0,656,161,0,11,0,2,0,0,0,4,19,2,0,0,0,199,19
CFL,CFL2,LK,L5,0.963292547,0.323717949,0.092857143,0,96.5,19.5,9.9,14.7,20,31,25.5,0,525,213,2,15,1,8,,8,1,0,64,1,0,0,0,313,
No,No,LK,L6,0.963292547,0.323717949,0.092857143,0,96.5,19.5,9.9,14.7,20,31,25.5,0,0,10,0,1,0,0,0,0,0,0,1,0,0,0,0,12,1
A,3500 Custom,Stunt,S4,1,0.993589744,0,0.625,99.8,28.6,21.7,25.15,17,21,19,1,1675,27,6,1,0,2,0,0,0,0,9,3,0,0,0,48,12
B,2700 Custom,Stunt,S3,1,0.993589744,0,0.625,99.8,28.6,21.7,25.15,17,21,19,1,1145,21,4,1,1,0,0,0,2,0,9,0,0,0,0,38,8
C,2700 Custom,Stunt,S2,1,0.993589744,0,0.625,99.8,28.6,21.7,25.15,17,21,19,1,1830,13,2,2,0,1,0,0,0,0,4,1,1,0,0,24,6
LED,LED2,Stunt,S1,1,0.993589744,0,0.625,99.8,28.6,21.7,25.15,17,21,19,1,656,37,7,8,0,2,0,2,1,0,40,0,0,0,0,97,20
CFL,CFL2,Stunt,S5,1,0.993589744,0,0.625,99.8,28.6,21.7,25.15,17,21,19,1,525,64,4,2,0,8,0,0,0,0,60,2,0,0,0,140,16
No,No,Stunt,S6,1,0.993589744,0,0.625,99.8,28.6,21.7,25.15,17,21,19,1,0,12,0,0,0,0,0,0,0,0,8,5,0,0,1,26,6
