Movie name,Year of release,Watch  hour ,Rating,Ratedby,Film Industry,Genre,Director,Box office collection,User reviews,Awards,Description,Streaming platform
Uri: The Surgical Strike,2019,2 hours 18 minutes,8.2,73K,Bollywood (Hindi),"War, Action, Drama",Aditya Dhar,"$39,346,577.00",1000,20 wins & 27 nominations,"Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group.",Zee5
Virumandi,2004,2 hours 55 minutes,8.4,8K,Kollywood (Tamil),"Action, Drama, Thriller",Kamal Haasan,"$5,746,385.54",39,1 win,A temperamental farmer gets embroiled in a bloody clan feud in a southern Tamil Nadu village.,Amazon Prime Video
Udaan,2010,2 hours 14 minutes,8.1,48K,Bollywood (Hindi),"Coming-of-Age, Drama",Vikramaditya Motwane,"$434,862.00",123,23 wins & 22 nominations,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father.","Netflix, Amazon Prime Video"
The Legend of Bhagat Singh,2002,2 hours 35 minutes,8.1,17K,Bollywood (Hindi),"Biography, Historical Drama",Rajkumar Santoshi, NIL,58,15 wins & 11 nominations,The story of a young revolutionary who raised an armed resistance against the British rule in India.,Disney+ Hotstar
Dhuruvangal Pathinaaru,2016,1 hour 45 minutes,8.2,17K,Kollywood (Tamil),"Thriller, Mystery",Karthick Naren, NIL,92,1 nomination,"A police officer retires after an accident during a case investigation. Years later, he is forced to relive the past as he narrates the story to his friend's son.",Netflix
Article 15,2019,2 hours 10 minutes,8.1,37K,Bollywood (Hindi),"Crime, Drama, Social",Anubhav Sinha,"$734,514.00",371,22 wins & 36 nominations,"In the rural heartlands of India, an upright police officer sets out on a crusade against violent caste-based crimes and discrimination.",Netflix
OMG: Oh My God!,2012,2 hours 5 minutes,8.1,66K,Bollywood (Hindi),"Satire, Comedy, Drama",Umesh Shukla,"$12,140,087.00",157,6 wins & 15 nominations,A shopkeeper takes God to court when his shop is destroyed by an earthquake.,"Netflix, Amazon Prime Video"
Maheshinte Prathikaaram,2016,2 hours ,8.3,11K,Mollywood (Malayalam),"Comedy, Drama",Dileesh Pothan,"$22,361.00",35,14 wins & 1 nomination,"Mahesh, a studio photographer and studio owner gets into a fight and loses. He ends up taking revenge which leads to certain realizations in his life.",Disney+ Hotstar
2018,2023,2 hours 30 minutes,8.3,13K,Mollywood (Malayalam),"Drama, Thriller",Jude Anthany Joseph,"$4,547,765.00",98,3 wins & 9 nominations,A disaster film set during the 2018 Kerala Floods where people from all walks of life faced catastrophic consequences and put in collective efforts to survive the calamity.,SonyLIV
Lion,2016,1 hour 58 minutes,8,253K,Hollywood (English),"Biography, Drama",Garth Davis,"$140,853,810.00",654,59 wins & 110 nominations total,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.",Netflix
Ustad Hotel,2012,2 hours 31 minutes,8.2,17K,Mollywood (Malayalam),"Drama, Romance",Anwar Rasheed,"$2,178.00",53,7 wins & 1 nomination,"Faisi wants to go to UK to become a professional chef but circumstances force him to assist his grandfather in a small restaurant in Kozhikode city, changing his outlook on life forever.",Disney+ Hotstar
Theeran Adhigaram Ondru,2017,2 hours 37 minutes,8.2,17K,Kollywood (Tamil),"Action, Crime, Thriller",H. Vinoth,"$238,484.00",67,3 wins & 8 nominations,"Theeran, a police officer, is entrusted with the task to solve the mystery behind a series of murders. The only clue left behind is that all the murders are committed in the same pattern.",Amazon Prime Video
Queen,2013,2 hours 26 minutes,8.1,69K,Bollywood (Hindi),"Drama, Comedy",Vikas Bahl,"$502,391.00",234,28 wins & 31 nominations,A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.,"Netflix, Disney+ Hotstar"
Kahaani,2012,2 hours 2 minutes,8.1,66K,Bollywood (Hindi),"Thriller, Drama, Mystery",Sujoy Ghosh,"$459,234.00",214,27 wins & 29 nominations,"A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him.",Netflix
Masaan,2015,1 hour 49 minutes,8.1,32K,Bollywood (Hindi),Drama,Neeraj Ghaywan,"$651,748.00",128,25 wins & 29 nominations,"Along India's Ganges River, four people face prejudice, a strict moral code and a punishing caste system as they confront personal tragedies.",Netflix
Baasha,1995,2 hours 25 minutes,8.3,12K,Kollywood (Tamil),"Action, Drama",Suresh Krishna,"$3,012,048.19",28,1 win & 1 nomination,"An auto driver, Manikam, desperately tries to hide his dark underworld side to keep his promise to his father.",Amazon Prime Video
Lage Raho Munna Bhai,2006,2 hours 24 minutes,8,51K,Bollywood (Hindi),"Comedy, Drama",Rajkumar Hirani,"$17,897,527.00",124,29 wins & 30 nominations,Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.,"Netflix, Amazon Prime Video"
Pithamagan,2003,2 hours 19 minutes,8.3,7.6K,Kollywood (Tamil),"Drama, Action",Bala,"$963,855.42",19,10 wins & 1 nomination,"Chittan, a social outcast, has grown up in a cemetery. A drug dealer finds him a job in a cannabis farm. In prison, he meets a conman, Shakti. This friendship transforms him from his stony e...  ",Amazon Prime Video
Iqbal,2005,2 hours 12 minutes,8.1,18K,Bollywood (Hindi),"Sports, Drama",Nagesh Kukunoor, NIL,29,11 wins & 17 nominations,"Iqbal, the deaf and mute son of a farmer, has a passion for the game of cricket and seeks the tutelage of a washed-up, alcoholic ex-player.",Amazon Prime Video
Rang De Basanti,2006,2 hours 47 minutes,8.1,123K,Bollywood (Hindi),"Drama, Historical, Social",Rakeysh Omprakash Mehra,"$10,800,778.00",404,49 wins & 53 nominations total,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of f...  ","Netflix, Amazon Prime Video"
Dil Chahta Hai,2001,3 hours 3 minutes,8.1,76K,Bollywood (Hindi),"Drama, Comedy, Romance",Farhan Akhtar,"$316,221.00",138,28 wins & 40 nominations,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension...  ",Netflix
Nil Battey Sannata,2015,1 hour 40 minutes,8.2,8.2K,Bollywood (Hindi),Drama,Ashwiny Iyer Tiwari, NIL,55,7 wins & 17 nominations,A story about a single woman (a Mom) and dreams on her Daughter.,Amazon Prime Video
Charulata,1964,1 hour 57 minutes,8.1,7.3K,Bengali Cinema,"Drama, Romance",Satyajit Ray, NIL,43,8 wins & 2 nominations,"The lonely wife of a newspaper editor falls in love with her visiting cousin-in-law, who shares her love for literature.",Amazon Prime Video
A Wednesday,2008,1 hour 44 minutes,8.1,83K,Bollywood (Hindi),"Thriller, Drama",Neeraj Pandey,"$3,256,911.00",168,11 wins & 19 nominations,A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wedne...  ,Netflix
Baahubali 2: The Conclusion,2017,2 hours 47 minutes,8.2,117K,Tollywood (Telugu),"Action, Fantasy, Drama",S.S. Rajamouli,"$254,158,390.00",583,29 wins & 16 nominations,"Amarendra Baahubali, the heir apparent to the throne of Mahishmati, finds his life and relationships endangered as his adoptive brother Bhallaladeva conspires to claim the throne.","Netflix, Amazon Prime Video"
Bajrangi Bhaijaan,2015,2 hours 43 minutes,8.1,99K,Bollywood (Hindi),"Drama, Comedy, Family",Kabir Khan,"$121,126,188.00",435,34 wins & 28 nominations,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,Disney+ Hotstar
Alai Payuthey,2000,2 hours 36 minutes,8.3,7.5K,Kollywood (Tamil),"Romance, Drama",Mani Ratnam,"$4,216,867.47",28,4 wins,"After a difficult romance in a class-divided society, the love birds find out marriage is not what they thought it would be.",Amazon Prime Video
Roja,1992,2 hours 17 minutes,8.1,14K,Kollywood (Tamil),"Romance, Drama",Mani Ratnam, NIL,23,11 wins & 3 nominations,"A woman from a village in Tamil Nadu marries a sophisticated city dweller and moves with him to Kashmir, where all is rosy - until he gets kidnapped by militants.",Amazon Prime Video
Pink,2016,2 hours 16 minutes,8.1,49K,Bollywood (Hindi),"Drama, Legal",Aniruddha Roy Chowdhury,"$180,180.00",236,21 wins & 39 nominations,"When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names.","Disney+ Hotstar, Netflix"
Bommarillu,2006,2 hours 50 minutes,8.2,10K,Tollywood (Telugu),"Romance, Family",Bommarillu Baskar, NIL,25,5 wins & 7 nominations,A young man realizes that he has to push back against his domineering father if he wants to find true happiness and love.,Amazon Prime Video
Anand,1971,2 hours 2 minutes,8.1,36K,Tollywood (Telugu),"Romance, Drama",Hrishikesh Mukherjee,"$36,144.58",152,9 wins & 1 nomination,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend.",Amazon Prime Video
Omkara,2006,2 hours 35 minutes,8,22K,Bollywood (Hindi),"Crime, Drama, Adaptation",Vishal Bhardwaj,"$16,466,144.00",94,30 wins & 31 nominations,A politically-minded enforcer's misguided trust in his lieutenant leads him to suspect his wife of infidelity in this adaptation of Shakespeare's 'Othello'.,"Amazon Prime Video, Disney+ Hotstar"
Bombay,1995,2 hours 10 minutes,8.1,14K,Kollywood (Tamil),"Romance, Drama, Historical",Mani Ratnam, NIL,39,13 wins & 1 nomination,"A Hindu man and a Muslim woman fall in love in a small village and move to Mumbai, where they have two children. However, growing religious tensions and erupting riots threaten to tear the f...  ",Amazon Prime Video
A Northern Story of Valor,1989,2 hours 48 minutes,8.7,6.4K,Kollywood (Tamil),"Drama, Action",T. Hariharan,"$118,072.29",45,6 wins,The film offers an alternative version of the fight between two legendary Chekavars from Chanthu's perspective.,Amazon Prime Video
Kaun Pravin Tambe?,2022,2 hours 14 minutes,8.3,11K,Bollywood (Hindi),"Biography, Sports, Drama",Jayprad Desai, NIL,240,4 nominations,An indian cricketer who shows persistence and hardwork to achieve his ultimate goal of playing a Ranji Trophy. At the penultimate stage of the career at a age when it is believed people's ca...  ,Disney+ Hotstar
Section 375,2019,2 hours 4 minutes,8.1,18K,Bollywood (Hindi),"Legal, Drama, Thriller",Ajay Bahl,"$129,916.00",234,7 nominations,"A celebrated Bollywood director Rohan Khurana stands accused by a female member of his crew, Anjali Dangle of having raped her at his residence.",Amazon Prime Video
Indian,1996,3 hours 5 minutes,8.1,15K,Kollywood (Tamil),"Action, Drama, Vigilante",S. Shankar,$184.00,27,9 wins,A veteran freedom fighter enraged with the rising crime and corruption in the society murders all the wrong doers one by one using an ancient martial arts technique.,Amazon Prime Video
Viduthalai: Part 1,2023,2 hours 30 minutes,8.3,9K,Kollywood (Tamil),"Crime, Drama, Thriller",Vetrimaaran,"$5,880.00",73,1 win & 9 nominations,A police officer is recruited to capture the leader of a separatist group.,Zee5
Padaiyappa,1999,3 hours 1minute,8.2,8K,Kollywood (Tamil),"Drama, Family",K.S. Ravikumar,"$5,301,204.82",10,5 wins & 1 nomination,"The death of Padaiyappa's father destroys his family. But his luck changes, and he is able to lead a prosperous life, until his nemesis plots to ruin his happiness once more.",Amazon Prime Video
Lucia,2013,2 hours 15 minutes,8.3,13K,Sandalwood (Kannada),Psychological Thriller,Pawan Kumar,"$61,445.78",129,4 wins & 3 nominations,"A man suffering from insomnia is tricked into buying a drug, Lucia, that makes his desires come true in his dreams, blurring the line between fantasy and reality.",Amazon Prime Video
Mughal-E-Azam,1960,3 hours 17 minutes,8.1,8.9K,Bollywood (Hindi),"Historical, Romance",K. Asif,"$161,434.00",46,3 wins & 3 nominations,A 16th century prince falls in love with a court dancer and battles with his emperor father.,Amazon Prime Video
Dilwale Dulhania Le Jayenge,1995,3 hours 1minute,8,78K,Bollywood (Hindi),"Romance, Drama",Aditya Chopra,"$75,690.00",183,15 wins & 4 nominations,"When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt.",Amazon Prime Video
Maqbool,2003,2 hours 12 minutes,8,12K,Bollywood (Hindi),"Crime, Drama, Adaptation",Vishal Bhardwaj, NIL,46,10 wins & 19 nominations,The intrigue of the Shakespearean tragedy 'Macbeth' is transposed to the Mumbai underworld.,Amazon Prime Video
The Great Indian Kitchen,2021,1 hour 40 minutes,8.1,10K,Mollywood (Malayalam),"Drama, Social",Jeo Baby, NIL,267,9 wins & 10 nominations,"After marriage, a woman struggles to be the submissive wife that her husband and his family expect her to be. The story follows her journey, as she changes herself and, even more so, changes...  ",Amazon Prime Video
Special 26,2013,2 hours 24 minutes,8,60K,Bollywood (Hindi),"Crime, Drama, Thriller",Neeraj Pandey,"$647,074.00",148,13 nominations,A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.,Netflix
Thadam,2019,2 hours 18 minutes,8.1,9K,Kollywood (Tamil),"Crime, Thriller, Mystery",Magizh Thirumeni,"$96,878.00",93,1 nomination,The murder of a youngster creates confusion among cops when they discover the suspect has a lookalike.,Amazon Prime Video
Vaaranam Aayiram,2008,2 hours 49 minutes,8.2,15K,Kollywood (Tamil),"Romance, Drama",Gautham Vasudev Menon,"$921,007.00",59,22 wins & 18 nominations,"A father and son help each other through growing up, romance, tragedy, and adventure.",Amazon Prime Video
Chithha,2023,2 hours 20 minutes,8.2,7.7K,Kollywood (Tamil),"Drama, Family",S.U. Arun Kumar,"$7,664.00",52,7 wins & 6 nominations,"A man is raising his niece like his own daughter, and everything appears normal in their life until the little girl goes missing.",Not available on major streaming platforms
Gulaal,2009,2 hours 20 minutes,8,16K,Bollywood (Hindi),"Political Drama, Thriller",Anurag Kashyap,"$2,364,294.00",71,1 win & 7 nominations,"A law student witnesses deception, homicide, and crime after being elected as General Secretary of his college.",Amazon Prime Video
Shershaah,2021,2 hours 15 minutes,8.3,131K,Bollywood (Hindi),"Biography, War, Drama",Vishnuvardhan, NIL,3000,50 wins & 47 nominations,"Shershaah is the story of PVC awardee Indian soldier Capt. Vikram Batra, whose bravery and unflinching courage in chasing the Pakistani soldiers out of Indian territory contributed immensely...  ",Amazon Prime Video
Haider,2014,2 hours 40 minutes,8,58K,Bollywood (Hindi),"Crime, Drama, Adaptation",Vishal Bhardwaj,"$1,404,307.00",285,35 wins & 47 nominations,"A young man returns to Kashmir after his father's disappearance to confront his uncle, whom he suspects of playing a role in his father's fate.","Netflix, Zee5"
Pelli Choopulu,2016,2 hours 5 minutes,8.2,8.5K,Tollywood (Telugu),"Romance, Comedy, Drama",Tharun Bhascker Dhaassyam,"$90,361.45",25,9 wins & 8 nominations,A wannabe businesswoman and a happy-go-lucky guy meet each other during an arranged marriage blind date but eventually team up to start a food truck on their own.,Amazon Prime Video
Rangasthalam,2018,2 hours 50 minutes,8.2,28K,Tollywood (Telugu),"Action, Drama, Period Film",Sukumar,"$551,820.00",195,21 wins & 11 nominations,Chitti Babu begins to suspect his elder brother's life is in danger after they team up to lock horns with their village president and overthrow his unlawful 30 year old regime.,Disney+ Hotstar
Andaz Apna Apna,1994,2 hours 40 minutes,8,56K,Bollywood (Hindi),Comedy,Rajkumar Santoshi, NIL,138,4 nominations,Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal.,"Amazon Prime Video, YouTube"
Hi Nanna,2023,2 hours 35 minutes,8.2,17K,Tollywood (Telugu),"Drama, Family",S hour yuv,"$210,780.00",161,6 wins & 14 nominations,A single father begins to narrate the story of the missing mother to his child and nothing remains the same.,Netflix
Vaastav: The Reality,1999,2 hours 25 minutes,8,15K,Bollywood (Hindi),"Crime, Drama",Mahesh Manjrekar,"$81,367.00",26,6 wins & 9 nominations,Consequences force an innocent man to get involved in crime after making an error.,Amazon Prime Video
Padosan,1968,2 hours 37 minutes,8.1,7.6K,Bollywood (Hindi),"Comedy, Romance",Jyoti Swaroop, NIL,28,NIL,A simple man from a village falls in love with his new neighbor. He enlists the help of his musical-theater friends to woo the lovely girl-next-door away from her music teacher.,"Amazon Prime Video, YouTube"
Aadukalam,2011,2 hours 40 minutes,8.1,7.3K,Kollywood (Tamil),"Drama, Action",Vetrimaaran,"$4,997.00",19,25 wins & 13 nominations,Falling in love with Irene as well as refusing to obey his boss Pettaikaran in a rooster fight complicates Karuppu's life.,Disney+ Hotstar
K.G.F: Chapter 1,2018,2 hours 34 minutes,8.2,100K,Sandalwood (Kannada),"Action, Drama",Prashanth Neel,"$6,421,597.00",1300,12 wins & 3 nominations,"In the 1970s, a gangster named Rocky goes undercover as a slave to assassinate the owner of a notorious gold mine known as the Kolar Gold Fields.",Amazon Prime Video
Naduvula Konjam Pakkatha Kaanom,2012,2 hours 35 minutes,8.2,6.4K,Kollywood (Tamil),"Comedy, Drama",Balaji Tharaneetharan,"$96,385.54",18,2 wins & 3 nominations,"A young man forgets a few years of his life, even as he is about to get married.",Amazon Prime Video
Sirf Ek Bandaa Kaafi Hai,2023,2 hours 12 minutes,8,29K,Bollywood (Hindi),"Legal, Drama",Apoorv Singh Karki,$327.00,371,17 wins & 18 nominations,A common man with honesty and integrity can take on the system when he has truth on his side.,Zee5
Company,2002,2 hours 22 minutes,8,16K,Bollywood (Hindi),"Crime, Thriller",Ram Gopal Varma,"$843,373.49",47,22 wins & 17 nominations,"A small-time gangster named Chandu teams up with Malik, a low-level enforcer for a criminal syndicate. Together they eliminate all their enemies, becoming the most feared gangsters in Mumbai...  ",Disney+ Hotstar
Deewaar,1975,2 hours 54 minutes,8,12K,Bollywood (Hindi),"Drama, Action, Crime",Yash Chopra,"$65,317.00",38,7 wins & 2 nominations,"Vijay struggles as a dockworker and eventually becomes a leading figure of the underworld, while his younger brother Ravi is an educated, upright policeman. This divide causes problems in th...  ","Amazon Prime Video, YouTube"
Maanagaram,2017,2 hours 17 minutes,8.1,8.1K,Kollywood (Tamil),"Thriller, Drama",Lokesh Kanagaraj,"$1,204,819.28",33,1 nomination,Four youngsters arrive in a big city and their lives become interlinked.,Amazon Prime Video
Athadu,2005,2 hours 52 minutes,8.2,15K,Tollywood (Telugu),"Action, Thriller",Trivikram Srinivas, NIL,36,4 wins & 8 nominations,"A gunman for hire is framed for murder, and assumes a dead man's identity while hiding from the police.",Amazon Prime Video
Ugly,2013,2 hours 8 minutes,7.9,24K,Bollywood (Hindi),"Crime, Thriller, Drama",Anurag Kashyap,"$1,475,000.00",134,3 wins & 17 nominations,The case of a missing girl takes us through a journey of human greed and brushes upon the egos and repressed emotions of the characters.,Disney+ Hotstar
Maanaadu,2021,2 hours 27 minutes,8.2,26K,Kollywood (Tamil),"Sci-Fi, Thriller",Venkat Prabhu,"$565,759.00",288,2 wins & 7 nominations,"On the day of a public conference by the state's Chief Minister, his bodyguard and a police officer are stuck in a time loop.",SonyLIV
Nayattu,2021,2 hours 4 minutes,8.1,9.1K,Mollywood (Malayalam),"Thriller, Political Drama",Martin Prakkat,"$185,586.00",164,2 wins & 6 nominations,"Three police officers who are on a run for life, escaping the outbreak against them due to the unlawful arrest and torture of a civilian. It brings in a few shades of arrogant yet very much ...  ",Netflix
Badhaai Ho,2018,2 hours 4 minutes,7.9,38K,Bollywood (Hindi),"Comedy, Drama",Amit Ravindernath Sharma,"$26,125,610.00",258,27 wins & 38 nominations,A man is embarrassed when he finds out his mother is pregnant.,Disney+ Hotstar
Saptha Sagaradaache Ello - Side A,2023,2 hours 22 minutes,8.2,7.7K,Sandalwood (Kannada),"Drama, Romance",Hemanth M. Rao,"$37,253.00",88,6 wins & 9 nominations,"Manu and Priya hail from a middle-class background and fall in love. When circumstances land Manu in jail, his relationship with Priya is put in jeopardy.",Amazon Prime Video
Evaru,2019,1 hour 58 minutes,8.1,7.5K,Tollywood (Telugu),"Thriller, Mystery",Venkat Ramji,"$62,744.00",95,1 win & 2 nominations,Sub-inspector Vikram Vasudev is entrusted with the task of investigating the murder of a high ranking officer who was killed by his alleged rape victim. When he delves deeper into the case h...  ,Amazon Prime Video
Kshanam,2016,1 hour 50 minutes,8.2,6.1K,Tollywood (Telugu),"Thriller, Mystery",Ravikanth Perepu,"$132,530.12",22,3 wins & 6 nominations,"Rishi, a non-resident Indian, returns to India to help his ex-lover find her kidnapped daughter.",Disney+ Hotstar
Gully Boy,2019,2 hours 34 minutes,7.9,44K,Bollywood (Hindi),"Drama, Musical",Zoya Akhtar,"$28,299,498.00",493,76 wins & 67 nominations,A coming-of-age story based on the lives of street rappers in Mumbai.,"Amazon Prime Video, Zee5"
Ayyappanum Koshiyum,2020,2 hours 57 minutes,8,11K,Mollywood (Malayalam),"Action, Drama, Thriller",Sachy,"$5,088,713.00",122,17 wins & 16 nominations,"The story revolves around the clash between Ayyappan, a senior police officer who serves at the Attappadi Police Station and Havildar Koshi, who comes to the village with a motive.",Amazon Prime Video
Kantara,2022,2 hours 28 minutes,8.2,104K,Sandalwood (Kannada),"Action, Drama, Fantasy",Rishab Shetty,"$2,406,221.00",1200,21 wins & 14 nominations,"When greed paves the way for betrayal, scheming and murder, a young tribal reluctantly dons the traditions of his ancestors to seek justice.","Amazon Prime Video, Netflix"
22 Shey Shraban,2011,2 hours 19 minutes,8.1,6.2K,Bengali Cinema,"Crime, Thriller",Srijit Mukherji, NIL,22,NIL,An ex-cop is hired to track down a serial killer who carries out his killings according to Bengali poetry.,Hoichoi
Ulidavaru Kandanthe,2014,2 hours 34 minutes,8.4,9.6K,Sandalwood (Kannada),"Crime, Drama",Rakshit Shetty,"$253,012.05",72,4 wins & 10 nominations,"A journalist sets out to uncover the truth behind an incident, through the perspectives of different people, unraveling how they and their lives are intertwined with it.",Voot
Charlie,2015,2 hours 10 minutes,8,13K,Mollywood (Malayalam),"Drama, Romance",Martin Prakkat,"$46,083.00",78,10 wins,"A young, nonconforming woman named Tessa gets entangled in a cat-and-mouse chase in the by-lanes of Kerala, hunting for a mysterious artist who previously lived in her apartment.",SonyLIV
Ship of Theseus,2012,2 hours 20 minutes,8,7.9K,Bollywood (Hindi),"Drama, Philosophical",Anand Gandhi,"$144,578.31",82,12 wins & 13 nominations,"The film explores questions of identity, justice, beauty, meaning and death through an experimental photographer, an ailing monk and a young stockbroker.",Disney+ Hotstar
Jab We Met,2007,2 hours 18 minutes,7.9,60K,Bollywood (Hindi),"Romance, Comedy, Drama",Imtiaz Ali,"$10,065,630.00",127,14 wins & 22 nominations,A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.,"Netflix, Amazon Prime Video"
Thondi Muthalum Driksakshiyum,2017,2 hours 15 minutes,8.1,8.2K,Mollywood (Malayalam),"Crime, Drama, Family",Dileesh Pothan,"$803,887.00",39,22 wins & 1 nomination,"Prasad and Sreeja enter wedlock and move to a new place to continue the rest of their lives. Unfortunate events begin to take place after Prasad, a small-time thief, robs Sreeja's gold chain...  ",Disney+ Hotstar
Deiva Thirumagal,2011,2 hours 46 minutes,8.2,6.6K,Kollywood (Tamil),"Drama, Family",A.L. Vijay,"$846,407.00",49,13 wins & 13 nominations,"A man with disabilities fights for custody of his 7-year-old daughter, and in the process teaches his opponent lawyer the value of love and family.",Amazon Prime Video
Pranchiyettan and the Saint,2010,2 hours 20 minutes,8.3,6.3K,Mollywood (Malayalam),"Comedy, Drama",Ranjith,$957.00,13,17 wins & 1 nomination,Pranchiyettan is a successful businessman who often has talks with an imaginary St. Francis of Assisi. The story deals with how he goes about changing his embarrassing image to making a name...  ,Disney+ Hotstar
My Name Is Khan,2010,2 hours 45 minutes,7.9,117K,Bollywood (Hindi),"Drama, Social",Karan Johar,"$42,345,360.00",362,25 wins & 36 nominations,"Rizwan Khan is a Muslim immigrant to the US with Asperger's syndrome. After his family falls apart in the aftermath of 9/11, he begins an epic quest across the country to speak to the Presid...  ",Netflix
Border,1997,2 hours 56 minutes,7.9,18K,Bollywood (Hindi),"War, Action, Drama",J.P. Dutta,"$1,325,301.20",48,15 wins & 11 nominations,"In 1971, along the border region of Longewala, a small battalion of Indian soldiers goes up against a large Pakistani strike force.",Amazon Prime Video
Take Off,2017,2 hours 19 minutes,8.1,7.4K,Mollywood (Malayalam),"Drama, Thriller",Mahesh Narayanan,"$884,267.00",29,19 wins & 7 nominations,"In 2014, a group of Malayali nurses was captured when terrorists took over the city of Tikrit in Iraq. This movie recounts the ordeal suffered by the nurses following their capture.",Disney+ Hotstar
Dev.D,2009,2 hours 24 minutes,7.9,32K,Bollywood (Hindi),"Romance, Drama, Musical",Anurag Kashyap,"$4,047,969.00",141,12 wins & 27 nominations,"After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they fin...  ",Netflix
Gargi,2022,2 hours 20 minutes,8.1,7K,Kollywood (Tamil),"Drama, Legal",Gautham Ramachandran,"$366,674.00",91,6 wins & 10 nominations,The journey of a young school teacher to prove her father's innocence with the help of a juvenile advocate who's never even seen the interiors of a court hall.,SonyLIV
The Brawler,2017,2 hours 34 minutes,8,8.7K,Bollywood (Hindi),"Drama, Sports",Anurag Kashyap,"$140,981.00",81,6 wins & 15 nominations,A boxer struggles to make his mark in the boxing world.,Mubi
Garuda Gamana Vrishabha Vahana,2021,2 hours 31 minutes,8.3,8.4K,Sandalwood (Kannada),"Crime, Drama",Raj B. Shetty,"$120,481.93",168,3 wins & 13 nominations,"Set in the backdrop of the coastal and cultural city of modern-day Mangaluru, Hari and his soulmate Shiva rise together to great heights only to face off as bitter enemies resulting to their...  ",Zee5
Manjhi: The Mountain Man,2015,2 hours ,8,20K,Bollywood (Hindi),"Biography, Drama",Ketan Mehta,"$963,855.42",87,7 nominations,"Using only a hammer and a chisel, a man spends twenty-two years carving a road through a treacherous mountain.",Zee5
M.S. Dhoni: The Untold Story,2016,3 hours 4 minutes,8,69K,Bollywood (Hindi),"Biography, Sports, Drama",Mathur Goswami,"$28,903,047.00",265,12 wins & 29 nominations,The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.,Disney+ Hotstar
Kal Ho Naa Ho,2003,3 hours 6 minutes,7.9,76K,Bollywood (Hindi),"Romance, Drama, Comedy",Nikkhil Advani,"$13,200,241.00",195,45 wins & 47 nominations,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Nain...  ",Amazon Prime Video
Vedam,2010,2 hours 15 minutes,8.1,8.9K,Tollywood (Telugu),"Drama, Anthology",Radha Krishna Jagarlamudi, NIL,29,8 wins & 3 nominations,"Stories of 5 people, an educated slum dweller, an aspiring rock star, an old villager, a prostitute and an ostracized Muslim man; all lead up to a night in a hospital filled with jeopardy.",Disney+ Hotstar
Salaam Bombay!,1988,1 hour 53 minutes,7.9,10K,Bollywood (Hindi),"Drama, Social",Mira Nair,"$2,080,758.00",75,13 wins & 8 nominations total,"Young Krishna struggles to survive among the drug dealers, pimps, and prostitutes in the back alleys and gutters of India.","Amazon Prime Video, YouTube"
Por Thozhil,2023,2 hours 27 minutes,8,10K,Kollywood (Tamil),"Thriller, Drama",Vignesh Raja,"$350,534.00",81,1 nomination,A bright but faint-hearted rookie cop has to overcome his fears in order to succeed in his first case which sees him partnered with a reclusive senior officer to catch a serial killer on the...  ,SonyLIV
Vinnaithaandi Varuvaayaa,2010,2 hours 37 minutes,8.1,7K,Kollywood (Tamil),"Romance, Drama",Gautham Vasudev Menon,"$292,732.00",46,14 wins & 17 nominations,An aspiring filmmaker goes through the ups and downs of romance when he falls for a Christian woman who says she only wants to be friends.,Amazon Prime Video
Pizza,2012,2 hours 7 minutes,7.9,8.8K,Kollywood (Tamil),"Thriller, Horror",Karthik Subbaraj,"$180,722.89",14,5 wins & 3 nominations,A pizza delivery boy lands in a mysterious circumstance and it works a dramatic change in his life.,Disney+ Hotstar
The Music Room,1958,1 hour 35 minutes,7.9,6.8K,Bengali Cinema,Drama,Satyajit Ray,"$3,247.00",42,2 wins & 2 nominations,"Depicts the end days of a decadent zamindar (landlord) in Bengal, and his efforts to uphold his family prestige even when faced with economic adversity.",Amazon Prime Video
