Drug Name,Problem,Agents,Age Restrictions,Tablet/ Injection/Syrup/ Cream,Usage,Side effects,Safety Advice,Interaction with drugs,Remarks
Ciprofloxacin Hcl Eye /Ear Drops IP 0.3% w/v in 5 ml,Treatment of bacterial eye/ear infections,Ciprofloxacin Hydrochloride,2,Liquid solution,This medicine is for external use only.Take it in the dose and duration as advised by your doctor. Check the label for directions before use. Hold the dropper close to the eye/ear without touching it. Gently squeeze the dropper and place the medicine inside the lower eyelid or ear. Wipe off extra liquid,"Eye discomfort, Corneal deposits, Ocular hyperemia","Ciplox Eye/Ear Drops may be unsafe to use during pregnancy. Although there are limited studies in humans, animal studies have shown harmful effects on the developing baby.Limited human data suggests that the drug does not represent any significant risk to the baby.
Baby should be closely monitored for development of fever, loss of appetite and diarrhea.Ciplox Eye/Ear Drops may decrease alertness, affect your vision or make you feel sleepy and dizzy. Do not drive if these symptoms occur.","Ciprofloxacin,antibiotics, corticosteroids",full course of medication
Ciprofloxacin Tablets IP 500 mg,uncomplicated urinary tract infections (UTIs),Ciprofloxacin 500mg,B18,Tablet,"Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Cipro 500mg Tablet may be taken with or without food, but it is better to take it at a fixed time.Avoid Cipro 500mg Tablet with caffeine and chocolate as well as food containing caffeine and chocolate such as tea leaves, cocoa beans.","Nausea and vomiting, Diarrhea,Changes in liver function tests, Skin rash","Cipro 500mg Tablet is probably safe to use in patients with liver disease. Limited data available suggests that dose adjustment of Cipro 500mg Tablet may not be needed in these patients. Please consult your doctor. Although there are limited studies in humans, animal studies have shown harmful effects on the developing baby.Consuming alcohol with Cipro 500mg Tablet does not cause any harmful side effects.","Antacids containing aluminum or magnesium, Iron or zinc supplements,Theophylline",As per Schedule
Ciprofloxacin Tablets IP 500 mg,Abdominal infections,Ciprofloxacin 500mg,B18,Tablet,"Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Cipro 500mg Tablet may be taken with or without food, but it is better to take it at a fixed time.Avoid Cipro 501mg Tablet with caffeine and chocolate as well as food containing caffeine and chocolate such as tea leaves, cocoa beans.","Nausea and vomiting, Diarrhea,Changes in liver function tests, Skin rash","Cipro 500mg Tablet is probably safe to use in patients with liver disease. Limited data available suggests that dose adjustment of Cipro 500mg Tablet may not be needed in these patients. Please consult your doctor. Although there are limited studies in humans, animal studies have shown harmful effects on the developing baby.Consuming alcohol with Cipro 501mg Tablet does not cause any harmful side effects.","Antacids containing aluminum or magnesium, Iron or zinc supplements,Theophylline",As per Schedule
Ciprofloxacin Tablets IP 500 mg,Tyhoid fever,Ciprofloxacin 500mg,B18,Tablet,"Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Cipro 500mg Tablet may be taken with or without food, but it is better to take it at a fixed time.Avoid Cipro 502mg Tablet with caffeine and chocolate as well as food containing caffeine and chocolate such as tea leaves, cocoa beans.","Nausea and vomiting, Diarrhea,Changes in liver function tests, Skin rash","Cipro 500mg Tablet is probably safe to use in patients with liver disease. Limited data available suggests that dose adjustment of Cipro 500mg Tablet may not be needed in these patients. Please consult your doctor. Although there are limited studies in humans, animal studies have shown harmful effects on the developing baby.Consuming alcohol with Cipro 502mg Tablet does not cause any harmful side effects.","Antacids containing aluminum or magnesium, Iron or zinc supplements,Theophylline",As per Schedule
Clotrimazole Cream 2% IP 15gms Tube-Cream,Fungal skin infections(candidiasis),Clotrimazole,3,Cream,"Use this medication on the skin only. Clean and thoroughly dry the area to be treated. Apply this medication to the affected skin, usually twice a day or as directed by your doctor. Dosage and length of treatment depends on the type of infection being treated. Do not apply this more often than prescribed. Your condition will not clear faster, but side effects may be increased.Apply enough medication to cover the affected area and some of the surrounding skin. After applying this medication, wash your hands. Do not wrap, cover or bandage the area unless directed to do so by your doctor.","Burning, stinging, swelling, irritation, redness, pimple-like bumps, tenderness","Before using clotrimazole, tell your doctor or pharmacist if you are allergic to it; or to other azole antifungals such as econazole, ketoconazole, or miconazole; or if you have any other allergies. This product may contain inactive ingredients, which can cause allergic reactions or other problems. Talk to your pharmacist for more details.Before using this medication, tell your doctor or pharmacist your medical history.Before having surgery, tell your doctor or dentist about all the products you use (including prescription drugs, nonprescription drugs, and herbal products).During pregnancy, this medication should be used only when clearly needed. Discuss the risks and benefits with your doctor.It is unknown if this drug passes into breast milk. Consult your doctor before breast-feeding.",No drug interaction,Follow the prescribed dosage
Clotrimazole Passaries IP 100 mg,Fungal infections,antifungal agent,16,Cream,This medication is an azole antifungal. It works by stopping the growth of yeast (fungus) that causes the infection.,"Allergic reactions,Local irritation,itiching,burning","Use as directed by your healthcare provider,Avoid sexual intercourse during treatment,And infrom your healthcare provider of any allergies or adverse reactions",Clotrimazole may interact with certain anticoagulant medications,pregnancy or breastfeeding
Compound Sodium Lactate Injection IP 500ml BFS / FFS,Are commonly used to treat fluid and electrolyte,Mean agents are sodium lactate,20,Injection,Sodium lactate injections are often used to correct metabolic acidosis and as a source of fluid and electrolytes.,Dilution of othere blood electrolyte concentrations,"Always follow the prescribed dosage and administration instructions,Montor for signs of adverse reactions and seek medicsal attention if necessary,Ensure proper storage and hadling of the medication .",,
Compound Sodium Lactate Injection IP 500ml BFS / FFS,Are commonly used to electrolyte ,Mean agents are sodium lactate,20,Injection,Sodium lactate injections are often used to correct metabolic acidosis and as a source of fluid and electrolytes.,Dilution of othere blood electrolyte concentrations,"Always follow the prescribed dosage and administration instructions,Montor for signs of adverse reactions and seek medicsal attention if necessary,Ensure proper storage and hadling of the medication .","Intercatiions may occur with certain medications,including prescription,over-the-counter.",
Cotrimaxazole Tabs. IP 160mg+800mg (Trimethoprim+Sulphamethoxazole ),Treat various bacterial infections,antibiotic that inhibits bacterial Suifa antibiotic that inhibits bacterial synthesis of dihydrofolic acid,18,Tablet,"Dosage may vary based on the specific infection being treated,It's important to complete the full course of medication, even if symptoms improve before completion.","Side effects may include nausea, vomiting, diarrhea, and allergic reactions","Allergies or pre-existing medical conditions,Stay hydrated during the course of treatment,Avoid prolonged exposure to sunlight as this medication may increase sensitivity to sunlight.","anticoagulants, certain anti-diabetic drugs, and methotrexate.",Regularly blood count
Cotrimaxazole Tabs. IP 160mg+800mg (Trimethoprim+Sulphamethoxazole ),including respiratory,antibiotic that inhibits bacterial Suifa antibiotic that inhibits bacterial synthesis of dihydrofolic acid,18,Tablet,"Dosage may vary based on the specific infection being treated,It's important to complete the full course of medication, even if symptoms improve before completion.","Side effects may include nausea, vomiting, diarrhea, and allergic reactions","Allergies or pre-existing medical conditions,Stay hydrated during the course of treatment,Avoid prolonged exposure to sunlight as this medication may increase sensitivity to sunlight.","anticoagulants, certain anti-diabetic drugs, and methotrexate.",Regularly blood count
Cotrimaxazole Tabs. IP 160mg+800mg (Trimethoprim+Sulphamethoxazole ),urinary tract,antibiotic that inhibits bacterial Suifa antibiotic that inhibits bacterial synthesis of dihydrofolic acid,18,Tablet,"Dosage may vary based on the specific infection being treated,It's important to complete the full course of medication, even if symptoms improve before completion.","Side effects may include nausea, vomiting, diarrhea, and allergic reactions","Allergies or pre-existing medical conditions,Stay hydrated during the course of treatment,Avoid prolonged exposure to sunlight as this medication may increase sensitivity to sunlight.","anticoagulants, certain anti-diabetic drugs, and methotrexate.",Regularly blood count
Dextromethorphan oral Syrup 60 ml,Coomonly used to relieve cough symptoms,active ingredient in the oral syrup,12,syrup ,"Used to suppress cough symptoms,","Common side effects may include dizziness,drowsiness,nausea,constipation","Do not exceed the recommended dosage,Avoid alcohol while taking dextromethorphan, as it can increase the risk of side effects.","interact with certain medications, including monoamine oxidase inhibitors (MAOIs) and some antidepressants",symptoms persist or wosen
Dextromethorphan oral Syrup 60 ml,common cold,active ingredient in the oral syrup,12,syrup ,"Used to suppress cough symptoms,","Common side effects may include dizziness,drowsiness,nausea,constipation","Do not exceed the recommended dosage,Avoid alcohol while taking dextromethorphan, as it can increase the risk of side effects.","interact with certain medications, including monoamine oxidase inhibitors (MAOIs) and some antidepressants",symptoms persist or wosen
Dextromethorphan oral Syrup 60 ml,Repiratory infections,active ingredient in the oral syrup,12,syrup ,"Used to suppress cough symptoms,","Common side effects may include dizziness,drowsiness,nausea,constipation","Do not exceed the recommended dosage,Avoid alcohol while taking dextromethorphan, as it can increase the risk of side effects.","interact with certain medications, including monoamine oxidase inhibitors (MAOIs) and some antidepressants",symptoms persist or wosen
Dextrose Injection IP 25%w/v in 100ml BFS / FFS,Use to treat dehydration,Main active agent Dextrose(glucose),B18,Injection,"Dextrose Injection is administered intravenously by healthcare professionals,The dosage and rate of administration depend on the patient's condition and the healthcare provider's recommendations.",Serious side effects are rare but may include allergic reactions.,"Dextrose Injection should be administered by healthcare professionals in a controlled environment,It is important to monitor the patient for any adverse reactions during and after administration","Dextrose Injection may interact with certain medications, including insulin and other medications affecting blood sugar levels",supervision of healthcare
Dextrose Injection IP 25%w/v in 100ml BFS / FFS,Provide energy,Main active agent Dextrose(glucose),B18,Injection,"Dextrose Injection is administered intravenously by healthcare professionals,The dosage and rate of administration depend on the patient's condition and the healthcare provider's recommendations.",Serious side effects are rare but may include allergic reactions.,"Dextrose Injection should be administered by healthcare professionals in a controlled environment,It is important to monitor the patient for any adverse reactions during and after administration","Dextrose Injection may interact with certain medications, including insulin and other medications affecting blood sugar levels",supervision of healthcare
Dextrose Injection IP 25%w/v in 100ml BFS / FFS,And correct the imbalances in blood sugar levels,Main active agent Dextrose(glucose),B18,Injection,"Dextrose Injection is administered intravenously by healthcare professionals,The dosage and rate of administration depend on the patient's condition and the healthcare provider's recommendations.",Serious side effects are rare but may include allergic reactions.,"Dextrose Injection should be administered by healthcare professionals in a controlled environment,It is important to monitor the patient for any adverse reactions during and after administration","Dextrose Injection may interact with certain medications, including insulin and other medications affecting blood sugar levels",supervision of healthcare
Dextrose Injection IP 5%w/v in 500ml BFS / FFS,commonly used to treat dehydration,Active agent Glucose,ALL,Injection,Dextrose Injection is administered intravenously (IV) by a healthcare professional. The dosage and rate of infusion depend on the patient's medical condition.,"Pain at the injectiion sitr,veikn irritation,or allgeric reactions","should be administered under the supervision of a healthcare professional in a clinical setting,Monitoring of blood glucose levels and electrolytes is essential during administration.","Specific drug interactions can vary, and consultation with a healthcare professional is necessary.",supervision of healthcare
Dextrose Injection IP 5%w/v in 500ml BFS / FFS,provide a source of glucose,Active agent Glucose,ALL,Injection,Dextrose Injection is administered intravenously (IV) by a healthcare professional. The dosage and rate of infusion depend on the patient's medical condition.,"Pain at the injectiion sitr,veikn irritation,or allgeric reactions","should be administered under the supervision of a healthcare professional in a clinical setting,Monitoring of blood glucose levels and electrolytes is essential during administration.","Specific drug interactions can vary, and consultation with a healthcare professional is necessary.",supervision of healthcare
Dextrose Injection IP 5%w/v in 500ml BFS / FFS,restore fluid balance in various medical conditions,Active agent Glucose,ALL,Injection,Dextrose Injection is administered intravenously (IV) by a healthcare professional. The dosage and rate of infusion depend on the patient's medical condition.,"Pain at the injectiion sitr,veikn irritation,or allgeric reactions","should be administered under the supervision of a healthcare professional in a clinical setting,Monitoring of blood glucose levels and electrolytes is essential during administration.","Specific drug interactions can vary, and consultation with a healthcare professional is necessary.",supervision of healthcare
Diazepam Tablets IP 10 mg,"Use  to treat anxiety disorders,muscle,",Activ agent Diazepam,18,Tablet,"The usage instructions for Diazepam Tablets IP 10 mg should be followed as prescribed by a healthcare professional.Typically, it is taken orally with or without food","drowsiness, dizziness, muscle weakness, and fatigue.","Diazepam should be taken exactly as prescribed by a healthcare professional. It can be habit-forming, and sudden discontinuation may lead to withdrawal symptoms. Avoid alcohol consumption while taking diazepam, as it can enhance the sedative effects.","(alcohol,barbiturates),(SSRIs,MAOIs),Antipsychotics,Antihistamines",Proper medical supervision
Diazepam Tablets IP 10 mg,Spasms and seizures,Activ agent Diazepam,18,Tablet,"The usage instructions for Diazepam Tablets IP 11 mg should be followed as prescribed by a healthcare professional.Typically, it is taken orally with or without food","drowsiness, dizziness, muscle weakness, and fatigue.","Diazepam should be taken exactly as prescribed by a healthcare professional. It can be habit-forming, and sudden discontinuation may lead to withdrawal symptoms. Avoid alcohol consumption while taking diazepam, as it can enhance the sedative effects.","(alcohol,barbiturates),(SSRIs,MAOIs),Antipsychotics,Antihistamines",Proper medical supervision
Diazepam Tablets IP 10 mg,It may also be used as pre-anesthetic to reliece anxiety,Activ agent Diazepam,18,Tablet,"The usage instructions for Diazepam Tablets IP 12 mg should be followed as prescribed by a healthcare professional.Typically, it is taken orally with or without food","drowsiness, dizziness, muscle weakness, and fatigue.","Diazepam should be taken exactly as prescribed by a healthcare professional. It can be habit-forming, and sudden discontinuation may lead to withdrawal symptoms. Avoid alcohol consumption while taking diazepam, as it can enhance the sedative effects.","(alcohol,barbiturates),(SSRIs,MAOIs),Antipsychotics,Antihistamines",Proper medical supervision
Diclofenac Sodium 50mg Tablets IP (Enteric coated Tablets),(NSAID) used to relive pain,Diclofenac Sodium,16,Tablet,The tablets are typically taken orally with water. The specific dosage and frequency depend on the condition being treated and individual patient factors.,"Upset stomach,Nausea,Diarrhea,Dizziness","Avoid alcohol consumption while taking Diclofenac Sodium,Regular monitoring of kidney and liver function may be necessary,Do not exceed the prescribed dosage.",Diclofenac Sodium may interact with various medications. Some common examples include:,supervision of healthcare
Diclofenac Sodium Injection IP25 mg,(NSAID) used to relive pain,active ingredient in the injection.,16,Tablet,The injection is typically administered by a healthcare professional. It is important to follow the prescribed dosage and administration instructions provided by the healthcare provider.,"nausea, vomiting, stomach pain, indigestion, and headache","It is important to inform your healthcare provider about any existing medical conditions, allergies, or medications you are taking before starting Diclofenac Sodium",Diclofenac Sodium may interact with othere medications,"history of gastrointestinal issues,"
Diclofenac Sodium Injection IP25 mg,"Conditions for arthritis,joint pain",active ingredient in the injection.,16,Tablet/Injection,The injection is typically administered by a healthcare professional. It is important to follow the prescribed dosage and administration instructions provided by the healthcare provider.,"nausea, vomiting, stomach pain, indigestion, and headache","It is important to inform your healthcare provider about any existing medical conditions, allergies, or medications you are taking before starting Diclofenac Sodium",anticoagulants :Increased risk of bleeding,Cardiovascular probems
Diclofenac Sodium Injection IP25mg,And postoperative pain,active ingredient in the injection.,16,Tablet/Injection,The injection is typically administered by a healthcare professional. It is important to follow the prescribed dosage and administration instructions provided by the healthcare provider.,"nausea, vomiting, stomach pain, indigestion, and headache","It is important to inform your healthcare provider about any existing medical conditions, allergies, or medications you are taking before starting Diclofenac Sodium",antiplatelet drugs :Increased risk of bleeding,Renal impairment
Dicyclomine Hcl Tablets 10 mg,(IBS) Irritable bowel syndrome,Dicyclomine hydrochloride,6,Tablet,"The usual dosage is 10 mg, taken 3 to 4 times daily, as directed by a healthcare provider. It is typically taken before meals.",It's is important to take dicyclomine exctly as prescribed,Avoid alcohol consumption while taking this medication.,antiacids,Dicyclomine is not a cure for gastrointestinal conditions but is used to manage symptoms.
Dicyclomine Hcl Tablets 10 mg,Othere gastrointestinal conditions,Dicyclomine hydrochloride,6,Tablet,"The usual dosage is 10 mg, taken 3 to 5 times daily, as directed by a healthcare provider. It is typically taken before meals.",aclcohol consumption while taking thnis medication,It is important to take dicyclomine exactly as prescribed by a healthcare professional.,antidepressants,Dicyclomine is not a cure for gastrointestinal conditions but is used to manage symptoms.
Dicyclomine Hcl Tablets 10 mg,Characterized by muscle spasms and cramping,Dicyclomine hydrochloride,6,Tablet,"The usual dosage is 10 mg, taken 3 to 6 times daily, as directed by a healthcare provider. It is typically taken before meals.",and doctor about your medical histroy,"especially if you have a history of glaucoma, kidney disease, or certain other conditions.",antidiarrheal,Dicyclomine is not a cure for gastrointestinal conditions but is used to manage symptoms.
Dethylcarbamazine Citrate Tablets IP 100mg,Filariasis,Dethylcarbamazine Citrate,15,Tablet,"The use of Dethylcarbamazine Citrate may be restricted in certain age groups, and dosage adjustments may be necessary based on age","Common side effects may include nausea, vomiting, headache, dizziness, and allergic reactions","Do not use Dethylcarbamazine Citrate without a prescription from a qualified healthcare professional.Inform your doctor about any existing medical conditions, allergies, or medications you are currently taking.","Herbel supplements,Vitamins",anti-parasitic
Domperidone Suspension IP 1 mg / ml in 30ml bottle,Gastrointestinal issues such as nausea and vomiting,Domperidone,18,Syrup,Follow the prescribed dosage and administration instructions provided by the healthcare professional or as indicated on the product packaging. It's typically taken before meals.,"Common side effects may include headache, dry mouth, and abdominal cramps.","Always take the medication as prescribed by a healthcare professional,Inform your healthcare provider about any other medications you are taking,Avoid alcohol while using Domperidone.","Interact with Dompridone include Ketoconazole,erythromycin",prescribed dosage and duration of treatmen
Domperidone Suspension IP 1 mg / ml in 30ml bottle,Blocking dopamine receptors in the brain and digestive system,Domperidone,18,Syrup,Follow the prescribed dosage and administration instructions provided by the healthcare professional or as indicated on the product packaging. It's typically taken before meals.,"Common side effects may include headache, dry mouth, and abdominal cramps.","Always take the medication as prescribed by a healthcare professional,Inform your healthcare provider about any other medications you are taking,Avoid alcohol while using Domperidone.","Interact with Dompridone include Ketoconazole,erythromycin",prescribed dosage and duration of treatmen
Domperidone Suspension IP 1 mg / ml in 30ml bottle,Increasing the movement or contractions of the stomach and intestines.,Domperidone,18,Syrup,Follow the prescribed dosage and administration instructions provided by the healthcare professional or as indicated on the product packaging. It's typically taken before meals.,"Common side effects may include headache, dry mouth, and abdominal cramps.","Always take the medication as prescribed by a healthcare professional,Inform your healthcare provider about any other medications you are taking,Avoid alcohol while using Domperidone.","Interact with Dompridone include Ketoconazole,erythromycin",prescribed dosage and duration of treatmen
Domperidone Tablets IP 10 mg,Nausea,Domperidone,12,Tablet,"Swallow your tablet whole with a drink of water. Do not crush or chew it.Domperidone liquid comes with an oral plastic syringe to help you measure your dose. If you do not have a syringe, ask a pharmacist for one. Do not use a kitchen teaspoon, as this will not measure the right amount.You can take domperidone up to 3 times a day, but only take it when you need it. Leave 8 hours between each dose you take.It's best to take domperidone before food. Take it 15 to 30 minutes before you have a meal or snack.","Dry mouth,Abdominal cramps,Dizziness, irregular heartbeat","Domperidone may not be suitable for individuals with certain medical conditions. It's important to inform the healthcare provider of any existing health issues,allergies, or medications being taken. Caution is advised in patients with cardiac conditions.","Chloroquine,Quinidine,Citalopram",Per one week only
Domperidone Tablets IP 10 mg,Gastrointestinal disorders,Domperidone,12,Tablet,"Swallow your tablet whole with a drink of water. Do not crush or chew it.Domperidone liquid comes with an oral plastic syringe to help you measure your dose. If you do not have a syringe, ask a pharmacist for one. Do not use a kitchen teaspoon, as this will not measure the right amount.You can take domperidone up to 3 times a day, but only take it when you need it. Leave 8 hours between each dose you take.It's best to take domperidone before food. Take it 15 to 31 minutes before you have a meal or snack.","Dry mouth,Abdominal cramps,Dizziness, irregular heartbeat","Domperidone may not be suitable for individuals with certain medical conditions. It's important to inform the healthcare provider of any existing health issues,allergies, or medications being taken. Caution is advised in patients with cardiac conditions.","Chloroquine,Quinidine,Citalopram",Per one week only
Doxycycline HCL Capsule IP 100 mg,"Treatvariousbacterialinfections( blood,brain,lungs)",Doxycycline HCL,B8 ,Tablet,"Take doxycycline exactly as prescribed by your doctor. Follow all directions on your prescription label. Do not take this medicine in larger or smaller amounts or for longer than recommended.Take doxycycline with a full glass of water. Drink plenty of liquids while you are taking this medicine.Most brands of doxycyline may be taken with food or milk if the medicine upsets your stomach. Different brands of doxycycline may have different instructions about taking them with or without food.Take Oracea on an empty stomach, at least 1 hour before or 2 hours after a meal.You may open a regular capsule or break up a regular tablet and sprinkle the medicine into a spoonful of applesauce to make swallowing easier. Swallow right away without chewing. Do not save the mixture for later use. Drink a full glass (8 ounces) of cool water right away.Do not crush, break, or open a delayed-release capsule or tablet. Swallow the pill whole.You may need to split a doxycycline tablet to get the correct dose. Follow your doctor's instructions."," nausea, vomiting, diarrhea, and skin sensitivity to sunlight,severe headache, blurred vision, and difficulty swallowing.","Inform your healthcare provider about any allergies, pre-existing conditions, or medications you are currently taking.Avoid exposure to direct sunlight andtanning beds as Doxycycline can increase sensitivity to sunlight.Take the medication as prescribed, and complete the full course even if symptoms improve.","Penicillin antibiotics, Barbiturates and anti-seizure medications,Oral contraceptives.",Complete course
Enalapril Maleate Tablets IP 5mg,High blood pressure,Enalapril (5mg),1,Tablet,The tablets are usually taken orally with or without food.The dosage and frequency will be determined by the prescribing healthcare provider based on the individual's condition.It's essential to take the medication regularly and exactly as prescribed.,"Dizziness, lightheadedness, fatigue, cough, and changes in kidney function","Inform your healthcare provider about your medical history, especially if you have kidney problems or are pregnant. Avoid alcohol while taking Enalapril, as it can increase the risk of side effects.Regular monitoring of blood pressure and kidney function may be required.Be cautious if driving or operating machinery until you know how the medication affects you.","Diuretics, Potassium,Allopurino,Lithium",As per Schedule and dosage
Enalapril Maleate Tablets IP 5mg,Heart Problems,Enalapril (5mg),1,Tablet,The tablets are usually taken orally with or without food.The dosage and frequency will be determined by the prescribing healthcare provider based on the individual's condition.It's essential to take the medication regularly and exactly as prescribed.,"Dizziness, lightheadedness, fatigue, cough, and changes in kidney function","Inform your healthcare provider about your medical history, especially if you have kidney problems or are pregnant. Avoid alcohol while taking Enalapril, as it can increase the risk of side effects.Regular monitoring of blood pressure and kidney function may be required.Be cautious if driving or operating machinery until you know how the medication affects you.","Diuretics, Potassium,Allopurino,Lithium",As per Schedule and dosage
Enalapril Maleate Tablets IP 5mg,Kidney Problems,Enalapril (5mg),1,Tablet,The tablets are usually taken orally with or without food.The dosage and frequency will be determined by the prescribing healthcare provider based on the individual's condition.It's essential to take the medication regularly and exactly as prescribed.,"Dizziness, lightheadedness, fatigue, cough, and changes in kidney function","Inform your healthcare provider about your medical history, especially if you have kidney problems or are pregnant. Avoid alcohol while taking Enalapril, as it can increase the risk of side effects.Regular monitoring of blood pressure and kidney function may be required.Be cautious if driving or operating machinery until you know how the medication affects you.","Diuretics, Potassium,Allopurino,Lithium",As per Schedule and dosage
Ferrous Ascorbate equivalent to 50 mg Iron + Folic acid 1.5 mg) ,Iron deficiency,Iron Supplement agents,ALL,Tablet,"With a maximum daily dosage of one tablet, this ferrous ascorbate and folic acid tablet is prescribed for oral administration and should be taken under the guidance of a physician.","Nausea and vomiting, Heartburn, Stomach upset, Diarrhea and Constipation","You are not recommended to take FERROUS ASCORBATE+FOLIC ACID with coffee, tea or dairy products at the same time as they may reduce the absorption of FERROUS ASCORBATE+FOLIC ACID. However, you may drink coffee or tea 2 hours before or after taking FERROUS ASCORBATE+FOLIC ACID.","Abacavir, Lamivudine, Amlodipine, Calcitonin, Valsartan, Estradiol",
Ferrous Ascorbate equivalent to 50 mg Iron + Folic acid 1.5 mg),Anemia,Iron Supplement agents,ALL,Tablet,"With a maximum daily dosage of one tablet, this ferrous ascorbate and folic acid tablet is prescribed for oral administration and should be taken under the guidance of a physician.","Nausea and vomiting, Heartburn, Stomach upset, Diarrhea and Constipation","You are not recommended to take FERROUS ASCORBATE+FOLIC ACID with coffee, tea or dairy products at the same time as they may reduce the absorption of FERROUS ASCORBATE+FOLIC ACID. However, you may drink coffee or tea 2 hours before or after taking FERROUS ASCORBATE+FOLIC ACID.","Abacavir, Lamivudine, Amlodipine, Calcitonin, Valsartan, Estradiol",
Fluconazole IP 200mg,Fungal infections,antifungal agents,ALL,Tablet,"Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Flukonir 200mg Tablet may be taken with or without food, but it is better to take it at a fixed time.","Headache, Nausea, Stomach pain","Flukonir 200mg Tablet requires caution in alcohol consumption, pregnancy, breastfeeding, kidney disease, liver conditions, and adjusting doses, ensuring prudent and safe use for optimal health outcomes.","Alfuzosin, Amisulpiride, Aripiprazole, Aripiprazole",
Folic Acid 5mg,Anemia,Vitamin Supplement agents,ALL,Tablet,"Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Folvite 5mg Tablet may be taken with or without food, but it is better to take it at a fixed time","Abdominal distension, Flatulence, Nausea, Weight loss","Folvite 5mg Tablet is safe during pregnancy and breastfeeding, but caution is advised with alcohol. Consultation with a doctor is recommended for kidney and liver issues.","Fosphenytoin, Methotrexate, Phenobarbitone, Phenytoin",
Framycetin Sulphate 1% w/w 100gm ,Bacterial Skin Infection,antibiotic,12,Cream,Soframycin 1% Skin Cream is an antibiotic. It stops bacterial growth by preventing the synthesis of essential proteins required by bacteria to carry out vital functions. This helps to kill the bacteria and treats your skin infection.,"Skin irritation, redness, and itching may occur","Soframycin 1% Skin Cream may be harmful during pregnancy, but safe during breastfeeding, with limited human data, and should be prescribed by a healthcare professional.","Abacavir, Adefovir, Alendronic Acid, Amphotericin B",
Furosemide IP 40mg,Hyper Tension(high BP),anti-diuretic,12,Tablet,"Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. FRUSAMIDE 40 MG TABLET may be taken with or without food, but it is better to take it at a fixed time.","Dehydration, Decreased potassium level in blood, Decreased magnesium level in blood, Decreased blood pressure, Electrolyte imbalance, Decreased sodium level in blood","FRUSAMIDE 40 MG TABLET is unsafe for alcohol consumption, driving, pregnancy, breastfeeding, kidney disease, and liver disease, with caution for severe kidney issues and liver disease cases.","Aspirin, Aliskiren, Amikacin, Amlodipine",
Furosemide IP 40mg,Edema,anti-diuretic,12,Tablet,"Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. FRUSAMIDE 40 MG TABLET may be taken with or without food, but it is better to take it at a fixed time.","Dehydration, Decreased potassium level in blood, Decreased magnesium level in blood, Decreased blood pressure, Electrolyte imbalance, Decreased sodium level in blood","FRUSAMIDE 40 MG TABLET is unsafe for alcohol consumption, driving, pregnancy, breastfeeding, kidney disease, and liver disease, with caution for severe kidney issues and liver disease cases.","Aspirin, Aliskiren, Amikacin, Amlodipine",
Gamma Benzene Hexachloride 1% in 60ml,Scabies,antiparasitic,12,Lotion,"For scabies, apply a 1% topical preparation to all skin surfaces and wash off after 8-12 hours","Dry skin, Skin rash, Itching, Burning sensation of skin","GAMMA BENZENE HEXACHLORIDE is a potentially dangerous drug, requiring careful use in certain situations, including alcohol consumption, pregnancy, breastfeeding, driving, liver or kidney problems, and premature babies.","haloperidol, theophylline, imipenem, penicillins, ciprofloxacin,bupropion, immunosuppressants",
Gamma Benzene Hexachloride 1% in 60ml,Pediculosis,antiparasitic,12,Lotion,"For pediculosis, use 30-60 ml of shampoo, massage for 4 minutes, add water, rinse, and comb. A single treatment is usually sufficient, but additional pediculicide may be used if needed.","Dry skin, Skin rash, Itching, Burning sensation of skin","GAMMA BENZENE HEXACHLORIDE is a potentially dangerous drug, requiring careful use in certain situations, including alcohol consumption, pregnancy, breastfeeding, driving, liver or kidney problems, and premature babies.","haloperidol, theophylline, imipenem, penicillins, ciprofloxacin,bupropion, immunosuppressants",
Gentamicin IP 40 mg,Pneumonia,antibiotic,1,Injection,"Your doctor or nurse will give you this medicine. Kindly do not self administer, The daily dose recommended in children (aged 1 year and above) and adolescents with normal renal function, is 3-6 mg/kg body weight per day as 1 single dose","Hearing loss, Kidney damage, Balance disorder (loss of balance), Injection site pain","Gentamycin Injection is safe for alcohol consumption, but unsafe during pregnancy, breastfeeding, driving, and kidney disease patients. It's recommended to consult a doctor for any concerns, especially in patients with liver disease, kidney disease, or liver disease.","Abacavir, Adefovir, Alendronic Acid, Amphotericin B",Under Medical Supervision
