Breed,Age (Years),Weight (kg),Color,Gender
Chinese Shar-Pei,12,25,Merle,Female
Yorkshire Terrier,7,41,Brown,Male
Bernese Mountain Dog,10,13,White,Female
Shetland Sheepdog,4,53,Cream,Male
Samoyed,8,44,Black,Male
Vizsla,8,18,Bicolor,Female
Pomeranian,6,48,Black,Female
Pug,12,45,Gray,Male
Bernese Mountain Dog,13,26,Cream,Male
Irish Setter,3,52,Black,Female
Vizsla,2,37,Black,Male
German Shepherd,11,37,Sable,Male
Poodle,8,35,Brindle,Male
Beagle,6,14,Brown,Female
Siberian Husky,13,32,Blue,Female
Border Collie,1,33,Brown,Male
Dachshund,4,48,Brown,Female
Chihuahua,8,28,Black and Tan,Male
Yorkshire Terrier,2,33,Black and White,Male
Rottweiler,1,7,Black and Tan,Female
Samoyed,9,25,Brindle,Male
Poodle,2,27,Black and White,Male
Jack Russell Terrier,8,37,Sable,Female
West Highland White Terrier,14,12,Black,Male
French Bulldog,8,26,Blue,Male
Dachshund,7,25,Cream,Male
Whippet,1,24,Tricolor,Male
Bichon Frise,6,30,White,Female
Bernese Mountain Dog,6,52,Brindle,Male
French Bulldog,7,42,Brown,Female
Chihuahua,12,29,Tan,Male
Miniature Schnauzer,6,24,Brown,Male
Poodle,14,47,Blue,Female
Bulldog,4,18,Red,Female
Doberman Pinscher,14,49,White,Female
Poodle,4,32,Black,Female
Cavalier King Charles Spaniel,13,27,Bicolor,Female
Maltese,9,32,White,Male
French Bulldog,4,8,Sable,Male
Poodle,13,38,Tan,Female
Basenji,12,34,Brown,Female
Weimaraner,12,26,Spotted,Female
Rottweiler,10,7,White,Female
Maltese,12,43,Blue,Female
Chesapeake Bay Retriever,4,29,Merle,Female
Miniature Schnauzer,12,22,Bicolor,Female
Chesapeake Bay Retriever,12,18,Tricolor,Male
Chihuahua,4,14,White,Male
Rottweiler,7,46,Tricolor,Female
Rottweiler,11,30,Merle,Female
Dogo Argentino,11,42,Black and Tan,Female
Alaskan Malamute,5,19,Tricolor,Female
Irish Setter,14,34,Bicolor,Female
Lhasa Apso,13,52,Black,Female
Papillon,13,12,Bicolor,Male
Chesapeake Bay Retriever,3,32,White,Male
Doberman Pinscher,6,33,Spotted,Female
Pekingese,13,27,Sable,Female
Siberian Husky,2,9,Red,Female
Irish Setter,9,8,Blue,Female
Shiba Inu,10,29,Black and Tan,Male
Akita,9,44,Red,Male
Chinese Shar-Pei,6,31,Blue,Male
Havanese,9,14,Cream,Female
Bernese Mountain Dog,4,46,Bicolor,Male
Irish Setter,13,57,Brown,Female
Whippet,1,12,Merle,Male
Alaskan Malamute,7,25,Spotted,Male
Papillon,4,16,Bicolor,Male
Belgian Malinois,2,11,Black,Female
Irish Setter,12,33,White,Female
Labrador Retriever,8,50,Gray,Male
Siberian Husky,9,7,Tan,Male
Boxer,4,44,Sable,Male
Miniature Schnauzer,8,32,Tan,Male
Bulldog,12,36,Black and Tan,Female
Rottweiler,7,40,Brindle,Male
French Bulldog,8,17,Black and White,Male
Lhasa Apso,10,5,Black and White,Female
Siberian Husky,7,28,Black,Male
Vizsla,10,10,Black,Female
Papillon,14,5,Black and White,Male
Samoyed,7,40,Spotted,Male
Lhasa Apso,8,15,Black and Tan,Male
Samoyed,9,34,Cream,Female
Miniature Schnauzer,14,22,Brown,Male
Chinese Shar-Pei,6,53,Tan,Female
Rottweiler,7,45,Bicolor,Female
Rottweiler,4,23,Sable,Female
Border Collie,8,57,Cream,Female
Rottweiler,3,52,Merle,Male
Irish Setter,12,15,White,Female
Pekingese,8,24,Black and White,Male
French Bulldog,9,42,Tan,Male
Dachshund,3,18,Gray,Male
Boston Terrier,14,8,Spotted,Male
West Highland White Terrier,4,41,Sable,Male
German Shepherd,2,8,Bicolor,Male
Boston Terrier,9,40,Bicolor,Female
Pug,12,12,Black and White,Female
West Highland White Terrier,2,59,Merle,Male
Whippet,1,15,Spotted,Female
Great Dane,11,25,Black and White,Female
Border Collie,11,33,Gray,Male
Havanese,1,13,Sable,Female
Papillon,6,13,Brindle,Male
Lhasa Apso,2,22,Brindle,Female
Golden Retriever,11,22,Bicolor,Female
Bloodhound,6,10,Cream,Female
Boxer,1,36,Red,Female
Golden Retriever,4,34,Tan,Male
Papillon,9,21,Cream,Female
Airedale Terrier,1,57,Bicolor,Male
Belgian Malinois,9,27,Merle,Female
Bernese Mountain Dog,10,40,Spotted,Male
Dogo Argentino,5,55,Gray,Male
Weimaraner,14,40,Cream,Male
Border Collie,7,21,Gray,Female
Bulldog,12,58,Cream,Female
Belgian Malinois,10,32,Black and White,Female
Dachshund,1,37,Merle,Male
Siberian Husky,12,52,Gray,Female
Basenji,2,7,Black,Male
Chesapeake Bay Retriever,8,16,Black,Male
Vizsla,3,23,Sable,Male
Bull Terrier,7,29,Bicolor,Female
Shiba Inu,4,29,Black and White,Female
Chesapeake Bay Retriever,14,5,Black and White,Male
Border Collie,5,50,Tan,Male
Saint Bernard,5,13,Cream,Male
Bernese Mountain Dog,12,28,Gray,Male
Whippet,12,6,White,Female
Maltese,6,34,Red,Female
Miniature Schnauzer,1,52,Brown,Female
Boston Terrier,1,43,Spotted,Male
Cavalier King Charles Spaniel,14,43,Tan,Female
Great Dane,9,49,Black,Male
Yorkshire Terrier,12,55,Black and White,Female
Miniature Schnauzer,7,55,Tricolor,Male
Bernese Mountain Dog,13,22,Brindle,Female
Maltese,7,24,Black and Tan,Male
Bull Terrier,11,30,Red,Female
West Highland White Terrier,5,10,Gray,Female
Great Dane,9,51,Black and White,Female
Maltese,10,26,Brown,Male
Miniature Schnauzer,13,39,Sable,Male
French Bulldog,1,38,Gray,Female
Airedale Terrier,8,43,Red,Male
Cocker Spaniel,6,55,White,Male
Samoyed,7,32,Tan,Female
Labrador Retriever,4,46,Black,Male
Dachshund,14,42,Bicolor,Male
French Bulldog,11,54,Gray,Male
Beagle,10,9,Red,Female
Bichon Frise,13,24,Red,Female
Saint Bernard,1,56,Black and Tan,Female
Beagle,5,38,Black and Tan,Male
Cocker Spaniel,3,26,Spotted,Male
Akita,2,9,Black and White,Female
Whippet,13,56,Brown,Female
Whippet,11,30,Cream,Female
Bloodhound,8,56,Tricolor,Female
Boston Terrier,2,12,Tan,Male
Alaskan Malamute,13,41,Brindle,Male
Labrador Retriever,1,56,Blue,Female
Weimaraner,3,36,Tricolor,Female
Samoyed,8,52,Black and White,Female
Belgian Malinois,9,7,Black and White,Male
Golden Retriever,11,30,Brown,Male
Chesapeake Bay Retriever,9,17,Bicolor,Male
Siberian Husky,14,57,Tricolor,Female
Australian Shepherd,1,10,Sable,Male
Chesapeake Bay Retriever,7,40,Tan,Male
Havanese,6,35,Black,Male
Siberian Husky,5,57,Spotted,Male
Poodle,8,57,Spotted,Female
Bloodhound,5,14,Brindle,Female
German Shepherd,1,54,Black and Tan,Male
Dachshund,7,56,Black,Female
Beagle,11,22,Gray,Female
Beagle,5,34,Tan,Female
Bloodhound,7,16,Blue,Male
Bloodhound,5,39,Merle,Male
Pembroke Welsh Corgi,1,48,Red,Male
Whippet,3,48,Black,Female
Shetland Sheepdog,9,38,Tan,Male
Whippet,12,33,Bicolor,Female
Whippet,8,27,Black and Tan,Female
Chinese Shar-Pei,9,30,Merle,Male
Golden Retriever,11,32,White,Female
Siberian Husky,7,22,Brindle,Male
Pekingese,5,38,White,Female
Boxer,5,38,Cream,Male
Chinese Shar-Pei,10,57,Sable,Female
Yorkshire Terrier,9,30,Tricolor,Female
Poodle,5,25,Brindle,Female
Papillon,12,12,Blue,Male
Dogo Argentino,13,5,Black and White,Male
Alaskan Malamute,6,17,Brindle,Female
German Shepherd,14,54,Tricolor,Male
Alaskan Malamute,4,12,Black and White,Female
Australian Shepherd,5,49,Red,Female
Siberian Husky,13,28,Brown,Male
Jack Russell Terrier,11,43,Tricolor,Male
Siberian Husky,13,7,Sable,Male
Shetland Sheepdog,12,14,Sable,Female
Miniature Schnauzer,3,35,Brindle,Female
Bernese Mountain Dog,13,55,Sable,Male
Shih Tzu,3,31,Spotted,Female
Cavalier King Charles Spaniel,14,17,Black and Tan,Male
Great Dane,8,23,Tricolor,Male
Airedale Terrier,14,44,Sable,Male
Belgian Malinois,13,54,Brown,Female
Shetland Sheepdog,10,34,Merle,Female
Beagle,6,51,Red,Female
Weimaraner,3,43,Black and White,Male
Lhasa Apso,12,11,Black,Female
Basenji,2,7,Black and Tan,Female
Border Collie,5,54,Black and White,Female
Cavalier King Charles Spaniel,5,18,Sable,Female
Poodle,2,56,Spotted,Male
Australian Shepherd,9,21,Cream,Male
Vizsla,10,36,White,Female
Vizsla,12,13,Bicolor,Male
Rottweiler,13,46,Black,Female
Schnauzer,3,44,Tricolor,Female
Shiba Inu,6,36,Red,Female
Lhasa Apso,9,30,Red,Male
Pug,3,23,Black and Tan,Male
Shiba Inu,10,24,Gray,Male
Dachshund,5,33,Black and White,Female
Siberian Husky,12,6,Black,Male
Pekingese,10,31,Tan,Female
Labrador Retriever,7,56,Brindle,Male
Pekingese,2,35,Black and Tan,Male
Border Collie,11,26,Brown,Female
Bull Terrier,3,57,Black,Male
Pomeranian,13,16,Black and White,Female
Cocker Spaniel,7,40,Black and Tan,Female
Poodle,3,39,Tan,Male
Weimaraner,1,59,Red,Male
Cocker Spaniel,13,5,Merle,Female
Weimaraner,12,29,Sable,Female
Poodle,1,51,Tricolor,Male
Great Dane,7,37,Red,Female
Siberian Husky,10,45,Bicolor,Male
Border Collie,7,9,Brindle,Male
Rottweiler,14,34,Blue,Male
Cocker Spaniel,3,56,Red,Female
Siberian Husky,4,59,Brown,Male
Bloodhound,13,57,Bicolor,Male
Rottweiler,3,23,Merle,Male
Papillon,1,57,Tan,Male
Pug,10,42,Black,Male
Pekingese,7,44,Black and Tan,Female
Labrador Retriever,2,7,White,Male
Havanese,11,56,Brown,Female
Australian Shepherd,5,38,Red,Female
Dachshund,5,30,Bicolor,Male
French Bulldog,3,32,Black,Male
French Bulldog,6,50,Merle,Male
Pug,11,27,Brown,Female
Lhasa Apso,3,47,Tan,Male
Boxer,14,54,Spotted,Female
Boston Terrier,4,11,Bicolor,Female
Papillon,3,58,Merle,Male
Vizsla,4,34,Brown,Female
Lhasa Apso,9,37,Blue,Male
Doberman Pinscher,11,44,Bicolor,Male
Dogo Argentino,3,28,Black,Male
Boxer,5,42,Spotted,Male
Airedale Terrier,8,15,Brown,Male
Australian Shepherd,11,14,Gray,Male
Bloodhound,14,6,Gray,Female
Chihuahua,4,5,Sable,Male
Chesapeake Bay Retriever,14,8,Spotted,Male
Bulldog,4,30,Tricolor,Male
Pug,11,45,Tricolor,Male
Weimaraner,4,17,Black and Tan,Male
Rottweiler,7,8,Spotted,Male
Havanese,3,39,Black,Male
Bichon Frise,6,32,Brindle,Male
Irish Setter,9,54,Sable,Male
Rottweiler,8,6,Black and White,Female
Pomeranian,12,13,Black,Female
Akita,4,43,Spotted,Male
Cavalier King Charles Spaniel,4,38,Blue,Female
Pug,8,48,White,Male
Bichon Frise,12,36,Bicolor,Male
Jack Russell Terrier,3,34,Blue,Male
Jack Russell Terrier,3,53,Black,Female
Whippet,1,50,Brown,Female
Pembroke Welsh Corgi,8,18,Brindle,Female
Havanese,11,19,Tan,Male
Chihuahua,14,33,Tricolor,Female
Bull Terrier,12,21,Blue,Female
Cavalier King Charles Spaniel,1,40,Merle,Female
Border Collie,10,29,Spotted,Female
Akita,6,50,Black and White,Male
Doberman Pinscher,5,11,Sable,Female
Saint Bernard,9,23,Red,Female
Rottweiler,7,38,Blue,Female
Samoyed,5,13,Cream,Female
Lhasa Apso,12,19,Gray,Male
Vizsla,2,23,Gray,Male
Bulldog,7,46,Black and Tan,Female
Dogo Argentino,13,44,Bicolor,Male
Shih Tzu,6,29,Red,Female
Vizsla,9,17,Black and White,Male
Cocker Spaniel,11,14,Spotted,Male
Alaskan Malamute,8,53,Red,Female
Yorkshire Terrier,14,38,Gray,Female
Shiba Inu,5,54,Tan,Female
Doberman Pinscher,3,38,Spotted,Female
Poodle,13,55,Merle,Male
Weimaraner,12,29,Merle,Female
German Shepherd,3,20,Gray,Female
Pekingese,10,51,Tricolor,Male
Poodle,14,44,Black and White,Male
Pug,1,11,Black and Tan,Male
Bloodhound,2,22,Red,Female
Basenji,13,13,Cream,Female
Pomeranian,5,52,Brown,Male
Cavalier King Charles Spaniel,10,6,Black and Tan,Male
Cocker Spaniel,5,12,Red,Male
Bulldog,4,25,Gray,Female
Boston Terrier,1,45,Black and Tan,Female
West Highland White Terrier,6,13,Bicolor,Male
Dachshund,12,57,Tricolor,Male
French Bulldog,11,5,Merle,Female
Pomeranian,9,46,Tricolor,Female
Vizsla,9,7,White,Female
Pekingese,13,37,Brown,Male
Belgian Malinois,14,27,Cream,Male
Basenji,8,15,Gray,Male
Doberman Pinscher,3,35,Brown,Male
Chinese Shar-Pei,6,13,Red,Female
Basenji,2,26,Sable,Male
West Highland White Terrier,6,50,Tan,Female
Cavalier King Charles Spaniel,3,8,Tricolor,Male
Pekingese,2,10,Black,Female
Chesapeake Bay Retriever,14,32,Red,Female
Cavalier King Charles Spaniel,14,31,White,Male
Irish Setter,3,17,Brown,Male
Vizsla,11,5,Bicolor,Female
Maltese,10,8,Blue,Male
Pug,7,48,Sable,Female
Saint Bernard,12,37,Black and Tan,Male
Bull Terrier,8,45,Gray,Female
Pekingese,13,25,Black,Male
German Shepherd,14,19,Red,Male
Havanese,5,29,Blue,Female
Yorkshire Terrier,7,8,Sable,Male
Labrador Retriever,13,37,Black and Tan,Female
Havanese,2,14,Black and Tan,Female
Vizsla,6,11,Tricolor,Male
Jack Russell Terrier,8,8,Bicolor,Female
Border Collie,6,33,Gray,Male
Bernese Mountain Dog,5,8,Blue,Female
Bernese Mountain Dog,14,20,Tricolor,Female
Beagle,14,37,Brindle,Female
Maltese,9,43,Merle,Male
Australian Shepherd,3,49,White,Female
Vizsla,10,33,White,Female
Belgian Malinois,7,58,Red,Male
Doberman Pinscher,2,55,Blue,Female
Pug,9,10,Merle,Female
Lhasa Apso,11,6,Tan,Male
Alaskan Malamute,8,22,Blue,Male
Irish Setter,13,52,Tricolor,Female
Poodle,10,13,Merle,Female
Cocker Spaniel,2,14,Black and Tan,Female
Jack Russell Terrier,2,57,Spotted,Female
Pomeranian,2,18,Gray,Male
Samoyed,10,53,Black and White,Female
Pembroke Welsh Corgi,8,46,Blue,Male
Pembroke Welsh Corgi,10,29,Red,Male
Chesapeake Bay Retriever,9,9,Cream,Male
Rottweiler,10,12,Bicolor,Female
Border Collie,4,10,Gray,Female
Lhasa Apso,11,44,Black and White,Female
Rottweiler,11,25,White,Female
Jack Russell Terrier,14,8,Spotted,Female
Shiba Inu,13,6,Merle,Female
Weimaraner,6,14,Brindle,Male
Miniature Schnauzer,2,31,Brown,Female
Havanese,14,6,Brown,Female
Shetland Sheepdog,2,45,Black and White,Male
Golden Retriever,1,53,Tricolor,Male
Yorkshire Terrier,12,43,Gray,Female
Dachshund,8,51,Gray,Female
Poodle,7,26,Brown,Female
Bloodhound,3,17,Brindle,Female
Bloodhound,11,11,Brown,Female
Weimaraner,7,37,Brown,Male
German Shepherd,5,47,Bicolor,Male
Dogo Argentino,2,25,Brindle,Male
Weimaraner,1,17,Brindle,Female
Poodle,13,27,Sable,Male
Poodle,5,25,Tan,Female
Bloodhound,5,50,Brindle,Male
Saint Bernard,8,38,Black,Male
Maltese,1,37,Tan,Male
Rottweiler,1,14,Merle,Male
Australian Shepherd,8,41,Cream,Female
Boston Terrier,10,8,Bicolor,Male
Whippet,1,46,Sable,Male
Boxer,13,13,Spotted,Female
Bulldog,7,33,Black and White,Male
Rottweiler,10,56,Spotted,Male
Maltese,5,18,Merle,Female
Cavalier King Charles Spaniel,7,28,Black,Female
Golden Retriever,13,12,Brown,Male
Cocker Spaniel,11,56,Brindle,Male
French Bulldog,8,17,Cream,Female
Shih Tzu,7,7,Black and Tan,Male
Pembroke Welsh Corgi,7,41,Sable,Male
Shih Tzu,7,50,Brindle,Male
Weimaraner,1,18,Spotted,Male
Doberman Pinscher,8,28,Red,Female
Border Collie,6,44,Red,Female
Beagle,3,59,Red,Male
Jack Russell Terrier,3,14,Blue,Male
Akita,14,44,White,Male
Shetland Sheepdog,5,20,Black,Male
Boston Terrier,14,16,Blue,Female
West Highland White Terrier,1,14,Bicolor,Male
Doberman Pinscher,5,6,Brown,Female
Vizsla,8,31,Red,Female
Bernese Mountain Dog,4,16,Brindle,Male
Papillon,13,36,Brown,Female
Shetland Sheepdog,13,53,Sable,Male
Weimaraner,9,16,Blue,Female
Bulldog,7,6,Merle,Male
Jack Russell Terrier,7,13,Spotted,Male
Akita,13,30,Cream,Male
Pembroke Welsh Corgi,6,35,Black and Tan,Female
Akita,13,38,Black and White,Female
Chesapeake Bay Retriever,3,49,Spotted,Male
Irish Setter,14,28,Red,Female
Cocker Spaniel,7,25,Brindle,Male
Lhasa Apso,7,54,White,Female
Pembroke Welsh Corgi,6,13,Brindle,Male
Chesapeake Bay Retriever,13,5,Tricolor,Female
Bernese Mountain Dog,1,39,Black and Tan,Female
Chesapeake Bay Retriever,3,35,Gray,Female
Schnauzer,14,43,Black and Tan,Female
Samoyed,2,25,Sable,Male
Beagle,7,42,Brown,Male
Bernese Mountain Dog,14,27,Tricolor,Female
Maltese,2,47,Brown,Male
Samoyed,5,53,Sable,Male
Bloodhound,3,27,Sable,Female
Chinese Shar-Pei,12,46,Brown,Male
Pug,14,25,Cream,Female
Havanese,2,48,Sable,Female
Border Collie,6,12,Sable,Female
French Bulldog,3,6,White,Female
Border Collie,14,50,Tan,Female
Irish Setter,2,35,Merle,Female
Pekingese,6,17,Cream,Male
Golden Retriever,3,10,Red,Female
Poodle,7,26,Blue,Male
Rottweiler,13,10,Tan,Male
Australian Shepherd,7,21,Tricolor,Male
Chihuahua,11,48,White,Male
Saint Bernard,3,28,Blue,Male
Papillon,1,45,Black and White,Female
Bull Terrier,5,42,Sable,Male
Rottweiler,6,52,Tan,Female
Chinese Shar-Pei,8,53,Bicolor,Female
Bloodhound,4,44,Black and Tan,Female
Chinese Shar-Pei,7,45,Red,Female
Pekingese,6,43,Spotted,Female
Rottweiler,6,48,Brindle,Female
Pembroke Welsh Corgi,10,53,Gray,Male
French Bulldog,11,5,Black and White,Male
Shih Tzu,3,14,Cream,Female
Maltese,13,20,Sable,Male
Bulldog,1,57,Bicolor,Male
Dogo Argentino,6,49,Gray,Male
Chinese Shar-Pei,2,58,Tan,Male
Pomeranian,4,9,Brindle,Male
Pekingese,11,33,Black and White,Female
Bloodhound,1,54,Red,Female
Pembroke Welsh Corgi,8,40,Black and White,Female
Chihuahua,2,25,Brown,Male
Miniature Schnauzer,10,11,Tricolor,Male
Bernese Mountain Dog,4,46,Blue,Female
Airedale Terrier,13,36,Brindle,Female
French Bulldog,7,30,Red,Female
Vizsla,6,21,Black and White,Male
Rottweiler,7,9,Sable,Male
Pekingese,10,51,Tan,Female
Chihuahua,7,18,Merle,Male
Pembroke Welsh Corgi,2,38,Black,Female
Boxer,14,22,Sable,Male
Pembroke Welsh Corgi,12,52,Brown,Male
Pug,6,6,Blue,Male
Bull Terrier,11,30,Brindle,Male
German Shepherd,5,52,White,Female
Miniature Schnauzer,8,27,Cream,Male
Dogo Argentino,7,47,Blue,Male
Great Dane,4,27,White,Male
Labrador Retriever,3,22,Tan,Female
Shetland Sheepdog,4,8,Red,Male
Maltese,7,24,Sable,Female
Boxer,6,51,Black,Male
Yorkshire Terrier,8,34,Brown,Male
Miniature Schnauzer,14,59,Bicolor,Male
Pembroke Welsh Corgi,12,9,Black,Male
Great Dane,8,25,Brindle,Female
Dogo Argentino,7,50,Black and White,Male
Chinese Shar-Pei,7,35,Gray,Female
Doberman Pinscher,6,49,Sable,Male
Australian Shepherd,12,20,Spotted,Male
French Bulldog,9,38,Brindle,Female
West Highland White Terrier,6,9,Cream,Male
Maltese,4,24,Red,Male
Shetland Sheepdog,8,42,Black,Male
Great Dane,14,57,Red,Female
Shetland Sheepdog,3,5,Red,Female
Chihuahua,8,22,Black and White,Female
Jack Russell Terrier,3,22,Gray,Female
German Shepherd,10,54,Tricolor,Male
Siberian Husky,6,44,Blue,Male
Pembroke Welsh Corgi,1,45,Blue,Female
Bernese Mountain Dog,3,23,Spotted,Male
Bull Terrier,9,10,Gray,Female
Pembroke Welsh Corgi,2,39,Black and White,Female
Border Collie,9,8,Tan,Male
Samoyed,3,5,Sable,Male
Akita,13,40,Tan,Male
German Shepherd,9,30,White,Male
Pug,7,25,Merle,Female
German Shepherd,14,34,Cream,Male
Pug,9,6,Brown,Male
Chesapeake Bay Retriever,13,19,Bicolor,Female
Chesapeake Bay Retriever,4,49,Gray,Male
Airedale Terrier,13,43,Cream,Female
Bloodhound,12,9,Merle,Female
Basenji,7,11,Black and White,Female
Yorkshire Terrier,5,22,Black and Tan,Male
Shih Tzu,1,34,Merle,Female
West Highland White Terrier,12,6,Merle,Male
Cocker Spaniel,7,21,Brown,Female
Whippet,7,7,Brindle,Male
Shiba Inu,4,19,Black and White,Male
Havanese,5,47,Tricolor,Female
Bulldog,9,54,Blue,Male
Schnauzer,7,29,Blue,Male
Pomeranian,1,10,Brindle,Male
Labrador Retriever,1,26,Black,Female
Vizsla,4,13,Black and Tan,Female
Schnauzer,12,13,Gray,Male
Australian Shepherd,6,38,Tricolor,Female
Cocker Spaniel,14,10,Blue,Female
Australian Shepherd,8,37,Brown,Male
Chinese Shar-Pei,12,58,Merle,Male
Siberian Husky,1,5,Bicolor,Female
Samoyed,10,48,Brindle,Female
Dachshund,10,56,Black,Female
Papillon,12,11,Merle,Male
Belgian Malinois,12,19,Gray,Female
Pug,9,42,Tan,Female
Beagle,1,33,Red,Female
Shetland Sheepdog,2,21,Spotted,Female
Cavalier King Charles Spaniel,10,58,Spotted,Female
French Bulldog,5,34,Brown,Female
Pug,1,57,Brown,Male
Labrador Retriever,3,23,Spotted,Female
German Shepherd,5,34,Black,Female
Whippet,9,42,Black,Female
Shiba Inu,3,8,Sable,Male
Alaskan Malamute,3,47,Bicolor,Female
Miniature Schnauzer,12,15,Blue,Female
Miniature Schnauzer,8,46,Cream,Female
Pomeranian,7,44,Brown,Female
Australian Shepherd,4,37,Brindle,Female
Australian Shepherd,11,37,White,Male
Great Dane,3,33,Red,Female
Rottweiler,7,19,Merle,Female
Bichon Frise,6,36,Black and Tan,Male
Maltese,5,39,Gray,Female
Maltese,11,42,Sable,Male
Siberian Husky,4,40,Sable,Female
Shih Tzu,12,8,Black,Female
Miniature Schnauzer,4,18,Tan,Male
Chihuahua,10,23,Brindle,Female
Chihuahua,13,22,Sable,Female
Boston Terrier,8,39,Cream,Male
Rottweiler,5,39,Spotted,Female
Airedale Terrier,5,24,Brindle,Male
Alaskan Malamute,6,55,Brindle,Male
Dogo Argentino,10,9,White,Female
Bichon Frise,5,16,Black,Male
Airedale Terrier,2,26,Red,Male
Australian Shepherd,2,8,Tan,Female
Havanese,11,54,Tan,Female
Pembroke Welsh Corgi,8,39,White,Male
Shih Tzu,10,24,Gray,Male
Pekingese,1,31,Black and Tan,Male
Schnauzer,1,13,Blue,Female
Irish Setter,14,46,Brindle,Male
Miniature Schnauzer,6,19,Sable,Male
Bulldog,13,40,Blue,Female
Great Dane,8,17,Cream,Female
German Shepherd,1,22,Tricolor,Female
Rottweiler,6,47,Red,Female
Rottweiler,14,28,Tricolor,Male
Havanese,3,22,Black and Tan,Female
Pug,1,37,Brindle,Male
Belgian Malinois,10,54,Black and White,Male
Border Collie,8,16,Black,Female
Lhasa Apso,14,45,Gray,Female
Golden Retriever,6,7,Black and Tan,Male
Jack Russell Terrier,1,53,Tan,Female
Doberman Pinscher,4,27,Tricolor,Male
Boston Terrier,6,9,Blue,Female
Bloodhound,11,46,Sable,Male
Labrador Retriever,13,47,Brindle,Male
Beagle,4,20,Cream,Male
Airedale Terrier,3,22,Brindle,Female
Pomeranian,11,44,Brindle,Male
Australian Shepherd,3,18,Sable,Male
Dachshund,1,36,Spotted,Female
Akita,9,40,Bicolor,Female
Basenji,12,54,Black and White,Male
Bloodhound,4,8,Black,Male
Shetland Sheepdog,10,50,Tricolor,Female
Akita,10,30,Black,Male
Dogo Argentino,10,56,Red,Female
Shiba Inu,7,33,Sable,Male
West Highland White Terrier,11,23,Red,Male
Airedale Terrier,5,49,Blue,Female
Saint Bernard,10,36,Brown,Female
Belgian Malinois,4,28,Black and Tan,Female
Bull Terrier,5,51,Spotted,Male
Bichon Frise,2,15,White,Female
Lhasa Apso,1,18,Red,Female
Dachshund,14,18,Black and White,Female
Bulldog,10,18,Cream,Male
Doberman Pinscher,2,24,Black,Female
French Bulldog,11,6,Black and White,Male
Vizsla,11,8,Black and Tan,Male
Cavalier King Charles Spaniel,2,17,Black,Female
Havanese,8,13,Cream,Male
Pekingese,3,56,Brindle,Female
Bloodhound,8,15,Bicolor,Male
Cavalier King Charles Spaniel,1,11,Brindle,Female
Pembroke Welsh Corgi,13,57,Sable,Female
Golden Retriever,13,36,Bicolor,Male
Pekingese,11,48,Spotted,Female
Rottweiler,2,36,Red,Male
Chinese Shar-Pei,9,26,Tricolor,Female
Papillon,1,18,Black,Female
Boxer,12,12,Tricolor,Female
Havanese,11,50,Black,Male
Labrador Retriever,12,33,Bicolor,Female
Lhasa Apso,11,23,Brindle,Male
Doberman Pinscher,4,34,Bicolor,Female
Basenji,6,31,Brindle,Male
Chinese Shar-Pei,2,55,White,Female
Shetland Sheepdog,11,20,Brindle,Male
Cavalier King Charles Spaniel,13,51,White,Male
Border Collie,3,6,Black and Tan,Female
Australian Shepherd,13,50,Brindle,Male
Lhasa Apso,12,56,Merle,Female
Doberman Pinscher,12,30,Red,Male
Dachshund,2,23,Gray,Female
Doberman Pinscher,5,58,Sable,Male
French Bulldog,8,44,Tricolor,Female
Bull Terrier,10,53,Red,Female
Boxer,9,50,Bicolor,Female
Pekingese,5,27,Tricolor,Male
French Bulldog,11,32,Brown,Male
Rottweiler,5,16,Black,Female
Pug,12,49,Tan,Female
Akita,7,43,Blue,Female
Bulldog,6,54,Sable,Male
Border Collie,14,5,Sable,Male
Weimaraner,2,14,Brown,Male
Beagle,1,27,Tricolor,Female
Shiba Inu,2,10,Black and Tan,Male
Doberman Pinscher,1,28,Spotted,Male
Dogo Argentino,14,11,Brown,Female
Vizsla,4,27,Black,Male
Bichon Frise,6,28,Spotted,Male
Chinese Shar-Pei,6,6,Tan,Female
Chihuahua,7,31,Black,Female
Pomeranian,10,36,Red,Male
Schnauzer,3,24,Tan,Female
Yorkshire Terrier,11,30,Red,Female
Pekingese,10,45,White,Male
Great Dane,6,12,Brindle,Male
Schnauzer,8,16,Brindle,Male
Akita,6,22,Red,Female
Doberman Pinscher,10,59,Black,Female
Great Dane,9,45,Tan,Female
Jack Russell Terrier,2,5,Tan,Female
Pug,14,16,Cream,Male
Yorkshire Terrier,6,41,Black,Female
Airedale Terrier,9,40,White,Female
Rottweiler,10,18,Red,Female
Siberian Husky,14,13,Cream,Female
Shiba Inu,2,43,Blue,Male
Boston Terrier,5,15,Spotted,Female
Alaskan Malamute,1,30,Red,Male
Pembroke Welsh Corgi,12,46,Spotted,Female
Pekingese,3,14,Brown,Female
Basenji,1,59,Bicolor,Male
Labrador Retriever,10,25,Cream,Female
Boston Terrier,14,9,White,Female
Samoyed,8,44,Blue,Female
Great Dane,11,21,Gray,Male
Shih Tzu,10,23,Merle,Female
Vizsla,4,51,Brindle,Female
Jack Russell Terrier,9,19,Sable,Male
Bull Terrier,8,28,Blue,Female
Whippet,14,51,Brown,Female
Bulldog,8,57,Merle,Female
Irish Setter,14,40,Sable,Female
Siberian Husky,9,53,Black and White,Male
Vizsla,2,35,White,Male
Lhasa Apso,10,8,Tan,Female
